GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDKAI,G18USSRSTE,G18USSLWAT,G18USSOWRI
51059000307,51,059,000307,1230,456,32,7
51059000309,51,059,000309,1348.51,680.21,29.76,13.6
51059000310,51,059,000310,1023.56,363.89,25.68,7.1
51059000311,51,059,000311,841.71,493.07,39.84,10.96
51059000312,51,059,000312,1000.68,403.72,34.53,4.93
51059000314,51,059,000314,835.64,356,33.51,5.96
51059000315,51,059,000315,1582,632,52,5
51059000316,51,059,000316,424.17,221.82,11.06,4.29
51059000317,51,059,000317,1564.09,571.87,34.6,10.59
51059000318,51,059,000318,705.84,311.99,21.97,2.15
51059000319,51,059,000319,1971,731,76,8
51059000320,51,059,000320,2212,653,79,4
51059000321,51,059,000321,2159.5,933.49,82.87,6.99
51059000322,51,059,000322,1238.59,928.43,44.01,14
51059000323,51,059,000323,1116.85,517.53,14.74,1
51059000324,51,059,000324,1935.08,523.12,68.55,2.09
51059000325,51,059,000325,911.12,176.39,17.07,0
51059000327,51,059,000327,1884.56,904.89,56.29,1.04
51059000328,51,059,000328,1678.49,935.79,56.24,8.4
51059000329,51,059,000329,1325.2,823.11,31.43,0.88
51059000331,51,059,000331,1282.53,589.96,38.9,10.09
