GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMUR,G18USSRCOR,G18USSLLIO,G18USSGRUS,G18USSOWRI,G18GOVDLAM,G18GOVRSTE,G18GOVLHAN,G18GOVOGRI,G18GOVOGRE,G18GOVOWRI,G18ATGDTON,G18ATGRHAT,G18ATGGGOS,G18SOSDMER,G18SOSRCHA,G18SOSLGWY,G18SOSGDER,G18TREDWOO,G18TRERGRA,G18TRELBRO,G18TREOWRI,G18COMDLEM,G18COMRMIL,G18COMLPAS,G18COMGHEF
0900909-093,09,009,09-093,163.09,5.04,0,0.05,0,161.22,12.41,0.91,0.94,0,0,161.87,9.57,0.94,163.87,9.47,0,1.81,162.84,8.61,0.91,0,161.08,7.68,1.79,0.95
0900909-094,09,009,09-094,583.78,50.68,3.9,2.92,0,579.88,78.94,7.8,4.87,0,0,547.72,58.48,7.8,574.04,57.5,1.95,6.82,565.27,49.7,3.9,0,552.6,54.58,3.9,3.9
0900909-095,09,009,09-095,459.54,70.32,1.98,1.98,0,438.74,94.09,1.98,11.88,0,0,423.88,91.12,2.97,447.65,80.22,0,1.98,432.8,77.25,0.99,0,429.83,80.22,2.97,1.98
0900909-096,09,009,09-096,138,20,0,1,0,137,24,0,5,0,0,134,22,3,139,22,0,1,138,21,2,0,137,19,0,2
0900909-097,09,009,09-097,1946.47,158.89,8,7.03,0,1874.92,219.2,5,33.22,2,0,1840.76,194.11,33.06,1868.8,185.98,11.15,27.03,1838.43,216.29,14.18,0,1823.49,193.2,12.09,27.09
0900909-098,09,009,09-098,199.04,22.3,1.38,0.44,0,182.47,35.55,1.04,3.11,3.02,0,178.71,21.26,1.28,177.32,26.35,1.29,2.87,177.57,22.79,2.47,0,175.74,22,1.38,3.01
0900909-099,09,009,09-099,919.96,86.7,7.62,8.56,0,886.53,132.45,0.96,21.89,0.98,0,871.29,104.74,24.72,882.68,107.65,5.71,17.13,868.43,115.21,9.53,0,871.26,100,7.62,19.99
0900909-100,09,009,09-100,1005.06,71.9,3.91,6.25,0.78,972.23,99.26,1.56,21.88,0.78,0,962.85,90.66,22.66,974.58,78.15,5.47,14.85,966.76,92.22,7.82,0,951.13,89.1,7.82,16.41
0900909-101,09,009,09-101,185.03,13.28,0.72,1.15,0.14,178.98,18.38,0.29,3.97,0.14,0,177.19,16.79,4.13,179.33,14.53,1.01,2.73,177.9,17.1,1.43,0,175.04,16.54,1.4,3.03
0900909-102,09,009,09-102,1849.92,144.82,6.38,10.6,0.08,1787.79,213.36,4.14,25.14,1.08,0,1752.96,195.55,31.2,1769.1,182.32,9.52,27.42,1757.34,202.68,11.76,0,1733.83,201.37,4.78,31.56
0900909-103,09,009,09-103,256,43,2,2,0,248,63,1,7,1,0,253,52,3,250,55,2,4,258,50,4,0,250,52,3,4
0900909-104,09,009,09-104,847,175,2,5,0,820,235,3,13,0,0,767,208,6,810,194,5,3,787,183,6,0,785,184,7,5
0900909-105,09,009,09-105,147,54,2,0,0,143,67,0,3,0,0,136,58,2,144,59,2,1,141,56,2,0,138,59,0,0
0900909-106,09,009,09-106,670.44,101.16,2.98,3.97,0,647.63,132.9,4.96,5.95,0,0,576.22,111.08,11.9,598.04,99.18,0.99,8.93,592.09,101.16,1.98,0,574.24,103.15,1.98,8.93
0900909-107,09,009,09-107,841.26,180.25,8.52,2.87,0,800.46,236.23,7.6,19.88,0,0,773.43,212.44,20.87,806.66,200.07,5.67,13.29,806.61,189.7,9.46,0,796.08,188.77,8.52,9.52
0900909-108,09,009,09-108,516,56,5,7,0,511,90,1,7,1,0,474,71,13,504,66,2,13,498,59,4,0,482,60,8,9
0900909-109,09,009,09-109,399,50,4,2,0,404,63,1,2,1,0,390,50,5,407,47,0,6,404,40,6,0,392,47,3,4
0900909-110,09,009,09-110,494,56,0,1,0,484,78,2,4,0,0,473,63,2,487,56,0,1,479,53,3,0,475,53,1,0
0900909-111,09,009,09-111,991.56,273.78,8.39,6.51,0,908.48,375.55,5.58,21.48,2.79,0,916.83,310.2,14.02,948.67,291.47,9.3,11.22,953.23,268.17,13.98,0,936.55,270.02,11.19,7.48
0900909-112,09,009,09-112,48.18,13.26,0.41,0.32,0,44.16,18.19,0.27,1.04,0.14,0,44.56,15.02,0.68,46.1,14.12,0.45,0.54,46.33,12.98,0.68,0,45.51,13.07,0.54,0.36
0900909-113,09,009,09-113,1074.26,580.96,11.21,6.17,0,922.36,773.26,4.15,43.48,1.08,0,921.61,651.78,32.3,1011.23,601.41,8.24,25.24,987.44,568.84,19.34,0,992.94,566.9,18.26,18.15
0900909-114,09,009,09-114,363,30,2,3,0,365,39,2,6,2,0,334,34,9,344,39,2,12,347,34,4,0,340,34,3,6
0900909-115,09,009,09-115,580,43,2,1,0,534,82,2,12,0,0,536,64,10,550,61,2,3,538,66,2,0,535,63,2,6
0900909-116,09,009,09-116,1227,32,3,3,0,1225,53,2,5,1,0,1132,43,8,1170,39,3,6,1162,38,2,0,1139,39,3,5
0900909-117,09,009,09-117,466.1,9.99,0.83,0.83,0,464.43,19.98,2.5,3.33,0,0,425.32,14.98,2.5,442.79,10.82,0,1.66,441.96,8.32,0.83,0,429.48,10.82,0,3.33
0900909-118,09,009,09-118,93.9,2.01,0.17,0.17,0,93.57,4.02,0.5,0.67,0,0,85.68,3.02,0.5,89.21,2.18,0,0.34,89.04,1.68,0.17,0,86.52,2.18,0,0.67
0900909-119,09,009,09-119,719.64,37.21,0.38,3.08,0,711.12,50.05,1.31,7.37,0,0,656.14,41.9,3.69,659.6,34.06,0.31,6.92,650.9,42.28,1.31,0,648.91,40.36,0.23,5.69
0900909-120,09,009,09-120,487.16,30.73,0,3.62,0,492.58,33.44,0,3.62,0,0,457.34,36.15,2.71,474.51,32.54,0,3.62,459.14,37.96,0,0,458.24,29.83,0,4.52
0900909-121,09,009,09-121,855,32,8,4,0,848,48,3,4,1,0,807,44,10,819,42,3,7,814,40,3,0,809,38,3,9
0900909-122,09,009,09-122,965,52,5,6,0,966,77,1,5,0,0,906,72,16,936,61,2,8,937,61,2,0,922,63,2,8
0900909-123,09,009,09-123,1847,191,13,7,0,1777,248,9,41,2,0,1761,260,23,1792,223,13,20,1770,237,20,0,1764,236,18,14
0900909-124,09,009,09-124,1589,184,10,9,0,1502,269,4,32,1,0,1500,242,10,1545,209,3,15,1539,211,13,0,1515,209,6,17
0900909-125,09,009,09-125,914,88,5,6,0,906,128,4,11,0,0,848,126,7,889,104,7,6,875,104,6,0,857,108,9,3
0900909-126,09,009,09-126,947,88,1,5,0,932,101,1,23,1,0,915,91,7,933,89,1,5,928,90,1,0,909,95,2,5
0900909-127,09,009,09-127,915,55,6,7,0,918,83,3,13,1,0,883,74,6,901,70,5,5,894,65,7,0,880,65,4,6
0900909-128,09,009,09-128,329,16,3,0,0,332,24,5,2,0,0,308,25,1,326,20,1,1,312,22,1,0,310,21,1,2
0900909-129,09,009,09-129,514,40,4,2,0,511,62,0,1,0,0,466,42,1,475,43,2,2,468,39,4,0,464,41,2,1
0900909-130,09,009,09-130,1660.54,1730.06,18.87,10.92,0,1272.22,2129.3,15.89,87.4,1.99,0,1340.74,1985.29,39.73,1477.8,1826.39,24.83,29.79,1479.78,1828.38,29.79,0,1449.99,1821.42,34.76,18.87
0900909-131,09,009,09-131,1232.46,1736.94,16.13,15.08,0,906.78,2062.7,14.11,91.6,0.01,0,995.26,1956.71,24.27,1106.2,1809.61,23.17,30.21,1096.22,1808.62,28.21,0,1055.01,1837.58,25.24,19.13
0900909-132,09,009,09-132,1077.46,1114.34,6.96,3.98,0,795.17,1402.61,5.97,72.55,0,0,866.73,1282.34,23.85,938.3,1201.81,11.93,17.89,917.45,1197.84,21.86,0,906.5,1200.82,20.88,13.91
0900909-133,09,009,09-133,1183.29,1393.17,8.99,5,1,874.48,1743.96,10.99,61.96,0,0,942.44,1619.04,16.99,1029.39,1500.11,11.99,22.99,1039.38,1498.11,18.99,0,1006.4,1506.1,25.98,8
0900909-134,09,009,09-134,882.25,445.49,7.05,4.03,0,733.35,569.43,4.04,38.49,0,0,768.83,535.62,15.16,817.31,482.08,8.08,14.12,793.17,502.06,8.15,0,788.1,502.08,10.14,10.09
0900909-135,09,009,09-135,872,713,3,11,0,700,874,4,38,2,0,739,839,14,787,771,9,12,760,796,12,0,780,770,14,5
0900909-136,09,009,09-136,653.32,638.57,4.92,1.97,0,493.93,789.11,5.9,27.55,0.98,0,534.27,744.83,8.86,578.55,685.79,5.9,16.73,563.79,697.6,11.81,0,554.93,702.52,10.82,12.79
0900909-137,09,009,09-137,1291.68,1552.43,12.08,12.03,0,942.07,1900.89,11.1,80.45,0.02,0,1010.73,1809.17,20.14,1133.45,1669.21,16.1,17.27,1131.21,1646.4,23.19,0,1094.07,1663.48,35.18,13.21
0900909-138,09,009,09-138,2130,2037,16,19,0,1712,2444,10,88,2,0,1839,2296,23,1933,2182,11,26,1849,2255,21,0,1884,2217,22,17
0900909-139,09,009,09-139,778,740,11,2,0,658,864,4,31,0,0,668,839,13,712,787,5,9,699,792,12,0,690,802,10,9
0900909-140,09,009,09-140,865.55,833.57,14,9,0,691.44,1003.67,9,35.02,0,0,736.45,948.65,12.01,786.49,888.61,15,10.01,773.49,902.61,19.01,0,779.48,890.61,17.01,8.01
0900909-141,09,009,09-141,2545.72,3955.59,31.18,28.1,0.01,1851.3,4593.1,16.1,191.41,9.01,1,2038.29,4411.65,56.3,2271.78,4113.99,36.28,50.16,2204.48,4127.25,70.33,0,2098.32,4299.11,47.3,27.28
0900909-142,09,009,09-142,764.53,1523.14,12.07,7.06,0,533.43,1756,9.03,71.56,0.01,0.01,578.68,1697.93,17.14,701.38,1537.14,14.08,19.09,671.09,1570.35,23.16,0,700.2,1526.19,26.11,11.08
0900909-143,09,009,09-143,944.47,1561.86,11.93,9.94,0,756.57,1709,4.97,96.44,1.99,0.99,800.32,1696.07,23.86,919.62,1561.86,13.92,14.91,868.91,1597.65,26.84,0,888.8,1569.81,18.89,13.92
0900909-144,09,009,09-144,1445.6,1644.01,22.94,17.97,0,1064.99,2009.85,15.93,110.74,1.98,0,1152.7,1909.23,37.92,1291.9,1713.98,26.93,36.91,1263.8,1740.02,41.95,0,1111.74,1972.08,31.01,15.09
0900909-145,09,009,09-145,586.98,921.29,7.77,6.8,0,433.43,1078.73,3.89,37.9,0,0,459.67,1050.54,13.61,531.59,951.42,8.75,12.63,514.1,965.02,16.52,0,443.15,1071.92,14.58,10.69
0900909-146,09,009,09-146,1074.23,1094.13,21.23,16.18,0,794.48,1373.73,15.16,72.09,1.02,0,841.35,1302.74,23.37,932.72,1194.82,14.27,23.36,950.44,1168.07,30.41,0,793.95,1365.36,24.3,13.15
0900909-147,09,009,09-147,2130.68,2039.83,19.8,14.13,0.01,1777.08,2347.36,10.19,111.23,0.98,0.93,1897.55,2258.17,22.33,1999.69,2118.42,22.18,16.28,1953.41,2154.91,29.75,0,1952.5,2148.99,22.03,20.13
0900909-148,09,009,09-148,2172.01,2293.58,17.59,20.09,0,1750.97,2628.82,14.14,147.39,1.01,0.05,1849.29,2580.05,30.24,2016.61,2370.16,30.13,26.89,1920.18,2476.7,35.22,0,1950.53,2425.74,29.06,26.16
0900909-149,09,009,09-149,633.81,815.19,11.43,7.62,0,500.51,945.32,7.59,33.73,0.01,0.01,547.48,900.47,13.32,587.71,844.92,9.56,6.7,547.92,885.56,6.81,0,571.38,857.36,5.81,8.61
0900909-150,09,009,09-150,349.5,388.78,3.05,2.03,0,258.7,472.59,1.03,23.32,1.01,0,281.89,444.3,7.06,301.25,414.93,7.05,9.04,300.14,413.96,9.06,0,301.06,417.01,7.06,3.05
0900909-151,09,009,09-151,1364.46,872.67,20.72,16.8,0,1121.65,1094.52,10.65,91.69,5.08,0,1139.59,1021.4,36.18,1281.62,908.49,22.95,33.22,1254.97,931.1,43.18,0,1228.4,921.4,40.07,27.57
0900909-152,09,009,09-152,737,577,16,8,0,606,697,11,43,3,0,611,672,19,681,589,19,13,671,589,33,0,652,609,25,10
0900909-153,09,009,09-153,1375.54,1128.33,18.28,20.2,0,1077.35,1402.48,16.35,93.31,1.92,0,1126.41,1323.6,29.82,1253.38,1199.51,24.05,30.78,1237.03,1214.9,29.82,0,1222.6,1222.6,26.93,14.43
0900909-154,09,009,09-154,1505,1301,23,10,1,1365,1599,15,103,3,0,1406,1462,41,1565,1370,24,30,1553,1373,30,0,1541,1364,32,26
0900909-155,09,009,09-155,990,773,13,11,0,770,962,8,72,0,0,831,896,13,914,807,11,15,905,815,17,0,883,834,10,15
0900909-156,09,009,09-156,1401.7,1371.91,17.04,14.05,0,1054.98,1662.59,8.04,29.26,1.01,0,1114.02,1590.3,31.09,1265.44,1443.11,20.06,29.07,1245.41,1445.09,35.09,0,1220.38,1459.04,43.08,22.07
0900909-157,09,009,09-157,900.47,714.81,10.92,11.91,0,722.76,879.62,8.94,62.55,2.98,0,733.68,810.12,21.84,835.94,763.46,14.89,17.87,828.99,757.5,22.83,0,821.04,747.58,20.85,17.87
0900909-158,09,009,09-158,1524.83,1647.4,19.61,12.75,0,1175.73,1998.45,14.71,141.21,2.94,0,1258.1,1870.98,27.46,1415.98,1710.16,19.61,18.63,1367.93,1722.91,26.48,0,1330.67,1747.42,27.46,22.55
0900909-159,09,009,09-159,762.92,902.62,12.93,5.97,0,655.49,1021.94,7.97,46.76,0.01,0,664.47,988.14,10.95,772.79,870.83,9.96,11.95,706.27,925.45,17.91,0,763.85,865.86,16.92,13.91
0900909-160,09,009,09-160,348.68,243.07,5.8,2.49,0,294.58,293.42,4.92,21.34,1.61,0.8,296.5,283.41,6.59,332.8,239,5.8,5.73,326.92,244,6.7,0.8,334.22,234.92,7.45,4.92
0900909-161,09,009,09-161,1229.11,1181.93,24.43,13.61,0,1070.67,1341.49,21.2,73.32,4.38,0.19,1072.32,1304.94,17.61,1189.56,1147.74,26.4,29.42,1156.71,1177.31,37.65,1.19,1180.89,1141.75,38.83,16.25
0900909-162,09,009,09-162,472.62,81.89,2.96,1.97,0,471.63,98.67,0.99,7.89,0,0,450.91,98.66,2.96,467.69,85.83,4.93,4.93,464.72,85.83,4.93,0,466.69,84.85,2.96,1.97
0900909-163,09,009,09-163,855.48,111.39,5.33,4.14,0,811.34,172.11,7.03,16.63,0,0,798.94,143.73,4.22,828.86,125.73,3.12,5.3,815.72,124.03,7.17,0.08,802.04,130.45,7.16,6.12
0900909-164,09,009,09-164,366,159,4,2,0,328,202,3,16,1,0,342,187,3,361,161,1,6,364,160,3,0,360,160,3,1
0900909-165,09,009,09-165,973.76,511.47,10.82,6.89,0,883.27,611.8,5.9,37.38,0,0,888.19,585.24,7.87,940.32,516.39,8.85,8.85,927.54,530.16,13.77,0,927.54,516.39,9.84,9.84
0900909-166,09,009,09-166,686.29,231.38,8.47,3.77,0,651.58,281.25,1.89,16.95,0,0,642.01,267.17,5.65,667.49,241.74,2.86,7.55,661.83,248.3,4.74,1.87,666.52,236.11,4.72,3.77
0900909-167,09,009,09-167,1365.45,1154.83,13.11,16.09,0,1197.94,1355.04,8.11,66.65,4.01,0,1222.49,1299.71,11.21,1358.28,1144.71,14.08,17.18,1302.03,1187.02,18.23,0,1337.33,1139.69,28.2,14.06
0900909-168,09,009,09-168,1142.16,887.89,12.7,11.25,0.12,961.78,1047.9,12.59,75.69,2.45,0,1014.49,1004.63,22.56,1122.22,874.59,11.55,20.75,1083.97,915.47,26.23,0,1117.87,875.13,24.64,9.12
0900909-169,09,009,09-169,969.88,486.39,6.02,2.61,0.85,874.15,591.56,5.13,32.54,3.4,0,863.22,565.04,12.77,948.49,475.39,11.94,6.86,907.65,513.67,17.91,0,910.26,500.79,13.66,8.56
0900909-170,09,009,09-170,548.9,311.66,3.25,4.13,0.02,496.5,376.4,1.19,17.21,1.1,0,492.23,360.44,6.42,540.03,307.39,2.41,6.26,527.78,317.57,6.61,0,523.85,319.1,6.46,5.32
0900909-171,09,009,09-171,1370.89,810.58,15.18,10.13,0,1209.61,975.39,8.02,60.45,2.99,0,1203.5,930.02,26.06,1336.72,792.72,21.98,15.21,1299.71,814.93,26.05,0.05,1321.62,779.79,22.06,17.04
0900909-172,09,009,09-172,1242.15,793.23,8.05,16.89,0,1119.07,945.97,6,45.04,1.02,0,1122.97,887.25,23.96,1233.92,764.4,9.1,17.93,1191.08,824.89,8.15,0,1213.02,775.15,13.06,12.02
0900909-173,09,009,09-173,773.99,504.19,9.91,10,0,702.01,589.24,3.99,52.54,1.98,0,706.97,556.23,12.03,771.95,481.3,9.92,12.96,757.77,494.67,16.79,0,754.05,487.3,12.91,8.96
0900909-174,09,009,09-174,308.43,344.46,0.09,1.99,0,255.21,403.49,1,16.68,0.02,0,248.56,399.41,2.01,293.08,343.33,3.91,6.8,286.28,345.34,6.83,0,288.18,337.62,8.71,1.99
0900909-175,09,009,09-175,50.03,54.81,1,0.09,0,45.59,62.52,0.04,0.75,0,0,45.28,56.34,0.09,45.32,53.76,0.18,2.31,48.01,52.85,0.31,0,47.1,53.5,0.4,0.09
0900909-176,09,009,09-176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0900909-177,09,009,09-177,555.47,112.81,1.96,6.87,0,538.78,149.12,2.95,5.89,0.98,0,516.21,143.22,9.81,523.08,130.48,5.88,10.79,530.93,123.61,7.85,0,525.04,127.53,5.89,5.89
0900909-178,09,009,09-178,326.43,123.52,3.63,3.63,0,308.26,149.88,0.91,16.35,1.82,0,301.88,138.98,7.27,312.78,124.45,4.54,7.27,313.7,123.54,9.08,0,317.32,116.27,7.27,3.64
0900909-179,09,009,09-179,806.16,109.28,3.15,5.19,1.01,776.35,161.65,6.15,8.68,1.07,0,743.8,141.04,8.38,753.25,136.46,4.29,9.33,763.74,130.83,8.44,0,748.64,126.78,5.35,8.25
0900909-180,09,009,09-180,753.8,305.36,9.18,4.28,0,701.01,373.66,4.99,23.17,0.18,0,674.89,353.96,8.55,722.06,303.49,9.27,5.61,709.39,312.23,14.62,0,712.69,299.75,11.5,5.26
0900909-181,09,009,09-181,1103,533,14,9,0,958,691,13,44,2,0,994,620,20,1048,551,15,22,1051,543,26,0,1033,552,20,17
0900909-182,09,009,09-182,1097,568,7,7,0,935,710,10,66,2,0,971,662,17,1037,584,9,21,1032,591,11,0,998,614,14,14
0900909-184,09,009,09-184,1217,466,9,10,0,1107,593,6,34,3,0,1123,530,22,1154,484,12,24,1162,493,16,0,1142,485,15,17
0900909-185,09,009,09-185,795.89,219.48,5.62,4.64,0,735.07,285.93,7.57,19.82,1.12,0,744.55,250.33,9.05,756.4,233.17,5.75,8.09,764.24,225.93,9.6,0,740.02,235.68,7.64,8.93
0900909-186,09,009,09-186,1120.26,382.71,11.76,11.89,0,1032.25,486.46,5.22,28.21,1.07,0,1021.86,456.73,16.97,1057.54,413.81,7.34,18.08,1086.31,397.96,8.16,0,1051.36,411.51,11.1,15.13
0900909-190,09,009,09-190,1609.21,1478.78,22.53,19.28,0,1311.2,1794.54,7.51,91.14,5.25,0,1363.34,1709.63,40.81,1511.47,1546.19,14.53,34.55,1515.52,1534.38,29.06,0,1451.68,1589.18,33.56,22.06
0900909-191,09,009,09-191,897.24,1486.86,9.88,11.78,0,663.77,1681.34,10.76,94.27,1.96,0,691.34,1605.28,16.84,863.64,1483.02,12.8,15.8,821.19,1524.34,16.77,0,846.05,1501.4,13.77,11.85
0900909-192,09,009,09-192,905.51,1947.14,17.25,6.32,0,664.41,2175.16,11.28,88.49,1.05,0,747.04,2035.28,23.43,868.64,1943.03,14.33,19.41,824.53,1975.13,30.42,0,876.13,1925.58,24.34,14.31
0900909-193,09,009,09-193,855.25,1606,12.87,8.9,0,607.82,1846.5,4.96,75.24,0.99,0,635.62,1748.44,25.73,810.72,1609.95,12.87,19.8,758.28,1649.53,19.81,0,803.82,1602.01,12.89,14.85
0900909-194,09,009,09-194,2625,1359,14,9,0,2242,1703,15,81,6,0,2383,1537,43,2438,1447,44,35,2364,1532,54,0,2367,1497,43,33
0900909-195,09,009,09-195,476,286,3,3,0,409,340,1,21,0,0,434,315,8,441,308,2,7,429,322,3,0,433,311,5,4
0900909-196,09,009,09-196,890.76,167.67,3.72,4.62,0,825.1,224.5,4.55,18.28,1.81,0,816.9,219.69,7.37,840.65,180.58,9.97,8.28,845.46,189.4,5.48,0,827.11,194.05,4.61,8.25
0900909-197,09,009,09-197,1129,289,1,5,0,1040,375,7,33,0,0,1040,338,11,1079,303,7,10,1081,298,11,0,1048,311,9,8
0900909-198,09,009,09-198,1208,884,9,14,0,997,1082,2,90,4,0,1070,1001,19,1151,880,14,24,1161,884,23,0,1127,860,25,16
0900909-199,09,009,09-199,847.79,713.22,10.47,9.72,0,687.8,872.46,4.49,44.86,0.75,0,729.66,822.37,17.19,771.53,761.81,10.47,16.45,786.48,744.62,17.94,0,757.32,758.82,19.44,17.94
0901111-001,09,011,11-001,564,594,13,6,0,420,667,10,92,2,0,427,723,12,536,601,15,10,82,616,23,0,497,623,15,15
0901111-002,09,011,11-002,1710.5,1382.11,38.17,19.05,0,1374.09,1612.11,17.12,190.15,2.99,0,1437.18,1659.89,34.38,1601.6,1462.01,30.41,29.45,1574.9,1478.51,47.39,0,1582.23,1469.46,30.52,26.15
0901111-003,09,011,11-003,971.05,828.13,13.07,10.81,0,769.86,962.54,7.02,104.22,5.86,0,822.16,962.99,20.95,905.66,858.85,16.85,22.9,891.55,873.76,24.29,0,899.44,866.59,18.8,15.98
0901111-004,09,011,11-004,1063.62,783.87,20.4,4.86,0,829.53,922.78,9.71,139.87,0.97,0,861.58,983.97,17.48,983,843.13,19.43,14.57,952.89,857.7,24.28,0,961.63,856.72,21.37,8.74
0901111-005,09,011,11-005,293.03,243.74,3.58,0.9,0,219.55,286.75,1.79,0.9,42.12,0,225.82,307.36,4.48,266.14,265.25,2.69,4.48,253.6,267.94,8.06,0,254.49,273.31,2.69,3.58
0901111-006,09,011,11-006,2192,1336,16,13,0,1781,1635,16,141,6,0,1799,1685,25,1946,1491,32,34,1914,1500,3,0,1890,1511,43,27
0901111-007,09,011,11-007,2031,1152,29,12,0,1670,1414,19,147,4,0,1651,1472,39,1863,1257,34,25,1809,1295,44,0,1815,1276,40,20
0901111-008,09,011,11-008,1533,868,19,14,0,1265,1071,10,116,1,0,1278,1098,29,1396,964,17,24,1373,971,22,0,1378,959,22,20
0901111-009,09,011,11-009,483.39,431.95,14.8,5.95,0,364.67,525.73,9.88,59.46,2.96,0,364.72,547.49,13.93,438.86,455.57,12.88,8.96,409.3,485.02,21.89,0,434.92,458.47,17.8,5.03
0901111-010,09,011,11-010,833.83,727.11,16.96,14.96,0,648.31,888.69,11.97,92.76,2.99,0,617.39,948.53,23.94,750.05,775.98,24.94,16.96,714.14,787.95,44.88,0,722.12,784.96,19.95,21.94
0901111-011,09,011,11-011,1302.17,1440.89,33.04,16.04,1,967.69,1675.31,18.03,172.24,3.01,0,964.61,1779.47,34.06,1203.95,1462.02,44.06,25.04,1180.86,1460.05,50.12,0,1158.88,1474.04,41.05,20.06
0901111-012,09,011,11-012,1109,646,20,16,0,918,810,16,94,4,0,904,836,33,1015,697,35,22,1003,709,41,0,980,710,34,25
0901111-013,09,011,11-013,881,354,11,6,0,728,471,6,64,2,0,746,487,16,802,413,14,10,799,424,11,0,778,427,14,6
0901111-014,09,011,11-014,1065,615,25,14,0,858,766,14,100,4,0,899,766,38,974,664,27,28,964,676,40,0,957,675,30,25
0901111-015,09,011,11-015,1192,742,24,9,0,987,901,12,98,3,0,1015,911,23,1093,803,22,22,1088,812,27,0,1070,814,22,23
0901111-016,09,011,11-016,1069.75,721.99,18.98,5.1,0,841.81,885.5,10.02,110.5,0.03,0,863.84,902.88,20.07,963.87,770.92,23.98,17.1,929.98,803.82,25.94,0,941.73,786.79,24.97,11.08
0901111-017,09,011,11-017,1550.52,761.42,13.84,12.86,0,1282.54,939.41,9.89,133.49,2.97,0,1303.31,986.87,22.74,1386.37,883.04,17.8,22.74,1368.57,900.84,15.82,0,1356.7,884.03,17.8,15.82
0901111-018,09,011,11-018,1133,649,13,8,0,939,764,12,117,0,0,934,843,15,1035,720,15,12,995,741,19,0,992,739,19,13
0901111-019,09,011,11-019,1192,1170,31,25,0,940,1297,23,178,4,0,950,1397,44,1132,1193,31,35,1074,1249,46,0,1090,1228,27,30
0901111-020,09,011,11-020,528,489,7,8,0,411,570,8,62,1,0,416,595,21,488,504,16,18,457,524,26,0,460,529,13,11
0901111-021,09,011,11-021,1868.15,1543.22,57.69,24.89,0.99,1484.81,1828.99,32.83,186.22,3.01,0,1484.65,1924.59,42.8,1673.96,1674.62,62.66,34.87,1650.85,1687.69,66.71,0,1646.89,1658.88,58.69,39.82
0901111-022,09,011,11-022,925.17,748.05,15.92,9.91,0,768.62,864,8.96,79.22,3.94,0,747.98,905.57,15.87,841.99,796.64,15.94,16.81,803.57,819.3,26.76,0,805.5,816.26,15.92,14.87
0901111-023,09,011,11-023,618.77,436.19,15.14,5.1,0,510.29,525.27,11.08,40.77,2.04,1,506.08,535.69,14.14,571.97,466.65,16.14,4.17,546.6,485.86,19.25,0,537.64,484.83,15.14,11.14
0901111-024,09,011,11-024,408.01,330.33,6.26,6.84,0,322.52,413.16,5.94,33.13,2.16,0,315.54,436.28,9.86,364.79,357.79,11.39,4.32,360.83,360.72,11.92,0,367.13,347.84,12.43,7.61
0901111-025,09,011,11-025,635,569,11,3,0,469,698,10,63,0,0,464,722,20,580,603,20,10,566,619,22,0,559,614,17,11
0901111-026,09,011,11-026,920.8,550.61,9.11,7.1,0,781.61,653.22,5.09,56.89,0,0.01,810.18,666.97,8.21,855.13,596.95,9.11,8.19,844.8,606.1,15.18,0,834.8,610.17,12.12,10.12
0901111-027,09,011,11-027,456,350,7,6,0,358,424,4,53,2,1,361,442,14,417,364,9,18,412,376,11,0,397,383,10,11
0901111-028,09,011,11-028,592,462,9,4,0,453,572,9,61,1,0,460,588,16,534,499,16,6,516,509,20,0,523,496,21,4
0901111-030,09,011,11-030,512,437,8,9,2,409,512,8,52,1,0,411,535,17,477,456,14,10,474,459,14,1,462,468,12,8
0901111-031,09,011,11-031,383,297,5,5,0,303,357,1,33,2,1,300,367,10,341,318,7,12,343,311,14,0,324,327,9,10
0901111-032,09,011,11-032,308,273,7,6,0,237,324,6,34,4,0,228,352,13,279,295,10,7,276,300,13,0,271,295,14,8
0901111-033,09,011,11-033,2149.22,376.89,22.78,39.05,0,2039.58,504.09,22.64,89.14,2.1,0,1961.15,511.26,73.03,2065.79,421.62,32.78,58.59,2049.51,424.78,46.72,0,1994.97,436.48,24.22,62.72
0901111-034,09,011,11-034,1951.78,426.11,22.22,29.95,0,1790.42,574.91,18.36,89.86,2.9,0,1720.85,579.74,57.97,1825.21,475.38,22.22,45.41,1788.49,480.22,49.28,0,1773.03,471.52,34.78,49.28
0901111-035,09,011,11-035,1258,412,16,13,0,1107,544,7,82,1,0,1063,555,36,1149,459,21,29,1124,495,25,0,1125,471,26,19
0901111-036,09,011,11-036,1325,1191,27,11,0,1021,1397,12,150,1,0,1029,1448,31,1155,1277,39,21,1149,1281,40,0,1133,1283,30,23
0901111-037,09,011,11-037,773.45,559.28,17.78,8.9,0,619.23,662.22,8.91,79.03,0.99,0,622.22,703.6,16.83,746.56,563.39,19.81,14.83,706.19,596.87,24.76,0,695.37,593.92,19.76,13.86
0901111-038,09,011,11-038,1534.84,869.22,26.96,18.59,0,1262.46,1107.2,20.45,111.56,3.72,0,1281.98,1113.71,39.97,1399.12,945.45,51.13,27.89,1399.12,944.52,62.28,0,1406.56,944.52,31.61,34.39
