GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDBLU,G16USSRCAR,G16USSLLIO,G16USSGRUS,G16USSOWRI
0900303-040,09,003,03-040,1714.94,2053.41,165.73,62.32,1,2246.6,1528.76,52.22,40.26,0
0900303-041,09,003,03-041,1964.9,2162.84,145.58,52.26,9.03,2570.17,1521.53,58.21,30.23,0
0900303-042,09,003,03-042,276.02,339.02,29,5,0,369.02,236.01,13,7,0
0900303-043,09,003,03-043,1845.34,1082.33,95.99,43.1,9.79,1855.14,1113.67,35.26,30.36,0
0900303-044,09,003,03-044,91.98,69.16,1.1,0.05,0.01,102.99,52.19,6.04,0.03,0
0900303-045,09,003,03-045,427.65,334.04,36.46,6.9,0,470.02,308.42,11.82,3.94,0
0900303-046,09,003,03-046,511,467,23,11,0,562,420,6,11,0
0900303-047,09,003,03-047,848,649,54,27,2,959,570,25,14,0
0900303-048,09,003,03-048,2174.41,1971.84,158.21,52.72,13.19,2450.5,1801.16,48.03,28.96,0
0900303-049,09,003,03-049,1729.27,1398.67,107.7,44.13,5,1857.37,1356.98,26.67,24.65,0
0900303-050,09,003,03-050,2702.05,1557.86,152.56,52.81,15.65,2958.27,1380.85,57.7,42.05,0
0900303-051,09,003,03-051,139.79,136.77,13.26,0.43,0,147.61,136.94,2.22,2.26,0
0900303-052,09,003,03-052,437.21,304.23,27.74,9.57,0,455.39,308.06,4.78,5.74,0
0900303-053,09,003,03-053,1151.16,855.71,79.16,26.38,3.52,1228.55,863.64,20.23,14.07,0
0900303-054,09,003,03-054,1869.91,1468.3,159.44,37.61,0.39,1988.3,1511.61,35.8,25,0
0900303-056,09,003,03-056,2455.62,1549.56,127.31,69.62,8.95,2685.37,1404.35,41.77,38.79,0
0900303-057,09,003,03-057,2867.19,2694.8,263.81,105.2,20.52,3148.38,2578.48,78.89,79.63,0
0900303-058,09,003,03-058,180.46,209.92,22.1,7.37,0,188.74,220.97,8.29,5.52,0
0900303-059,09,003,03-059,64,1,2,2,0,62,2,0,0,0
0900303-060,09,003,03-060,1890,53,5,14,0,1776,34,8,11,0
0900303-061,09,003,03-061,1850,157,17,38,0,1770,115,17,28,0
