GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
320019501001559,3.5,4.7,0.1,0.1,0.2
320019501001556,0,0,0,0,0
320019501001547,0.8,1.1,0,0,0
320019501001549,1.9,2.5,0.1,0,0.1
320019501001505,0,0,0,0,0
320019501001468,0,0,0,0,0
320019501001079,0,0,0,0,0
320019501001485,0,0,0,0,0
320019501001537,0,0,0,0,0
320019501001557,0.8,1.1,0,0,0
320019506001228,0,0,0,0,0
320019506001119,0,0,0,0,0
320019506001214,0.9,3.4,0.1,0,0
320019507001016,0,0,0,0,0
320019507001039,0,0,0,0,0
320019507001033,0,0,0,0,0
320019507001193,2.8,13.4,0.4,0,0.1
320019507001053,0,0,0,0,0
320019507001198,0,0,0,0,0
320019507003215,0,0,0,0,0
320019501002107,0,0,0,0,0
320019507001265,0.1,0.7,0,0,0
320019505002034,0,0,0,0,0
320019506001261,1.2,4.5,0.1,0,0
320019505002129,1.3,3.9,0.1,0,0.1
320019507001337,0,0,0,0,0
320019505001085,0,0,0,0,0
320019505001096,0,0,0,0,0
320019507004027,2.6,8.6,0.2,0,0.1
320019507004025,1,3.4,0.1,0,0
320019503013017,2.8,4.9,0.2,0.1,0.1
320019507004053,0.8,3.6,0.1,0,0
320019501001616,10.7,19,0.8,0.2,0.5
320019507004064,0.9,4.1,0.1,0,0
320019501002007,0.3,0.9,0,0,0
320019507003100,0,0,0,0,0
320019507003104,0,0,0,0,0
320019507003123,0,0,0,0,0
320019507001143,0,0,0,0,0
320019507001098,0.1,0.6,0,0,0
320019507001063,0,0,0,0,0
320019507001102,0,0,0,0,0
320019507001170,0,0,0,0,0
320019507001389,0,0,0,0,0
320019506001213,0,0,0,0,0
320019507001327,0,0,0,0,0
320019501001786,0,0,0,0,0
320019501001472,0,0,0,0,0
320019501001489,0,0,0,0,0
320019501001501,0,0,0,0,0
320019501001508,0,0,0,0,0
320019501001509,0,0,0,0,0
320019501001496,0,0,0,0,0
320019501001506,0,0,0,0,0
320019501001518,0,0,0,0,0
320019501001470,0,0,0,0,0
320019501001427,0,0,0,0,0
320019501001429,0,0,0,0,0
320019501001443,0,0,0,0,0
320019501001444,0,0,0,0,0
320019501001785,0,0,0,0,0
320019501001151,0,0,0,0,0
320019501001152,0,0,0,0,0
320019501002139,0,0,0,0,0
320019505002022,0,0,0,0,0
320019505002053,0,0,0,0,0
320019505002125,0,0,0,0,0
320019505002052,0,0,0,0,0
320019505002120,0,0,0,0,0
320019505002015,0,0,0,0,0
320019503022017,1.9,4.9,0.3,0,0.1
320019503024005,2.7,7.1,0.4,0.1,0.2
320019507003152,0,0,0,0,0
320019507003132,0.8,3.6,0.1,0,0
320019507003138,0,0,0,0,0
320019507003198,0,0,0,0,0
320019507003234,0,0,0,0,0
320019507003185,0,0,0,0,0
320019507003192,0,0,0,0,0
320019507001091,0,0,0,0,0
320019501001739,0,0,0,0,0
320019501001734,0,0,0,0,0
320019501001774,0,0,0,0,0
320019501001777,0,0,0,0,0
320019501001784,0,0,0,0,0
320019501001793,0,0,0,0,0
320019501001517,0.8,1.1,0,0,0
320019501001491,0,0,0,0,0
320019501001551,0.5,0.7,0,0,0
320019503021002,12.7,29.7,2.2,0.1,0.8
320019503013001,1.1,2,0.1,0,0.1
320019507004031,9.6,32,0.8,0.1,0.2
