GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREOFUE,G20PREOLAR,G20PREOCAR,G20PREOWRI,G20USSDREE,G20USSRWAT,G20USSOWRI
44007441010,44,007,441010,1336,635,10,2,2,2,8,1427,491,2
44007441011,44,007,441011,1149.97,631.84,12.85,6.92,1.98,2.97,14.83,1214.25,505.28,4.94
44007441012,44,007,441012,589.88,315.4,13.97,3.99,2.99,5.99,2.99,638.79,265.5,1
44007441013,44,007,441013,1058.94,568.18,24.26,5.19,3.41,3.27,10.96,1116.33,465.53,9.2
44007441014,44,007,441014,1057.17,626.27,21.1,4.02,2.02,2.02,8.04,1136.44,502.86,5.03
44007441015,44,007,441015,480,212,5,0,2,0,3,504,167,0
44007441016,44,007,441016,600.49,431.68,10.36,2,0.02,3.08,9.23,665.53,351.17,0.08
44007441017,44,007,441017,1054.51,710.32,15.51,5.98,7.97,3.05,8.26,1129.94,591.49,4.04
44007441018,44,007,441018,399.4,249.06,4.08,4.04,3.01,2.02,7.1,433.81,198.25,1.03
44007441201,44,007,441201,625.86,817.55,19.17,4.79,1.92,2.88,3.83,693.91,715.95,0
44007441202,44,007,441202,598.82,760.24,14.75,5.18,0.08,1.12,5.14,636.57,687.24,1.99
44007441301,44,007,441301,901.33,1178.26,21.32,6.04,3.01,3.04,16.13,992.24,1044.25,5.02
44007441302,44,007,441302,923,1187,25,2,2,4,15,1020,1066,2
44007441303,44,007,441303,192.65,268.51,5.99,0,0,0,1,200.64,247.55,1
44007441304,44,007,441304,696.09,787.39,11.33,2.18,1.06,1.12,6.4,786.03,668.12,1.18
44007441601,44,007,441601,570.26,603.87,4.18,3.92,0.17,2.05,4.01,657.48,473.48,0.09
44007441602,44,007,441602,565.76,699.47,5.99,1,2,2,9.98,694.48,511.88,2
44007441603,44,007,441603,693.24,661.53,8.01,3,3,0,3.02,809.52,505.12,1
44007441604,44,007,441604,645.88,850.01,4.01,6.01,1,0,6.01,778.03,664.8,3
44007441605,44,007,441605,565,762,8,0,1,7,1,683,603,2
44007441606,44,007,441606,149,156,2,1,0,0,2,186,111,1
44007441607,44,007,441607,205.71,247.98,4.17,1.08,1.06,1.02,2.14,250.63,184.62,0.05
44007441608,44,007,441608,733.6,746.04,9.76,4.87,2.92,0,8.77,866.53,552.53,2.94
44007441609,44,007,441609,508.13,669.45,7.04,1.03,0.02,0,3.05,653.44,461.97,4
44007441610,44,007,441610,846.08,961.59,11.81,0.98,3.94,0,3.95,1013.33,741.11,3.94
44007441611,44,007,441611,451.89,458.88,8,0,0,2,3,541.86,338.91,0
44007441612,44,007,441612,441.11,658.12,5,1,0,3,6,559.14,510.09,1
44007441613,44,007,441613,517.65,727.55,10.11,0.02,0,1.01,5.05,627.61,571.37,1.01
44007441701,44,007,441701,1009.06,1185.93,18.36,5.8,0,2.9,20.3,1174.34,986.83,5.8
44007441702,44,007,441702,584.63,416.53,16.01,2,1,1,5.01,643.72,348.42,1
44007441703,44,007,441703,707,638,20,4,3,1,12,810,528,5
44007441704,44,007,441704,1020.58,818.53,21.29,6.81,2.94,3.89,7.77,1151.51,668.33,1.95
44007441705,44,007,441705,771.42,609.34,16.01,0,1,6,3,844.47,512.26,1
44007441706,44,007,441706,216.93,193.55,5.04,1.01,1,0,1.04,252.34,155.05,0.01
44007441707,44,007,441707,229,206,1,1,0,1,0,255,161,1
44007441708,44,007,441708,936.66,785.03,13.97,2.95,1.02,0.02,10.84,1064.34,626.94,3.95
44007441709,44,007,441709,357,317,12,2,0,0,4,408,258,1
44007441710,44,007,441710,438.87,294.68,5.95,2.23,1.09,1.15,3.39,495.67,227.95,0.24
44007441711,44,007,441711,369.17,275.51,0.1,0.04,0.02,1.9,2.88,410.58,216.13,1.88
44007442401,44,007,442401,480.94,327.37,11.4,0.04,2.8,1.95,7.63,533.99,249.25,3.81
44007442402,44,007,442402,710.88,450.95,8.89,2.96,2.97,3.96,4.97,750.62,362.8,3.95
44007442403,44,007,442403,665,511,11,0,1,3,6,742,373,4
44007442404,44,007,442404,404.48,283.14,7.89,1.97,0,0.99,2.96,453.81,212.11,0.99
44007442405,44,007,442405,541.48,369.84,11.11,0.03,1,1.01,4.04,586.15,291.87,4.01
44007442406,44,007,442406,752,531,8,0,1,2,6,819,410,1
44007442407,44,007,442407,685,634,3,3,1,3,1,778,475,3
44007442408,44,007,442408,679.25,446.19,7.1,2.01,3.03,0,3.03,750.66,330.33,1.03
44007442409,44,007,442409,375.67,231.18,1.99,0,1,0,3.99,398.59,171.39,1
44007442410,44,007,442410,548.61,430.33,2.17,0,2.07,1,5.1,635.86,298.54,1.02
44007442411,44,007,442411,648.13,641.15,9.97,1,1,0,1.99,746.84,464.66,6.98
44007442412,44,007,442412,653.34,510.91,15.62,2.76,3.68,2.76,2.76,736.96,373.07,2.76
44007442413,44,007,442413,388.92,316.07,10.61,1.05,2.87,0.01,3.03,452.21,223.59,2.93
44007442414,44,007,442414,405.4,296.05,6.86,0.06,3.16,0.03,4.1,454.69,223.87,1.03
44007442415,44,007,442415,491.53,304.25,8.97,3,3.99,0.03,5.08,549.87,218.05,0.06
44007442416,44,007,442416,1048.92,815.88,18.91,1.16,0.21,3.16,4.16,1211.95,602.56,2.18
44007442501,44,007,442501,766.64,883.49,30.09,2,1.02,1.02,8.04,867.07,765.82,1
44007442502,44,007,442502,892.9,902.82,10.22,4.05,2.01,4.03,6.14,982.9,770.32,3.01
44007442503,44,007,442503,740.5,745.59,21.07,0.01,4.01,2,6.03,835.84,626.08,1.01
44007442504,44,007,442504,738.15,655.1,13.83,3.95,0,1.98,9.88,801.38,561.21,0.99
44007442505,44,007,442505,389.53,372.88,9.86,0,1.97,1.97,3.94,434.9,301.82,0
44007442601,44,007,442601,274.88,87.5,2.98,4.96,1.98,0,2.98,268.98,65.64,1.98
44007442602,44,007,442602,556.13,132.51,0.93,0,0,0.93,0.93,544,86.79,2.8
44007442603,44,007,442603,1166.73,466.02,9.01,3,5,3.97,13.93,1180.22,339.25,5.95
44007442604,44,007,442604,570.5,258.66,2.91,2.88,0.01,0,4.81,578.38,205.69,1.91
44007442605,44,007,442605,408,109,1,0,3,1,2,381,73,3
44007442606,44,007,442606,501.88,123.97,2,0,2,0,2,461.89,76.98,3
44007442607,44,007,442607,1478.53,274.02,16.76,1.97,7.89,1.97,4.93,1421.36,224.74,4.93
44007442608,44,007,442608,1245.2,262.82,8.1,3.99,4.08,7.01,9.11,1221.68,212.85,1.04
44007442609,44,007,442609,141.72,45.49,0.87,0.87,0.87,0.87,1.75,140.84,28.87,0
44007442610,44,007,442610,112,21,1,0,0,1,2,107,13,0
44007442611,44,007,442611,558.32,139.48,2.29,3.17,3.2,2.19,4.25,536.94,89.24,2.04
44007442612,44,007,442612,698,344,10,2,2,4,3,715,260,5
44007442613,44,007,442613,973.83,339.64,11.02,0.32,10.42,4.12,9.54,948.72,254.86,7.1
44007442614,44,007,442614,846,273,2,1,2,2,4,834,188,4
44007442615,44,007,442615,359,81,3,0,1,0,1,351,54,5
