GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
44007012898,3744,15,3702,15,5,2,19,2846,10,2809,10,4,1,12,735.71,1014.37,NA,NA,52480,NA,NA,00810,1,1
44007013001,3317,19,3290,19,1,3,4,2392,12,2360,12,1,3,4,453.78,565.3,NA,54460,11800,NA,NA,00090,2,1
44007013002,7429,22,7370,22,15,12,10,5367,13,5315,13,8,11,7,1018.17,1268.39,NA,54460,11800,NA,NA,00090,2,1
44007013101,4157,16,4117,16,11,5,8,2971,6,2946,6,6,3,4,648.64,925.68,NA,NA,30340,00450,00420,NA,2,2
44007013102,5070,30,5002,30,21,8,8,3753,17,3700,17,7,6,6,819.36,1169.32,NA,NA,30340,00450,00420,NA,2,2
44007013701,4107,108,3911,108,51,6,31,3286,70,3082,70,39,5,20,819.44,1134.36,NA,19180,19180,NA,NA,00240,2,2
44007013702,2802,32,2653,32,13,5,99,2225,27,2091,27,9,3,68,554.85,768.09,NA,19180,19180,NA,NA,00240,2,2
44007016797,815,112,605,112,63,5,14,648,64,475,64,32,3,10,161.56,127.48,NA,54640,54640,NA,NA,00840,1,1
44007016798,3244,276,2849,276,83,13,14,2674,177,2251,177,50,10,9,666.69,526.06,NA,54640,54640,NA,NA,00840,1,1
44009000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,50500,NA,NA,01170,2,2
44009000415,836,8,815,8,5,1,7,680,7,657,7,3,1,5,340,405,NA,NA,50500,NA,NA,00690,2,2
44009000502,880,38,741,38,70,3,28,568,22,457,22,45,3,19,130.55,206,NA,NA,51580,NA,NA,00750,2,2
44009000505,5461,30,5333,30,41,36,17,3954,17,3847,17,30,29,14,797,1155,NA,NA,25300,00360,NA,NA,2,2
44009000506,5351,48,5204,48,23,40,34,3809,23,3703,23,15,24,21,878,1176,NA,NA,61160,NA,NA,00150,2,2
44009000507,6873,45,6740,45,18,53,17,5057,23,4944,23,16,37,14,972,1631,NA,34660,35380,NA,NA,00150,2,2
44009000509,9833,86,9581,86,50,41,74,7299,61,7067,61,30,28,52,1659.83,1989.01,NA,76820,77000,NA,NA,01170,2,2
44009000510,1989,7,1969,7,3,6,2,1676,4,1660,4,3,4,1,381.13,456.72,NA,NA,77000,NA,NA,01170,2,2
44009000512,6920,85,6349,85,133,272,79,5212,58,4774,58,89,180,53,965.16,1189.26,NA,73130,67460,NA,NA,01020,2,2
44009000514,5535,130,5046,130,137,18,196,5556,130,4963,130,133,17,183,1028.86,1267.75,NA,38980,67460,NA,NA,01020,2,2
44009050102,1829,8,1758,8,26,2,35,1435,8,1376,8,19,2,22,329.83,520.45,NA,NA,51580,NA,NA,00750,2,2
44009050103,6770,106,6430,106,104,42,79,5074,66,4793,66,65,27,57,1166.25,1840.26,NA,NA,51580,NA,NA,00750,2,2
44009050104,2225,21,2179,21,10,1,12,1638,13,1595,13,8,1,8,376.49,594.08,NA,NA,51580,NA,NA,00750,2,2
44009050299,8,0,8,0,0,0,0,8,0,8,0,0,0,0,1.84,2.9,NA,NA,51580,NA,NA,00750,2,2
44009050301,3887,32,3796,32,18,15,26,2914,20,2837,20,11,9,17,669.78,1056.86,NA,NA,51580,NA,NA,00750,2,2
44009050302,2914,11,2827,11,46,16,14,2300,6,2249,6,23,8,8,528.65,834.17,NA,NA,51580,NA,NA,00750,2,2
44009050401,2486,12,2427,12,15,13,19,1741,8,1690,8,13,10,12,400.16,631.43,NA,NA,51580,NA,NA,00750,2,2
44009050402,2787,25,2720,25,17,6,19,2186,16,2126,16,11,4,13,502.45,792.83,NA,NA,51580,NA,NA,00750,2,2
44009050801,6240,62,5994,62,55,21,107,4884,42,4677,42,36,15,72,1110.65,1330.91,NA,76820,77000,NA,NA,01170,2,2
