GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
28151000005,507,1,49,1,456,1,0,372,1,47,1,322,1,0,77.15,99.98,NA,29180,92160,01620,2,3
28151000006,4874,24,226,24,4601,1,22,3005,13,174,13,2785,1,19,623.24,807.63,NA,29180,92160,01620,2,3
28151000007,7594,31,6915,31,579,5,64,5550,26,5132,26,308,5,53,1151.07,1491.63,NA,29180,92160,01620,2,3
28151000008,3748,41,2816,41,838,8,45,2488,20,1949,20,462,3,34,516.01,668.68,NA,29180,90684,04680,2,3
28151000009,3064,31,2502,31,521,6,4,2334,21,1968,21,317,5,2,484.07,627.29,NA,29180,91422,01620,2,3
28151000010,2346,10,509,10,1821,1,5,1518,4,457,4,1049,0,4,314.83,407.98,NA,29180,90684,01620,2,3
28151000011,3078,30,106,30,2923,4,15,1927,14,91,14,1792,4,12,399.66,517.9,NA,29180,91422,01620,2,3
28151000012,3810,4,103,4,3693,4,5,2578,3,101,3,2465,2,4,534.68,692.87,NA,29180,93636,01620,2,3
28151000013,3504,39,811,39,2653,1,0,2011,20,556,20,1414,1,0,417.08,540.48,NA,29180,92898,01620,2,3
28151000014,4286,20,3707,20,545,5,9,3222,13,2891,13,291,5,9,668.24,865.95,NA,29180,93636,01620,2,3
28151000015,1185,3,870,3,308,1,3,811,3,613,3,189,1,2,168.2,217.97,NA,40280,91422,02610,2,3
28151000016,2711,10,1026,10,1665,2,8,1797,6,769,6,1007,1,8,372.7,482.96,NA,40280,92898,02610,2,3
28151000017,3925,15,1566,15,2342,1,1,2517,8,1112,8,1387,1,1,522.03,676.47,NA,40280,92898,02610,2,3
28151000018,531,6,273,6,252,0,0,347,4,174,4,165,0,0,71.97,93.26,NA,NA,93636,02610,2,3
28151000019,1576,7,492,7,1065,1,11,1019,5,365,5,634,1,9,211.34,273.87,NA,1820,93636,01890,2,3
28151000020,3660,7,884,7,2753,0,16,2324,4,677,4,1625,0,14,482,624.6,NA,32900,93636,01890,2,3
28151000021,2623,31,1975,31,601,4,12,1764,22,1336,22,376,1,7,365.85,474.1,NA,NA,91422,04680,2,3
28151000022,1236,16,560,16,656,0,4,845,11,415,11,406,0,2,175.25,227.1,NA,NA,90684,04680,2,3
28151000499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,92160,01620,2,3
28153009501,4675,26,2420,26,2218,3,6,3131,22,1710,22,1371,2,4,663.95,1102.41,NA,78360,91431,04530,5,1
28153009502,5640,17,2807,17,2796,3,17,3825,8,2130,8,1662,3,14,811.12,1346.76,NA,78360,92169,04530,5,1
28153009503,4510,16,3732,16,759,3,0,3240,12,2734,12,479,3,0,687.07,1140.78,NA,NA,92907,04530,5,1
28153009504,4692,16,3510,16,1147,10,9,3272,8,2549,8,696,7,4,693.85,1152.05,NA,70320,90693,04530,5,1
28155009501,4090,27,3368,27,684,2,8,3029,18,2571,18,415,1,6,593.78,1300.1,NA,45720,92916,04560,1,2
28155009502,4072,30,3291,30,749,0,2,3020,18,2485,18,497,0,2,592.01,1296.24,NA,23420,91440,04560,1,2
28155009503,2060,0,1255,0,805,0,0,1460,0,994,0,466,0,0,286.21,626.66,NA,23420,90702,04560,1,2
28157009501,4289,21,1774,21,2480,12,0,2994,15,1372,15,1583,9,0,1101.17,763.78,NA,12740,92187,04710,4,5
28157009502,5389,24,1329,24,4031,3,2,3768,18,1014,18,2713,3,2,1385.83,961.22,NA,81120,91449,04710,4,5
28159009501,3187,6,2169,6,972,38,2,2270,4,1629,4,615,18,0,568.9,750.01,NA,42280,92196,02700,3,4
28159009502,4065,8,2085,8,1966,5,1,2894,3,1619,3,1264,4,1,725.29,956.19,NA,42280,92934,02700,3,4
28159009503,4081,18,1640,18,2410,2,11,2771,12,1321,12,1417,2,7,694.46,915.55,NA,42280,90720,02700,3,4
28159009504,4195,20,2642,20,1525,7,1,2990,14,2029,14,930,2,1,749.35,987.9,47980,42280,90720,02700,3,4
28159009505,3905,18,2585,18,1191,110,1,2837,10,1997,10,768,52,0,711,937.35,47980,52880,91458,02700,3,4
28161009501,3427,12,2222,12,1189,2,2,2530,7,1735,7,778,2,1,623.78,822.02,NA,14740,93681,01140,1,2
28161009502,4376,19,2760,19,1583,8,6,3168,9,2150,9,991,6,3,781.08,1029.31,NA,78000,90729,04500,1,2
28161009503,4230,22,2466,22,1740,0,2,3006,17,1873,17,1097,0,2,741.14,976.67,NA,53200,92943,01140,1,2
28163009501,4200,7,2042,7,2150,0,1,2876,5,1522,5,1343,0,1,833.66,980.28,NA,81520,91476,04800,2,3
28163009502,4222,21,2141,21,2044,1,15,2838,15,1612,15,1185,1,10,822.64,967.32,NA,81520,91476,04770,2,3
28163009503,4259,21,1845,21,2361,5,27,2943,19,1454,19,1426,3,22,853.08,1003.11,NA,81520,92952,04770,2,3
28163009504,2406,22,1495,22,888,1,0,1669,14,1092,14,548,1,0,483.79,568.87,NA,65680,90738,04800,2,3
28163009505,5148,23,747,23,4360,13,5,3256,13,583,13,2637,7,3,943.81,1109.8,NA,81520,92214,04770,2,3
28163009506,5271,9,3653,9,1598,10,1,3719,4,2674,4,1029,8,0,1078.02,1267.61,NA,5380,90738,04800,2,3
