GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
48113007903,2574,493,1661,493,357,13,47,2358,302,1480,302,228,9,37,310.47,416.75,NA,19000,92785,NA,16230,21,8
48113007905,4094,295,3393,295,329,9,64,4114,238,3304,238,266,9,59,541.68,727.11,NA,19000,92785,NA,16230,21,8
48113007906,1460,26,1430,26,1,3,0,1201,21,1155,21,1,3,0,158.13,212.27,NA,19000,92785,NA,23250,21,8
48113007907,3791,294,3074,294,269,18,131,3865,270,2970,270,220,17,118,508.9,683.1,NA,19000,92785,NA,16230,21,8
48113007908,5447,290,4685,290,282,10,180,5646,276,4654,276,261,6,173,743.4,997.88,NA,19000,92785,NA,16230,21,8
48113008601,1107,54,8,54,1044,1,0,738,27,6,27,677,1,0,97.17,130.43,NA,19000,93675,NA,16230,16,30
48113008602,2588,409,105,409,2041,9,19,1847,229,86,229,1285,7,11,243.19,326.44,NA,19000,93675,NA,45960,16,30
48113008701,5189,78,112,78,4991,1,3,3413,41,95,41,3232,1,3,449.38,603.22,NA,19000,93675,NA,16230,16,30
48113008703,2993,281,31,281,2672,3,0,2269,157,29,157,1923,3,0,298.75,401.02,NA,19000,93675,NA,16230,16,30
48113008704,5153,83,156,83,4907,5,0,3395,42,153,42,3156,2,0,447.01,600.04,NA,19000,93675,NA,16230,16,30
48113008705,1924,214,38,214,1665,0,1,1455,117,35,117,1185,0,1,191.58,257.16,NA,19000,93675,NA,16230,16,30
48113008801,2862,24,29,24,2802,7,0,2262,12,29,12,2203,6,0,297.83,399.79,NA,19000,93675,NA,16230,16,30
48113008802,6071,129,47,129,5883,6,2,4230,77,41,77,4029,4,2,556.95,747.61,NA,19000,93675,NA,16230,16,30
48113009001,1169,190,668,190,293,14,3,936,110,506,110,196,11,3,123.24,165.43,NA,19000,92785,NA,16230,23,10
48113009002,4343,764,2741,764,804,15,10,3593,454,2172,454,492,14,7,473.08,635.03,NA,19000,92785,NA,16230,23,10
48113009101,5058,815,2040,815,2165,19,14,3831,483,1736,483,1104,15,10,504.42,677.09,NA,19000,92785,NA,16230,23,10
48113009102,7832,1690,3348,1690,2729,11,31,6433,980,2728,980,1711,11,23,847.02,1136.97,NA,19000,92785,NA,16230,23,30
48113009201,4830,805,3283,805,698,17,21,4021,474,2626,474,420,17,10,529.44,710.67,NA,19000,92785,NA,16230,23,10
48113009202,4397,1105,2686,1105,564,19,13,3644,625,2055,625,318,12,9,479.8,644.04,NA,19000,92785,NA,16230,23,10
48113009301,3194,1088,1678,1088,400,13,10,2805,612,1325,612,238,10,8,369.33,495.76,NA,19000,92785,NA,16230,23,10
48113009303,4317,2579,620,2579,1075,5,13,4075,1421,480,1421,740,5,8,536.55,720.22,NA,19000,92785,NA,16230,23,30
48113009304,5110,797,460,797,3846,5,1,3675,464,373,464,2369,4,1,483.88,649.52,NA,19000,92785,NA,16230,23,30
48113009401,3161,1022,1981,1022,126,12,16,3172,690,1690,690,78,10,14,417.65,560.62,NA,19000,92785,NA,16230,21,8
48113009402,2209,285,1875,285,12,11,22,2105,224,1629,224,7,6,15,277.16,372.04,NA,19000,92785,NA,16230,21,8
48113009603,4744,201,4339,201,126,4,72,3964,160,3495,160,92,4,53,521.93,700.6,NA,19000,92785,NA,16230,21,8
48113009604,4045,191,3468,191,304,8,72,3703,150,3097,150,239,7,60,487.57,654.47,NA,19000,92785,NA,16230,21,30
48113009605,2774,570,1856,570,187,6,143,2609,385,1609,385,115,6,109,343.52,461.12,NA,19000,92785,NA,16230,18,8
48113009606,5843,2032,2855,2032,557,25,367,5937,1383,2510,1383,358,20,283,781.71,1049.31,NA,19000,92785,NA,16230,18,8
48113009607,3114,241,2735,241,67,4,67,2772,179,2313,179,49,4,48,364.98,489.93,NA,19000,92785,NA,16230,21,8
48113009608,4752,487,3338,487,727,9,187,3908,326,2722,326,391,8,135,514.56,690.7,NA,19000,92785,NA,16230,21,8
48113009609,2982,126,2774,126,41,14,27,2538,85,2306,85,34,11,17,334.17,448.57,NA,19000,92785,NA,16230,21,8
48113009701,3564,950,2359,950,149,27,68,3439,663,1942,663,102,18,51,452.81,607.81,NA,19000,92785,NA,16230,18,8
48113009702,2994,173,2746,173,29,6,40,2608,140,2269,140,24,6,29,343.39,460.94,NA,19000,92785,NA,16230,21,8
48113009801,7961,3568,2089,3568,2098,36,161,7851,2285,1801,2285,1329,28,123,1033.72,1387.59,NA,19000,92785,NA,16230,23,30
48113009802,4600,2429,1461,2429,624,22,51,5131,1679,1246,1679,469,17,41,675.59,906.86,NA,19000,92785,NA,16230,23,30
48113010101,4242,1065,10,1065,3161,1,0,3648,618,7,618,2404,1,0,480.32,644.75,NA,19000,93675,NA,16230,16,30
48113010102,3649,3264,104,3264,255,14,0,4139,1936,79,1936,176,12,0,544.97,731.53,NA,19000,93675,NA,16230,16,24
48113010701,2901,1831,1007,1831,21,23,5,2970,1052,828,1052,16,17,5,391.05,524.92,NA,19000,93675,NA,16230,16,24
48113010702,5394,2172,1297,2172,1660,27,220,4564,1258,1030,1258,871,19,128,600.93,806.65,NA,19000,93675,NA,16230,16,30
48113010801,5816,1628,2138,1628,1524,55,466,4964,982,1767,982,900,35,298,653.6,877.34,NA,19000,93675,NA,16230,16,24
48113010802,5806,1185,1119,1185,3468,9,17,4446,727,984,727,1991,7,10,585.39,785.79,NA,19000,93675,NA,16230,16,30
48113010803,6529,644,2432,644,3347,7,92,5194,413,2202,413,2104,5,57,683.88,917.99,NA,19000,93675,NA,16230,16,30
48113011001,6887,164,1306,164,5363,16,33,5166,115,1219,115,3682,14,21,680.2,913.04,NA,19000,93675,NA,16230,16,30
48113011002,3216,77,807,77,2322,1,8,2545,50,762,50,1675,1,7,335.09,449.81,NA,19000,93675,NA,16230,16,30
48113011101,4153,42,428,42,3673,5,5,2929,29,408,29,2454,4,5,385.65,517.67,NA,19000,93675,NA,16230,16,30
48113011103,3518,533,849,533,2124,8,3,2780,323,728,323,1401,2,3,366.04,491.34,NA,19000,93675,NA,16230,16,30
48113011104,3958,158,245,158,3552,2,0,2806,118,227,118,2341,2,0,369.46,495.93,NA,19000,93675,NA,16230,16,30
48113011105,4587,128,195,128,4255,8,0,2918,83,173,83,2574,5,0,384.21,515.73,NA,19000,93675,NA,16230,16,30
48113011401,3822,71,52,71,3690,4,5,2471,41,46,41,2336,3,4,325.35,436.73,NA,19000,93675,NA,16230,16,30
