GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
42101000072,6112,47,114,47,5897,13,33,4290,34,103,34,4082,12,25,1266.72,626.39,60000,60000,18990,23,2
42101000073,3722,19,57,19,3531,27,84,2620,16,54,16,2476,14,44,773.61,382.55,60000,60000,18990,23,2
42101000074,5445,37,90,37,5268,15,33,3901,29,83,29,3726,12,22,1151.86,569.59,60000,60000,18990,13,2
42101000075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,60000,18990,23,2
42101000076,416,3,188,3,222,0,1,357,1,159,1,196,0,0,105.41,52.13,60000,60000,18990,13,2
42101000077,2253,39,1132,39,859,2,220,1993,28,1083,28,651,2,201,588.48,291,60000,60000,18990,13,2
42101000078,4776,113,1965,113,2430,17,232,4066,98,1750,98,1952,15,153,1200.58,593.69,60000,60000,18990,23,2
42101000079,4729,90,1907,90,2463,9,253,4024,74,1707,74,1975,7,187,1188.17,587.55,60000,60000,18990,23,2
42101000080,5031,20,166,20,4780,20,41,3845,16,150,16,3618,16,29,1135.32,561.42,60000,60000,18990,23,2
42101000081,9314,69,91,69,9102,15,31,6935,45,88,45,6722,12,23,2047.71,1012.59,60000,60000,18990,23,2
42101000082,8020,41,109,41,7771,32,50,6208,26,104,26,5994,25,33,1833.05,906.44,60000,60000,18990,23,2
42101000083,10336,62,155,62,9911,28,176,8157,47,136,47,7740,27,160,2408.53,1191.02,60000,60000,18990,23,2
42101000084,5286,40,57,40,5143,16,29,4050,30,53,30,3904,12,21,1195.85,591.35,60000,60000,18990,23,2
42101000085,7761,76,94,76,7508,9,66,5873,53,80,53,5638,8,41,1734.13,857.53,60000,60000,18990,23,2
42101000086,6685,126,1293,126,4489,23,735,5255,101,1185,101,3410,18,440,1551.65,767.29,60000,60000,18990,23,2
42101000087,7249,247,4009,247,1515,36,1420,6732,217,3825,217,1251,27,1195,1987.77,982.95,60000,60000,18990,13,2
42101000088,9190,346,6198,346,1162,59,1397,9192,338,6111,338,1018,52,1335,2714.14,1342.14,60000,60000,18990,13,2
42101000089,2786,148,1909,148,295,22,410,2842,142,1883,142,246,22,407,839.16,414.97,60000,60000,18990,13,2
42101000090,4473,88,3220,88,817,17,322,4286,73,3130,73,682,17,311,1265.54,625.81,60000,60000,18990,23,2
42101000091,2968,43,1125,43,1651,6,140,2705,38,1063,38,1428,6,132,798.71,394.96,60000,60000,18990,23,2
42101000092,3197,20,154,20,2914,4,102,2169,13,147,13,1934,4,58,640.45,316.7,60000,60000,18990,23,2
42101000093,4922,83,52,83,4740,20,25,3794,51,43,51,3616,16,17,1120.26,553.97,60000,60000,18990,23,2
42101000094,4226,47,26,47,4121,15,13,3123,36,26,36,3001,15,9,922.13,456,60000,60000,18990,23,2
42101000095,3877,33,18,33,3786,15,15,2929,18,18,18,2851,12,12,864.85,427.67,60000,60000,18990,23,2
42101000096,4915,45,176,45,4631,11,45,3707,36,157,36,3443,8,27,1094.57,541.27,60000,60000,18990,23,2
42101000097,89,2,75,2,10,0,2,79,2,66,2,8,0,1,23.33,11.53,60000,60000,18990,8,2
42101000098,7271,82,6645,82,153,7,374,5994,62,5496,62,106,4,264,1769.86,875.2,60000,60000,18990,8,2
42101000099,366,1,288,1,72,0,5,298,1,233,1,61,0,2,87.99,43.51,60000,60000,18990,8,2
42101000100,3882,82,3464,82,257,6,72,3321,72,2966,72,165,4,42,980.6,484.91,60000,60000,18990,8,2
42101000101,6389,94,448,94,5751,39,42,4835,56,390,56,4271,33,29,1427.64,705.97,60000,60000,18990,23,2
42101000102,3231,31,10,31,3165,3,21,2361,17,10,17,2301,3,13,697.14,344.73,60000,60000,18990,23,2
42101000103,2933,18,33,18,2851,10,20,2142,9,31,9,2074,8,11,632.47,312.76,60000,60000,18990,23,2
42101000104,4251,23,191,23,4002,19,14,3066,10,161,10,2865,9,11,905.3,447.67,60000,60000,18990,23,2
42101000105,4535,32,70,32,4412,9,9,2974,18,60,18,2865,5,8,878.14,434.24,60000,60000,18990,23,2
42101000106,1622,14,36,14,1562,4,3,1311,11,31,11,1252,3,3,387.1,191.42,60000,60000,18990,23,2
42101000107,4166,31,44,31,4031,7,52,2999,24,40,24,2875,5,31,885.52,437.89,60000,60000,18990,23,2
42101000108,4727,43,67,43,4582,11,19,3348,30,62,30,3203,8,15,988.57,488.85,60000,60000,18990,23,2
