GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
56021000008,2034,134,1854,134,13,7,24,1722,86,1514,86,8,6,22,411.25,379.75,NA,13900,90715,01980,1,1
56021000009,3005,159,2770,159,42,11,19,2575,115,2293,115,27,9,16,614.97,567.87,NA,13900,90715,01980,1,1
56021000010,3465,482,2707,482,203,26,43,2909,311,2096,311,143,18,30,694.73,641.53,NA,13900,90715,01980,1,1
56021000011,3832,204,3013,204,458,24,127,2609,123,1978,123,297,13,75,623.09,575.37,NA,81640,90825,01980,1,1
56021000012,4164,186,3861,186,55,14,48,3191,118,2865,118,43,9,38,762.08,703.72,NA,13900,90715,01980,1,1
56021000013,5970,327,5441,327,110,21,67,4564,192,4049,192,78,12,41,1089.98,1006.5,NA,13900,90715,01980,1,1
56021000014,5580,398,4918,398,177,30,45,4004,205,3432,205,104,23,35,956.24,883.01,NA,13900,90715,01980,1,1
56021000015,7482,503,6695,503,167,45,71,5423,298,4651,298,100,28,48,1295.13,1195.94,NA,13900,90715,01980,1,1
56021000016,2007,65,1907,65,10,17,7,1457,45,1343,45,6,12,6,347.96,321.31,NA,63800,90825,01980,1,1
56021000017,3067,97,2942,97,1,9,18,2202,59,2062,59,1,9,12,525.89,485.61,NA,63800,90770,01980,1,1
56021000018,2737,119,2590,119,1,13,13,2042,69,1882,69,1,12,9,487.67,450.32,NA,61435,92420,04120,1,1
56023009780,2452,34,2395,34,0,18,3,1568,21,1517,21,0,8,1,363.65,567.23,NA,1695,90055,04060,1,1
56023009781,4404,44,4326,44,3,27,4,2609,23,2545,23,1,13,4,605.08,943.81,NA,245,90055,04060,1,1
56023009782,905,22,879,22,0,2,2,555,13,526,13,0,2,1,128.71,200.77,NA,15905,91980,04060,1,1
56023009783,842,27,811,27,3,0,1,529,15,495,15,3,0,1,122.68,191.37,NA,43455,91925,04030,1,1
56023009784,4022,125,3855,125,3,13,26,2703,76,2521,76,2,8,20,626.88,977.82,NA,42005,91925,04030,1,1
56025000001,980,67,854,67,41,9,8,903,47,762,47,35,7,5,242.29,233.09,NA,13150,90550,04510,1,1
56025000002,2115,302,1680,302,104,11,17,1702,176,1259,176,71,9,11,456.68,439.33,NA,13150,90550,04510,1,1
56025000003,3824,210,3536,210,30,33,15,3052,117,2760,117,19,27,12,818.91,787.79,NA,13150,90550,04510,1,1
56025000004,4154,156,3943,156,17,20,18,3121,85,2919,85,7,15,10,837.43,805.6,NA,13150,90550,04510,1,1
56025000005,7094,188,6774,188,58,16,47,5060,117,4757,117,28,13,28,1357.7,1306.11,NA,13150,90550,04510,1,1
56025000006,6409,264,5991,264,77,28,46,4550,134,4189,134,42,19,32,1220.86,1174.46,NA,13150,90550,04510,1,1
56025000007,2428,112,2274,112,4,34,4,1929,73,1758,73,1,20,4,517.59,497.92,NA,13150,90550,04510,1,1
