GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16HALRNOE,G16HALDHAW,G16PUCRNEL,G16PUCDRED
46083VTD213,46,083,VTD213,1000.9,708.97,92.89,22.97,1328.43,494.32,1137.7,691.04,1325.47,421.39
46083VTD215,46,083,VTD215,594,328,56,4,791,206,683,314,798,159
460850VTD-1,46,085,0VTD-1,53.67,5.55,2.78,0.93,44.42,18.51,41.64,20.36,44.42,13.88
460850VTD-4,46,085,0VTD-4,216,92,10,3,232,86,209,114,252,63
460850VTD-6,46,085,0VTD-6,100,33,2,3,109,31,99,41,111,25
460850VTD-7,46,085,0VTD-7,15,143,7,6,48,125,31,143,12,157
460850VTD-9,46,085,0VTD-9,209.41,21.63,13.76,1.97,213.34,29.49,203.51,43.26,221.2,19.66
46085VTD-12,46,085,VTD-12,293.25,60.09,16.99,3.01,311.32,69.98,280.37,99.99,318.18,48.21
46085VTD-13,46,085,VTD-13,82,13,3,1,86,16,77,23,83,10
460870VTD-1,46,087,0VTD-1,322,150,30,6,368,147,303,214,385,104
460870VTD-2,46,087,0VTD-2,102.03,42.01,2,1,100.03,51.01,88.03,61.01,122.03,25
460870VTD-3,46,087,0VTD-3,383,126,23,13,434,113,391,160,445,92
460870VTD-4,46,087,0VTD-4,379.45,67.12,16.03,3.01,412.48,62.12,382.44,92.16,421.5,35.09
460870VTD-5,46,087,0VTD-5,377,180,34,8,444,163,389,223,490,105
460870VTD-6,46,087,0VTD-6,231,58,25,9,263,63,233,94,287,32
46089VTD-CN,46,089,VTD-CN,165.21,28.27,7.94,2.64,172.31,29.09,166.97,37.94,179.3,23.81
46089VTD-E1,46,089,VTD-E1,23.17,3.98,0.59,0,25.28,1.99,23.29,3.75,23.52,1.87
46089VTD-E2,46,089,VTD-E2,24.25,6.97,1.45,0.15,27.74,4.94,25.71,7.12,27.59,3.49
46089VTD-E3,46,089,VTD-E3,22.47,3.85,1.08,0.36,23.43,3.97,22.71,5.17,24.39,3.24
46089VTD-L1,46,089,VTD-L1,7.78,1.72,0.47,0,10.65,1.98,10.44,2.35,11.17,1.2
46089VTD-L2,46,089,VTD-L2,8.54,2.53,0.63,0.25,9.74,2.09,8.16,3.67,10.18,1.45
46089VTD-L3,46,089,VTD-L3,17.08,5.06,1.26,0.51,19.48,4.17,16.32,7.34,20.36,2.91
46089VTD-NW,46,089,VTD-NW,174.14,29.9,4.4,0,189.98,14.95,175.02,28.14,176.78,14.07
46089VTD-SW,46,089,VTD-SW,142.75,41.03,8.55,0.85,163.26,29.06,151.29,41.88,162.41,20.51
46089VTD101,46,089,VTD101,56,5,0,2,49,10,46,14,52,3
46089VTDNEL,46,089,VTDNEL,141.22,31.28,8.53,0,193.35,36.02,189.56,42.65,202.83,21.8
46089VTDSEL,46,089,VTDSEL,109.39,32.41,8.1,3.24,124.78,26.74,104.53,47,130.45,18.64
46091VTD-A1,46,091,VTD-A1,122,90,16,2,154,75,122,103,169,53
46091VTD-A2,46,091,VTD-A2,78,67,14,2,107,56,88,74,112,43
46091VTD-A3,46,091,VTD-A3,156,96,18,5,200,79,162,117,202,60
46091VTD-A4,46,091,VTD-A4,137,125,13,2,174,102,151,131,199,73
46091VTD-A5,46,091,VTD-A5,97,66,10,0,125,52,117,59,125,44
46091VTD-A6,46,091,VTD-A6,150,115,12,4,191,97,164,125,217,68
46091VTD-A7,46,091,VTD-A7,100,62,9,1,123,55,111,66,122,43
46091VTD-A8,46,091,VTD-A8,106,71,13,0,131,60,104,91,135,51
46091VTD-A9,46,091,VTD-A9,110,62,12,4,136,53,101,85,140,40
46093VTD-00,46,093,VTD-00,126.8,43.26,16.93,0.14,147.05,41.12,140.48,47.66,149.02,33.65
46093VTD-06,46,093,VTD-06,528.34,128.73,52.75,4.21,557.71,155.22,528.24,188.66,561.47,131.14
46093VTD-08,46,093,VTD-08,207.92,57.43,15.21,0.07,225.01,58.2,214.47,69.63,226.59,51.86
46093VTD-09,46,093,VTD-09,119.57,16.81,3.96,3.95,126.49,18.79,124.51,17.81,124.52,13.85
46093VTD-10,46,093,VTD-10,724.38,187.66,67.26,7.25,808.81,184.53,758.17,231.31,783.59,178.35
46093VTD-11,46,093,VTD-11,511.8,167.14,56.07,1.02,574.85,162.16,547.81,196.2,559.83,150.16
46093VTD-12,46,093,VTD-12,621.98,114.71,42.59,6.94,667.37,114.87,636.88,146.41,648.75,116.66
46093VTD-13,46,093,VTD-13,762.47,193.37,87.05,14.85,831.16,215.7,791.44,256.5,812.32,201.94
46093VTD-14,46,093,VTD-14,426,105,63,9,485,111,455,141,458,118
46093VTD-15,46,093,VTD-15,296.29,79.78,26.34,6.06,315.58,87.85,287.41,113.03,317.49,69.81
46093VTD-16,46,093,VTD-16,239.64,99.01,18.18,3.81,269.23,88.59,257.73,103.87,266.33,86.68
46093VTD-17,46,093,VTD-17,72.09,5.34,0,0.89,65.86,8.9,66.75,8.01,72.09,3.56
46093VTD-18,46,093,VTD-18,77.36,7.03,7,2,80.33,11.05,79.34,8.04,81.36,6.02
46093VTD-19,46,093,VTD-19,342.81,106.94,39.98,7,392.78,108.94,367.8,134.92,378.79,105.94
46093VTD-20,46,093,VTD-20,41.35,5.91,3.94,0,37.41,11.81,39.38,12.8,41.35,9.85
46093VTD-21,46,093,VTD-21,321.25,55.58,16.98,4.1,330.5,61,323.62,67.89,315.26,57.37
46093VTD-23,46,093,VTD-23,274.31,93.05,57.02,10,311.32,102.06,311.31,97.07,273.31,103.05
46093VTD-24,46,093,VTD-24,149.57,29.46,8.19,2.03,153.82,33.42,157.6,38.58,160.64,24.51
46093VTD-25,46,093,VTD-25,34,3.99,0.97,0.02,33.94,5.02,33.02,5.96,33,5.92
46093VTD-27,46,093,VTD-27,115.65,12.09,11.06,0,118.59,21.19,114.62,25.2,122.65,13.15
46093VTD-29,46,093,VTD-29,29,4,1,0,27,7,27,7,29,5
46093VTD-30,46,093,VTD-30,69.73,1.68,0,0,67.21,4.2,68.05,2.52,63.85,1.68
