GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREOWRI,G20USSDMAR,G20USSROCO,G20USSOAYY,G20USSOWRI
25005001576,25,005,001576,1033.56,951.53,34.43,8.15,0.09,1005.72,952.99,16.03,2.04
25005001585,25,005,001585,1134,1345,41,13,12,1135,1302,21,6
25005001586,25,005,001586,1214,1304,29,7,12,1219,1267,32,0
25005001587,25,005,001587,1316.4,1439.18,48.43,18.09,11.16,1308.4,1442.08,26,6.19
25005001666,25,005,001666,1076,986,27,10,8,1066,993,0,10
25005001667,25,005,001667,1233.64,905.9,25.78,11.97,11.97,1189.45,961.14,0,7.37
25005001668,25,005,001668,1310.36,1092.1,33.22,5.03,11.03,1318.55,1063.86,0,13.63
25005001669,25,005,001669,1143.46,966.94,34.32,6.86,12.75,1143.46,959.1,0,14.71
25005001690,25,005,001690,1136,1004.38,28.75,4.64,6.49,1148.99,956.15,13.91,2.78
25005001691,25,005,001691,1228.59,1045.48,21.01,9.01,3,1268.59,966.45,16.01,4
25005001692,25,005,001692,1263.41,1027.52,28.99,13.99,1,1280.41,980.55,15.99,0
25005001693,25,005,001693,1125.2,963.3,21.75,10.38,2.08,1142.19,897.95,20.13,1.05
25005001694,25,005,001694,991.31,975.7,31.61,6.82,1.18,1038.87,896.68,14.57,1.01
25005001839,25,005,001839,923.19,1186.14,20.17,6.04,3,979.44,1075.74,21.07,1.01
25005001840,25,005,001840,1012.66,895.19,30.08,7,5.9,1031.33,850.43,14.03,2.96
25005001841,25,005,001841,1038.06,968.06,29.35,8.5,6.13,1083.27,892.72,12.07,6.09
25005001842,25,005,001842,937.53,1041.12,20.75,4.94,1.98,969.15,979.86,14.82,0
25005001843,25,005,001843,912.37,1120.46,21.51,10.11,3.12,939.78,1039.61,14.19,2.1
25005001844,25,005,001844,874,521,27,9,3,897,488,5,0
25005001845,25,005,001845,1030.84,929.06,30.21,11.4,9.28,1020.66,903.49,7.55,7.02
25005001846,25,005,001846,765,328,12,10,0,773,299,7,1
25005001847,25,005,001847,823,450,13,8,3,831,411,14,4
25005001848,25,005,001848,862.03,559.05,17.82,4.69,5.63,865.78,519.66,4.69,7.5
25005001849,25,005,001849,1098.84,846.32,33.98,11.89,7.12,1111.62,802.24,2.24,3.39
25005001850,25,005,001850,971.76,925.25,28.01,7.08,8.04,999.37,872.15,20.26,0.09
25005001851,25,005,001851,921,713,33,8,6,906,697,14,9
25005001852,25,005,001852,869.44,515.52,20.82,7.93,4.96,878.37,483.8,8.92,6.94
25005001853,25,005,001853,835,502,13,3,7,845,451,7,2
25005001854,25,005,001854,695,488,13,7,4,712,431,10,0
25005001855,25,005,001855,926.98,662.54,19.99,16.18,6.66,966.95,606.39,11.42,2.86
25005001856,25,005,001856,999.19,796.99,31.56,11.84,5.92,1012.01,750.63,22.69,0
25005001857,25,005,001857,1043,1048,38,12,8,1038,1039,9,10
25005001858,25,005,001858,1086.35,889.31,26.28,12.14,8.09,1074.31,861,20.13,0.07
25005001859,25,005,001859,1207.8,1020.28,22.13,13.47,9.67,1185.36,1011.02,11.55,2.08
25005002013,25,005,002013,969,1006,29,13,5,1047,898,14,0
25005002014,25,005,002014,1314.13,1041.1,31.34,10.15,8.14,1315.95,1013.93,17.21,2.05
25005002015,25,005,002015,847,1015,18,22,6,912,920,0,14
25005002016,25,005,002016,916,865,14,7,2,960,795,6,4
25005002017,25,005,002017,1292,1103,30,10,4,1308,1040,14,5
25005ZZZZZZ,25,005,ZZZZZZ,129.34,119.7,2.14,0.81,1.19,132.07,111.5,3.07,0.01
25007000054,25,007,000054,284.14,31.06,7.31,0.91,0.91,284.14,40.2,0,0
25007000613,25,007,000613,823.98,114.13,5.7,3.1,6.09,807.96,130.01,6.01,0
25007000707,25,007,000707,2295.22,886.25,40.42,15.92,8.3,2224.92,965.74,8.74,0.05
25007000837,25,007,000837,66.04,25.05,2.12,1.05,1.08,65.8,26.35,0.04,2.02
25007001450,25,007,001450,2304.22,691.54,30.62,19.22,6.71,2279.3,700.68,15.24,0.98
25007001871,25,007,001871,2240,549.87,35.04,24.94,8,2243.03,578.37,15.09,1.98
25007001982,25,007,001982,1910.43,336.14,16.91,16.91,1.99,1871.64,361,14.92,0.99
25009000029,25,009,000029,1286.09,663.43,26.13,7.26,8.01,1271.2,691.87,6.24,2.86
25009000030,25,009,000030,1165,502,30,11,3,1175,509,12,2
25009000031,25,009,000031,1189,510,36,11,7,1190,527,6,3
25009000032,25,009,000032,941.81,469.46,24.1,3.86,7.71,934.1,465.6,4.82,0.96
25009000033,25,009,000033,1167,732,39,15,12,1147,777,10,1
25009000034,25,009,000034,1090.39,456.64,19.48,6.01,16.91,1101.84,453.56,9.96,0.04
25009000045,25,009,000045,1279.3,448.04,22.54,9.39,11.27,1210.73,533.51,5.64,5.64
25009000046,25,009,000046,1758.95,859.77,27.94,16.28,21.4,1682.76,926.42,20.23,17.15
25009000047,25,009,000047,1616.05,646.23,36.06,10.72,15.6,1570.24,709.58,8.77,5.85
25009000048,25,009,000048,1583,812,33,12,23,1514,885,21,16
25009000049,25,009,000049,1750.06,923.86,38.87,4.98,17.94,1680.29,1009.57,21.93,5.98
25009000050,25,009,000050,1680.72,868.95,34.77,11.11,15.5,1598.59,958.91,11.94,2.15
25009000051,25,009,000051,1613.04,751.69,34.17,23.04,12.06,1555.57,871.14,8.15,4.02
25009000052,25,009,000052,1602,678,30,9,23,1521,774,11,5
25009000053,25,009,000053,1658.6,753.56,34.12,8.53,11.62,1563.1,846.2,29.07,4.32
25009000148,25,009,000148,1220,615,24,10,2,1210,628,13,0
25009000149,25,009,000149,1334.06,611.8,36.01,10.45,6.31,1312.15,659.98,12.79,1.73
25009000150,25,009,000150,1414.91,425.29,36.35,8.18,2.73,1426.72,436.2,9.09,0
25009000151,25,009,000151,1615.36,458.14,31.39,11.91,5.9,1589.83,492.32,10.02,0
25009000152,25,009,000152,1258.3,456.41,33.09,15.57,2.92,1287.49,450.57,3.89,0
25009000153,25,009,000153,1208.17,604.59,27.98,8.99,7,1240.15,576.6,12.99,0
25009000154,25,009,000154,933.62,396.56,16.62,3.49,7.24,915.38,407.42,18.22,0.33
25009000155,25,009,000155,1830,581,31,7,5,1794,626,17,1
25009000156,25,009,000156,1381.27,729.75,32.03,6.01,6.01,1369.29,738.73,11.01,0
25009000157,25,009,000157,1334,732,36,10,1,1336,736,1,0
25009000158,25,009,000158,1631.65,660.42,29.95,12.16,7.59,1562.65,744,15.38,0.12
25009000159,25,009,000159,1382,858,36,4,4,1348,890,1,0
25009000438,25,009,000438,1010.01,755.01,31,10,11,934.01,848.01,10,3
25009000439,25,009,000439,1092,781,38,9,15,1035,868,13,1
25009000440,25,009,000440,1015,735,24,4,13,963,804,16,1
25009000631,25,009,000631,1310.64,742.93,25.45,12.72,0,1327.28,736.08,6.85,0
25009000632,25,009,000632,1256,796,28,11,12,1266,794,10,2
25009000633,25,009,000633,1173.93,813.85,20.4,13.05,4.29,1191.41,793.77,15.12,0.19
25009000634,25,009,000634,1455.02,851.54,30.78,10.09,5.6,1410.02,903.44,16.59,2
