GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16USSRISA,G16USSDBAR,G16USSLBUC,G16PSCRECH,G16PSCLHOS
130890000SA,13,089,0000SA,741,1391,97,1020,1120,81,1240,675
130890000SB,13,089,0000SB,297.8,1291.9,76.5,452.3,1098.3,92,658.1,675
130890000SC,13,089,0000SC,117,807.4,44.8,166.6,695.5,66.1,273.2,527.1
130890000SD,13,089,0000SD,387.3,1011.5,29.1,458.9,865.8,44.9,532.9,639.7
130890000SE,13,089,0000SE,1365.8,1604.8,145.1,1786,1184.5,119,2034,817.2
130890000SF,13,089,0000SF,516,666,94,678,501,67,774,368
130890000SG,13,089,0000SG,44.7,1084.2,20.9,85.4,971,28.8,210.5,665.2
130890000SH,13,089,0000SH,695,853.7,47.2,786,721.8,78.8,903.9,499.7
130890000SI,13,089,0000SI,96.6,1197.3,28.9,132.1,1061.4,55.3,236.8,837.5
130890000SJ,13,089,0000SJ,68.3,967.4,11.8,100,845.1,27.2,186.6,633
130890000SK,13,089,0000SK,117.1,2474.9,24,204.1,2246.8,54,513.4,1577.3
130890000SL,13,089,0000SL,49.2,807.9,8.6,74.2,738.2,14.1,154.9,540.9
130890000SM,13,089,0000SM,71.9,2038.3,22,133.3,1887.7,44.8,421.1,1325.5
130890000SN,13,089,0000SN,298,790,49,399,660,63,519,436
130890000SO,13,089,0000SO,51,1921,28,106,1762,47,322,1345
130890000SP,13,089,0000SP,97.3,754.1,21.9,117.6,666.9,34.7,182.8,522.3
130890000SQ,13,089,0000SQ,161.9,639.5,26,177.2,566.2,34,224.2,448.9
130890000SR,13,089,0000SR,52,1190,12,105,1056,26,229,755
130890000SS,13,089,0000SS,47,1192,13,89,1074,25,247,765
130890000ST,13,089,0000ST,126,2034,39,173,1885,54,429,1361
130890000SU,13,089,0000SU,88.9,1894.1,18,140.9,1706.2,43,346.6,1255.7
130890000SV,13,089,0000SV,118,1877,34,171,1719,50,409,1211
130890000SW,13,089,0000SW,107.7,2337.5,25.2,165.6,2152.1,50.3,393.1,1591.2
130890000TA,13,089,0000TA,50.6,1268.4,26.2,106.6,1106.9,59.5,263.6,797.4
130890000TC,13,089,0000TC,30,923,12,80,794,19,163,545
130890000TF,13,089,0000TF,913.2,1209.7,127.7,1035.4,1026.8,144.1,1202.6,784.2
130890000TG,13,089,0000TG,588,482,75,708,340,72,789,262
130890000TH,13,089,0000TH,545.4,1119.8,82.9,696.2,914,86.9,836.1,692.2
130890000VB,13,089,0000VB,133.5,422.1,33.2,164,375.5,31.4,236.6,270.6
130890000WA,13,089,0000WA,39,1543,26,140,1320,47,256,942
