GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREICAS,G16PRENROC,G16PREONON,G16USSDCOR,G16USSRHEC,G16USSIJON,G16USSNSAW,G16USSNGUM,G16USSNWIL,G16USSONON
32003003784,32,003,003784,439.1,242.5,26.3,2.9,0,27.3,428.4,234.7,9.7,12.7,6.8,6.8,23.4
32003003785,32,003,003785,374.9,200.5,24.7,0.1,4,16.7,372.6,184.3,10.3,4.3,4.2,5.2,28.6
32003003786,32,003,003786,607.2,620.5,43,5,5,36,611.1,587.5,16,18,13,6,38
32003003787,32,003,003787,491,501,34,2,1,29,480,440,18,20,14,4,55
32003003788,32,003,003788,439.1,617.7,8.7,4.8,0,23.2,447.8,591.6,5.8,2.9,6.8,1.9,29
32003003789,32,003,003789,383.5,513.3,10,1,1,20,367.5,483.4,10,6,6,3,33
32003003790,32,003,003790,398,479,11,1,1,16,393,424,13,7,9,5,37
32003003791,32,003,003791,383.4,196.9,18.4,2.4,2.4,15.2,381.8,168.9,6.4,10.4,4,8,24.8
32003003792,32,003,003792,390,205,11,3,2,7,366,179,13,11,6,6,24
32003003794,32,003,003794,493.4,209.8,20.4,4.2,1.2,17.1,463.4,184.7,13.4,11.8,11.3,5.6,40.8
32003003795,32,003,003795,447.1,191.3,16.2,0.4,1.4,16.6,433.7,165.4,8.1,13.8,5.7,3.4,33.4
32003003796,32,003,003796,109,36,3,1,0,5,94,29,2,3,2,2,5
32003003800,32,003,003800,350.4,329.4,24.4,2.1,0,12.5,320.5,325.5,9.3,6.3,10.1,3.1,34.4
32003003801,32,003,003801,299,96,6,2,0,4,277,81,8,5,6,6,15
32003003802,32,003,003802,419.9,164.9,20,4,3,17,395.9,151,14,11,8,5,36
32003003803,32,003,003803,21.1,16,1,0,0,2,20.1,16,1,0,1,0,2
32003003804,32,003,003804,583,294,19,1,3,24,566,237,12,15,8,11,48
32003003805,32,003,003805,54,25,1,1,0,1,53,18,3,1,1,0,5
32003003806,32,003,003806,243,209,25,0,1,18,249,210,5,3,5,2,10
32003003807,32,003,003807,490,541,40,5,0,32,484,532,17,4,6,2,44
32003003808,32,003,003808,367,413,17,1,0,20,359,410,4,5,4,5,25
32003003809,32,003,003809,430,351,35,5,5,12,415,354,8,7,12,4,22
32003003811,32,003,003811,646,192,22,3,2,23,613,169,7,16,7,7,56
32003003812,32,003,003812,108,59,5,1,0,3,104,48,3,6,1,1,5
32003003813,32,003,003813,611,215,22,4,4,21,553,205,17,12,9,8,56
32003003814,32,003,003814,366,217,11,2,2,11,334,187,14,9,8,4,31
32003003815,32,003,003815,392.5,187.9,20,7,2,19,375.5,172,8,9,10,6,31
32003003821,32,003,003821,3.4,0,0,0,0,0,3.4,0,0,0,0,0,0
32003003822,32,003,003822,13.4,23,1,0,0,1,11.5,24,1,1,0,0,1
32003003823,32,003,003823,6.1,0,0,0,0,0,6.1,0,0,0,0,0,0
32003003824,32,003,003824,163.2,91,10.2,1.2,1,2,157.7,75.4,5.9,7,2,2,15.9
32003003825,32,003,003825,5.5,0.8,0.1,0,0,0,5.4,0.7,0.1,0.1,0,0,0.1
32003003826,32,003,003826,159,164,10,3,0,5,155,156,5,5,3,0,13
32003003831,32,003,003831,33.9,35.2,4.7,2.8,0,0.9,38.5,36,0,1,0,0,2
32003003832,32,003,003832,25.4,29,1.8,0,0,0.7,23.2,27.3,1.5,1,0.3,0,2
32003003833,32,003,003833,142.6,169.1,10.2,0,0,4.3,129.8,159.7,8.5,6,1.7,0,11.9
32003003834,32,003,003834,477,235,14,4,0,19,460,197,13,8,11,10,37
32003003841,32,003,003841,829,235,25,4,4,29,754,213,19,15,15,16,76
32003003842,32,003,003842,507,231,23,6,1,19,504,183,17,11,6,8,45
32003003843,32,003,003843,705,288,42,2,6,25,650,272,25,16,11,10,60
32003003844,32,003,003844,387.9,218.3,26.1,1,1,18.1,371.9,190.1,17.1,11.1,10,4,30.1
32003003845,32,003,003845,20.6,32.1,2.5,0.4,0,0.4,20.2,28.8,2.5,1.6,0,1.2,1.6
32003003851,32,003,003851,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003852,32,003,003852,70.4,99.1,6.9,0,0,6.9,74.3,85.2,3,6,1,0,13.9
32003003853,32,003,003853,12.8,13.4,0.6,0,0,1.2,12.8,13.4,0,0.6,0.6,0,0
32003003854,32,003,003854,446.2,263.6,23.4,5,2,14.8,410.2,248.6,13,8.4,8.4,7,39
32003003855,32,003,003855,781,248,23,2,5,29,743,223,13,9,17,20,55
32003003863,32,003,003863,388,283,23,1,3,17,398,247,13,11,5,5,30
32003003864,32,003,003864,590,412,35,11,3,28,572,395,10,14,7,12,44
32003003866,32,003,003866,120,142,10,0,0,10,114,139,5,4,6,0,9
32003003875,32,003,003875,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003881,32,003,003881,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003902,32,003,003902,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003904,32,003,003904,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003905,32,003,003905,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003906,32,003,003906,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0
32003003907,32,003,003907,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003908,32,003,003908,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003909,32,003,003909,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003910,32,003,003910,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003912,32,003,003912,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0
32003003914,32,003,003914,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003915,32,003,003915,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003917,32,003,003917,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003938,32,003,003938,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003964,32,003,003964,0.7,1.5,0.1,0,0,0.1,0.7,1.4,0.1,0,0,0,0.1
32003003979,32,003,003979,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003981,32,003,003981,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003982,32,003,003982,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003984,32,003,003984,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003985,32,003,003985,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003988,32,003,003988,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003989,32,003,003989,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003990,32,003,003990,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003991,32,003,003991,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003992,32,003,003992,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003993,32,003,003993,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003994,32,003,003994,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003995,32,003,003995,0,0,0,0,0,0,0,0,0,0,0,0,0
32003004017,32,003,004017,654,31,3,3,1,12,609,32,5,8,4,6,26
32003004028,32,003,004028,610,17,12,3,0,10,566,22,5,1,4,11,23
32003004066,32,003,004066,42,5,1,0,0,1,39,5,0,1,0,0,4
32003004069,32,003,004069,61,13,3,0,0,1,52,14,1,0,2,0,2
32003004073,32,003,004073,12.1,10,0,0,0,0,14.1,8,0,0,0,0,0
32003004075,32,003,004075,0,0,0,0,0,0,0,0,0,0,0,0,0
32003004076,32,003,004076,2.5,4.1,1,0,0,0,2.5,3.1,0,1,1,0,0
32003004304,32,003,004304,690,205,22,3,3,18,659,183,15,5,11,8,47
32003004305,32,003,004305,860,187,31,5,0,21,827,174,16,7,5,8,53
32003004306,32,003,004306,845,161,13,1,0,21,786,165,6,12,7,8,40
32003004307,32,003,004307,715,202,26,2,1,10,668,195,10,10,7,4,46
32003004309,32,003,004309,551,59,11,3,2,9,509,52,4,6,7,9,34
32003004310,32,003,004310,576.4,29.8,6,2,2,7.9,535.8,29.8,3,4,2,8.9,22.8
32003004381,32,003,004381,380,76,11,4,3,4,350,70,8,7,7,4,22
32003004384,32,003,004384,445,117,15,3,3,10,431,103,5,11,9,3,21
32003004387,32,003,004387,838,120,18,5,8,21,770,118,7,10,9,7,54
32003004415,32,003,004415,321,27,5,3,1,4,299,27,0,4,1,3,19
32003004434,32,003,004434,30,46,4,0,0,1,32,37,2,0,1,2,7
32003004454,32,003,004454,0.6,0,0.6,0,0,0,0.6,0,0,0.6,0,0,0
32003004461,32,003,004461,777,64,8,4,1,18,708,68,7,8,4,8,43
32003004463,32,003,004463,43,11,0,0,0,0,38,6,1,0,1,0,4
32003004467,32,003,004467,412,17,5,2,0,4,367,22,3,6,1,5,24
32003004500,32,003,004500,378,150,8,3,2,8,357,139,6,10,5,3,19
32003004501,32,003,004501,717,470,46,2,2,26,688,421,25,19,20,8,54
32003004502,32,003,004502,459,230,24,2,0,23,442,187,15,15,4,5,52
32003004504,32,003,004504,950,304,35,6,5,26,886,287,15,17,16,16,61
32003004505,32,003,004505,463.5,199.5,21,6.7,1.7,13.4,450.9,183.6,12.6,5.9,11.7,6.7,26.8
32003004506,32,003,004506,530,276,32,3,3,12,522,248,15,14,8,1,29
32003004507,32,003,004507,857.8,121.6,13.9,4,4,22.9,781.1,118.6,10,12,11,9,47.8
32003004508,32,003,004508,473,28,6,2,2,11,448,24,3,2,4,1,26
32003004510,32,003,004510,313.4,105.2,6.8,2.9,4.7,9.7,297.9,78.7,7.7,2.1,6.6,4,35.7
32003004511,32,003,004511,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0
32003004512,32,003,004512,221,134,4,1,0,15,213,125,4,9,3,2,12
32003004513,32,003,004513,244,158,13,5,3,4,240,141,6,12,4,5,11
32003004514,32,003,004514,650,77,22,7,6,14,595,86,11,9,4,8,41
32003004522,32,003,004522,301,110,7,2,1,9,288,99,5,6,5,3,16
32003004523,32,003,004523,459,94,20,3,3,17,440,91,6,7,9,8,22
32003004525,32,003,004525,460,210,18,6,1,14,449,172,11,8,14,6,41
32003004526,32,003,004526,501,57,9,2,3,6,468,58,7,3,3,5,18
32003004527,32,003,004527,838.6,123.4,22.4,6,3,18.1,779.3,97.4,18,16.4,14,7,57.2
32003004528,32,003,004528,848,136,17,7,0,25,782,121,9,13,5,14,48
32003004529,32,003,004529,531.2,73.9,19,4,2,12,501.3,63.9,8,8,7,4,38
32003004530,32,003,004530,508,104,14,0,6,11,485,95,5,6,3,9,27
32003004531,32,003,004531,771,196,22,4,6,28,719,186,12,17,24,6,46
32003004532,32,003,004532,467,91,9,3,8,9,437,93,1,3,6,8,31
32003004535,32,003,004535,638,229,23,10,4,14,619,212,12,8,12,4,34
32003004536,32,003,004536,727,191,17,5,1,20,680,181,14,11,10,0,46
32003004540,32,003,004540,349,107,12,3,0,8,324,90,7,6,7,8,24
32003004541,32,003,004541,646,193,20,6,1,17,613,158,10,12,9,6,57
32003004543,32,003,004543,262.2,65.8,7,7,0.1,10.3,242.8,54.7,7.5,7.7,3.1,2.4,27.6
32003004546,32,003,004546,456.6,113.2,12.1,5,1.1,17.3,421,102.1,9.6,8.8,5.1,3.5,35.7
32003004547,32,003,004547,263,69,7,0,0,3,243,56,1,3,2,9,15
32003004548,32,003,004548,232.2,35,9,0,0.8,2.4,210.2,34.2,4.9,6.5,0.8,4.1,14.7
32003004549,32,003,004549,344,53,12,3,4,5,318,48,8,6,6,2,23
32003004550,32,003,004550,265,57,7,4,1,4,244,54,3,5,4,4,17
32003004551,32,003,004551,376,78,12,5,1,8,356,71,6,4,7,2,24
32003004552,32,003,004552,595,105,16,2,2,7,547,86,18,12,5,5,33
32003004553,32,003,004553,720,191,20,5,5,23,668,158,15,18,12,10,54
32003004554,32,003,004554,163,16,1,1,0,1,156,8,2,2,3,2,6
32003004555,32,003,004555,511,107,14,6,0,12,481,89,5,7,5,10,41
32003004556,32,003,004556,511,90,17,2,1,14,467,80,9,7,4,3,45
32003004557,32,003,004557,619,109,16,1,4,10,579,114,12,8,6,7,21
32003004559,32,003,004559,597,98,20,1,4,21,551,96,7,9,8,6,43
32003004560,32,003,004560,342,88,6,2,2,10,332,71,3,5,5,2,23
32003004561,32,003,004561,453,86,12,3,1,11,422,80,5,7,3,2,32
32003004562,32,003,004562,245,90,6,4,2,6,224,88,3,8,3,5,11
32003004563,32,003,004563,291,116,11,0,2,6,270,113,7,6,5,3,20
32003004564,32,003,004564,122,16,3,0,0,1,112,13,1,2,0,0,8
32003004565,32,003,004565,827.9,208.5,27.1,9,2,19.1,790.8,195.7,10,24,7,13,38.1
32003004566,32,003,004566,627,157,15,7,2,13,616,134,12,12,5,5,28
32003004567,32,003,004567,947,168,25,14,5,31,911,149,14,14,8,9,65
32003004568,32,003,004568,73,24,1,0,1,0,68,21,2,1,1,0,4
32003004569,32,003,004569,491,97,19,4,3,8,450,84,6,11,6,11,32
32003004571,32,003,004571,68.5,12.1,1.5,0.4,0,3.3,66.8,12.6,0.2,0.2,1.2,0.2,3.7
32003004572,32,003,004572,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0
32003004573,32,003,004573,108.3,21.4,5.4,1.5,0,4.6,102.2,26.8,0.8,0.8,0.8,0.8,6.1
32003004574,32,003,004574,0,0,0,0,0,0,0,0,0,0,0,0,0
32003004577,32,003,004577,776,163,19,2,8,16,709,140,12,25,13,6,56
32003004581,32,003,004581,841,245,25,10,7,20,789,227,18,12,12,8,62
32003004582,32,003,004582,565,199,8,3,2,11,545,166,8,8,10,7,32
32003004583,32,003,004583,596,171,13,5,1,18,566,144,17,8,7,6,40
32003004584,32,003,004584,621,198,19,9,1,23,595,176,19,5,9,5,44
32003004585,32,003,004585,475,141,17,4,2,9,458,126,8,4,7,3,28
32003004586,32,003,004586,917,353,31,8,4,27,902,331,13,10,10,6,57
32003004590,32,003,004590,298.6,39.2,9.1,2,2,6.1,282.2,39.2,6,2,2,6.1,12.2
32003004591,32,003,004591,159.8,31.4,2,0,0,3.9,148.1,25.5,2,2,1,1,11.8
32003004592,32,003,004592,86,14,1,0,0,2,82,13,0,0,2,0,7
32003004593,32,003,004593,334,44,12,5,3,4,320,45,2,8,3,3,15
32003004594,32,003,004594,0,1,0,0,0,0,0,1,0,0,0,0,0
32003004596,32,003,004596,106,9,1,0,0,3,98,8,0,1,0,2,4
32003004597,32,003,004597,764,67,26,5,1,11,699,85,6,7,4,4,54
32003004598,32,003,004598,512,73,16,3,1,4,469,70,6,5,5,5,32
32003004599,32,003,004599,546,89,15,0,4,13,527,72,2,6,5,5,38
32003004601,32,003,004601,45,29,2,1,1,1,42,28,2,1,0,0,3
32003004602,32,003,004602,522,95,10,2,6,11,480,88,4,3,3,2,40
32003004603,32,003,004603,226,92,10,4,2,8,198,78,5,6,6,6,25
32003004604,32,003,004604,177.1,66.9,9.2,3.1,0.2,2.4,176.6,55.9,4.3,3.1,5.2,4.1,5.3
32003004605,32,003,004605,825,344,41,3,1,38,778,316,26,16,5,15,65
32003004606,32,003,004606,47,8,1,0,0,2,43,10,1,0,1,0,3
32003004611,32,003,004611,328,112,14,4,3,16,306,104,11,13,5,2,26
32003004612,32,003,004612,673,288,37,6,1,38,641,272,26,16,13,6,56
32003004613,32,003,004613,7,3.4,0.1,0.1,0.1,0.2,6.6,2.8,0.2,0,0.1,0.1,0.8
32003004614,32,003,004614,50,35,3,0,0,2,47,28,0,1,6,1,6
32003004615,32,003,004615,0,0,0,0,0,0,0,0,0,0,0,0,0
32003004616,32,003,004616,815.8,52.2,8.9,3,0,11.8,746.9,53.1,8.9,10.8,0,10.8,38.4
32003004621,32,003,004621,378,452,22,0,2,23,368,462,8,1,5,2,22
32003004623,32,003,004623,651,342,38,10,4,31,655,300,24,21,12,5,47
32003004633,32,003,004633,551.2,306.4,29,3,4,20,527.3,276.3,10,12,15,8,46
32003004634,32,003,004634,803,334,27,4,4,21,761,283,20,15,16,15,62
32003004635,32,003,004635,360,168,18,1,1,14,358,131,14,16,2,7,27
32003004636,32,003,004636,0.2,1.2,0,0,0,0,0.2,1.2,0,0,0,0,0
32003004637,32,003,004637,0,1,0,0,0,0,0,1,0,0,0,0,0
32003004638,32,003,004638,0,0,0,0,0,0,0,0,0,0,0,0,0
32003004641,32,003,004641,63.6,75.4,2,0,1,2,69.5,67.5,2,2,2,0,1
32003004642,32,003,004642,380,92,6,1,2,9,352,81,1,10,5,5,18
32003004643,32,003,004643,277,83,10,0,3,13,267,71,7,4,5,3,17
32003004645,32,003,004645,9.8,1.4,0.1,0,0,0.2,9.2,1,0.1,0.1,0.1,0.1,0.6
32003004650,32,003,004650,133.9,11.3,2.8,0.9,2.8,0.9,126.4,12.3,0,1.9,0,0.9,7.5
32003004651,32,003,004651,2.5,2.2,0,0,0,0,2.4,2.1,0,0,0,0,0.1
32003004652,32,003,004652,653.8,92.1,8,0.1,3.1,13.8,614,68.6,9.8,8,6.9,8.9,36.8
32003004902,32,003,004902,0,0,0,0,0,0,0,0,0,0,0,0,0
32003004903,32,003,004903,0,0,0,0,0,0,0,0,0,0,0,0,0
32003005003,32,003,005003,104,34,8,0,1,3,101,33,3,5,0,0,7
32003005014,32,003,005014,0,0.9,0,0,0,0,0,0.9,0,0,0,0,0
32003005029,32,003,005029,552,208,21,6,1,11,509,179,10,10,10,6,49
32003005034,32,003,005034,586.7,232.3,23,8,2,25,573.7,184.3,20,14,5,5,59.1
32003005036,32,003,005036,310,255,12,3,0,10,295,214,17,18,3,7,20
32003005047,32,003,005047,504,475,34,2,2,29,468,480,12,10,14,3,38
32003005056,32,003,005056,319,85,7,6,4,17,305,72,6,7,4,4,28
32003005323,32,003,005323,640,197,24,6,3,20,606,167,15,19,11,9,42
32003005324,32,003,005324,455,320,27,2,3,21,444,309,9,7,8,6,33
32003005326,32,003,005326,335,409,17,2,1,19,337,395,3,5,8,7,14
32003005330,32,003,005330,473,273,21,1,2,21,432,275,11,8,11,5,35
32003005332,32,003,005332,258,89,10,5,3,10,249,86,8,2,4,8,12
32003005333,32,003,005333,535,181,33,5,4,22,522,156,9,12,12,9,43
32003005350,32,003,005350,576,179,26,1,1,22,541,161,14,16,12,9,33
32003005356,32,003,005356,235,90,3,0,1,7,220,80,7,2,4,4,9
32003005372,32,003,005372,417,97,15,5,1,11,398,92,7,5,5,7,23
32003005384,32,003,005384,348.4,131.8,10,2,3,8,328.5,108.8,3,11,2,7,24
32003005390,32,003,005390,273,177,11,1,0,6,255,147,5,13,3,3,34
32003005393,32,003,005393,363,318,20,6,0,14,352,299,12,13,7,4,25
32003005394,32,003,005394,334,335,14,2,2,16,334,265,24,12,8,9,40
32003005395,32,003,005395,183.2,223.4,8.2,1,1,3.1,195.1,182.4,11.1,5.1,2,4,11.2
32003005396,32,003,005396,446.6,332.6,16.2,3.4,0,9.6,432.4,301.8,8.6,11.1,7.7,1.7,30.6
32003005397,32,003,005397,657.4,609.4,25.8,1.6,0,25.4,648.6,561.2,19.4,13.9,11.3,4.3,39.4
32003005400,32,003,005400,348,185,10,5,0,7,337,153,8,8,4,5,26
32003005403,32,003,005403,287.3,130.7,15,4,2,14,266.3,125.7,5,4,7,4,26.9
32003005404,32,003,005404,650,242,5,5,2,17,593,203,15,8,11,2,60
32003005405,32,003,005405,786,236,21,4,3,23,738,221,12,11,12,6,51
32003005410,32,003,005410,560,248,18,6,2,25,535,210,13,12,7,10,53
32003005412,32,003,005412,653,256,31,1,4,27,637,234,7,21,10,8,39
32003005413,32,003,005413,640,272,26,7,5,23,597,258,14,10,14,9,41
32003005417,32,003,005417,473,187,12,5,3,25,452,183,8,6,6,10,26
32003005425,32,003,005425,444,236,19,1,3,13,439,202,8,11,6,3,29
32003005430,32,003,005430,544,269,26,3,3,25,514,243,16,12,9,9,38
32003005500,32,003,005500,1.1,1.2,0.1,0,0,0,1.1,1.1,0,0,0,0,0
32003005501,32,003,005501,149.9,153.8,8.9,1,2,5,150.9,145.9,3,1,5,2,6
32003005502,32,003,005502,0.6,0.8,0,0,0,0,0.6,0.7,0,0,0,0,0
32003005503,32,003,005503,0,0,0,0,0,0,0,0,0,0,0,0,0
32003005504,32,003,005504,432,328,30,5,3,24,425,339,4,15,5,4,22
32003005505,32,003,005505,535,369,25,4,3,20,532,322,17,18,11,6,35
32003005506,32,003,005506,0,0,0,0,0,0,0,0,0,0,0,0,0
32003005511,32,003,005511,302,136,6,3,0,9,277,125,17,5,3,3,22
32003005512,32,003,005512,554,268,25,4,1,21,521,258,10,13,15,6,36
32003005513,32,003,005513,745,384,26,8,1,32,721,377,16,7,16,6,44
32003005515,32,003,005515,295,239,13,7,2,14,309,225,2,3,9,3,20
32003005521,32,003,005521,255,140,19,6,0,7,260,122,5,11,8,1,15
32003005522,32,003,005522,601,206,23,2,2,13,555,196,10,10,13,1,35
32003005523,32,003,005523,489,328,25,3,2,19,465,332,6,6,12,3,27
32003005524,32,003,005524,118,215,22,0,0,14,128,217,5,4,1,2,11
32003005525,32,003,005525,107,194,14,2,0,7,104,182,8,7,2,2,10
32003005531,32,003,005531,192,236,9,1,1,10,191,222,2,7,4,1,16
32003005532,32,003,005532,304,166,27,2,2,14,310,155,5,10,6,3,15
32003005533,32,003,005533,368,160,5,3,3,9,342,138,12,6,4,5,25
32003005534,32,003,005534,316,142,10,0,0,10,288,123,12,10,6,5,25
32003005535,32,003,005535,301,140,15,0,2,5,280,119,13,9,6,5,20
32003005536,32,003,005536,581,254,24,3,1,19,565,227,18,6,12,3,35
32003005537,32,003,005537,616,159,15,1,4,14,598,142,11,3,8,6,29
32003005541,32,003,005541,75,9,2,2,0,1,65,8,3,3,1,0,2
32003005542,32,003,005542,389,106,11,4,1,11,375,86,7,9,7,5,18
32003005543,32,003,005543,263,32,4,1,2,4,246,29,2,4,3,0,11
32003005544,32,003,005544,496,168,19,1,2,16,477,134,12,12,5,3,31
32003005545,32,003,005545,732.4,452.6,26,6,3,19,687.4,405.6,21,25,12,16,46
32003005552,32,003,005552,512,354,18,3,3,17,489,345,10,7,8,2,36
32003005553,32,003,005553,350,251,20,2,0,17,339,260,5,6,1,2,19
32003005554,32,003,005554,392,299,21,1,1,19,385,288,13,4,6,4,23
32003005555,32,003,005555,326.6,226.7,14.7,2.2,1.2,14.1,321.9,206.9,11.7,4.8,5.6,4.5,22.3
32003005560,32,003,005560,396,273,16,0,3,23,373,276,5,3,4,0,33
32003005561,32,003,005561,58,18.4,1.4,0.3,0.2,2,54,15.1,1.9,1.6,1.1,0.8,4.4
32003005562,32,003,005562,317.4,145.3,6.3,0.8,0.8,7.9,292.1,131.1,6.3,3.2,2.4,5.5,23.7
32003005563,32,003,005563,0,0,0,0,0,0,0,0,0,0,0,0,0
32003005564,32,003,005564,440,183,28,2,8,17,432,169,14,12,6,4,34
32003005565,32,003,005565,531,232,27,8,5,17,519,211,7,12,13,7,33
32003005566,32,003,005566,369,284,15,1,1,19,372,252,6,8,12,4,23
32003005567,32,003,005567,461,277,25,3,2,26,462,250,14,15,11,5,24
32003005568,32,003,005568,410,354,21,2,2,14,410,298,13,9,13,5,35
32003005569,32,003,005569,392,300,28,6,1,19,384,267,12,14,11,5,38
32003005570,32,003,005570,446,391,12,6,4,11,437,318,23,12,9,4,34
32003005571,32,003,005571,507,248,23,0,3,11,452,216,12,23,3,12,53
32003005572,32,003,005572,511,235,20,5,6,34,486,232,13,17,7,7,29
32003005573,32,003,005573,352,267,17,0,1,14,347,226,11,8,9,8,28
32003005574,32,003,005574,155.2,134.3,7,0,1,9,148.3,132.3,2,3,5,1,8
32003005575,32,003,005575,236.8,133.7,19,0,1,10,237.7,124.7,1,6,2,8,17
32003005576,32,003,005576,326,176,32,1,1,10,320,168,7,15,7,4,17
32003005577,32,003,005577,374,185,6,2,0,17,360,167,8,6,12,2,17
32003005578,32,003,005578,372,186,18,2,3,15,361,174,10,8,11,10,18
32003005579,32,003,005579,263,101,10,0,4,4,253,91,3,5,3,4,17
32003005580,32,003,005580,453.3,144.1,10.9,2.5,1.7,15.9,422.3,118.1,15.1,12.6,8.4,5.9,34.4
32003005581,32,003,005581,626,143,13,6,3,16,544,140,18,11,11,9,45
32003005582,32,003,005582,497,232,20,5,4,19,474,202,11,7,11,7,45
32003005583,32,003,005583,401,133,5,3,2,7,373,106,8,8,4,1,31
32003005584,32,003,005584,411,144,28,3,1,20,380,147,10,8,6,5,32
32003005585,32,003,005585,483,186,29,4,6,20,451,171,10,7,14,4,48
32003005586,32,003,005586,532,217,17,4,3,18,493,183,14,11,12,9,43
32003005587,32,003,005587,437,409,30,0,1,24,438,395,8,12,8,4,26
32003005588,32,003,005588,131.6,135,4.8,1,1,5.8,114.2,137.8,2.9,1,1.9,1,16.4
32003005589,32,003,005589,144.1,165.9,8.9,0,1,5,132.2,164,6,0,1,0,13.9
32003005590,32,003,005590,0.9,0.3,0,0,0,0,0.8,0.2,0,0,0,0,0.1
32003005591,32,003,005591,297.6,149.8,20,1,2,5,284.6,152.8,8,2,2,6,10
32003005592,32,003,005592,339.4,197.2,20,5,0,12,328.4,178.2,7,10,4,4,24
32003005593,32,003,005593,439,190,16,1,2,20,414,173,8,12,7,4,31
32003005594,32,003,005594,373,294,10,4,2,23,361,272,9,10,15,4,22
32003005595,32,003,005595,349,154,15,3,0,14,340,142,11,6,7,0,20
32003005596,32,003,005596,705,192,16,10,1,19,669,177,11,8,8,5,45
32003005597,32,003,005597,217,51,9,2,0,7,200,52,2,3,2,1,17
32003005598,32,003,005598,626,208,28,2,3,25,602,179,12,18,6,7,50
32003005599,32,003,005599,29.4,9.4,0.7,0.2,0.1,1,27.4,7.7,1,0.8,0.5,0.4,2.2
32003005601,32,003,005601,509,348,28,4,8,20,483,317,20,13,23,8,41
32003005603,32,003,005603,555,363,35,5,6,21,535,343,18,12,8,5,50
32003005604,32,003,005604,617,449,43,7,3,24,612,407,18,21,18,10,44
32003005612,32,003,005612,303,113,10,0,1,11,278,99,4,11,8,5,22
32003005613,32,003,005613,460,118,17,3,3,9,425,108,14,14,8,5,26
32003005614,32,003,005614,373,66,12,4,3,11,346,58,5,9,6,10,23
32003005615,32,003,005615,228,199,5,3,2,9,220,179,9,15,4,0,17
32003005616,32,003,005616,400,278,27,1,1,18,388,270,6,13,10,4,26
32003005617,32,003,005617,908,245,24,9,5,18,862,234,10,22,11,6,42
32003005620,32,003,005620,669,368,28,8,5,18,625,321,15,21,20,15,58
32003005621,32,003,005621,360,153,15,6,2,12,334,134,8,14,14,6,24
32003005622,32,003,005622,230,117,11,0,2,5,214,107,9,5,2,4,18
32003005623,32,003,005623,584,260,29,1,4,12,558,210,17,23,9,10,44
32003005624,32,003,005624,354,260,15,2,1,11,349,224,13,9,7,5,29
32003005625,32,003,005625,356,222,27,6,2,11,350,187,11,12,13,5,30
32003005631,32,003,005631,310,189,22,3,2,12,288,179,7,13,4,6,26
32003005632,32,003,005632,473,205,17,6,4,14,457,192,14,4,14,4,26
32003005633,32,003,005633,398,137,17,2,3,12,382,121,10,14,9,4,25
32003005634,32,003,005634,260,117,9,4,2,5,245,108,7,8,0,6,19
32003005635,32,003,005635,857.8,280.6,38.8,9.9,6,26.9,821,283.6,13.9,15.9,8,6,51.8
32003005636,32,003,005636,380,229,13,2,0,10,353,195,15,9,5,2,45
32003005641,32,003,005641,42.7,29.8,1,0,0,2,38.7,25.8,2,4,1,1,1
32003005642,32,003,005642,218,161,4,1,0,7,206,139,7,5,3,3,18
32003005643,32,003,005643,18.3,15.3,1.3,0.4,0.1,1.1,17.9,12.4,1.1,1.2,0.5,0.4,1.8
32003005644,32,003,005644,0,0,0,0,0,0,0,0,0,0,0,0,0
32003005649,32,003,005649,40.3,50.4,3.5,0.5,0.1,1.9,40,47.4,2,0.9,0.9,0.6,3.6
