GEOID,G18USSDHIR,G18USSRCUR,G18GOVDIGE,G18GOVRTUP,G18GOVGBRE,G18GOVITER
150010206002122,0,0,0,0,0,0
150010202021026,0.2,0.1,0.2,0.1,0,0
150010202021032,0,0,0,0,0,0
150010219021206,0,0,0,0,0,0
150010219021178,0,0,0,0,0,0
150010219021057,0,0,0,0,0,0
150010219021123,0.6,0.2,0.5,0.3,0,0
150010219021355,0,0,0,0,0,0
150010219021356,0,0,0,0,0,0
150010219021361,0,0,0,0,0,0
150010219021231,0,0,0,0,0,0
150010219021241,0,0,0,0,0,0
150010219021252,0,0,0,0,0,0
150010219021233,0,0,0,0,0,0
150010212021242,0,0,0,0,0,0
150010212021374,0,0,0,0,0,0
150010212021132,0,0,0,0,0,0
150010212021034,0,0,0,0,0,0
150010212021018,0,0,0,0,0,0
150010212021403,0,0,0,0,0,0
150010212021032,0,0,0,0,0,0
150010212022624,0,0,0,0,0,0
150010212022461,2.9,1.6,2.8,1.5,0.2,0
150010212022651,0,0,0,0,0,0
150010212022503,0.6,0.3,0.6,0.3,0,0
150010212022502,1.7,0.9,1.6,0.9,0.1,0
150010212022492,1.9,1,1.8,1,0.1,0
150010212022683,0.6,0.3,0.6,0.3,0,0
150010212022501,1.3,0.7,1.2,0.7,0.1,0
150010212022699,0.8,0.5,0.8,0.4,0.1,0
150010212022616,0.8,0.5,0.8,0.4,0.1,0
150010212022637,0.6,0.3,0.6,0.3,0,0
150010212022653,0.4,0.2,0.4,0.2,0,0
150010212022625,0.8,0.5,0.8,0.4,0.1,0
150010212022468,1.5,0.8,1.4,0.8,0.1,0
150010212021168,0,0,0,0,0,0
150010212023051,0,0,0,0,0,0
150010212021384,0,0,0,0,0,0
150010212022424,0,0,0,0,0,0
150010212021081,0,0,0,0,0,0
150010212022613,0.2,0.1,0.2,0.1,0,0
150010212022610,0,0,0,0,0,0
150010212022452,0,0,0,0,0,0
150010212022607,0,0,0,0,0,0
150010212022650,1,0.6,1,0.5,0.1,0
150010212024043,0,0,0,0,0,0
150010212023012,0,0,0,0,0,0
150010212023016,0,0,0,0,0,0
150010212021014,0,0,0,0,0,0
150010212022156,0,0,0,0,0,0
150010212022157,0,0,0,0,0,0
150010212023008,0.4,0.2,0.4,0.2,0,0
150010210111086,0,0,0,0,0,0
150010210111084,0,0,0,0,0,0
150010210111076,0,0,0,0,0,0
150010210131189,0,0,0,0,0,0
150010210111019,0,0,0,0,0,0
150010210111035,0,0,0,0,0,0
150010210111023,0,0,0,0,0,0
150010210111036,1.9,0.7,1.6,0.9,0.1,0
150010210111090,1.9,0.7,1.6,0.9,0.1,0
150010210111003,0.8,0.3,0.7,0.4,0,0
150010210112028,18.8,6.6,16,8.5,0.8,0.3
150010210111042,2.1,0.8,1.8,1,0.1,0
150010210111095,0,0,0,0,0,0
150010210101019,0,0,0,0,0,0
150010210102042,17.5,5.8,15,7.3,0.9,0.2
150010210103034,2.8,0.9,2.4,1.2,0.1,0
150010210103033,1.7,0.5,1.4,0.7,0.1,0
150010210102071,1.3,0.5,1.1,0.6,0.1,0
150010221021162,0,0,0,0,0,0
150010221021213,0,0,0,0,0,0
150010221021385,0,0,0,0,0,0
150010221021387,0,0,0,0,0,0
150010221021422,0,0,0,0,0,0
150010221021012,0,0,0,0,0,0
150010221021365,0,0,0,0,0,0
150010221021518,0,0,0,0,0,0
150010221021318,0,0,0,0,0,0
150010218001026,7.1,2.3,6.4,2.7,0.2,0.1
150010218002035,0,0,0,0,0,0
150010218002034,0,0,0,0,0,0
150010215072000,5.3,2.5,4.8,2.7,0.3,0.1
150010215042010,0,0,0,0,0,0
150010215042017,0,0,0,0,0,0
150010215071148,0,0,0,0,0,0
150010215071055,0,0,0,0,0,0
150010215042053,0,0,0,0,0,0
150010215042002,0,0,0,0,0,0
150010216042000,0,0,0,0,0,0
150010215092016,5.5,3.5,5.3,3.3,0.3,0.1
150010216014000,0,0,0,0,0,0
150010220001557,0,0,0,0,0,0
150010220001253,0,0,0,0,0,0
150010220001053,0,0,0,0,0,0
150010220001292,0,0,0,0,0,0
150010220001013,0,0,0,0,0,0
150010220001015,0,0,0,0,0,0
150010211064058,0,0,0,0,0,0
150010201004025,3.5,1.1,3.2,1.2,0.2,0
150010201002056,0,0,0,0,0,0
150010201002055,0,0,0,0,0,0
150010201002011,3.1,0.7,2.7,0.9,0.1,0
150010201002043,19.7,4.7,17.4,6,0.6,0.3
150010201002015,0,0,0,0,0,0
150010201002036,0,0,0,0,0,0
150010217022007,0,0,0,0,0,0
150010217022008,0,0,0,0,0,0
150010217044013,31.2,17.4,28,18.9,1.4,0.4
150010217044005,30.7,17.1,27.5,18.5,1.4,0.4
150010217023083,0,0,0,0,0,0
150010217041048,0,0,0,0,0,0
150010217022001,0,0,0,0,0,0
150010217022042,0,0,0,0,0,0
150010217041092,0,0,0,0,0,0
150010217023005,0,0,0,0,0,0
150010217041028,0,0,0,0,0,0
150010217042018,0,0,0,0,0,0
150010217021012,1.5,0.5,1.2,0.7,0,0
150010208022008,17.7,4.2,16,5,0.8,0.3
150010206002051,0,0,0,0,0,0
150010206002047,0,0,0,0,0,0
150010206002036,0,0,0,0,0,0
150010206002174,0,0,0,0,0,0
150010205001021,0,0,0,0,0,0
150010204001041,0,0,0,0,0,0
150010208012009,0,0,0,0,0,0
150010205004014,0,0,0,0,0,0
150010208022010,28.1,6.7,25.4,7.9,1.2,0.4
150010208011029,13.8,4.5,11.5,6.4,0.4,0.1
150010206001010,0,0,0,0,0,0
150010205001007,0,0,0,0,0,0
150010208022006,28.9,7.7,26.6,8.9,0.9,0.3
150010206004056,1.9,0.5,1.6,0.6,0,0
150010212021389,0,0,0,0,0,0
150010212022746,0,0,0,0,0,0
150010212022087,0,0,0,0,0,0
150010212022038,0,0,0,0,0,0
150010212022759,0,0,0,0,0,0
150010212022757,0,0,0,0,0,0
150010212022762,0,0,0,0,0,0
150010212022068,0,0,0,0,0,0
150010212021172,0,0,0,0,0,0
150010212021354,0,0,0,0,0,0
150010212021164,0,0,0,0,0,0
150010212021305,0,0,0,0,0,0
150010212022204,0,0,0,0,0,0
150010212021268,0,0,0,0,0,0
150010212021294,0,0,0,0,0,0
150010212021284,0,0,0,0,0,0
150010212021274,0,0,0,0,0,0
150010212021285,0,0,0,0,0,0
150010212021314,0.6,0.1,0.5,0.1,0,0
150010221021401,0,0,0,0,0,0
150010221021402,0.4,0.1,0.4,0.2,0,0
150010221021259,0,0,0,0,0,0
150010221021524,0,0,0,0,0,0
150010221021132,0,0,0,0,0,0
150010221021253,0,0,0,0,0,0
150010221021254,4.5,1.3,4,1.6,0.2,0
150010221021463,2.7,0.8,2.4,1,0.1,0
150010221021450,0,0,0,0,0,0
150010221021336,0,0,0,0,0,0
150010221021305,0,0,0,0,0,0
150010220002025,2.1,0.6,1.7,0.9,0.1,0
