GEOID,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PRECCas,G16USSDSch,G16USSRCar,G16USSAGiu,G16USSLKok,G16USSCAll
150010220001015,0,0,0,0,0,0,0,0,0,0
150010211064058,0,0,0,0,0,0,0,0,0,0
150010201004025,3.5,1.2,0.2,0.2,0,3.9,0.8,0,0.1,0.1
150010201002056,0,0,0,0,0,0,0,0,0,0
150010201002055,0,0,0,0,0,0,0,0,0,0
150010201002011,2.8,0.9,0.2,0.1,0.1,3.1,0.7,0,0.1,0.1
150010201002043,18.1,6.1,1,0.9,0.3,20.1,4.2,0.1,0.4,0.5
150010201002015,0,0,0,0,0,0,0,0,0,0
150010201002036,0,0,0,0,0,0,0,0,0,0
150010217022007,0,0,0,0,0,0,0,0,0,0
150010217022008,0,0,0,0,0,0,0,0,0,0
150010217044013,30.1,19.3,1.6,2.2,0.7,33.4,16,0.3,1,1.4
150010217044005,29.5,18.9,1.6,2.2,0.6,32.8,15.7,0.3,1,1.4
150010217023083,0,0,0,0,0,0,0,0,0,0
150010217041048,0,0,0,0,0,0,0,0,0,0
150010217022001,0,0,0,0,0,0,0,0,0,0
150010217022042,0,0,0,0,0,0,0,0,0,0
150010217041092,0,0,0,0,0,0,0,0,0,0
150010217023005,0,0,0,0,0,0,0,0,0,0
150010217041028,0,0,0,0,0,0,0,0,0,0
150010217042018,0,0,0,0,0,0,0,0,0,0
150010217021012,1.4,0.5,0.1,0.1,0,1.6,0.4,0,0,0
150010208022008,17.7,5.2,1.2,0.8,0.3,19.5,3.5,0.2,0.5,0.7
150010206002051,0,0,0,0,0,0,0,0,0,0
150010206002047,0,0,0,0,0,0,0,0,0,0
150010206002036,0,0,0,0,0,0,0,0,0,0
150010206002174,0,0,0,0,0,0,0,0,0,0
