GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOWRI,G16USSRYOU,G16USSDBAY,G16USSLBRE,G16USSOWRI,G16GOVRHOL,G16GOVDGRE,G16GOVLBEL,G16GOVOWRI,G16ATGRHIL,G16ATGDARR,G16SPIRMCC,G16SPIDRIT
18041000210,18,041,000210,179.67,75.74,17.89,0.01,142.82,100.67,23.88,0,141.76,105.66,16.94,0,159.84,91.56,138.75,118.65
18041000220,18,041,000220,196.84,63.07,6.69,0.96,169.13,85.04,13.38,0,158.62,90.78,14.33,0,196.84,54.47,152.89,107.98
18041000230,18,041,000230,295,60,21,2,266,84,20,0,244,106,18,0,295,64,245,114
18041000240,18,041,000240,543.1,134.04,27.8,2.98,442.82,203.54,46.66,0,433.88,214.46,27.8,0,505.37,151.91,421.97,248.22
18041000250,18,041,000250,294,64,9,3,229,114,16,0,227,125,8,0,260,80,208,146
18041000260,18,041,000260,224,52,12,1,188,71,21,0,177,88,10,0,215,53,178,93
18041000270,18,041,000270,176,48,12,3,144,73,22,0,128,79,33,0,173,46,133,92
18041000280,18,041,000280,184,77,10,0,139,109,18,0,142,106,15,0,174,75,134,120
18043000010,18,043,000010,452.91,194.94,27.16,7.76,407.33,246.34,19.4,0,426.73,220.15,16.49,0.97,450,196.88,412.18,235.67
18043000020,18,043,000020,525,276,35,17,527,301,20,1,511,300,17,0,524,262,479,317
18043000030,18,043,000030,640,278,51,11,603,331,37,0,611,315,29,0,639,284,597,332
18043000040,18,043,000040,546.74,239.12,32.11,15.13,549.7,255.75,23.53,0.96,531.95,269.13,13.91,0,554.09,227.77,515.7,273.08
18043000050,18,043,000050,744.49,254.84,56.96,10.99,712.51,308.8,45.97,0,727.5,297.81,33.98,0,772.47,242.85,700.52,323.79
18043000060,18,043,000060,656.37,323.21,57.4,18.76,644.39,359.96,37.97,0.04,629.32,370.11,25.47,0,673.39,324.02,618.5,391.71
18043000070,18,043,000070,449.35,205.05,40.01,11.71,424.92,248,29.29,0.97,416.15,249.96,24.38,0,446.43,221.61,421.98,249
18043000080,18,043,000080,241.42,87.78,12.25,4.3,227.16,104.14,11.95,0.02,227.75,106.57,2.23,0,242.95,85.8,223.07,108.95
18043000090,18,043,000090,614.14,233.05,41,11,578.13,293.06,21,0,573.12,282.06,19,0,607.13,229.04,546.12,303.06
18043000100,18,043,000100,441.7,203.77,34.11,14.21,443.52,231.32,15.17,0,443.54,223.72,10.43,0.95,469.12,181.07,415.1,241.73
18043000110,18,043,000110,414.72,164.56,24.52,8.29,400.97,192.33,22.09,0,397.23,182.9,14.82,0.05,414.51,147.54,375.01,195.04
18043000120,18,043,000120,515,251,43,13,490,293,38,0,499,294,28,0,546,243,506,294
18043000130,18,043,000130,494,207,39,15,486,244,23,0,473,235,31,0,503,206,462,260
18043000140,18,043,000140,212.09,85.89,11.39,3.51,198.94,101.66,8.76,0,193.69,101.66,8.76,0,213.84,80.63,196.31,102.54
18043000150,18,043,000150,620.56,285.28,36.27,12.74,637.22,297.04,22.55,0,617.61,301.94,19.61,0,647.02,263.71,602.91,308.81
18043000160,18,043,000160,341,165,13,3,303,202,14,0,300,204,4,0,330,157,295,203
18043000170,18,043,000170,332,149,31,3,324,179,11,0,330,163,13,0,344,141,299,191
18043000180,18,043,000180,440,208,47,10,428,253,23,0,434,227,23,0,462,202,421,251
18043000190,18,043,000190,558,329,27,17,561,345,25,0,572,342,11,0,599,290,536,366
18043000200,18,043,000200,355,213,28,6,350,236,18,1,368,213,18,1,390,191,371,213
18043000210,18,043,000210,375.44,162.72,26.73,3.26,349.78,206.96,5.45,0,332.39,203.06,6.39,1,369.98,156.29,334.09,195.19
18043000220,18,043,000220,365.25,344.44,35.54,12.23,328.99,388.31,37.1,0.1,325.66,380.18,27.83,0,353.42,362.58,323.96,387.01
18043000230,18,043,000230,199.95,278.7,41.37,16.19,186.95,305.72,35.7,0.17,193.29,296.7,30.87,0,215.48,286.36,210.14,288.87
18043000240,18,043,000240,193,319,39,17,204,336,36,0,197,348,23,0,223,322,215,342
18043000250,18,043,000250,153.8,205.74,28.96,6.99,141.82,217.72,30.96,0,132.83,227.71,24.97,0,163.79,215.72,157.8,221.72
18043000260,18,043,000260,360.36,327.18,43.54,9.08,355.31,346.16,34.12,0.98,355.48,341.65,29.04,0,376.66,327.18,346.04,363.86
18043000270,18,043,000270,268,261,48,11,265,285,33,0,260,287,29,0,285,278,268,296
18043000280,18,043,000280,241,392,49,20,241,412,44,0,252,406,36,0,281,396,256,422
18043000290,18,043,000290,186,155,21,6,175,169,17,0,167,176,17,0,198,152,189,162
18043000300,18,043,000300,271,312,36,12,272,320,28,0,254,337,22,0,280,311,262,336
18043000310,18,043,000310,245.39,233.6,25.39,9.77,229.19,263.76,15.61,0,246.39,245.45,10.81,0,247.56,231.78,232.24,253.76
18043000320,18,043,000320,242.84,256.39,27.09,10.64,237.04,285.41,16.45,0,244.78,272.83,13.54,0,251.55,258.32,243.81,268
18043000330,18,043,000330,254,229,33,10,236,251,30,2,231,260,18,1,264,238,244,257
18043000340,18,043,000340,408,276,33,1,374,317,21,0,389,285,19,0,416,252,386,296
18043000350,18,043,000350,118.05,220.3,16.63,10.81,118.05,230.28,13.3,0.83,119.71,220.3,14.13,0,130.52,218.64,128.86,221.13
18043000360,18,043,000360,282.77,263.01,28.52,11.59,263.78,284.83,27.94,1,267.83,275.72,23.64,0,284.89,261.89,274.95,273.24
18043000370,18,043,000370,237,323,24,13,215,348,29,0,220,338,23,0,235,328,234,333
18043000380,18,043,000380,172,168,33,8,151,202,24,0,155,204,15,0,175,194,169,200
18043000390,18,043,000390,143.39,96.86,15.34,3.07,117.27,126.15,9.22,0,117.23,120.1,11.2,0,141.54,104.87,132.36,118.03
18043000400,18,043,000400,325.61,254.14,46.66,9.93,309.73,293.85,29.78,0,303.77,286.9,26.8,0,346.46,255.13,321.64,276.97
18043000410,18,043,000410,247,275,28,13,241,291,26,0,244,285,17,0,253,275,243,294
18043000420,18,043,000420,360,244,30,22,347,285,15,0,354,268,17,0,372,242,344,270
18043000430,18,043,000430,301,245,31,9,287,272,26,2,294,271,17,0,314,250,297,272
18043000440,18,043,000440,300,188,18,10,285,211,16,0,297,198,10,0,310,173,287,195
18043000450,18,043,000450,419.97,206.72,33.52,2.79,428.35,220.69,10.24,0,433,204.86,9.31,0,442.32,181.58,403.21,225.35
18043000460,18,043,000460,346.34,222.24,36.56,8.66,355,233.78,19.24,0.96,360.77,222.24,12.51,0.96,378.09,192.41,364.62,217.43
18043000470,18,043,000470,305.75,148.56,18.46,3.77,281.01,179.69,14.9,0.9,286.34,168.82,11.17,0,305.58,152.42,280.04,176.99
18043000480,18,043,000480,393,233,29,6,409,237,16,0,412,235,11,0,433,197,402,237
18043000490,18,043,000490,427,288,40,16,417,314,29,2,412,326,21,0,435,292,417,330
18043000500,18,043,000500,317.13,227.85,28.82,10.56,318.11,237.48,23.94,0,312.36,243.19,16.31,0,335.39,219.1,305.71,247.96
18043000510,18,043,000510,405,282,33,8,402,295,19,1,392,293,20,1,412,259,371,306
18043000520,18,043,000520,475,228,24,10,467,249,19,0,478,228,7,0,497,199,456,238
18043000530,18,043,000530,504.06,224.82,25.99,8.78,508.64,233.85,13.14,0.08,509.99,224.19,8.43,0.04,531.2,191.41,501.97,233.49
18043000540,18,043,000540,282.57,240.85,26.13,13.51,263.16,277.61,21.3,0,261.3,279.49,13.56,0.96,290.3,246.65,258.4,288.16
18043000550,18,043,000550,422.03,339.28,23.48,15.21,404.65,359.31,26.76,0,421,346.14,16.69,0,457.68,303.42,427.79,338.65
18043000560,18,043,000560,317,242,21,9,299,258,21,0,300,254,16,1,331,221,327,234
18043000570,18,043,000570,188,168,20,5,184,188,10,0,188,183,8,0,198,167,178,189
18043000580,18,043,000580,413.51,309.37,35.77,11.51,417.77,325.79,19.36,0.04,413.85,323.68,17.75,0.04,437.93,282.6,416.58,324.69
18043000590,18,043,000590,214.2,139.19,16.41,4.51,200.53,159.1,13.14,0,202.22,156.18,9.35,0,218.63,139.52,201.52,157.96
18043000600,18,043,000600,204.79,95.51,6.43,2.76,195.61,102.86,9.18,0,205.71,94.59,3.67,0,210.3,81.73,194.69,102.86
18045000010,18,045,000010,434,78,16,5,397,115,26,0,364,147,21,0,460,58,367,163
18045000020,18,045,000020,203.8,46.88,19.61,4.02,169.33,80.5,20.56,0,168.11,89.72,14.51,0,205.17,62.1,169.14,100.16
18045000030,18,045,000030,212.16,44.97,7.82,5.87,188.7,73.33,14.67,0,179.9,86.04,8.8,0,216.08,52.8,188.7,82.13
18045000040,18,045,000040,258,48,9,2,234,62,24,0,224,84,11,0,264,53,218,99
18045000050,18,045,000050,119.35,41.36,8.46,0,110.88,49.82,8.46,0,109.94,54.52,4.7,0,132.5,34.78,96.8,71.43
18045000060,18,045,000060,359.79,144,50.41,0,322.38,187.41,48.41,0,317.34,204.64,33.22,0,404.43,127.68,325.69,219.46
18045000070,18,045,000070,415.87,167.64,26.13,3,366.74,211.77,34.13,0,358.72,229.84,21.07,0,431.08,153.54,323.52,279.11
18045000080,18,045,000080,482,98,17,5,425,138,30,0,392,184,15,0,488,95,397,192
18045000090,18,045,000090,196,35,7,2,164,60,13,0,165,66,7,0,193,38,151,83
18045000100,18,045,000100,171,21,16,0,160,37,11,0,144,49,11,0,173,29,140,63
18045000110,18,045,000110,255.15,48.02,15.23,1.03,221.75,74.37,21.33,0,222.63,84.57,9.18,0,260.17,44.13,218.52,96.82
18045000120,18,045,000120,410.86,88.47,16.48,2.94,370.9,130.07,19.55,0,357.61,144.5,13.66,0,411.66,91.55,353.98,150.27
18045000130,18,045,000130,433.93,162.73,35.11,11.99,379.51,223.15,38.15,0,351.41,257.24,27.1,0,447.88,170.74,391.17,235.43
18045000140,18,045,000140,477.68,178.93,25.4,6.06,405.77,225.02,45.4,1,411.32,247.37,20.33,1,494.63,164.09,399.26,267.46
