GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMEN,G18USSRHUG,G18USSLSAB,G18USSGHOF,G18USSORIV,G18USSOFLA,G18USSOKIM,G18USSOSCH
34003115203,34,003,115203,517.4,91.3,5,0,11,1,1,0
34003115204,34,003,115204,325,101,2,1,7,1,0,0
34003115205,34,003,115205,322.1,78.1,4.5,0,1.8,0.9,0.9,0
34003115301,34,003,115301,244,21,1,0,4,1,1,0
34003115302,34,003,115302,282,99,2,0,4,0,0,0
34003115303,34,003,115303,347,20,0,1,2,0,0,0
34003115304,34,003,115304,512,89,1,7,9,0,1,0
34003115305,34,003,115305,395,83,6,3,7,0,1,0
34003115401,34,003,115401,419,130,5,4,2,1,4,0
34003115402,34,003,115402,707,192,7,4,5,0,3,0
34003115403,34,003,115403,570,185,14,9,5,1,0,1
34003115404,34,003,115404,479,178,6,12,9,1,1,3
34003115405,34,003,115405,339,104,1,4,4,1,1,0
34003115501,34,003,115501,412,118,5,1,7,2,0,3
34003115502,34,003,115502,313.3,97.6,2,3.9,3.9,1,5.9,0
34003115503,34,003,115503,352,180,5,7,0,4,0,0
34003115504,34,003,115504,380,135,5,4,2,0,2,0
34003115505,34,003,115505,319.1,146.3,11.3,4.2,4.1,1.2,0.1,0
34003115506,34,003,115506,388.8,98.9,7.5,5,4.2,5,1.7,0
34003120001,34,003,120001,316.6,266.4,2.7,3.4,4.3,0,0.9,0
34003120002,34,003,120002,424.8,362.9,8,4,3,5,4,0
34003120003,34,003,120003,380.8,365.8,13.6,1,1,2,3.9,2.9
34003125001,34,003,125001,239.5,342.7,5.8,1.2,1.1,4.1,2,0
34003125002,34,003,125002,263.4,316.2,15.1,3.8,2.8,2.8,0,0
34003125003,34,003,125003,249,324.7,4.1,0.4,7.1,1.1,2.2,0.1
34003125004,34,003,125004,249.1,327.5,1.1,3.7,1,1,1.9,0.9
34003125005,34,003,125005,238.5,267.3,6,0.1,3,5.9,2,0
34003125006,34,003,125006,223.2,259.6,2.7,2.7,1.8,0.9,0,0
34003125007,34,003,125007,253,237,6.5,8.2,4.6,1.9,0,0
34003125008,34,003,125008,310.2,274,5.7,0.9,2.9,1.9,0.9,0
34003125009,34,003,125009,216.9,170.8,4.1,1,3,2,0,0
34003130001,34,003,130001,561.3,352.8,4.2,6,1,2,0.1,0
34003130002,34,003,130002,513.6,297.8,11.5,4.8,2.9,1.9,2.9,1
34003135001,34,003,135001,264.6,373.7,12,3.7,1,0.9,2.8,1.9
34003135002,34,003,135002,364.1,302.6,14.8,7.5,4.2,2.3,2.3,0.2
34003135003,34,003,135003,454.1,438.2,15.3,2.1,7,4.1,0,1
34003135004,34,003,135004,432.2,460.9,5.3,1.4,7,2,2.1,0
34003135005,34,003,135005,426.3,482.3,4.3,4.2,3.3,4.1,2,4.1
34003135006,34,003,135006,460,461,8,10,1,0,2,0
34003140001,34,003,140001,339.2,461.3,12.2,5.1,2,1,3.1,4
34003140002,34,003,140002,319.3,402.8,4.6,3.7,0.1,0,1.9,0.9
34003140003,34,003,140003,290.2,419.6,3.2,0.2,5.9,1,5,0.1
34003145001,34,003,145001,391,164,10,6,8,1,0,0
34003145002,34,003,145002,370.3,160.2,5.3,2.4,2.1,2,3.2,0.1
34003145003,34,003,145003,346,114,2,9,1,2,1,1
34003145004,34,003,145004,312,125,4,5,0,2,0,4
