GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMEN,G18USSRHUG,G18USSLSAB,G18USSGHOF,G18USSORIV,G18USSOFLA,G18USSOKIM,G18USSOSCH
34003100006,34,003,100006,262.7,518.83,6.57,3.75,0.94,0,0,2.81
34003105101,34,003,105101,273.86,87.01,3.95,1,3.94,1.96,1.96,0.01
34003105102,34,003,105102,162,47,2,1,0,1,0,0
34003105103,34,003,105103,251.48,102.59,4.54,0.91,5.45,0.91,1.82,0
34003105201,34,003,105201,270.14,157.36,4.24,3.05,7.28,2.05,2.09,3
34003105202,34,003,105202,261,186,4,8,9,0,2,1
34003105203,34,003,105203,194,157,2,6,3,0,0,1
34003105301,34,003,105301,372,131,1,2,6,0,4,0
34003105302,34,003,105302,340,138,5,5,3,0,4,0
34003105303,34,003,105303,261,145,4,1,8,2,0,0
34003105401,34,003,105401,321,225,5,7,4,2,1,1
34003105402,34,003,105402,205,171,1,4,2,2,0,0
34003105403,34,003,105403,138.02,112.7,0.98,2.86,1.93,0.01,0,0.95
34003105501,34,003,105501,384,279,14,10,11,5,0,3
34003105502,34,003,105502,248.78,166.15,13.06,2.18,3.12,3,1,0.06
34003105503,34,003,105503,166,122,3,0,3,3,0,0
34003110001,34,003,110001,501.74,295.22,4.52,4.41,1.32,0.43,0.11,0
34003110002,34,003,110002,509.16,299.16,9.91,6.93,0.99,2.97,1.98,1.98
34003110003,34,003,110003,420,377,5,4,6,0,5,0
34003110004,34,003,110004,324,302,9,3,3,2,3,0
34003110005,34,003,110005,495.09,316.78,7.97,1.99,1.99,4.98,1.99,0
34003110006,34,003,110006,375.41,248.24,2.02,2,0.01,1.01,1,0
34003110007,34,003,110007,479.35,297.11,7.03,6.03,1,1.01,1.02,1
34003110008,34,003,110008,328,227,1,1,0,2,0,0
34003115101,34,003,115101,315.69,106.2,4.83,0,8.69,4.83,0,0.97
34003115102,34,003,115102,311.92,104.31,2.98,0,8.85,1.04,0,0.01
34003115103,34,003,115103,365,69,3,6,3,3,1,1
34003115104,34,003,115104,374.22,91.78,2.24,2.66,2.95,0.47,1.24,0.24
34003115201,34,003,115201,223,45,2,0,1,1,0,0
34003115202,34,003,115202,517,117,3,4,4,1,0,0
34003115203,34,003,115203,517.38,91.3,5.01,0,11.01,1,1,0
34003115204,34,003,115204,325,101,2,1,7,1,0,0
34003115205,34,003,115205,322.14,78.07,4.49,0,1.79,0.9,0.9,0
34003115301,34,003,115301,244,21,1,0,4,1,1,0
34003115302,34,003,115302,282,99,2,0,4,0,0,0
34003115303,34,003,115303,347,20,0,1,2,0,0,0
34003115304,34,003,115304,512,89,1,7,9,0,1,0
34003115305,34,003,115305,395,83,6,3,7,0,1,0
34003115401,34,003,115401,419,130,5,4,2,1,4,0
34003115402,34,003,115402,707,192,7,4,5,0,3,0
34003115403,34,003,115403,570,185,14,9,5,1,0,1
34003115404,34,003,115404,479,178,6,12,9,1,1,3
34003115405,34,003,115405,339,104,1,4,4,1,1,0
34003115501,34,003,115501,412,118,5,1,7,2,0,3
34003115502,34,003,115502,313.27,97.59,1.95,3.9,3.9,0.98,5.86,0
34003115503,34,003,115503,352,180,5,7,0,4,0,0
34003115504,34,003,115504,380,135,5,4,2,0,2,0
34003115505,34,003,115505,319.12,146.32,11.26,4.17,4.14,1.17,0.06,0
34003115506,34,003,115506,388.79,98.94,7.52,5.04,4.2,5.02,1.69,0.01
34003120001,34,003,120001,316.55,266.39,2.68,3.42,4.26,0,0.86,0
34003120002,34,003,120002,424.84,362.87,8,4,3,5,4,0
34003120003,34,003,120003,380.76,365.82,13.64,1,1,1.95,3.9,2.92
34003125001,34,003,125001,239.47,342.74,5.81,1.21,1.15,4.09,1.96,0
34003125002,34,003,125002,263.38,316.24,15.1,3.78,2.83,2.83,0,0
