GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRFIS,G18USSDRAY,G18USSLSCH,G18GOVRRIC,G18GOVDKRI,G18SOSREVN,G18SOSDDAN,G18TRERMUR,G18ATGRPET,G18AUDRJAN,G18AUDDSKI
31013001315,31,013,001315,442.5,89.48,22.62,424.8,127.83,433.65,115.05,501.5,501.5,422.83,117.02
31015000001,31,015,000001,270,39,16,275,51,236,36,244,248,223,35
31015000002,31,015,000002,348,62,12,351,70,311,63,315,317,293,74
31015000003,31,015,000003,178.5,26.93,5.98,182.49,30.92,165.54,24.93,156.58,161.56,162.55,25.93
3101700001P,31,017,00001P,559,107,22,557,125,542,95,595,593,522,107
3101700002P,31,017,00002P,225,39,7,228,38,213,34,229,232,214,36
3101700003P,31,017,00003P,368.89,44,13,365.92,50.98,360.89,31,356.89,355.88,342.89,37.99
31019000001,31,019,000001,516.62,222.81,17.22,506.91,245.73,517.2,199.19,601.96,604.96,490.64,218.54
31019000002,31,019,000002,357,203,27,357,227,372,189,451,457,354,197
31019000003,31,019,000003,562.3,256.65,24.11,564.33,274.73,565.33,238.58,681.57,682.59,529.15,268.71
31019000004,31,019,000004,761.27,325.01,28.01,764.28,346.02,785.28,283.01,926.28,918.29,749.26,304.03
31019000005,31,019,000005,352,172,29,378,175,369,158,455,456,345,176
31019000006,31,019,000006,653.57,317.32,30.94,630.62,364.22,666.54,283.4,794.28,794.28,625.63,324.31
31019000007,31,019,000007,420,308,32,420,341,435,296,564,565,408,314
31019000008,31,019,000008,263,132,20,264,149,264,132,339,341,248,138
31019000009,31,019,000009,339,237,37,348,266,373,221,474,475,336,246
31019000010,31,019,000010,519.03,302.25,43.04,560.05,304.27,555.07,288.22,700.17,700.17,509.01,310.27
31019000011,31,019,000011,240.47,159.75,27.14,240.54,185.81,257.73,158.43,337.28,344.28,236.44,171.64
31019000012,31,019,000012,261,248,24,277,252,281,235,374,375,265,243
31019000013,31,019,000013,663.07,348.72,37.3,671.46,374.63,692.82,309.97,831.88,841.88,664.14,332.37
31019000014,31,019,000014,502.74,270.48,40.94,524.71,288.47,523.78,269.4,642.51,642.53,498.7,272.52
31019000015,31,019,000015,186,27,8,194,30,187,23,186,186,182,28
31019000016,31,019,000016,312,81,12,327,79,314,62,343,339,301,69
31019000017,31,019,000017,157.76,39.72,10.18,157.98,47.69,150.75,49.68,174.19,172.18,141.59,56.82
31019000018,31,019,000018,383.24,156.28,38.82,430.02,149.31,380.25,147.32,476.81,474.82,346.41,178.18
31019000019,31,019,000019,352.04,58.67,7.82,353.99,65.52,331.5,52.81,336.39,333.46,324.66,60.63
31019000020,31,019,000020,585.22,153.27,29.86,593.18,175.17,592.18,139.34,644.93,652.9,543.42,175.17
31019000021,31,019,000021,298,58,7,297,63,289,61,305,306,280,68
31019000022,31,019,000022,171,38,5,171,42,173,41,199,200,174,39
31019000023,31,019,000023,175,76,4,178,73,164,73,205,206,160,75
31019000024,31,019,000024,350,140,35,371,157,371,135,420,421,347,156
31019000025,31,019,000025,341,98,25,349,115,367,83,390,391,350,87
31019000026,31,019,000026,388.95,113.11,14.15,390.18,124.02,390.41,111.62,428.97,431.97,367.01,114.87
31019000027,31,019,000027,141.72,74.43,5.43,149.77,71.8,157.77,57.53,177.6,177.61,143.48,66.43
31019000028,31,019,000028,377.96,83.33,18.18,385.01,95.48,376.5,83.19,408.61,407.54,364.34,83.37
31019000029,31,019,000029,308.04,65.2,11.85,313.97,72.12,321.87,56.32,345.58,347.55,301.13,71.13
31021000001,31,021,000001,104.13,40.19,4.02,106.1,45.23,96.1,40.23,107.22,112.2,94.09,42.23
31021000002,31,021,000002,202.55,43.48,11.86,202.55,53.36,198.6,39.52,204.53,208.48,163.03,86.95
31021000003,31,021,000003,136,50,9,132,62,124,62,151,153,98,98
31021000004,31,021,000004,165.55,115.68,9.97,158.57,134.63,146.6,128.65,200.45,202.45,140.62,129.65
31021000005,31,021,000005,141,32,3,134,43,128,34,144,145,123,45
31021000006,31,021,000006,214,111,17,210,135,204,123,276,270,187,139
31021000007,31,021,000007,227.45,68.52,9.14,214.45,90.64,204.4,65.48,236.47,237.52,157.97,135.05
31021000008,31,021,000008,215,58,10,211,78,210,48,225,222,184,85
31021000009,31,021,000009,165.93,67.97,9,164.93,81.96,160.93,64.97,183.92,176.92,141.94,90.96
31021000010,31,021,000010,211.39,137.15,6.02,222.4,130.17,203.36,119.15,274.41,267.43,192.36,140.16
31021000011,31,021,000011,212,112,15,217,122,209,118,278,278,188,136
3102300001W,31,023,00001W,178.57,74.4,14.88,197.42,69.44,175.59,66.46,213.29,214.28,173.61,66.46
3102300002P,31,023,00002P,353,109,22,393,95,381,81,403,404,351,104
3102300002W,31,023,00002W,260,97,11,261,106,257,80,290,292,240,92
3102300003W,31,023,00003W,300.53,105.42,14.78,305.46,119.21,296.58,96.55,335.01,340.92,264.07,110.35
3102300005P,31,023,00005P,202,73,13,220,76,184,74,217,222,180,76
3102300006P,31,023,00006P,216,75,14,228,84,216,56,239,250,211,57
3102300008P,31,023,00008P,183.9,48.18,5.34,196.12,39.35,173.82,33.99,192.71,193.8,168.32,41.19
3102300011P,31,023,00011P,177,34,10,180,44,179,30,181,188,158,40
3102300013P,31,023,00013P,225,118,12,247,106,209,96,260,266,205,85
3102300014P,31,023,00014P,157,51,13,172,46,161,42,167,174,147,48
3102300016P,31,023,00016P,217,86,7,232,85,189,76,227,235,185,77
3102500001P,31,025,00001P,561.88,295.95,32.4,556.84,338.41,570.7,277.26,631.81,632.91,541.71,280.23
3102500001W,31,025,00001W,130.74,87.8,16.06,136.75,93.88,118.68,94.73,172.01,167,117.56,92.79
3102500002P,31,025,00002P,115.12,58.05,11.6,114.16,71.59,110.3,66.74,142.19,145.09,110.29,65.77
3102500002W,31,025,00002W,126.85,76.3,13.46,115.36,98.4,120.09,79.12,145.26,143.33,115.21,82.04
31025000031,31,025,000031,394.45,204.2,18.15,391.61,226.13,373.48,217.5,461.27,452.68,351.46,236.65
3102500003P,31,025,00003P,225,138,24,242,140,236,133,281,282,220,134
3102500003W,31,025,00003W,146.19,95.03,13.69,150.1,103.83,141.28,102.73,183.41,183.35,136.17,106.83
3102500004P,31,025,00004P,272,165,14,284,170,270,148,322,321,256,154
