GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRSAS,G20USSDJAN,G20USSLSIA
31055003-16,31,055,003-16,304,770,19,403,386,72
31055003-17,31,055,003-17,360,815,25,436,528,76
31055003-18,31,055,003-18,236,873,17,275,520,76
31055003-19,31,055,003-19,291,1005,35,350,627,96
31055003-20,31,055,003-20,413,1053,23,556,433,77
31055003-21,31,055,003-21,301.9,959.5,38.86,424.45,538.04,94.65
31055003-22,31,055,003-22,185,492,14,209,366,56
31055003-23,31,055,003-23,467,746,21,600,374,61
31055003-24,31,055,003-24,350.61,672.49,18.82,452.62,353.58,49.52
31055003-25,31,055,003-25,447.77,596.4,28.22,494.8,349,76.2
31055003-26,31,055,003-26,468,733,22,509,480,80
31055004-01,31,055,004-01,166,327,14,168,266,34
31055004-02,31,055,004-02,366,546,18,374,389,70
31055004-03,31,055,004-03,205.35,620.88,24.25,247.45,457.6,42.69
31055004-04,31,055,004-04,372.97,687.1,39.89,426.82,479.67,80.78
31055004-05,31,055,004-05,641,757,37,712,484,93
31055004-06,31,055,004-06,350.85,713.7,25.99,373.84,567.76,71.97
31055004-07,31,055,004-07,378.22,489.73,30.11,424.35,349.11,52.27
31055004-08,31,055,004-08,507,613,25,551,420,79
31055004-09,31,055,004-09,202,393,11,201,299,41
31055004-10,31,055,004-10,238,658,12,263,529,45
31055004-11,31,055,004-11,476,599,23,523,412,70
31055004-12,31,055,004-12,542,550,32,573,406,69
31055004-13,31,055,004-13,384,591,27,446,365,69
31055004-14,31,055,004-14,164.2,372.53,17.02,158.26,283.65,58.06
31055004-15,31,055,004-15,308,663,26,322,516,64
31055004-16,31,055,004-16,397,667,24,427,402,96
31055004-17,31,055,004-17,327.93,384.57,15.9,347.8,297.12,38.76
31055004-18,31,055,004-18,178.48,532.49,10.85,179.47,420.08,37.47
31055004-19,31,055,004-19,414.01,547.71,25.21,454.18,366.94,87.79
31055004-20,31,055,004-20,529.39,468.78,23.4,588.98,263.42,52.39
31055004-21,31,055,004-21,474.9,826.01,36.5,532.96,575.23,96.12
