GEOID,G18GOVRSUN,G18GOVDKEL,G18GOVIJAR,G18GOVOWRI
330019652002007,0,0,0,0
330019653001041,5.8,3.6,0.1,0
330019652001034,6.2,3.8,0.1,0
330019653001080,1.6,1,0,0
330019653001093,0.8,0.5,0,0
330019653001081,0,0,0,0
330019653003067,0.8,0.5,0,0
330019665001039,30.4,11.7,0.3,0
330019665001040,9.8,3.8,0.1,0
330019665002001,0,0,0,0
330019665003021,0,0,0,0
330019665004006,0.9,0.4,0,0
330019665004012,3.7,1.4,0,0
330019665003033,2.3,0.9,0,0
330019665004049,0.9,0.4,0,0
330019665004064,1.4,0.5,0,0
330019665004075,0,0,0,0
330019665002036,0,0,0,0
330019664011034,1.2,0.8,0,0
330019664011044,0,0,0,0
330019664023039,8.7,5.3,0.1,0
330019664022010,9.9,6,0.1,0
330019664011024,0,0,0,0
330019656001064,0.8,0.4,0,0
330019656002006,0,0,0,0
330019656002002,20.6,10.9,0.5,0
330019656002040,0,0,0,0
330019656003058,3.4,1.8,0.1,0
330019656003052,0,0,0,0
330019656003040,0,0,0,0
330019656003000,4.6,2.4,0.1,0
330019651002035,2.7,1.9,0.1,0
330019651002108,0,0,0,0
330019651002064,0,0,0,0
330019651003090,22.3,15.4,0.8,0.1
330019651002060,0,0,0,0
330019651003077,0,0,0,0
330019651002023,2.3,1.6,0.1,0
330019651002090,0,0,0,0
330019651002116,0,0,0,0
330019651003098,0,0,0,0
330019651003080,0,0,0,0
330019651003130,0,0,0,0
330019651003042,0,0,0,0
330019651003049,0,0,0,0
330019651003060,6.6,4.6,0.2,0
330019651003059,0,0,0,0
330019651002014,0.8,0.5,0,0
330019651002051,0,0,0,0
330019651002038,0,0,0,0
330019657003030,14,7.8,0.5,0
330019657003011,8.9,5,0.3,0
330019657002031,0,0,0,0
330019657002050,3.2,1.8,0.1,0
330019657002010,0,0,0,0
330019657002007,4.3,2.4,0.1,0
330019657003052,0.4,0.2,0,0
330019657003038,0.4,0.2,0,0
330019657001031,37.9,21.3,1.3,0
330019657003036,0,0,0,0
330019657001000,4.3,2.4,0.1,0
330019657003009,0,0,0,0
330019657001009,0,0,0,0
330019661002016,6.1,3.3,0.1,0
330019660004052,0,0,0,0
330019661002014,2.2,1.2,0,0
330019660004048,0,0,0,0
330019662002029,1.9,1.3,0.1,0
330019659003022,21.6,14,0.9,0
330019661001027,7.5,5.9,0.2,0
330019661001012,0.7,0.5,0,0
330019660003020,6.4,4.6,0.2,0
330019659003014,3.3,2.6,0.1,0
330019660004072,5.5,3.9,0.2,0
330019662002020,10.7,6,0.1,0
330019660003035,4,2.8,0.1,0
330019659001036,9.1,5.9,0.4,0
330019659004027,0.5,0.4,0,0
330019661004053,0,0,0,0
330019661004013,4.7,2.5,0.1,0
330019661002002,0.8,0.5,0,0
330019661002037,6.2,3.5,0.1,0
330019660004035,0,0,0,0
330019662001002,0,0,0,0
330019660004029,0,0,0,0
330019660004042,0,0,0,0
330019662001000,0,0,0,0
330019665001013,0,0,0,0
330019665004071,0,0,0,0
330019665004051,0,0,0,0
330019665003068,1.9,0.7,0,0
330019665002066,0.9,0.4,0,0
330019665001056,0,0,0,0
330019665003108,6.1,2.3,0.1,0
330019665002084,0,0,0,0
330019665001061,0,0,0,0
330019665004144,0,0,0,0
330019665002003,0,0,0,0
330019665001006,0,0,0,0
330019665001002,0,0,0,0
330019665004001,0,0,0,0
330019665002083,0,0,0,0
330019665002061,0,0,0,0
330019665004033,1.4,0.5,0,0
330019665004028,0,0,0,0
330019662003015,15.2,8.5,0.2,0
330019662003005,31.8,17,0.5,0
330019661004016,0,0,0,0
330019660004046,33.6,17.9,0.6,0
330019660004068,0,0,0,0
330019660003034,14.9,10.7,0.4,0.1
330019661002003,34.7,18.5,0.6,0
330019660004005,9.8,5.2,0.2,0
330019662003046,1.6,0.9,0,0
330019659004009,0,0,0,0
330019659001024,8.3,5.4,0.4,0
330019661002005,9,4.8,0.2,0
330019660004026,0,0,0,0
330019661003009,4.1,2.3,0.1,0
330019655983048,4.9,3.3,0.1,0
330019655983091,0,0,0,0
330019655981009,1.6,1.1,0,0
330019655983024,2.7,1.8,0.1,0
330019655982062,0,0,0,0
330019655982039,1.4,0.9,0,0
330019655983066,3,2,0.1,0
330019655981036,1.9,1.3,0.1,0
330019655981017,0,0,0,0
330019655982055,0,0,0,0
330019655982001,0,0,0,0
330019655983022,0,0,0,0
330019655983050,0.5,0.4,0,0
330019655981030,0,0,0,0
330019655982058,0,0,0,0
330019655983005,0,0,0,0
330019665004061,23.8,9.2,0.2,0
330019664023040,3.7,2.3,0.1,0
330019664021014,0,0,0,0
330019664024033,0,0,0,0
330019664011131,2.9,1.8,0,0
330019664024038,0,0,0,0
330019664025011,7,4.3,0.1,0
330019664011112,0,0,0,0
330019664025028,2.1,1.3,0,0
330019664021026,10.7,6.5,0.2,0
330019664025027,5.8,3.5,0.1,0
330019664025030,4.1,2.5,0.1,0
330019664011045,0,0,0,0
330019664011169,1.2,0.8,0,0
330019664024017,0,0,0,0
330019664025017,0,0,0,0
330019664021022,5.8,3.5,0.1,0
330019664011037,1.2,0.8,0,0
330019664011165,0,0,0,0
330019654002036,0,0,0,0
330019654002042,1.2,0.7,0,0
330019654002103,0.8,0.5,0,0
330019654002069,36.2,22.9,0.8,0.1
330019654002070,0.8,0.5,0,0
330019654002041,21.5,13.7,0.5,0.1
330019654002034,0,0,0,0
330019654002091,16.5,10.5,0.4,0.1
330019651001085,11.5,7,0.4,0
330019651001047,0,0,0,0
330019651001038,0,0,0,0
330019664011170,0,0,0,0
330019664011171,0,0,0,0
330019664024028,0,0,0,0
330019664011117,0,0,0,0
330019664022014,0.8,0.5,0,0
330019664011123,0,0,0,0
