GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRREY,G18GOVDHUB,G18GOVLPOR,G18GOVOSIE,G18GOVOWRI,G18ATGDMIL,G18ATGLBAT,G18ATGOWRI,G18SOSRPAT,G18SOSDDEJ,G18SOSLOFE,G18SOSOWRI,G18TRERDAV,G18TREDFIT,G18TRELHIR,G18TREOWRI,G18AUDRMOS,G18AUDDSAN,G18AUDLPER,G18AUDOWRI,G18AGRRNAI,G18AGRDGAN,G18AGRLSTE,G18AGROWRI
19049049002,19,049,049002,875.17,1522.16,45.51,14,3,1872.24,426.58,12,956.68,1411.65,64.01,2,727.14,1632.69,58.51,2,811.65,1533.17,80.51,2,876.66,1460.66,76.01,3
19049049003,19,049,049003,227.98,263.95,11.67,1.46,0,349.51,102.08,4.86,249.86,228.95,19.44,0,188.12,287.77,17.99,0,202.7,274.65,18.47,0,225.06,249.37,19.93,0
19049049004,19,049,049004,88.54,102.51,4.53,0.57,0,135.74,39.65,1.89,97.04,88.92,7.55,0,73.06,111.76,6.99,0,78.72,106.67,7.17,0,87.41,96.85,7.74,0
19049049005,19,049,049005,140.95,163.19,7.21,0.9,0,216.08,63.11,3.01,154.48,141.55,12.02,0,116.31,177.92,11.12,0,125.32,169.8,11.42,0,139.15,154.17,12.32,0
19049049006,19,049,049006,357.54,264.25,12.85,0,0.56,408.94,145.81,2.79,379.89,229.61,14.53,0,294.97,309.5,16.76,0,324.02,275.98,16.76,0,356.42,245.25,20.11,0.56
19049049007,19,049,049007,168.74,124.71,6.06,0,0.26,193,68.82,1.32,179.29,108.37,6.86,0,139.21,146.07,7.91,0,152.92,130.25,7.91,0,168.22,115.75,9.49,0.26
19049049008,19,049,049008,334.37,239.66,13.44,2.88,1.44,376.08,143.66,1.92,349.75,211.31,16.81,0.48,272.88,283.37,18.26,0.48,307.95,247.84,20.17,0.48,325.74,232.91,16.81,0.48
19049049009,19,049,049009,59.58,35.38,1.47,0.37,0,57.38,28.05,0.73,63.25,28.97,2.57,0,49.5,41.98,3.3,0,55,37.77,2.2,0,61.05,30.43,2.93,0
19049049010,19,049,049010,98.91,58.74,2.43,0.61,0,95.26,46.57,1.22,105,48.09,4.26,0,82.17,69.7,5.48,0,91.3,62.7,3.65,0,101.35,50.52,4.87,0
19049049011,19,049,049011,141.9,84.27,3.49,0.87,0,136.66,66.8,1.75,150.63,68.98,6.11,0,117.88,99.98,7.86,0,130.98,89.94,5.24,0,145.39,72.48,6.99,0
19049049012,19,049,049012,24.11,14.32,0.59,0.15,0,23.22,11.35,0.3,25.59,11.72,1.04,0,20.03,16.99,1.34,0,22.26,15.28,0.89,0,24.7,12.31,1.19,0
19049049013,19,049,049013,172.22,83.54,2.94,1.47,0.74,154.56,66.24,2.58,172.59,73.6,8.46,0,130.64,115.55,5.52,0,147.2,100.1,5.15,0,167.81,77.28,6.99,0.37
19049049014,19,049,049014,223.69,109.88,3.86,1.91,0.94,202.07,86.2,3.32,224.07,96.85,11.09,0.02,169.68,151.25,7.28,0.01,191.05,131.36,6.79,0.02,217.94,101.64,9.11,0.47
19049049015,19,049,049015,362.36,259.74,14.57,3.12,1.56,407.6,155.66,2.08,379.01,229.03,18.22,0.52,295.7,307.13,19.78,0.52,333.71,268.61,21.86,0.52,352.98,252.45,18.22,0.52
19049049016,19,049,049016,22.24,16.44,0.8,0,0.03,25.44,9.07,0.17,23.63,14.28,0.9,0,18.35,19.25,1.04,0,20.15,17.17,1.04,0,22.17,15.25,1.25,0.03
19049049017,19,049,049017,708.8,419.26,21.34,5.91,0.74,684.47,324.01,10.31,727.89,373.01,30.17,2.21,583.23,504.44,31.63,1.48,636.08,456.72,31.65,1.47,690.49,397.15,34.63,1.47
19049049018,19,049,049018,103.29,83.75,3.82,0.08,0.14,124.11,43.21,0.96,109.66,73.61,4.62,0.06,85.55,96.22,5.04,0.02,94.33,86.49,5.04,0.04,103.09,77.55,6.06,0.18
19049049019,19,049,049019,2963.64,2282.86,60,5.01,0.02,3377.56,1147.48,52.91,3088.48,2028.22,86.99,1,2459.79,2643.64,78.98,2.01,2786.14,2302.39,87,2.01,2970.7,2083.95,88.95,2.02
19049049020,19,049,049020,1903.98,1585.02,32.78,4.97,1.97,2283.22,773.26,35.88,1960.91,1451.61,50.58,0,1582.35,1775.98,57.67,0.98,1794.28,1576.81,60.53,1.99,1886.98,1441.4,71.6,1.97
19049049021,19,049,049021,1373.45,1091.39,45.09,15.56,0.3,1649.43,582.02,15.01,1407.7,963.74,86.12,1.98,1083.66,1270.75,77.99,0.99,1193.09,1175.71,65.86,1.98,1345.78,997.13,76.63,1.15
19049049022,19,049,049022,974.2,851.33,23.9,4.48,0,1189.98,407.71,20.6,982.86,781.15,42.71,0,789.95,953.17,43.61,0.9,912.05,853.15,41.22,0.6,944.94,792.2,47.79,0.6
19049049023,19,049,049023,934,1075,18,2,1,1352,402,19,984,982,35,0,818,1114,37,0,913,1038,35,2,944,986,33,1
19049049024,19,049,049024,637.08,719.97,10.98,3,1,941.65,247.64,9.99,657.06,671.04,20.97,0,530.24,773.89,23.97,0,589.15,718.97,30.96,0,644.07,662.05,23.97,0
19049049025,19,049,049025,581.06,584.28,11.01,1.46,0,795.57,229.87,8.69,596.17,538.01,18.16,0,472.92,658,15.94,0,545.56,576.46,27.62,0,589.66,523.82,26.93,0
19049049026,19,049,049026,514.83,270.97,12.54,5.84,0.14,440.73,240.55,8.84,543.39,238.72,15.09,0.14,440.92,333.77,16.95,0.28,473.18,305.51,14.37,0.14,514.25,262.88,20.21,0.14
19049049027,19,049,049027,163.95,162.27,9.57,5.17,0.86,230.25,85.55,5.21,167.53,154.19,13.05,0.87,138.98,180.07,12.21,1.72,147.12,171.98,14.77,0.87,166.35,149.29,19.92,0.87
19049049028,19,049,049028,402.96,286.55,10.45,4.48,0.75,451.47,178.35,8.95,417.14,258.94,15.67,0.75,338.79,330.58,20.89,0.75,370.87,305.95,15.67,0.75,391.77,284.31,14.18,1.49
19049049029,19,049,049029,137.04,97.45,3.55,1.52,0.25,153.53,60.65,3.05,141.86,88.06,5.33,0.25,115.21,112.42,7.11,0.25,126.13,104.05,5.33,0.25,133.23,96.69,4.82,0.51
19049049030,19,049,049030,425.51,335.1,8.36,0.53,0.84,480.65,170.44,15.67,439.71,303.02,15.03,0.05,362.52,374.64,17.21,0.13,398.95,344.7,13.53,0.05,421.34,310.42,15.64,0.09
19049049031,19,049,049031,249.73,147.51,7.5,2.07,0.26,240.93,114.13,3.62,256.46,131.21,10.61,0.78,205.48,177.53,11.13,0.52,224.11,160.71,11.13,0.52,243.26,139.75,12.16,0.52
19049049032,19,049,049032,753,818,33,4,1,1120,331,10,807,720,46,0,626,893,38,0,698,820,47,0,758,750,45,0
19049049033,19,049,049033,784.09,965.12,33.89,4,0.05,1207.87,375.99,14.18,827.8,882.69,53.96,2.94,663.48,1033.55,46.97,1,748.16,956.88,47.08,1.96,787.61,886.47,56.92,2
19049049034,19,049,049034,779,1033,22,10,0,1339,303,13,804,963,37,1,654,1110,31,2,729,1033,36,2,780,966,46,2
19049049035,19,049,049035,941.99,640.6,12.93,0,0,1003.67,315.32,20.89,957.91,580.91,14.92,0,742.06,777.87,22.88,0,853.46,667.45,22.88,0,914.14,592.85,14.92,0
19049049036,19,049,049036,525.84,507.38,15.73,2.05,0,653.02,250.27,10.26,523.1,465.66,30.09,0,434.21,549.77,28.04,0,484.13,507.38,28.72,1.37,518.32,462.25,31.45,1.37
19049049037,19,049,049037,149.32,126.42,0.76,1.67,0,183.73,58.89,2.91,163.34,106.53,5.24,0,120.05,148.54,4.45,0.02,145.79,120.28,6.73,0.03,153.99,112.87,4.6,0.03
19049049038,19,049,049038,724.27,1025.23,36,3,0,1241.34,366.11,15.01,753.31,965.19,40.01,0,635.22,1052.27,47.01,1,691.27,1001.21,42.01,0,734.29,927.2,59.01,0
19049049039,19,049,049039,380,470,22,1,2,616,171,5,398,438,23,1,299,524,23,1,356,472,27,1,384,430,28,1
19049049040,19,049,049040,660.27,764.63,18.28,3.82,0.16,1037.59,257.33,15.88,693.03,704.7,27.82,0.95,541.35,830.12,34.82,0.95,629.61,752.2,33.23,0.95,677.94,694.5,31.64,1.91
19051051001,19,051,051001,128.34,45.98,2.4,0.4,0,97.16,45.18,1.2,129.94,40.38,1.6,0,103.55,65.17,4,0,111.95,54.37,4.8,0,119.54,48.38,4.4,0
19051051002,19,051,051002,124.49,44.6,2.33,0.39,0,94.24,43.82,1.16,126.04,39.17,1.55,0,100.44,63.21,3.88,0,108.59,52.74,4.65,0,115.96,46.93,4.27,0
19051051003,19,051,051003,220.04,83.98,7.81,0.65,0,167.96,91.79,4.56,224.6,80.08,5.86,0,180.33,121.09,9.11,0,203.77,91.79,11.07,0,205.72,91.14,11.72,0
19051051004,19,051,051004,117.96,45.02,4.19,0.35,0,90.04,49.21,2.44,120.4,42.92,3.14,0,96.67,64.91,4.89,0,109.23,49.21,5.93,0,110.28,48.86,6.28,0
19051051005,19,051,051005,60.24,19.45,1.7,0.38,0,43.81,22.85,0.94,62.7,15.67,1.13,0,48.53,28.89,2.45,0,55.9,20.21,2.27,0,56.09,20.77,3.02,0
19051051006,19,051,051006,61.12,28.87,0.89,0.18,0,54.89,18.71,0,60.95,25.48,0.89,0,46.87,39.74,0.71,0,53.28,32.25,1.6,0,56.31,29.23,2.14,0
19051051007,19,051,051007,187.38,88.5,2.73,0.55,0,168.26,57.36,0,186.83,78.12,2.73,0,143.67,121.83,2.19,0,163.34,98.88,4.92,0,172.63,89.6,6.56,0
19051051008,19,051,051008,591.55,423.73,25.02,6,0,685.39,211.47,6,584.55,400.64,29.02,0,452.19,541,28.02,0,524.35,461.81,33.04,1,561.43,403.74,45.05,1
19051051009,19,051,051009,68.17,24.42,1.27,0.21,0,51.61,24,0.64,69.02,21.45,0.85,0,55,34.62,2.12,0,59.46,28.88,2.55,0,63.5,25.7,2.34,0
19051051010,19,051,051010,42.51,18.71,0.27,0,0,35.02,14.7,0.53,41.71,17.91,0.8,0,35.29,24.33,0.27,0,37.16,20.05,1.6,0,38.77,18.98,2.41,0
19051051011,19,051,051011,73.63,32.42,0.46,0,0,60.66,25.47,0.93,72.24,31.03,1.39,0,61.13,42.14,0.46,0,64.37,34.73,2.78,0,67.15,32.88,4.17,0
19051051012,19,051,051012,42.86,18.87,0.27,0,0,35.31,14.83,0.54,42.05,18.06,0.81,0,35.58,24.53,0.27,0,37.47,20.22,1.62,0,39.09,19.14,2.43,0
19051051013,19,051,051013,92.95,43.9,1.35,0.27,0,83.46,28.45,0,92.68,38.75,1.35,0,71.27,60.43,1.08,0,81.03,49.05,2.44,0,85.63,44.44,3.25,0
19051051014,19,051,051014,64.9,20.95,1.83,0.41,0,47.2,24.62,1.02,67.54,16.88,1.22,0,52.28,31.13,2.64,0,60.22,21.77,2.44,0,60.42,22.38,3.25,0
19051051015,19,051,051015,127.05,41.02,3.58,0.8,0,92.4,48.19,1.99,132.23,33.06,2.39,0,102.36,60.94,5.18,0,117.89,42.62,4.78,0,118.29,43.81,6.37,0
19051051016,19,051,051016,66.81,21.57,1.88,0.42,0,48.59,25.34,1.05,69.53,17.38,1.26,0,53.83,32.04,2.72,0,61.99,22.41,2.51,0,62.2,23.04,3.35,0
19053053001,19,053,053001,98.19,40.3,2.2,0,0.73,82.8,27.84,0,97.45,38.84,2.93,0,76.2,60.08,1.47,0,80.6,54.22,2.93,0,90.13,50.56,0.73,0
19053053002,19,053,053002,68.36,36.17,1.81,1.09,0,68,27.13,0,69.08,35.08,1.45,0,54.61,50.27,1.81,0,59.68,41.96,2.89,0,63.66,39.06,3.62,0
19053053003,19,053,053003,33.84,17.9,0.9,0.54,0,33.66,13.43,0,34.19,17.37,0.72,0,27.03,24.88,0.9,0,29.54,20.77,1.43,0,31.51,19.33,1.79,0
19053053004,19,053,053004,52.36,27.7,1.39,0.83,0,52.08,20.78,0,52.91,26.87,1.11,0,41.83,38.51,1.39,0,45.71,32.14,2.22,0,48.76,29.92,2.77,0
19053053005,19,053,053005,34.45,18.23,0.91,0.55,0,34.26,13.67,0,34.81,17.68,0.73,0,27.52,25.33,0.91,0,30.07,21.14,1.46,0,32.08,19.68,1.82,0
19053053006,19,053,053006,57.7,22.66,2.72,0,0,45.31,24.77,0,54.07,24.17,3.02,0,46.82,32.02,2.72,0,48.94,28.7,3.93,0,51.96,25.98,3.62,0
19053053007,19,053,053007,88.94,34.92,4.19,0,0,69.85,38.18,0,83.35,37.25,4.66,0,72.18,49.36,4.19,0,75.44,44.24,6.05,0,80.09,40.05,5.59,0
19053053008,19,053,053008,69.63,35.84,2.18,0.39,0.13,69.37,23.51,0.77,69.24,31.22,3.85,0,53.06,48.69,2.95,0.13,61.28,39.82,3.85,0.13,64.11,35.33,4.62,0
19053053009,19,053,053009,412.24,212.2,12.93,2.28,0.76,410.72,139.19,4.56,409.95,184.82,22.82,0,314.12,288.26,17.49,0.76,362.8,235.78,22.82,0.76,379.53,209.16,27.38,0
