GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
10001004-28,10,001,004-28,23,30.7,0.3,0,25,28.3,23.3,30.7,20,32.2,1.2,23.6,29.8
10001004-29,10,001,004-29,263.3,326.4,5.7,4.7,281.4,297.4,275.7,316.1,210.5,375.6,10.9,255,333.7
10001004-30,10,001,004-30,187.2,368.2,5,4.3,211.9,321,202,349,145.6,401.8,9.8,181.9,369.6
10001004-31,10,001,004-31,569.6,264.1,3,6.3,589.9,237.8,567.2,271.4,501.9,316.5,15.7,544.2,285.4
10001004-32,10,001,004-32,161.7,58.9,4.4,1.6,159.6,61.9,150.8,72.1,148.6,69.2,5.2,154.5,66.3
10001004-33,10,001,004-33,654.9,841,17.2,22,716,761.9,670.4,841,542.9,951.5,29.2,620,896.3
10001004-34,10,001,004-34,1423.6,1055.5,21.4,36.8,1497.7,975,1433.6,1053.8,1214.7,1255,38.3,1349.8,1138.6
10001005-28,10,001,005-28,1515.6,800.4,19.3,25.3,1539.2,760.3,1503.2,828.3,1375.3,918.3,39.1,1472.8,846.8
10001005-29,10,001,005-29,173.3,389.1,7.3,8,199,350.1,198.1,370.7,144,416.2,13.8,172.3,394.9
10001005-30,10,001,005-30,576.8,698.8,5,16.7,625.1,604,616,653,480.4,776.2,23.2,566.1,705.4
10001005-31,10,001,005-31,612,288,17,16,641,258,596,323,517,386,23,587,325
10001005-32,10,001,005-32,269.4,203.2,6.9,4.5,298.9,166.4,279.5,194.5,233.8,233.8,12.7,267.4,206.1
10001005-33,10,001,005-33,305.2,525.7,7.1,7.4,338.9,476.5,340.8,493,258.6,563,12.7,297.5,530.6
10001005-34,10,001,005-34,287.7,358.3,7.9,7.2,318.6,313.3,301.1,351.9,223.4,421.9,15.3,281.6,372.1
10001006-28,10,001,006-28,351.9,297.9,5.4,6.9,357.3,284.1,342.1,310,294.1,350.3,12.2,328.4,316.1
10001006-29,10,001,006-29,249.9,521.8,7.9,9.6,281.9,477.5,271.3,511.5,189.1,579.5,13.8,240.2,539.9
10001006-30,10,001,006-30,399,745.6,8.9,7.9,462.4,642.6,416.9,720.8,316,816.8,14.8,371.4,775.2
10001006-31,10,001,006-31,735.4,170.2,13.1,11.7,761.6,161.4,715,205.3,686.3,217,20.4,730,191.8
10001006-32,10,001,006-32,86.6,14.8,1.3,1.8,90.7,13.4,87.1,16.2,85.9,15,2.5,88.9,14.2
10001006-33,10,001,006-33,707.8,963.2,14.4,18.3,803.6,827.6,752.8,916,604.5,1057,23.2,697.4,969.5
10001006-34,10,001,006-34,823.5,667.3,20.7,10.6,880,596.2,843.7,646.9,709.5,764.3,23.3,806.4,682.7
10001007-28,10,001,007-28,62.6,37.7,0.4,0.7,62,35.8,61.9,37.3,54,44.8,1.5,59.7,39.3
10001007-29,10,001,007-29,434,569.6,8.6,11,473.6,515.3,453.9,559.4,333.4,669.1,14.7,409.5,603.8
10001007-30,10,001,007-30,312,868,10,11,382,727,341,850,274,899,23,315,864
