GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
46057955200,46,057,9552,2872,2830,2,11,16,2,0,0,11,1939,1914,2,6,11,2,0,0,4,NA,NA,NA,NA,NA,NA,NA,1,1,33,69
46059975600,46,059,9756,1815,1803,0,4,3,2,0,0,3,1291,1281,0,2,3,2,0,0,3,NA,NA,NA,NA,NA,NA,NA,1,1,509.17186392629344,690.3327427356485
46059975700,46,059,9757,1926,1906,1,7,2,1,0,0,9,1531,1520,1,3,2,1,0,0,4,NA,NA,NA,NA,NA,NA,NA,1,1,603.8281360737066,818.6672572643515
46061964100,46,061,9641,3139,3122,0,3,3,4,1,0,6,2213,2202,0,2,3,3,1,0,2,NA,NA,NA,NA,NA,NA,NA,1,1,90,85
46063998700,46,063,9987,1353,1307,4,22,9,1,0,5,5,913,892,0,9,4,1,0,2,5,NA,NA,NA,NA,NA,NA,NA,1,1,252,624
46065940100,46,065,9401,236,50,0,1,184,0,0,0,1,138,37,0,1,99,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,56,24
46065977600,46,065,9776,2171,2076,3,24,46,2,0,0,20,1524,1466,3,13,28,2,0,0,12,NA,NA,NA,NA,NA,NA,NA,1,1,89.74957118353345,132.15551743853632
46065977700,46,065,9777,5110,4747,5,52,216,36,0,1,53,3723,3518,3,32,119,24,0,0,27,NA,NA,NA,NA,NA,NA,NA,1,1,219.25042881646655,322.84448256146374
46065977800,46,065,9778,5248,4585,15,63,464,15,3,2,101,3751,3362,12,34,286,10,2,0,45,NA,NA,NA,NA,NA,NA,NA,1,1,1259.5481345002304,2280.6632888070017
46065977900,46,065,9779,3716,3106,7,61,488,11,0,0,43,2762,2510,2,36,180,9,0,0,25,NA,NA,NA,NA,NA,NA,NA,1,1,927.4518654997697,1679.3367111929988
46067968600,46,067,9686,3452,3415,3,8,15,2,0,0,9,2659,2641,2,5,9,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,385,482
46067968700,46,067,9687,2457,2400,1,22,24,1,0,0,9,1826,1808,1,12,3,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,1,1,33,23
46067968800,46,067,9688,2166,2133,1,12,5,5,0,0,10,1582,1564,0,9,2,2,0,0,5,NA,NA,NA,NA,NA,NA,NA,1,1,78,102
46069940100,46,069,9401,156,54,2,6,90,0,0,1,3,101,36,0,2,60,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,36.402252614641995,46.640386162510055
46069976600,46,069,9766,1515,1465,0,2,39,0,2,0,7,1142,1115,0,1,21,0,2,0,3,NA,NA,NA,NA,NA,NA,NA,1,1,411.597747385358,527.35961383749
46071940100,46,071,9401,1354,273,0,4,1052,0,0,0,25,755,196,0,1,544,0,0,0,14,NA,NA,NA,NA,NA,NA,NA,1,1,181.44354838709677,293.0698924731183
46071940200,46,071,9402,207,34,0,1,167,0,0,0,5,110,27,0,0,80,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,1,1,26.435483870967744,42.6989247311828
46071940800,46,071,9408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
46071940900,46,071,9409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
46071941100,46,071,9411,41,22,0,0,19,0,0,0,0,31,18,0,0,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,7.45,12.033333333333333
46071991100,46,071,9911,1328,1136,1,7,160,1,1,0,22,964,853,1,3,91,0,1,0,15,NA,NA,NA,NA,NA,NA,NA,1,1,231.6709677419355,374.19784946236564
46073974100,46,073,9741,2295,2265,0,7,13,3,0,0,7,1803,1785,0,5,7,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,1,1,83,86
46075991600,46,075,9916,1193,1141,0,4,27,0,1,2,18,880,846,0,4,16,0,1,2,11,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
46077958100,46,077,9581,3497,3442,1,18,10,10,0,0,16,2639,2606,0,6,9,10,0,0,8,NA,NA,NA,NA,NA,NA,NA,1,1,106,119
46077958200,46,077,9582,2318,2261,2,22,13,7,0,4,9,1752,1724,1,10,8,3,0,3,3,NA,NA,NA,NA,NA,NA,NA,1,1,31,32
