GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,cd_1990,cd_2000,ndv,nrv
12009064301,12,009,064301,5424,4524,255,337,15,183,2,12,96,4127,3530,164,225,9,136,2,6,55,NA,NA,NA,NA,NA,18,19,424.512287466911,719.2154665546732
12009064302,12,009,064302,5585,4504,503,274,26,162,3,7,106,4358,3591,350,195,19,130,3,3,67,NA,NA,NA,NA,NA,18,19,448.2734549989819,759.4720143555284
12009064400,12,009,0644,5028,4520,76,253,20,77,0,3,79,3922,3556,59,182,12,67,0,2,44,NA,NA,NA,NA,NA,18,19,403.42553705966196,683.4899587660354
12009064500,12,009,0645,4473,3956,149,243,9,51,1,4,60,3486,3141,94,172,9,39,1,0,30,NA,NA,NA,NA,NA,18,19,358.5776191203421,607.5079031765425
12009064600,12,009,0646,8686,7926,139,314,9,212,2,8,76,7252,6737,90,211,6,165,1,4,38,NA,NA,NA,NA,NA,18,19,745.9566534310732,1263.811621869273
12009064700,12,009,0647,5334,4678,200,286,15,72,1,11,71,4496,4079,121,182,10,52,1,10,41,NA,NA,NA,NA,NA,18,19,462.4684381999593,783.5213805742211
12009064800,12,009,0648,2493,2174,101,131,17,23,4,0,43,2087,1872,75,76,14,23,2,0,25,NA,NA,NA,NA,NA,18,19,214.673405365506,363.7030963653024
12009064901,12,009,064901,5586,4532,372,347,15,173,0,18,129,4552,3754,281,263,12,149,0,18,75,NA,NA,NA,NA,NA,18,19,468.22872123803705,793.2805436774588
12009064902,12,009,064902,3622,1556,1738,181,7,70,0,8,62,2921,1381,1299,127,6,61,0,6,41,NA,NA,NA,NA,NA,18,19,300.46047775402155,509.0449182956628
12009065001,12,009,065001,2309,2199,15,47,6,22,0,0,20,1795,1723,6,30,5,17,0,0,14,NA,NA,NA,NA,NA,18,19,184.6376438098147,312.8160316127061
12009065021,12,009,065021,4225,3831,64,177,8,93,0,5,47,3633,3340,53,123,6,76,0,4,31,NA,NA,NA,NA,NA,18,19,373.69836209529626,633.1257063225412
12009065022,12,009,065022,2674,2544,18,57,3,24,0,2,26,2280,2189,13,41,3,18,0,2,14,NA,NA,NA,NA,NA,18,19,234.52580940745267,397.3373549175321
12009065101,12,009,065101,6473,3718,2131,323,8,100,2,11,180,5225,3357,1423,232,6,80,2,3,122,NA,NA,NA,NA,NA,18,19,537.4549798920791,910.5647716860111
12009065121,12,009,065121,6274,4224,934,725,21,141,0,12,217,4884,3493,622,490,17,115,0,5,142,NA,NA,NA,NA,NA,18,19,502.37897067806966,851.1384392180819
12009065122,12,009,065122,6241,4302,777,752,15,214,6,8,167,4982,3559,556,546,13,187,5,5,111,NA,NA,NA,NA,NA,18,19,512.4594659947059,868.2169746487477
12009065123,12,009,065123,4048,3256,537,149,15,26,1,2,62,3250,2714,367,98,13,20,1,2,35,NA,NA,NA,NA,NA,18,19,334.30214060272857,566.3800015271839
12009065201,12,009,065201,5565,4495,419,433,32,80,0,11,95,4439,3724,263,305,26,66,0,5,50,NA,NA,NA,NA,NA,18,19,456.60529296477296,773.5879467012828
12009065202,12,009,065202,5127,4015,585,332,17,68,0,5,105,3823,3075,394,221,12,60,0,4,57,NA,NA,NA,NA,NA,18,19,393.24217954591734,666.2371525656689
12009065231,12,009,065231,4513,4149,114,111,21,53,3,2,60,3528,3261,84,79,19,40,2,2,41,NA,NA,NA,NA,NA,18,19,362.89783139890045,614.8272755039707
