GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
51013000021,VA,013,21,3440,280,2375,356,6,326,4,6,87,3226,237,2254,338,6,308,4,6,73,NA,NA,NA,NA,NA,NA,NA,NA,9,8,672.7307191525402,454.8420620172678
51013000022,VA,013,22,3032,325,2331,149,6,148,0,4,69,2720,245,2180,120,6,119,0,3,47,NA,NA,NA,NA,NA,NA,NA,NA,9,8,567.2125096388436,383.4998167039579
51013000023,VA,013,23,2941,414,2027,178,6,234,1,2,79,2350,298,1673,136,5,185,1,2,50,NA,NA,NA,NA,NA,NA,NA,NA,9,8,490.05492560708916,331.332562225846
51013000024,VA,013,24,5385,1069,3077,707,11,368,0,21,132,4333,776,2592,568,7,285,0,12,93,NA,NA,NA,NA,NA,NA,NA,NA,9,8,903.5778692151137,610.9208477125918
51013000025,VA,013,25,8585,3618,3524,390,22,844,10,21,156,7028,2776,3155,304,16,639,10,16,112,NA,NA,NA,NA,NA,NA,NA,NA,9,8,1465.5770285815413,990.8958499247854
51013000026,VA,013,26,5175,1012,2599,826,9,527,5,28,169,4378,751,2378,650,9,424,5,23,138,NA,NA,NA,NA,NA,NA,NA,NA,9,8,912.9618997054623,617.2655137977677
51013000027,VA,013,27,4206,895,2540,242,20,379,2,10,118,3458,671,2186,182,15,315,2,8,79,NA,NA,NA,NA,NA,NA,NA,NA,9,8,721.1106096805593,487.55234050084067
51013000028,VA,013,28,6556,2165,2280,946,13,801,3,31,317,5016,1531,1946,699,7,594,2,24,213,NA,NA,NA,NA,NA,NA,NA,NA,9,8,1046.0065986575146,707.2187796275931
51013000029,VA,013,29,3334,217,2776,36,7,216,1,1,80,2554,143,2173,30,5,161,1,1,40,NA,NA,NA,NA,NA,NA,NA,NA,9,8,532.5958638300024,360.0950484786428
51013000030,VA,013,30,6256,2260,955,2533,12,326,2,24,144,4699,1604,825,1895,7,245,2,20,101,NA,NA,NA,NA,NA,NA,NA,NA,9,8,979.9013172032816,662.5241318720214
51013000031,VA,013,31,3390,212,2736,269,7,96,3,9,58,2605,148,2112,215,6,80,1,4,39,NA,NA,NA,NA,NA,NA,NA,NA,9,8,543.2310983857308,367.2856700418421
51013000032,VA,013,32,5337,2523,1473,776,7,440,1,15,102,4135,1803,1339,569,6,332,1,12,73,NA,NA,NA,NA,NA,NA,NA,NA,9,8,862.2881350575802,583.0043169378183
51013000033,VA,013,33,3442,124,3129,30,1,90,1,11,56,2553,77,2352,20,1,70,1,10,22,NA,NA,NA,NA,NA,NA,NA,NA,9,8,532.3873298191057,359.9540558989723
51013000034,VA,013,34,3170,137,2742,100,10,128,1,2,50,2413,95,2092,85,9,104,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,9,8,503.19256829357704,340.2150947450921
