GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
39013010300,39,013,0103,3459,3422,14,10,1,0,0,3,9,2763,2739,10,8,1,0,0,2,3,NA,NA,16602,04434,99,20,18,14,582.0926966292135,267.0778255122274
39013010600,39,013,0106,3470,3397,32,13,3,1,0,1,23,2706,2651,27,11,3,1,0,0,13,NA,27552,27566,04601,99,20,18,14,451,324
39013010700,39,013,0107,2504,2449,4,12,7,10,1,0,21,1901,1861,4,9,2,8,1,0,16,NA,52346,78218,04601,99,20,18,14,41,68
39013010802,39,013,010802,2484,2445,8,10,8,0,5,3,5,1844,1824,5,8,4,0,1,0,2,NA,06138,30968,04601,99,20,18,14,528,548
39013010900,39,013,0109,6638,6520,44,20,3,14,0,1,36,5024,4946,35,16,3,13,0,0,11,NA,03926,80864,04520,99,20,18,14,1040,1010
39013011000,39,013,0110,4995,4876,18,11,18,18,0,1,53,3800,3722,17,8,8,10,0,0,35,NA,64542,86996,04865,99,20,18,14,144,130
39013011200,39,013,0112,3406,3374,3,17,1,0,0,0,11,2593,2570,1,11,1,0,0,0,10,NA,NA,48580,04600,99,20,18,14,315,213
39013011300,39,013,0113,4062,4032,4,8,3,2,0,2,11,3258,3239,2,6,2,2,0,2,5,NA,71640,48580,04600,99,20,18,14,1828,989
39013011400,39,013,0114,4762,4690,35,10,1,5,1,0,20,3705,3654,24,7,1,4,0,0,15,NA,53788,64962,04357,99,20,18,14,1578.258328855454,641.556286942504
39013011500,39,013,0115,1863,1805,39,2,1,0,1,1,14,1459,1417,33,2,1,0,1,0,5,NA,05074,64962,04357,99,20,18,14,621.5057764642664,252.63984416980117
39013011600,39,013,0116,1364,1251,73,3,2,2,0,1,32,1047,971,55,3,2,2,0,0,14,NA,05074,64962,04357,99,20,18,14,446.00174637291775,181.29809242342827
39013011700,39,013,0117,1711,1481,166,10,3,7,0,4,40,1233,1094,109,8,3,3,0,3,13,NA,05074,64962,04357,99,20,18,14,525.2341483073617,213.50577646426655
39013011900,39,013,0119,3163,2972,126,20,13,1,2,4,25,2461,2337,89,11,11,1,2,0,10,NA,48104,61378,04434,99,20,18,14,1211.474412020906,555.2256097560976
39013012000,39,013,0120,3029,2751,199,25,7,3,0,5,39,2247,2105,110,15,4,3,0,1,9,NA,48104,61378,04434,99,20,18,14,1106.1288109756097,506.9451219512195
39013012100,39,013,0121,1051,986,45,3,0,0,0,3,14,909,857,34,3,0,0,0,3,12,NA,48104,61378,04434,99,20,18,14,447.47266986062715,205.0792682926829
39013012200,39,013,0122,5423,4072,1241,32,11,13,0,19,35,4689,3366,1233,27,9,12,0,19,23,NA,53788,66628,04599,99,20,18,18,1072.036099137931,1008.455010775862
39013012300,39,013,0123,3883,3715,53,16,2,69,1,1,26,3129,3014,40,10,2,55,0,1,7,NA,69526,66628,04599,99,20,18,18,715.3766163793103,672.9485452586207
39013012400,39,013,0124,4262,4013,145,18,1,49,2,6,28,3318,3140,108,14,1,36,2,1,16,NA,69526,66628,04599,99,20,18,18,758.5872844827587,713.5964439655173
39015951200,39,015,9512,9522,9365,35,38,14,13,1,3,53,6718,6628,27,18,6,11,0,3,25,NA,26796,61770,04604,72,14,5,7,431,648
39015951300,39,015,9513,6435,6350,10,29,10,6,0,0,30,4587,4521,7,18,10,6,0,0,25,NA,52906,62596,04606,72,14,5,7,227,367
39015951400,39,015,9514,4408,4340,23,12,2,3,0,1,27,3155,3106,15,9,2,2,0,0,21,NA,70534,81102,04603,72,14,5,7,178,216
39015951500,39,015,9515,4896,4788,47,10,20,3,0,2,26,3610,3531,40,5,14,2,0,0,18,NA,69316,37688,04603,72,14,5,7,156,168
39015951600,39,015,9516,3869,3752,37,36,8,3,0,8,25,2866,2796,28,20,5,2,0,0,15,NA,00142,36834,04607,72,14,5,7,364,466
39015951700,39,015,9517,2764,2573,138,13,5,3,0,3,29,2082,1952,95,8,4,3,0,1,19,NA,67272,78232,04607,72,14,5,7,501,566
39015951800,39,015,9518,4650,4498,77,21,4,19,0,3,28,3519,3415,58,12,4,14,0,0,16,NA,29778,63212,04537,72,14,5,7,883,1139
39015951900,39,015,9519,5741,5676,14,26,6,3,1,0,15,4080,4038,8,12,5,3,1,0,13,NA,35168,42910,04606,72,14,5,7,283,286
39017000100,39,017,0001,4726,4614,69,16,5,7,2,4,9,3690,3606,55,11,2,6,2,1,7,NA,33012,33012,04410,59,4,11,16,583.3531761885738,866.5529364762285
39017000200,39,017,0002,4287,4092,57,69,13,10,3,2,41,3154,3031,42,45,8,6,1,0,21,NA,33012,33012,04410,59,4,11,16,498.616779864163,740.6796644027168
39017000300,39,017,0003,3961,1152,2410,317,6,2,1,13,60,2578,834,1524,185,5,2,0,1,27,NA,33012,33012,04410,59,4,11,16,407.5567718737515,605.412864562525
39017000400,39,017,0004,4317,2959,860,405,17,17,1,13,45,3003,2110,566,273,14,15,1,1,23,NA,33012,33012,04410,59,4,11,16,474.74514582501,705.2190970834998
39017000500,39,017,0005,4811,4512,103,107,7,12,1,3,66,3547,3346,84,65,6,11,0,0,35,NA,33012,33012,04410,59,4,11,16,560.7462644826209,832.9710747103476
39017000600,39,017,0006,5315,4945,123,161,16,21,0,5,44,3832,3568,92,117,16,17,0,2,20,NA,33012,33012,04410,59,4,11,16,605.8019976028766,899.8999600479425
39017000701,39,017,000701,822,578,158,62,5,0,0,0,19,763,541,152,46,5,0,0,0,19,NA,33012,33012,04410,59,4,11,16,120.62289252896525,179.1815421494207
39017000702,39,017,000702,776,653,44,36,15,2,0,0,26,575,484,39,21,10,1,0,0,20,NA,33012,33012,04410,59,4,11,16,90.90191769876148,135.03196164602477
39017000800,39,017,0008,2026,1883,49,39,9,3,0,0,43,1423,1331,36,19,9,2,0,0,26,NA,33012,33012,04410,59,4,11,16,224.96248501797842,334.17475029964044
39017000900,39,017,0009,3552,3371,59,32,6,32,1,7,44,2454,2356,35,20,6,20,1,2,14,NA,33012,33012,04410,59,4,11,16,387.95357570914905,576.292928485817
39017001001,39,017,001001,4652,4435,109,32,3,26,0,8,39,3587,3447,81,18,3,18,0,4,16,NA,33012,33012,04410,59,4,11,16,567.0698761486216,842.3646024770275
39017001002,39,017,001002,4388,4136,117,38,10,40,0,1,46,3468,3317,76,20,8,28,0,0,19,NA,33012,33012,04410,59,4,11,16,548.2571314422693,814.4188573711547
39017001100,39,017,0011,4284,4068,51,76,15,9,0,3,62,3119,2986,38,38,11,6,0,0,40,NA,33012,33012,04410,59,4,11,16,493.08361965641234,732.4603276068717
39017001200,39,017,0012,6562,6223,146,63,19,47,3,6,55,4951,4748,87,38,13,32,3,2,28,NA,33012,33012,04410,59,4,11,16,782.7050339592489,1162.683899320815
39017001300,39,017,0013,4192,3949,121,48,4,30,0,6,34,3287,3147,71,22,2,26,0,5,14,NA,33012,33012,04410,59,4,11,16,519.6427886536156,771.9131442269277
39017001400,39,017,0014,3145,3041,32,21,12,13,0,2,24,2424,2350,28,12,8,13,0,1,12,NA,33012,33012,04410,59,4,11,1,233.41209643310307,503.39094882278306
39017010101,39,017,010101,7444,6877,237,104,11,111,2,8,94,7106,6593,209,98,11,106,2,6,81,NA,59234,59241,04615,60,4,11,16,879.1176527643065,981.4688651794374
39017010102,39,017,010102,2757,2453,148,25,8,58,0,9,56,2007,1820,96,18,6,42,0,5,20,NA,59234,59241,04615,60,4,11,16,248.29568380213385,277.20349175557715
39017010103,39,017,010103,5357,4862,195,62,5,165,2,10,56,4497,4105,156,48,5,140,1,4,38,NA,59234,59241,04615,60,4,11,16,556.3456353055286,621.1181377303589
39017010104,39,017,010104,5237,4693,256,85,8,133,0,4,58,5201,4680,248,84,8,122,0,4,55,NA,59234,59241,04615,60,4,11,16,643.4408826382154,718.3534432589719
39017010201,39,017,010201,1825,1571,121,42,5,58,0,5,23,1809,1558,120,41,5,58,0,4,23,NA,59234,59241,04615,60,4,11,16,223.80014548981572,249.8560620756547
39017010202,39,017,010202,4081,3983,30,16,6,10,1,2,33,3084,3014,24,8,6,7,1,0,24,NA,16700,66096,04615,60,4,11,1,336,652
