GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
42003000571,PA,003,571,1378,2,1363,3,0,7,1,0,2,1055,2,1041,3,0,6,1,0,2,NA,NA,NA,NA,NA,NA,NA,20,18,257.55114390567655,289.8016709611931
42003000576,PA,003,576,1132,10,1102,6,1,9,0,0,4,918,7,897,5,1,7,0,0,1,NA,NA,NA,NA,NA,NA,NA,20,18,224.10611384399158,252.16865776528462
42003000582,PA,003,582,996,3,971,14,0,3,0,0,5,792,2,774,8,0,3,0,0,5,NA,NA,NA,NA,NA,NA,NA,20,18,193.34645115952213,217.5572733661279
42003000591,PA,003,591,770,1,747,12,1,4,1,0,4,605,1,590,8,1,2,1,0,2,NA,NA,NA,NA,NA,NA,NA,20,18,147.69520574685717,166.1895838213477
42003000596,PA,003,596,339,1,333,3,0,0,0,0,2,318,1,312,3,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,20,18,77.63152963223237,87.35254157882409
42003000602,PA,003,602,1308,2,1217,11,0,48,2,2,26,1093,2,1031,9,0,39,2,0,10,NA,NA,NA,NA,NA,NA,NA,20,18,266.8278675724213,300.2400249863356
42003000603,PA,003,603,1310,5,1270,24,0,7,0,0,4,949,4,923,14,0,6,0,0,2,NA,NA,NA,NA,NA,NA,NA,20,18,231.67396736159913,260.6841571015851
42003000623,PA,003,623,1374,14,1308,12,0,31,0,0,9,963,7,921,10,0,22,0,0,3,NA,NA,NA,NA,NA,NA,NA,20,18,235.09170765987352,264.5298664792692
42003000624,PA,003,624,1689,7,1603,13,3,52,0,0,11,1071,5,1011,11,2,37,0,0,5,NA,NA,NA,NA,NA,NA,NA,20,18,261.45713281799016,294.19676739283204
42003000625,PA,003,625,1054,7,1019,5,0,11,0,0,12,807,4,788,2,0,6,0,0,7,NA,NA,NA,NA,NA,NA,NA,20,18,197.00831576481613,221.67767627078942
42003000631,PA,003,631,1550,10,1440,16,0,76,0,1,7,1326,8,1247,13,0,53,0,1,4,NA,NA,NA,NA,NA,NA,NA,18,14,466,223
42003000650,PA,003,650,990,8,925,42,2,4,0,2,7,772,4,730,28,2,4,0,0,4,NA,NA,NA,NA,NA,NA,NA,4,4,254.86687965921192,94.27334043308484
42003000660,PA,003,660,1244,7,1203,24,2,1,0,0,7,1021,6,988,20,2,1,0,0,4,NA,NA,NA,NA,NA,NA,NA,4,4,337.0713525026624,124.6801561945332
42003000670,PA,003,670,1309,4,1227,56,0,3,1,4,14,1024,4,971,40,0,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,4,4,338.06176783812566,125.04650337238196
42003000711,PA,003,711,1206,9,407,754,2,2,0,4,28,811,4,351,439,2,2,0,2,11,NA,NA,NA,NA,NA,NA,NA,18,14,483.5120240480962,86.54458917835672
42003000720,PA,003,720,955,8,278,638,2,4,0,4,21,678,7,241,419,1,3,0,0,7,NA,NA,NA,NA,NA,NA,NA,18,14,404.2184368737475,72.35170340681363
42003000721,PA,003,721,751,27,187,518,0,0,0,1,18,507,12,168,316,0,0,0,1,10,NA,NA,NA,NA,NA,NA,NA,18,14,302.2695390781563,54.10370741482966
42003000750,PA,003,750,1155,9,862,253,0,9,0,2,20,950,8,750,175,0,6,0,1,10,NA,NA,NA,NA,NA,NA,NA,18,14,261.4387285654538,113.23713927227101
42003000760,PA,003,760,843,2,720,105,6,0,0,0,10,677,1,587,81,3,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,18,14,186.3094939355918,80.69636135508156
42003000770,PA,003,770,1149,9,1124,0,1,10,0,3,2,934,6,920,0,1,4,0,2,1,NA,NA,NA,NA,NA,NA,NA,4,4,198,391
42003000781,PA,003,781,789,13,773,1,1,0,0,0,1,589,10,577,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18,18,177.62131684248817,123.27076512671275
42003000791,PA,003,791,1237,4,1214,7,0,9,0,0,3,991,4,978,3,0,5,0,0,1,NA,NA,NA,NA,NA,NA,NA,18,18,298.8501273190251,207.40463198738934
42003000801,PA,003,801,1230,15,1200,1,5,5,0,0,4,931,7,913,1,3,4,0,0,3,NA,NA,NA,NA,NA,NA,NA,18,18,280.7562750090942,194.84733842609435
42003000811,PA,003,811,1310,5,1284,3,2,6,0,0,10,1022,4,1007,3,2,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,18,18,308.19861767915603,213.89256699405846
42003000821,PA,003,821,1166,9,1139,3,4,0,1,0,10,896,8,872,3,3,0,1,0,9,NA,NA,NA,NA,NA,NA,NA,18,18,270.2015278283012,187.52225051533892
42003000831,PA,003,831,996,12,941,19,2,14,0,6,2,834,6,799,14,1,12,0,0,2,NA,NA,NA,NA,NA,NA,NA,18,18,251.50454710803928,174.54638050200072
42003000841,PA,003,841,1169,2,1137,7,3,3,0,3,14,920,2,901,5,2,3,0,0,7,NA,NA,NA,NA,NA,NA,NA,18,18,277.43906875227356,192.54516793985692
42003000851,PA,003,851,1005,6,985,3,2,6,0,1,2,818,6,800,3,2,5,0,0,2,NA,NA,NA,NA,NA,NA,NA,18,18,246.67951982539105,171.1977688856554
42003000861,PA,003,861,882,3,861,5,0,12,0,0,1,703,2,687,2,0,11,0,0,1,NA,NA,NA,NA,NA,NA,NA,18,18,211.99963623135685,147.12962289317326
42003000865,PA,003,865,682,3,658,5,5,2,0,5,4,543,3,530,2,2,0,0,4,2,NA,NA,NA,NA,NA,NA,NA,18,18,163.7493634048745,113.64350672971989
42003000871,PA,003,871,1295,12,1225,49,0,4,0,0,5,1064,8,1013,36,0,3,0,0,4,NA,NA,NA,NA,NA,NA,NA,20,18,311.9835578899292,169.35556063028088
42003000881,PA,003,881,1433,11,1259,143,0,8,0,0,12,1181,8,1046,117,0,8,0,0,2,NA,NA,NA,NA,NA,NA,NA,20,18,346.2900205526376,187.97830554921214
42003000891,PA,003,891,1235,10,1190,16,5,2,0,2,10,972,5,947,11,2,2,0,0,5,NA,NA,NA,NA,NA,NA,NA,20,18,285.0075359671158,154.71203471112128
42003000901,PA,003,901,1378,8,1329,25,0,6,0,5,5,1162,7,1125,19,0,6,0,0,5,NA,NA,NA,NA,NA,NA,NA,20,18,340.7188855903174,184.9540991093857
42003000920,PA,003,920,829,7,796,19,1,0,0,2,4,649,7,629,7,1,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,18,18,179.2046676281631,90.70853546610725
42003000930,PA,003,930,1420,17,1314,71,0,8,0,3,7,1117,7,1046,51,0,8,0,1,4,NA,NA,NA,NA,NA,NA,NA,18,18,308.43083781303267,156.1193129670906
42003000940,PA,003,940,1284,4,1238,31,0,3,0,1,7,1006,3,975,23,0,3,0,1,1,NA,NA,NA,NA,NA,NA,NA,18,18,277.78104103841616,140.60521830339584
42003000950,PA,003,950,667,1,596,37,4,15,0,6,8,575,0,525,31,3,13,0,1,2,NA,NA,NA,NA,NA,NA,NA,18,18,158.77146977841878,80.36580569031074
