GEOID,state,county,county_subdivision,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,cd_1990,cd_2000,ndv,nrv
3301160580,33,011,60580,5883,5670,35,49,9,76,2,5,37,4405,4275,19,31,5,48,1,2,24,2,1,906,1643
3301168820,33,011,68820,360,348,2,1,2,4,0,0,3,272,265,1,1,2,2,0,0,1,2,1,42,83
3301176260,33,011,76260,1297,1265,4,9,1,4,0,7,7,910,894,1,5,1,2,0,2,5,2,1,143,287
3301179780,33,011,79780,7776,7606,13,54,16,33,0,6,48,5284,5187,9,30,11,15,0,3,29,2,1,539,1330
3301185220,33,011,85220,3743,3637,10,29,5,19,0,9,34,2735,2670,7,20,5,12,0,5,16,2,1,454,884
3301185940,33,011,85940,201,195,2,1,0,0,0,0,3,133,128,1,1,0,0,0,0,3,2,1,17,31
3301300660,33,013,00660,4843,4699,24,57,10,17,0,2,34,3521,3427,13,36,7,14,0,2,22,2,1,585,966
3301301460,33,013,01460,2109,2068,8,4,3,1,1,0,24,1596,1565,5,4,3,1,1,0,17,2,1,300,528
3301306260,33,013,06260,3672,3571,17,30,11,17,0,0,26,2832,2763,15,19,9,11,0,0,15,2,1,445,665
3301306500,33,013,06500,7138,6961,9,35,2,74,0,11,46,4811,4727,3,21,1,41,0,4,14,2,1,653,1695
3301306980,33,013,06980,1454,1408,2,16,3,2,0,1,22,1087,1063,2,5,3,1,0,0,13,2,1,241,389
3301309860,33,013,09860,1979,1943,5,10,0,5,1,1,14,1495,1470,3,5,0,3,1,1,12,2,1,375,419
3301312420,33,013,12420,2236,2187,4,15,5,3,0,2,20,1666,1641,3,7,5,1,0,0,9,2,1,268,452
3301314200,33,013,14200,40687,38484,398,591,117,594,13,34,456,31292,29781,286,391,92,456,9,17,260,2,1,6101,7105
3301316980,33,013,16980,1071,1062,1,5,1,0,0,0,2,825,818,1,3,1,0,0,0,2,2,1,101,251
3301319460,33,013,19460,2226,2185,2,7,9,10,0,1,12,1613,1586,2,5,7,5,0,1,7,2,1,237,439
3301324900,33,013,24900,4021,3953,4,18,3,13,0,2,28,3037,2987,4,12,3,12,0,0,19,1,1,368,867
3301327380,33,013,27380,8405,8089,30,100,23,43,1,6,113,6238,6045,16,62,15,35,0,2,63,2,1,969,1831
3301335540,33,013,35540,4433,4260,20,37,7,44,1,9,55,3328,3202,19,23,7,36,1,6,34,2,1,588,817
3301335860,33,013,35860,992,980,1,2,1,4,1,0,3,727,719,1,2,1,0,1,0,3,2,1,98,224
3301337300,33,013,37300,11721,11188,77,170,21,190,3,5,67,8872,8491,59,101,14,155,3,5,44,1,2,855,2452
3301337540,33,013,37540,5399,5294,7,27,13,14,4,1,39,3967,3898,6,14,8,12,4,1,24,2,1,852,1405
3301343380,33,013,43380,4481,4384,11,27,9,20,0,1,29,3231,3177,5,13,5,11,0,1,19,2,1,396,741
3301350900,33,013,50900,1702,1659,7,20,1,2,0,0,13,1314,1288,3,13,1,1,0,0,8,2,1,182,472
3301352100,33,013,52100,4116,4027,9,26,2,30,1,3,18,3529,3465,9,16,2,24,1,1,11,2,1,459,1391
3301354260,33,013,54260,4548,4434,6,42,8,16,0,0,42,3281,3215,4,22,6,12,0,0,22,2,1,390,719
3301360020,33,013,60020,6897,6729,25,30,18,26,0,1,68,5039,4932,19,18,11,24,0,1,34,2,1,829,1480
3301361940,33,013,61940,3931,3794,15,45,5,4,0,5,63,2821,2735,11,24,4,3,0,3,41,1,1,421,705
3301366980,33,013,66980,1137,1111,4,8,0,3,1,0,10,858,844,3,4,0,1,1,0,5,2,1,150,277
3301375460,33,013,75460,1544,1496,0,15,5,7,0,3,18,1202,1171,0,9,2,5,0,3,12,2,1,246,367
3301378580,33,013,78580,2760,2695,1,20,7,6,0,2,29,2085,2046,1,15,5,3,0,1,14,2,1,398,602
3301380020,33,013,80020,1579,1560,0,2,1,6,0,1,9,1171,1156,0,2,1,6,0,1,5,2,1,192,328
3301384900,33,013,84900,1144,1122,1,3,1,7,1,0,9,847,835,1,2,1,3,1,0,4,2,1,141,279
3301500000,33,015,00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
3301502340,33,015,02340,6178,6004,16,43,4,71,0,4,36,4665,4549,11,32,3,52,0,3,15,2,1,599,1628
3301502820,33,015,02820,4682,4570,9,44,10,16,0,5,28,3327,3252,6,28,10,14,0,2,15,1,2,406,1129
3301507220,33,015,07220,3197,3068,20,47,6,28,2,5,21,2406,2295,20,43,6,21,2,3,16,1,2,284,619
3301509300,33,015,09300,3911,3810,17,34,14,23,1,1,11,2869,2807,11,19,11,13,0,1,7,1,2,346,1117
3301512100,33,015,12100,3792,3694,10,31,16,12,0,1,28,2618,2553,8,19,13,8,0,1,16,1,2,251,872
3301517140,33,015,17140,4023,3912,18,34,11,14,1,3,30,2847,2782,14,18,10,7,1,1,14,1,2,233,579
3301517460,33,015,17460,3678,3615,6,11,4,5,0,7,30,2576,2537,4,6,3,5,0,4,17,1,2,336,793
3301517940,33,015,17940,34021,32292,287,643,65,353,15,31,335,23767,22689,189,393,44,257,8,13,174,1,2,2462,5760
3301521380,33,015,21380,1784,1743,2,6,1,6,1,17,8,1297,1271,1,3,1,2,1,12,6,1,2,175,375
3301524660,33,015,24660,5476,5292,13,42,13,24,0,2,90,3993,3877,9,24,7,19,0,2,55,1,2,589,1072
3301525380,33,015,25380,14058,13583,53,122,21,132,0,15,132,10649,10341,40,75,16,99,0,9,69,1,2,1922,3028
3301527940,33,015,27940,3510,3436,2,27,2,12,0,8,23,2490,2444,1,16,2,11,0,5,11,1,2,213,598
3301531700,33,015,31700,3208,3118,8,23,1,39,1,2,16,2357,2297,4,16,1,28,1,1,9,1,2,452,733
3301532900,33,015,32900,8297,8114,19,65,7,45,4,6,37,5901,5774,14,46,7,34,4,2,20,1,2,646,1712
3301533060,33,015,33060,14937,14490,53,135,25,129,10,5,90,11746,11444,38,93,22,85,8,3,53,1,2,2462,3295
3301533460,33,015,33460,1880,1839,1,13,0,14,0,0,13,1396,1364,0,12,0,10,0,0,10,1,2,271,559
3301539780,33,015,39780,1893,1861,2,0,4,12,0,0,14,1366,1351,1,0,4,6,0,0,4,1,2,300,414
3301540100,33,015,40100,5862,5720,13,48,7,24,0,6,44,4357,4257,10,29,6,20,0,4,31,1,2,648,1383
3301543220,33,015,43220,23236,22268,125,356,39,269,6,4,169,15593,15022,86,204,24,180,4,4,69,1,2,1712,4577
3301550980,33,015,50980,1010,983,6,5,0,5,0,0,11,830,806,4,4,0,5,0,0,11,1,2,209,329
3301551380,33,015,51380,1551,1515,2,8,0,13,0,0,13,1068,1049,1,4,0,9,0,0,5,1,2,177,241
3301551620,33,015,51620,775,738,8,14,2,8,0,0,5,605,577,8,12,1,4,0,0,3,1,2,137,228
3301552340,33,015,52340,8027,7465,46,139,10,239,0,14,114,6250,5878,40,80,8,165,0,11,68,1,2,1087,1184
3301552900,33,015,52900,4289,4171,17,56,6,3,1,3,32,3055,2980,12,36,5,2,1,2,17,1,2,467,798
3301554580,33,015,54580,4259,4166,13,33,2,27,0,3,15,3265,3209,5,22,1,18,0,0,10,1,2,782,1224
3301556820,33,015,56820,3640,3536,11,20,11,23,5,4,30,2655,2582,10,14,10,18,2,4,15,1,2,395,770
3301557460,33,015,57460,3701,3620,7,26,7,21,1,7,12,2673,2618,6,20,6,10,1,5,7,1,2,389,658
3301562500,33,015,62500,7747,7541,14,102,8,39,0,0,43,5746,5614,11,67,7,27,0,0,20,1,2,780,1656
3301562900,33,015,62900,20784,19263,416,280,42,507,5,12,259,17219,16137,306,190,35,387,5,6,153,1,2,5056,4570
3301564020,33,015,64020,9674,9417,47,76,20,18,5,7,84,6854,6681,29,52,18,16,2,3,53,1,2,766,1782
