GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
38093967600,38,093,9676,2861,2768,6,28,23,12,1,4,19,2275,2209,6,16,21,8,1,3,11,NA,40580,40580,NA,00021,48,48,1,1,882.754491017964,927.4371257485029
38093967700,38,093,9677,1372,1331,5,12,8,6,0,0,10,1130,1107,2,7,4,4,0,0,6,NA,40580,40580,NA,00021,48,48,1,1,438.46706586826343,460.66107784431136
38095951300,38,095,9513,1212,1177,1,3,26,0,0,0,5,897,872,0,2,20,0,0,0,3,NA,07180,16820,NA,19310,12,12,1,1,114,70
38095951400,38,095,9514,1664,1620,1,2,31,2,0,0,8,1271,1239,1,1,24,2,0,0,4,NA,11860,11860,NA,17220,15,15,1,1,66,62
38097970100,38,097,9701,2518,2433,1,62,6,6,0,0,10,1835,1786,0,35,2,6,0,0,6,NA,36100,36100,NA,04140,20,20,1,1,23,22
38097970200,38,097,9702,2632,2574,5,12,29,6,1,0,5,2119,2079,5,11,15,4,0,0,5,NA,51500,51500,NA,00041,20,20,1,1,40,36
38097970300,38,097,9703,1700,1650,0,34,11,1,0,0,4,1208,1184,0,16,7,0,0,0,1,NA,28980,58540,NA,09570,20,20,1,1,35,33
38097970400,38,097,9704,1627,1513,3,77,26,0,0,0,8,1211,1154,2,39,14,0,0,0,2,NA,38100,38100,NA,09570,20,20,1,1,50,44
38099957800,38,099,9578,1899,1762,0,112,7,2,1,0,15,1380,1310,0,56,5,2,0,0,7,NA,53540,02900,12000,13050,16,16,1,1,108,41
38099957900,38,099,9579,1793,1545,0,220,12,1,0,0,15,1338,1191,0,132,7,1,0,0,7,NA,31820,31820,NA,08060,16,16,1,1,946,1057
38099958000,38,099,9580,2843,2535,9,221,46,14,1,1,16,2158,1981,5,117,34,12,0,1,8,NA,31820,31820,NA,08060,16,16,1,1,107,167
38099958100,38,099,9581,2518,2410,3,74,21,3,0,0,7,1856,1795,1,41,13,3,0,0,3,NA,27060,22020,13530,14880,16,16,1,1,100,78
38099958200,38,099,9582,1723,1636,7,40,23,1,0,0,16,1330,1279,3,23,17,1,0,0,7,NA,60900,60900,NA,14880,16,16,1,1,343,389
38099958300,38,099,9583,1613,1548,5,33,11,1,0,0,15,1236,1201,0,17,8,1,0,0,9,NA,00340,70940,10820,01680,23,23,1,1,115,161
38101010100,38,101,0101,3009,2746,47,41,92,23,2,1,57,2459,2277,44,28,61,21,1,1,26,NA,53380,53380,NA,13030,5,5,1,1,1241.7061524954413,1422.3904234483691
38101010200,38,101,0102,4496,4109,63,82,141,20,2,5,74,3413,3186,51,40,85,17,2,1,31,NA,53380,53380,13660,13030,3,3,1,1,98.00160935117736,115.05793664238523
38101010301,38,101,010301,3449,3157,58,54,95,26,1,2,56,2623,2435,42,41,58,24,1,0,22,NA,53380,53380,06600,13030,40,40,1,1,239,333
38101010302,38,101,010302,4800,4503,66,53,74,45,3,0,56,3570,3383,41,35,49,35,2,0,25,NA,53380,53380,NA,13030,38,38,1,1,1802.7210103329508,2065.0401836969004
38101010400,38,101,0104,6284,5774,86,111,203,16,4,1,89,4823,4500,67,65,122,15,4,1,49,NA,53380,53380,NA,13030,40,40,1,1,2435.4407374890257,2789.8287971905183
38101010500,38,101,0105,5191,4959,42,53,64,34,3,2,34,3955,3801,28,32,45,26,3,2,18,NA,53380,53380,NA,13030,5,5,1,1,1997.1320996825827,2287.740595664213
38101010600,38,101,0106,4626,4300,60,53,100,48,2,2,61,3569,3371,38,38,59,39,2,0,22,NA,53380,53380,13660,13030,5,5,1,1,102.48102659664578,120.31695747924785
38101010700,38,101,0107,6349,5793,60,104,256,17,2,3,114,4824,4499,42,60,161,14,2,2,44,NA,53380,53380,13660,13030,3,3,1,1,138.51736405217687,162.62510587836695
38101010800,38,101,0108,3237,3123,9,33,41,14,0,0,17,2230,2177,6,13,19,10,0,0,5,NA,77180,78100,06600,07850,3,3,1,1,82,60
38101010900,38,101,0109,7599,5822,753,469,53,211,10,20,261,4843,3712,529,302,34,150,7,12,97,NA,53420,83780,NA,13030,38,38,1,1,233,522
38101011000,38,101,0110,2107,2068,2,10,10,3,0,0,14,1631,1606,0,6,7,3,0,0,9,NA,42020,42020,NA,10180,6,6,1,1,46,85
38101011100,38,101,0111,4390,4271,9,42,31,6,0,4,27,3124,3055,3,25,22,3,0,4,12,1160,06460,11740,17170,18730,4,4,1,1,204.23484608060932,203.24341478895587
38101011200,38,101,0112,3230,3160,7,20,20,10,0,0,13,2281,2239,4,11,14,7,0,0,6,NA,70980,76980,02640,16470,7,7,1,1,178,294
38101940300,38,101,9403,28,1,0,0,0,1,0,1,25,27,1,0,0,0,1,0,1,24,1160,NA,37860,NA,14320,4,4,1,1,1.7651539193906698,1.7565852110441131
38103959700,38,103,9597,1733,1707,5,3,2,9,0,0,7,1298,1283,0,2,1,6,0,0,6,3935,26180,50060,15360,06820,14,14,1,1,25,12
38103959800,38,103,9598,2031,2007,0,10,10,3,0,0,1,1639,1625,0,5,5,3,0,0,1,NA,35900,35900,NA,08890,14,14,1,1,503,690
38103959900,38,103,9599,1338,1330,2,2,0,0,0,0,4,1016,1009,1,2,0,0,0,0,4,NA,12820,12860,15360,03120,14,14,1,1,13,36
38105953400,38,105,9534,1895,1859,2,1,12,4,0,3,14,1474,1454,1,0,8,2,0,2,7,NA,78940,78940,13760,00039,2,2,1,1,456.3752142024813,612.7774350538076
38105953500,38,105,9535,1692,1291,1,2,300,0,0,1,97,1187,957,0,0,192,0,0,0,38,4345,33500,10620,13760,08460,2,2,1,1,367.51518267187606,493.4645966138872
38105953600,38,105,9536,2067,1985,0,13,49,1,0,0,19,1519,1470,0,7,35,1,0,0,6,4345,65580,65580,13760,13710,2,2,1,1,470.30797175954484,631.485022962506
38105953700,38,105,9537,4069,3765,1,46,148,7,1,0,101,2833,2657,1,27,101,6,1,0,40,NA,86220,86260,13760,19880,1,1,1,1,877.1444924258002,1177.7465898964974
38105953800,38,105,9538,2405,2226,2,27,96,13,0,0,41,1799,1695,2,14,65,7,0,0,16,NA,86220,86220,NA,19880,1,1,1,1,557.0006854479402,747.8877921721845
38105953900,38,105,9539,3227,3078,11,42,48,9,0,0,39,2446,2350,8,26,37,6,0,0,19,NA,86220,86220,13760,19880,1,1,1,1,757.3227774350538,1016.8613338816917
38105954100,38,105,9541,4406,4041,1,54,212,2,1,0,95,3331,3119,1,29,132,2,0,0,48,NA,86220,86220,13760,19880,1,1,1,1,1031.3336760573036,1384.7772294194256
