GEOID,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16PUCRNEL,G16PUCDRED,G16HALRNOE,G16HALDHAW
460039736004044,0,0,0,0,0,0,0,0,0,0
460039736004014,0,0,0,0,0,0,0,0,0,0
460039736004043,0,0,0,0,0,0,0,0,0,0
460039736004047,0,0,0,0,0,0,0,0,0,0
460039736001223,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736004053,0,0,0,0,0,0,0,0,0,0
460039736003109,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003139,1.7,0.4,0.1,0,1.8,0.4,1.9,0.3,1.6,0.6
460039736003130,0,0,0,0,0,0,0,0,0,0
460039736003121,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003120,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003118,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003136,0,0,0,0,0,0,0,0,0,0
460039736003110,3.9,1,0.2,0.1,4.3,1,4.5,0.7,3.8,1.4
460039736001063,0,0,0,0,0,0,0,0,0,0
460039736001001,1.4,0.7,0.1,0,1.5,0.7,1.7,0.5,1.4,0.8
460039736001004,0,0,0,0,0,0,0,0,0,0
460039736001008,0.5,0.2,0,0,0.5,0.2,0.6,0.2,0.5,0.3
460039736001237,1.9,0.9,0.2,0,2,0.9,2.2,0.6,1.9,1.1
460039736001043,0.9,0.4,0.1,0,1,0.5,1.1,0.3,0.9,0.5
460039736001056,0.9,0.4,0.1,0,1,0.5,1.1,0.3,0.9,0.5
460039736001065,1.4,0.7,0.1,0,1.5,0.7,1.7,0.5,1.4,0.8
460039736001060,2.3,1.1,0.2,0,2.5,1.1,2.8,0.8,2.3,1.4
460039736001049,0,0,0,0,0,0,0,0,0,0
460039736003035,0,0,0,0,0,0,0,0,0,0
460039736003033,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003053,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003064,0,0,0,0,0,0,0,0,0,0
460039736003066,0,0,0,0,0,0,0,0,0,0
460039736003073,1.7,0.4,0.1,0,1.8,0.4,1.9,0.3,1.6,0.6
460039736003058,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003060,1.7,0.4,0.1,0,1.8,0.4,1.9,0.3,1.6,0.6
460039736004091,0,0,0,0,0,0,0,0,0,0
460039736002008,0,0,0,0,0,0,0,0,0,0
460039736004086,0,0,0,0,0,0,0,0,0,0
460039736004087,0,0,0,0,0,0,0,0,0,0
460039736001117,0,0,0,0,0,0,0,0,0,0
460039736001191,0.5,0.2,0,0,0.5,0.2,0.6,0.2,0.5,0.3
460039736004140,0.7,0.1,0,0,0.7,0.2,0.8,0.1,0.6,0.3
460039736003155,1.3,0.3,0.1,0,1.3,0.3,1.6,0.1,1.2,0.5
460039736003166,2.6,0.5,0.2,0.1,2.6,0.7,3.2,0.2,2.3,1.1
460039736004122,0,0,0,0,0,0,0,0,0,0
460039736004124,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736003034,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003037,2.2,0.6,0.1,0,2.4,0.6,2.6,0.4,2.2,0.8
460039736003009,0,0,0,0,0,0,0,0,0,0
460039736003008,0,0,0,0,0,0,0,0,0,0
460039736003054,0,0,0,0,0,0,0,0,0,0
460039736003052,0,0,0,0,0,0,0,0,0,0
460039736003059,0,0,0,0,0,0,0,0,0,0
460039736004100,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736004090,1.5,0.5,0.1,0,1.6,0.5,1.8,0.3,1.3,0.8
460039736001239,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736001164,2.3,1.1,0.2,0,2.5,1.1,2.8,0.8,2.3,1.4
460039736001132,1.9,0.9,0.2,0,2,0.9,2.2,0.6,1.9,1.1
460039736001159,0.5,0.2,0,0,0.5,0.2,0.6,0.2,0.5,0.3
460039736001025,0,0,0,0,0,0,0,0,0,0
460039736001085,0,0,0,0,0,0,0,0,0,0
460039736002047,1.6,0.7,0.2,0,1.9,0.6,2.1,0.4,1.6,1
460039736002023,4.3,2,0.5,0.1,5.2,1.7,5.7,1.1,4.3,2.6
460039736002054,4.7,2.1,0.6,0.1,5.7,1.9,6.2,1.2,4.7,2.9
460039736002042,1.6,0.7,0.2,0,1.9,0.6,2.1,0.4,1.6,1
460039736002084,0,0,0,0,0,0,0,0,0,0
460039736002089,1.6,0.7,0.2,0,1.9,0.6,2.1,0.4,1.6,1
460039736002093,0,0,0,0,0,0,0,0,0,0
460039736002080,2.8,1.2,0.3,0.1,3.3,1.1,3.6,0.7,2.7,1.7
460039736002082,4.3,2,0.5,0.1,5.2,1.7,5.7,1.1,4.3,2.6
