GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,G20PRESKEN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSDSMI,G20USSRLEW,G20USSMOCO,G20USSCSTE,G20USSOWRI
27093000090,27,093,000090,64.02,157.1,2,2,0,0,0,1,0,0,66.03,148.09,5.01,3,0
27093000095,27,093,000095,14.7,67.64,0.98,0,0,0,0,0,0,0,13.72,59.79,5.88,1.96,0
27093000100,27,093,000100,165.98,626.63,1.99,0.99,0.99,0,0,1.97,0.99,0,163,587.02,28.72,12.86,0
27093000105,27,093,000105,332.52,421.79,11.95,1.99,2.98,0,0,3.98,1.99,1,317.64,391.88,37.83,13.93,0
27093000110,27,093,000110,259.28,468.95,7.05,3.02,7.01,0,0,2.02,6,4.02,260.33,422.75,55.15,11.05,1
27093000115,27,093,000115,233.73,373.48,5.04,0.09,0.05,0.95,0,2.95,0,0.09,222.6,341.78,29.52,6,1.91
27093000120,27,093,000120,250.16,439.25,2.95,4.92,1.97,0,0,2.95,1.97,0.98,239.32,392.96,44.32,14.77,0
27093000125,27,093,000125,203.4,348.28,5.05,6.01,0.01,0,0,4.02,2,1.02,189.47,306.07,49.15,20.04,0
27093000130,27,093,000130,170.38,380.77,5.79,1.9,0.96,0.05,0,2.02,0.05,1.83,175.9,354.78,20.48,6.05,0.09
27093000135,27,093,000135,60.64,229.09,1.93,0,0,0,0,0,0.96,0,66.42,210.8,12.51,0.96,0
27093000140,27,093,000140,36.09,157.06,0.98,0,0.98,0,0,0,0,1.95,39.02,147.3,10.73,0,0
27093000145,27,093,000145,91.99,308.97,3,1,1,0,0,1,0,1,100.99,278.98,15,6,0
27093000150,27,093,000150,114.63,370.59,5.04,2.01,0,0,0,1.01,1.03,0,128.82,306.93,38.35,11.15,0
27095000005,27,095,000005,12,27,0,0,0,0,0,0,0,0,12,20,7,0,0
27095000010,27,095,000010,190,653,11,1,3,0,0,4,1,1,183,604,40,14,2
27095000015,27,095,000015,231.86,789.42,6.14,0.05,1.97,0,0,1.97,2.1,3.03,230.77,700.06,70.5,16.24,0
27095000020,27,095,000020,22.41,76.76,1.01,0,1,0,0,0.01,0,0,25.4,71.61,1.13,3.03,0
27095000025,27,095,000025,31,95,1,0,0,0,0,0,1,0,34,83,2,1,1
27095000030,27,095,000030,165,284,1,3,1,0,0,1,0,0,158,264,19,6,0
