GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRNEW,G18USSDKLO,G18USSMSCH,G18USSGOVE,G18USSOWRI,G18GOVRJOH,G18GOVDWAL,G18GOVMWRI,G18GOVLWEL,G18GOVOWRI,G18SOSRHOW,G18SOSDSIM,G18SOSIDEN,G18SOSOWRI,G18AUDRMYH,G18AUDDBLA,G18AUDMFOR,G18AUDLDOC,G18AUDOWRI,G18ATGRWAR,G18ATGDELL,G18ATGMJOH,G18ATGOWRI
27145000130,27,145,000130,301.1,102,3,3,0,319.1,80,1,7,0,324.1,65,16,0,309.1,73,9,10,0,325.1,68,12,0
27145000135,27,145,000135,73.4,21.2,2,0,0,82.5,11.1,1,1,0,81.5,8.1,4,0,83.5,8.1,2,1,0,86.4,7.2,2,0
27145000137,27,145,000137,24.1,10.1,1,1,0,26.1,6,1,1,0,29.1,4,2,0,26.1,5,1,1,0,27.1,6,2,0
27145000140,27,145,000140,77.9,35.9,1,1,0,87.9,25,1,1,0,95.8,16,2,0,85.9,21,4,1,0,94.8,17,1,0
27145000145,27,145,000145,441.7,362.9,22.8,3,0,506.1,294.2,19.7,5.8,0.8,510.8,276,28.3,0,484.2,270.5,36.9,15.1,0,506.8,266.4,38.9,0.1
27145000150,27,145,000150,203,103,2,3,0,241,61,2,3,0,263,38,6,0,234,59,5,6,0,245,53,9,0
27145000155,27,145,000155,570.5,367.7,18.2,7,1,617.2,306.9,24.2,14.2,0,631.1,286.7,39.6,0,626,270.6,34.4,21.2,0,631.5,264.2,56.7,2
27145000160,27,145,000160,561,356.9,13.2,6.1,0,654.4,262.6,12,7,0,665.3,241.8,25.3,0,628.3,253.9,22,17.3,0,665,222.4,41.9,0.9
27145000165,27,145,000165,24.7,11.2,0,0,0,31.1,4,0.8,0,0,30.3,4,0.8,0,30.3,4.8,0.8,0,0,31.1,4,0.8,0
27145000170,27,145,000170,598.7,494.3,24.8,14.2,0,709.1,383.7,28,7.2,0,720.9,349,41.6,0,692,345.3,51,23.5,0,722.2,333,64.7,0
27145000180,27,145,000180,186.2,117.8,1.2,3,1,218.9,84.2,3.1,1,0,208.4,83.9,7.1,0,218.8,76.1,5.2,3.1,0,222.9,67.3,12.1,0
27145000185,27,145,000185,319,136,5,0,1,357,91,6,4,0,366,78,12,0,356,79,13,5,0,359,80,13,0
