GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREACAR,G20PRESLAR,G20USSDDUR,G20USSRCUR,G20USSIWIL,G20USSLMAL,G20USSGBLA
17031810013,17,031,810013,852.58,382.55,11.27,8.07,2,1.03,814.95,405.19,14.26,13.16,10.08
17031810014,17,031,810014,629.18,286.33,20.72,3.77,0,0.94,534.99,382.4,15.07,13.19,5.65
17031810015,17,031,810015,811,339,17,7,1,0,720,409,29,7,11
17031810016,17,031,810016,783.77,329.91,15.62,7.81,0,0,638.34,474.36,9.76,11.71,9.76
17031810017,17,031,810017,636.95,167.58,5.07,2.03,1.01,2,601.74,183.55,11.13,6.07,10.07
17031810018,17,031,810018,454.16,160.93,5.92,2.96,0,0,382.09,218.2,16.78,4.94,2.96
17031810019,17,031,810019,339.65,278.71,10.99,2,1,0,264.72,357.63,10.99,3,3
17031810020,17,031,810020,797.35,429.29,11.01,3,2,0,746.28,442.37,29.01,6,6
17031810021,17,031,810021,680.05,217.42,8.93,3.97,0.99,0,651.26,212.45,17.87,9.93,9.93
17031810022,17,031,810022,581.06,283.87,18.49,3.25,0,0.06,480.16,388.14,20.04,11.84,5.35
17031810023,17,031,810023,527,316,26,4,1,0,409,440,25,10,6
17031810024,17,031,810024,801,266,9,4,1,1,779,252,19,10,11
17031810025,17,031,810025,552,174,13,4,0,0,458,275,14,2,5
17031810026,17,031,810026,467,144,7,2,1,1,442,166,10,5,3
17031810027,17,031,810027,701.71,149.22,10.08,3.05,0,0,638.29,194.42,10.2,9.05,5.08
17031810028,17,031,810028,510,207,9,2,0,1,470,240,10,6,1
17031810029,17,031,810029,571,200,11,5,2,0,514,264,9,4,2
17031810030,17,031,810030,756,225,14,3,0,1,621,354,17,8,2
17031810031,17,031,810031,661.84,180.07,12.08,4.04,0,0,599.91,220.8,23.22,7.06,9.04
17031810032,17,031,810032,615,143,19,5,0,1,562,212,11,6,3
17031810033,17,031,810033,779,156,19,2,0,1,721,215,7,11,8
17031810034,17,031,810034,516,215,5,6,2,0,492,200,18,3,7
17031810035,17,031,810035,332,138,5,1,1,0,304,159,7,7,2
17031810036,17,031,810036,898,210,24,3,1,0,803,293,17,13,7
17031810037,17,031,810037,666,158,14,4,1,1,607,209,15,11,5
17031810038,17,031,810038,716,147,11,7,1,0,642,215,17,2,5
17031810039,17,031,810039,400,189,6,2,1,1,387,190,14,6,3
17031810040,17,031,810040,331.77,146.8,9.79,0.98,0,0,281.85,208.45,4.89,0.98,0
17031810041,17,031,810041,447,263,13,1,0,0,371,325,16,7,3
17031820001,17,031,820001,449,438,4,2,0,1,438,353,73,4,6
17031820002,17,031,820002,601,409,3,6,0,4,591,336,37,9,15
17031820003,17,031,820003,831.11,462.25,18.3,6.07,0.99,0.06,741.02,528.62,23.24,7.22,9.05
17031820004,17,031,820004,423.31,361.21,4,4,0,0,419.3,288.18,35.02,5,9
