GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPRI,G18GOVRRAU,G18GOVCMCC,G18GOVLJAC,G18ATGDRAO,G18ATGRHAR,G18ATGLHAR,G18SOSDWHI,G18SOSRHEL,G18SOSLDUT,G18COMDMEN,G18COMRSEN,G18COMLBAL,G18TREDFRE,G18TRERDOD,G18TRELLEH
17031720045,17,031,720045,204.67,14.97,2,2.99,210.65,11.98,6.99,213.66,6.98,4.99,207.66,7.99,10.97,203.67,11.98,8.98
17031720046,17,031,720046,187,274,20,11,193,284,13,298,183,11,232,242,18,216,254,20
17031720047,17,031,720047,390.3,22.36,9.05,4.05,391.44,27.31,3.03,409.56,10.12,2.11,394.42,21.28,9.09,388.34,24.31,8.16
17031720048,17,031,720048,346.34,23.82,7.94,1.99,340.39,28.78,9.92,362.22,10.92,6.95,352.29,16.87,11.91,345.35,24.81,8.93
17031720049,17,031,720049,319.72,14.01,5.77,2.47,322.2,19.78,4.94,334.56,7.42,7.42,323.02,15.66,8.24,323.84,15.66,3.3
17031720050,17,031,720050,210.37,257.65,26.05,12.54,209.4,274.06,22.19,315.55,172.73,17.37,261.51,230.63,13.51,223.88,261.51,17.37
17031720051,17,031,720051,556.2,29.71,9.92,5.94,570.02,30.76,4.98,575.08,17.82,9.93,561.16,27.76,12.9,553.29,28.74,15.8
17031720052,17,031,720052,220.78,151.81,25.36,9.79,222.22,169.48,17.92,284.2,107.3,15.36,256.37,138.24,14.91,235.56,149.81,21.7
17031720053,17,031,720053,172,109,18,7,171,121,13,207,86,15,187,103,13,170,117,11
17031720054,17,031,720054,187,203,12,6,177,220,10,264,141,7,229,174,8,189,195,12
17031720055,17,031,720055,316.35,57.75,4.98,7.96,300.44,75.65,9.95,331.29,47.79,6.97,328.31,53.76,4.98,306.4,65.71,11.94
17031720056,17,031,720056,490,23,11,4,486,39,10,513,15,4,499,20,13,485,30,13
17031720057,17,031,720057,225.03,278.56,28.74,5.4,223.09,303.21,15.42,325.72,197.71,17.33,277.82,249.4,13.52,247.01,267.04,18.69
17031720058,17,031,720058,283.93,275.96,26.9,14.94,273.97,307.84,19.93,401.49,191.28,11.96,335.74,241.09,19.93,295.89,269.98,26.9
17031720059,17,031,720059,257.23,194.48,28.21,17.08,271.11,211.71,12.18,340.25,145.65,14.13,304.7,175.13,17.15,279.37,193.4,18.19
17031720060,17,031,720060,215,152,18,11,208,175,15,277,112,11,232,151,15,209,168,15
17031720061,17,031,720061,234.23,195.35,23.16,18.08,225.22,221.47,24.09,309.78,140.94,22.08,259.38,191.22,22.16,227.19,210.34,30.16
17031720062,17,031,720062,298.63,189.13,23.89,10.95,301.62,200.08,16.92,370.3,139.36,9.95,330.48,177.19,10.95,304.6,196.1,11.95
17031720063,17,031,720063,623.32,31.35,6.22,14.28,639.79,32.15,9.59,659.37,11.71,10.45,631.13,28.97,16.34,624.64,28.44,20.97
17031720064,17,031,720064,315.76,254.12,16.3,7.17,311.88,266.23,13.28,416.52,169.45,12.15,362.73,212.82,16.81,326.81,238.9,20.79
17031720065,17,031,720065,200.05,4.98,1.99,1.99,197.06,6.97,4.98,205.03,1,1.99,197.06,3.98,5.97,198.06,3.98,3.98
17031720066,17,031,720066,337.31,10.63,1.78,2.71,334.83,15.83,4.4,346.24,5.29,3.54,336.5,8.01,9.65,332.99,4.55,14.02
17031720067,17,031,720067,282.07,312.87,36.29,17.68,275.23,350.16,18.66,389.99,231.47,25.51,310.64,301.08,32.3,289,325.6,25.52
17031720068,17,031,720068,133.87,178.23,20.64,9.28,141.71,190.71,8.52,200.92,135.82,6.48,166.76,164.54,10.68,145.31,179.58,13.84
17031720069,17,031,720069,351.29,150.56,19.54,11.16,348.19,174.07,11.38,406.29,112.99,15.36,376.33,139.97,18.32,358.62,143.43,22.39
17031720070,17,031,720070,271.7,22.64,2.95,2.95,280.56,19.69,1.97,288.44,7.88,6.89,279.58,17.72,5.91,274.66,19.69,9.84
