GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRHAW,G18USSDMCC,G18USSLCAM,G18USSGCRA,G18USSIODE,G18AUDRMCD,G18AUDDGAL,G18AUDLOTO,G18AUDGFIT,G18AUDCLUE
29189NRW204,29,189,NRW204,1.94,44.38,0.26,0.4,0.26,2.16,43.06,0.35,0.57,0.18
29189NRW205,29,189,NRW205,1.17,25.25,0.15,0.15,0.22,1.01,24.69,0.28,0.39,0.1
29189NW1604,29,189,NW1604,13.89,48.15,0.45,0.45,1.01,11.42,49.83,1.01,0.45,0.67
29189OAK001,29,189,OAK001,224.25,267.3,6.19,1.92,5.12,186.12,285.61,12.41,1.51,10.83
29189OAK002,29,189,OAK002,395.3,444.09,10.04,2.15,10.76,317.11,486.41,21.52,7.17,20.8
29189OAK003,29,189,OAK003,275.69,284.49,3.31,3.59,7.07,228.07,316.92,10.18,4.13,5.74
29189OAK004,29,189,OAK004,57.11,52.83,0.84,1.12,1.3,48.17,58.51,3.17,0.84,1.21
29189OAK005,29,189,OAK005,305.24,328.61,5.31,2.12,8.85,249.65,371.46,12.04,1.77,9.21
29189OAK006,29,189,OAK006,236.05,274.11,7.14,2.38,5.35,197.41,292.54,13.68,1.78,10.7
29189OAK007,29,189,OAK007,945.56,746.65,8.74,4.79,12.69,754.18,878.72,21.33,7.67,24.02
29189OAK008,29,189,OAK008,331.94,261.83,4.44,1.78,4.88,271.15,299.99,9.76,3.11,8.43
29189OAK009,29,189,OAK009,403.42,329.91,3.53,1.76,7.06,330.5,380.49,8.82,1.18,10
29189OAK010,29,189,OAK010,477,403,4,4,3,369,490,12,0,14
29189OAK011,29,189,OAK011,379.96,409.06,6.61,2.64,11.02,310.76,462.39,14.99,2.2,11.46
29189OAK012,29,189,OAK012,73.23,89.51,2.09,0.5,2.84,61.2,96.1,3.76,0.92,2.34
29189OAK013,29,189,OAK013,658.9,439.05,8.77,2.94,14.57,548.35,515.57,20.42,4.87,16.57
29189OAK014,29,189,OAK014,161,141,1,2,0,134,163,4,0,3
29189OAK015,29,189,OAK015,993.99,578.96,5.69,1.9,13.27,824.37,695.51,19.9,4.74,26.53
