GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDSMI,G18GOVRMCM,G18GOVOWRI,G18SOSDWHI,G18SOSRHAM,G18SOSOWRI,G18TREDGLE,G18TREWGLE,G18TRERLOF,G18TREAWOR,G18TREOWRI,G18ATGDANA,G18ATGWANA,G18ATGRWIL,G18ATGOWRI,G18COMRECK,G18COMOWRI,G18SPIRMIT,G18SPIOWRI,G18AGRUNEL,G18AGRGEDM,G18AGRRWEA,G18AGROWRI
45013000310,45,013,000310,166.5,428.6,0,153.4,438.7,0,135.4,9,438.7,4,0,149.3,4,437.7,0,480.2,0,443.8,5,14.2,58.7,442.8,0
45013000311,45,013,000311,342.7,459.6,0.1,319.2,483,0,307.7,13.4,465.4,17.7,0,303.2,17.2,482,0,573.6,8.4,484.9,16,41.9,139.6,487.6,0.3
45013000312,45,013,000312,274,367.3,0.1,256.4,383.5,0.1,242.7,11.2,372.8,11.3,0,254,7.9,378.1,0,451.6,10.9,388.7,9.6,34.4,92.7,390.9,1.3
45013000313,45,013,000313,343.4,516.1,1,299.7,553.8,0,287.8,13.9,535,17.9,0,309.7,10.9,535,0,623.3,11.9,548.9,6,37.7,117.1,557.8,3
45013000314,45,013,000314,396.4,570.2,1.3,372.9,591.8,0,352.6,21.6,571.5,22.3,0,363.4,21,581.6,0,692.4,19.1,610.3,12.7,52.8,158.4,605.8,1.9
45013000315,45,013,000315,510.5,305.3,0.1,490.2,324.7,0,480.1,20.9,304.6,10.1,0.1,483.3,18,311,1,406.9,9.5,323.7,4.8,60.9,138.4,326,0.4
45013000316,45,013,000316,418,801,0,396,819,0,378,13,804,15,0,379,17,820,0,925,18,832,6,30,163,830,1
45013000317,45,013,000317,324.6,590.7,0,299.1,608.6,0.1,274.2,14.3,603.9,11.7,0,294.8,10,606.9,0,685,5.2,628.4,7.9,15.3,106.7,633.9,1.6
45013000318,45,013,000318,264.3,342.4,0.9,246.5,358.4,0,234.2,12.2,341.5,17.9,0,238.9,10.3,359.3,0,453.4,10.3,373.4,7.5,32,114.8,369.7,4.7
45013000319,45,013,000319,365.6,459.8,0,341.5,482.4,0,320.9,16.3,465.4,14.9,0,342.9,8.5,473.2,0,573.8,16.3,485.3,15.6,51.7,127.5,486,0.7
45013000320,45,013,000320,219.3,317.5,0.6,206.8,328.8,0,195.7,11.1,319.1,11.6,0,201.3,10.9,324,0,384,9.7,339.3,6.7,27.6,83.5,337.6,1
45013000321,45,013,000321,353.2,503.2,0,330.6,523.1,0.6,316.4,11,514.6,13.2,0,323,10.5,519.7,0,609.6,10.5,532.3,8.8,35.2,107,540.4,3.3
45013000360,45,013,000360,292.8,555.5,0,287.2,559.3,0,279.6,7.5,559.3,4.7,0,284.4,4.7,553.6,0,619.6,7.5,568.7,2.8,16,75.3,575.3,4.7
45013000361,45,013,000361,262,393,0,246,408,0,242,6,399,9,0,237,6,407,0,456,4,413,3,28,70,415,1
45013000362,45,013,000362,372.2,638.3,0,375.2,639.3,1,371.2,12,628.3,5,0,363.2,12,630.3,0,704.4,1,654.3,5,26,106,645.3,0
