GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW
39009005ABH,39,009,005ABH,238.15,340.78,9.96,2.99
39009005ABI,39,009,005ABI,42.85,53.22,0.04,0.01
39009005ABJ,39,009,005ABJ,363.66,710.09,11.54,3.52
39009005ABK,39,009,005ABK,88.31,353.64,6.41,1.36
39009005ABL,39,009,005ABL,190.75,465.1,4.02,2
39009005ABM,39,009,005ABM,248.83,381.74,3,1
39009005ABN,39,009,005ABN,348.97,516.75,12.03,5.01
39009005ABO,39,009,005ABO,113,145,4,3
39009005ABP,39,009,005ABP,247.27,522.1,14.63,3.7
39009005ABR,39,009,005ABR,557,180,8,1
39009005ABS,39,009,005ABS,181.81,144.48,6.04,1
39009005ABT,39,009,005ABT,187.88,289.28,7.95,0
39009005ABU,39,009,005ABU,240.31,207.24,3.01,8
39009005ABV,39,009,005ABV,90,171,1,2
39009005ABW,39,009,005ABW,265.02,201.01,2,1
39009005ABX,39,009,005ABX,669.98,436.99,14,3
39009005ABY,39,009,005ABY,431,360,9,1
39009005ABZ,39,009,005ABZ,351,268,8,4
39009005ACB,39,009,005ACB,99.48,95.26,1,0
39009005ACC,39,009,005ACC,471.75,305.5,5.85,2.94
39009005ACD,39,009,005ACD,72.98,49.29,0.04,0.05
39009005ACE,39,009,005ACE,334.79,274.95,4.11,6.01
39009005ACI,39,009,005ACI,183.51,56.89,1.1,1.01
39009005ACJ,39,009,005ACJ,484.23,153.43,6.57,1.1
39009005ACK,39,009,005ACK,307.76,66.14,5.29,0.88
39009005ACL,39,009,005ACL,285,273,6,1
39009005ACM,39,009,005ACM,356,253,5,2
39009005ACO,39,009,005ACO,161.85,133.8,3.49,0.54
39009005ACP,39,009,005ACP,516.55,333.8,4.05,2.05
39009005ACR,39,009,005ACR,3.91,4.63,0,0
39009005ACS,39,009,005ACS,11.85,64.31,1.69,0.85
39011006AAA,39,011,006AAA,574.42,133.08,12.81,0.06
39011006AAB,39,011,006AAB,318,89,5,3
39011006AAC,39,011,006AAC,392.74,130.58,5.02,1
39011006AAD,39,011,006AAD,634.56,188.18,2.94,0.02
39011006AAE,39,011,006AAE,659.96,168.06,15.13,4.07
39011006AAF,39,011,006AAF,464.13,141.3,10.71,2.92
39011006AAG,39,011,006AAG,701.8,207.15,12.02,3.01
39011006AAH,39,011,006AAH,618,184,8,1
39011006AAI,39,011,006AAI,322.14,133.81,6.94,1.98
39011006AAJ,39,011,006AAJ,465.26,137.19,1.99,0.99
39011006AAK,39,011,006AAK,382.47,109.32,3.62,2.33
39011006AAL,39,011,006AAL,331.23,80.24,6.36,0.92
39011006AAM,39,011,006AAM,268,99,10,2
39011006AAN,39,011,006AAN,623,179,4,1
39011006AAO,39,011,006AAO,395,58,2,1
39011006AAP,39,011,006AAP,844.29,149.73,9.19,3.03
39011006AAR,39,011,006AAR,529.65,136.93,11.39,2.68
39011006AAS,39,011,006AAS,277.1,62.97,4.99,0
39011006AAU,39,011,006AAU,440.05,64.21,6.91,0.98
