GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWES,G20PREOOTH,G20USSRCAS,G20USSRMUR,G20USSDPER,G20USSDEDW,G20USSDPIE,G20USSDKNI,G20USSDWEN,G20USSLSIG,G20USSIMEN,G20USSOPRI,G20USSOJOH,G20USSNBIL,G20USSNBOU,G20USSNMON,G20USSNDAR
22051000246,22,051,000246,472.1,56.2,3.9,1,1,444.5,17.7,13.8,12.8,3.9,3.9,0,0,1,0,0,13.8,1,0,0
22051000247,22,051,000247,688,103,1,1,3,669,7,45,36,0,4,2,1,1,5,0,16,5,0,1
22051000248,22,051,000248,685.6,78.8,3.5,1.2,3.3,636.6,8.8,31.9,18.7,4.7,2.5,2.4,1.4,1.3,1.3,1,17.7,8.6,0.2,5
220510003-G,22,051,0003-G,525.6,326.8,14,2,6,526.5,13,182.3,71.2,17.1,21,4,6,4,1,1,5,8,3,3
220510003-H,22,051,0003-H,512,90,1,4,4,512,10,49,15,7,0,0,0,4,0,0,2,1,0,1
220510003-K,22,051,0003-K,568.2,475.3,14.4,1.1,4.5,519.9,27.2,139.7,157,36.5,22,32.7,0.1,9.9,5.6,1.3,18.7,18.4,0.1,3.1
220510003-W,22,051,0003-W,441.1,126,8.7,3.9,6.8,376.2,22.3,55.3,28.1,6.8,1.9,3.9,1,2.9,4.8,0,48.5,9.7,1,0
220510004-G,22,051,0004-G,88,258,4,1,1,87,0,108,66,13,10,4,1,3,6,1,6,5,0,1
220510004-H,22,051,0004-H,773,208,17,0,4,776,16,114,44,4,6,2,7,7,3,0,2,8,0,0
220510004-K,22,051,0004-K,481.6,404.7,4.2,0.8,5.9,489.2,13.5,141.1,144.5,16.9,11,7.6,0.8,10.1,6.8,3.4,7.6,4.2,0.8,0.8
