GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SOSRARD,G18SOSREDM,G18SOSRSTO,G18SOSRKEN,G18SOSRCRO,G18SOSRCLO,G18SOSDCOL,G18SOSDFRE,G18SOSNMOR,R18SOSRARD,R18SOSDCOL
22109000048,22,109,000048,47.99,7.39,25.39,22.39,11.33,21.88,112.23,75.12,9.54,25.29,43.21
22109000049,22,109,000049,23,6,9,19,1,7,107,50,1,9,56
22109000051,22,109,000051,169.59,48.24,77.24,121.38,49.08,63.32,80.42,37.18,18.04,119.24,21
22109000052,22,109,000052,86.12,12.26,23.63,49.63,18.25,26.35,59.53,26.77,13.1,48.17,4.6
22109000053,22,109,000053,60.47,14.66,27.23,36.45,22.4,16.76,33.45,22.3,6.4,36.2,17.5
22109000054,22,109,000054,41.85,6.27,20.37,34.27,17.04,9.5,20.88,11.93,3.73,32.94,8.63
22109000055,22,109,000055,139,72,74,69,46,54,12,13,8,93,4
22109000056,22,109,000056,71.94,16.47,26.9,41.43,10.5,16.53,11.32,5.36,2.14,52.47,3.22
22109000057,22,109,000057,205.1,49.74,94.92,151.79,53.08,55.84,34.14,37.97,15.03,155.06,22.96
22109000058,22,109,000058,59.68,18.93,27.05,34.74,14.1,17.35,15.45,13.44,3.52,38.39,5.69
22109000059,22,109,000059,287.65,52.68,133.85,166.95,73.22,55.21,80.14,95.28,14.69,146.48,36.74
22109000060,22,109,000060,143,46,74,85,32,33,22,26,16,66,5
22109000061,22,109,000061,49,8,22,27,13,5,8,16,5,32,8
22109000063,22,109,000063,92.84,34.91,21.67,63.17,16.01,10.42,12.25,9.48,5.71,46.45,4.71
22109000064,22,109,000064,86,23,36,21,13,14,5,11,6,58,5
22109000065,22,109,000065,106.36,20.02,44.03,60.13,9,20.21,56.79,68.82,3.01,54.28,23.99
22109000067,22,109,000067,44.58,14.17,12.19,19.23,9.08,7.06,98.28,120.25,1.01,18.38,67.11
22109000068,22,109,000068,116.17,22.13,62.7,57.17,27.66,27.66,33.19,36.88,8.3,75.61,31.35
22109000069,22,109,000069,240.46,61.29,154.48,110.22,47.16,70.33,41.02,34.24,10.62,279.08,41.46
22109000071,22,109,000071,28.49,4.71,14.37,13.9,3.77,6.36,99.35,47.76,4.95,16.93,32.52
22109000072,22,109,000072,172.8,34.26,80.77,104.81,35.19,23.35,34.23,37.94,9.32,111.91,19.88
22109000073,22,109,000073,137.52,20.93,30.89,50.82,16.94,22.92,27.9,12.95,7.97,46.84,11.96
22109000074,22,109,000074,70.89,22.29,25.02,41.41,8.17,24.98,42.31,22.11,4.9,41.3,5.52
22109000076,22,109,000076,94.86,23.23,41.84,44.64,22.29,20.49,28.06,19.66,4.65,67.85,13.99
22109000082,22,109,000082,53.83,9.87,26.3,37.83,14.34,14.34,10.81,15.12,2.7,45.39,3.65
22109000083,22,109,000083,194.4,59.74,116.64,110,30.34,60.69,26.55,32.24,16.12,158.36,37.93
22109000084,22,109,000084,87,23,43,45,20,14,28,17,5,97,15
22109000085,22,109,000085,209,57,141,84,39,53,12,18,7,227,18
22109000086,22,109,000086,120,17,39,66,28,28,27,27,7,76,12
22109000087,22,109,000087,169,25,70,77,25,31,54,46,10,62,25
22109000088,22,109,000088,225.39,41.78,76.75,137.96,61.21,30.12,22.35,19.43,13.6,160.3,14.57
22109000089,22,109,000089,213,51,77,110,73,48,29,31,8,151,14
22109000090,22,109,000090,186.14,53.97,117.89,111.78,41.49,46.98,21.43,31.52,10.26,167.56,21.61
22109000110,22,109,000110,1,1,0,1,1,1,4,2,0,24,14
22109000111,22,109,000111,22.04,6,16.95,14.97,4.01,3.05,45.7,38.74,1.99,5.11,11.93
22111000001,22,111,000001,10,4,7,21,1,7,26,30,1,5,14
22111000002,22,111,000002,54,29,13,36,11,7,47,31,1,32,28
22111000003,22,111,000003,46,26,11,40,20,20,116,144,4,35,137
22111000004,22,111,000004,120,91,30,99,17,31,31,85,6,104,25
22111000005,22,111,000005,51,52,17,47,17,13,23,24,3,62,15
22111000006,22,111,000006,111.92,63.36,35.6,65.36,13.85,28.62,21.95,19.8,1.01,69.4,10.04
22111000007,22,111,000007,114.01,62.46,33.71,58.49,10.91,14.87,21.81,17.85,0,79.31,10.91
22111000008,22,111,000008,18,11,6,15,6,5,1,10,1,9,3
22111000009,22,111,000009,12,6,4,5,3,3,16,11,1,8,13
22111000010,22,111,000010,48,18,8,34,3,8,20,16,1,36,3
22111000011,22,111,000011,118,54,40,57,20,31,79,63,3,70,34
22111000012,22,111,000012,29,26,4,22,8,11,123,74,1,31,106
22111000013,22,111,000013,4,2,2,3,0,0,14,10,0,3,10
