state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_kai,uss_18_rep_ste,uss_20_dem_war,uss_20_rep_gad,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
51,011,102,1913,1433,416,21,8,9,0,3,23,1519,1166,314,16,8,6,0,0,9,282.6,700.2,324.3,863.2,242.4,562.3,349.2,808.3,282.6,242.4,336.3,700.2,562.3,835.6
51,011,201,1171,751,378,16,1,1,1,4,19,888,596,276,7,1,0,1,1,6,199.3,336,311.6,423,189,277.2,326.3,395,199.3,189,318.9,336,277.2,408.9
51,011,202,1805,1530,226,21,4,2,1,4,17,1409,1201,179,15,3,2,1,3,5,177.2,814.8,202.3,886.5,170.2,680.7,248.6,836.3,177.2,170.2,224.7,814.8,680.7,860.6999999999999
51,011,301,1804,1465,284,6,1,10,0,4,34,1364,1130,211,5,1,6,0,1,10,222.9,796.7,221.1,920.6,214.7,679.2,277.4,871.1,222.9,214.7,248.8,796.7,679.2,896
51,011,302,1649,1294,314,16,2,2,1,4,16,1277,1005,249,11,1,2,1,0,8,234.9,676.7,222.7,919.9,218.2,595.3,254.5,875.6999999999999,234.9,218.2,238.2,676.7,595.3,897.1
51,011,401,2814,2056,658,36,7,4,0,3,50,2191,1691,450,25,7,4,0,0,14,336.8,944.6,381.9,839,308.7,769,446.9,788.4,336.8,308.7,413.4,944.6,769,813.5
51,011,501,2011,1531,424,19,0,4,1,1,31,1546,1202,316,10,0,3,1,1,13,311.7,716,397.9,861.6999999999999,257.8,587.3,454.5,796.5,311.7,257.8,427.3,716,587.3,828.7
51,011,502,881,615,215,22,0,1,0,0,28,699,501,175,12,0,1,0,0,10,148.8,271.4,221.9,397.6,120.8,233,238.1,372.3,148.8,120.8,229.4,271.4,233,385.1
51,013,001,5790,1440,1152,2162,3,856,3,22,152,4504,1233,886,1590,2,662,3,9,119,1965.2,315,2996,485.9,1668.2,232.8,3110,435.1,1965.2,1668.2,3053,315,232.8,460.6
51,013,002,4190,3141,152,497,4,282,0,13,101,3528,2677,120,400,4,252,0,8,67,1903.8,353.3,2134,408.2,1892,303.8,1961.8,546.8,1903.8,1892,2048.1,353.3,303.8,477.7
51,013,003,2391,1834,54,264,2,169,1,4,63,1961,1555,45,191,2,139,1,4,24,1105.8,319.7,693.2,185.1,1045.1,271.2,671.9,259.5,1105.8,1045.1,682.5,319.7,271.2,222.4
51,013,004,2557,1949,51,286,4,183,1,9,74,2016,1578,38,206,4,154,1,2,33,1194.8,269.1,1666.7,343.5,1159.9,213.1,1600.6000000000001,426.3,1194.8,1159.9,1633.8,269.1,213.1,385.1
51,013,005,3942,2087,189,1336,8,212,3,11,96,3110,1720,150,1013,7,168,2,5,45,1554.2,343.1,2286.3,423.5,1425.7,256.4,2315.6,478,1554.2,1425.7,2300.9,343.1,256.4,450.8
51,013,006,3860,2598,368,305,17,441,3,8,120,3588,2456,327,279,17,410,3,6,90,1422,429,1353,355.1,1405.9,306,1384,390.90000000000003,1422,1405.9,1368.6,429,306,373.1
51,013,007,3889,3059,174,280,4,241,0,7,124,3049,2415,154,216,3,208,0,4,49,1772.9,384,2166.5,547.9,1754.1,336.2,1970.4,676.9,1772.9,1754.1,2068.1,384,336.2,611.7
51,013,008,5432,3639,260,413,19,926,4,13,158,5128,3462,250,378,17,881,4,10,126,2555.9,618.2,2917.7,600.6,2264.1,496.7,2792.2,735.5,2555.9,2264.1,2855.1,618.2,496.7,667.8
51,013,009,4590,2429,745,893,12,364,4,19,124,3957,2216,618,709,7,310,4,6,87,1954.7,395.5,1806.6,365.8,2178.1,365.8,1782.2,415.9,1954.7,2178.1,1793.8,395.5,365.8,390.8
51,013,010,5927,3855,310,776,14,793,9,15,155,5457,3702,274,634,10,692,9,11,125,2408.7,485.2,2271.4,543.3,2108.8,399.9,2263.5,613,2408.7,2108.8,2267.4,485.2,399.9,578.1
51,013,011,2549,2072,61,156,4,170,11,6,69,1933,1602,44,116,2,132,6,3,28,1187.8,333,1253.7,425.7,1237.6,292.2,1215.6,505.7,1187.8,1237.6,1234.4,333,292.2,465.6
51,013,012,3093,2704,60,173,1,92,2,6,55,2648,2350,52,136,1,74,2,5,28,1794.1,429.1,2213.9,522,1820,336,2137,651,1794.1,1820,2175.3,429.1,336,586.4
51,013,013,2751,1469,190,515,3,479,1,12,82,2289,1254,160,393,2,420,1,8,51,1358.2,325.5,1967.3,475.8,1175.9,242.20000000000002,2105,458.6,1358.2,1175.9,2036.1,325.5,242.20000000000002,467.2
51,013,014,2801,2262,49,125,3,277,0,5,80,2627,2144,47,117,2,257,0,5,55,1491,287.9,1530.1,333,1366.1,245,1432,427,1491,1366.1,1481,287.9,245,379.7
51,013,015,3796,2774,172,393,3,367,0,3,84,3334,2480,139,337,3,313,0,3,59,2059,440.1,2874.4,495,1838,312.9,2690.4,613.1,2059,1838,2782.2,440.1,312.9,553.9
51,013,016,3705,2975,95,288,6,237,2,7,95,3135,2544,84,228,6,207,2,4,60,1873.1,401.3,2006.4,394.7,1736.4,309.1,1795.9,566.9,1873.1,1736.4,1901.1000000000001,401.3,309.1,480.9
51,013,017,3765,3151,49,201,0,248,1,17,98,2870,2444,43,136,0,195,1,9,42,1894.7,435.1,1714.8,513.7,1858,378.2,1653.9,629.9,1894.7,1858,1684.4,435.1,378.2,571.4
51,013,018,6538,4243,645,682,8,744,10,27,179,6094,4077,589,595,7,662,8,22,134,2577,517.1,1852,510.8,2575.1,452.9,1733,659,2577,2575.1,1792.3,517.1,452.9,584.6
51,013,019,5564,3618,240,462,9,1027,6,20,182,5297,3509,211,431,9,950,5,16,166,2220.1,410.8,1875.2,461.79999999999995,1982.2,345.8,1835.3999999999999,552.8,2220.1,1982.2,1855.3,410.8,345.8,507.3
51,013,020,3502,3077,33,185,3,129,0,1,74,2598,2325,29,110,3,100,0,1,30,1352.8,445.2,1191.7,384.2,1501.4,427.9,1092.3,498.1,1352.8,1501.4,1141.9,445.2,427.9,441.4
