state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_dem_bid,pre_20_rep_tru,uss_18_rep_new,uss_18_dem_klo,uss_20_dem_smi,uss_20_rep_lew,gov_18_rep_joh,gov_18_dem_wal,atg_18_rep_war,atg_18_dem_ell,sos_18_rep_how,sos_18_dem_sim,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
27,003,1270,2380,1955,139,120,19,61,0,1,85,1776,1524,79,71,16,44,0,0,42,558,432.6,601.1,600,383.2,470,485.9,535,422.2,428,436.8,367.9,425.2,404.1,432.6,417.6,543.3,558,416.9,567.2
27,003,1280,1859,1680,56,51,4,45,0,0,23,1439,1327,28,38,4,32,0,0,10,545.6,419.5,534.8,550.5,339.8,472,471.1,487.9,375.8,420.5,394.6,365.7,373.7,409.5,419.5,417.2,503,545.6,370.7,519.2
27,003,1410,466,438,4,10,0,2,1,0,11,358,342,2,4,0,2,1,0,7,182.2,50.3,74.2,209.6,101.4,66.2,68.5,174.29999999999998,115.3,51.2,114.4,47.2,111.3,51.2,50.3,53.8,71.5,182.2,110.6,191.9
27,003,1610,1872,1608,35,74,13,94,0,4,44,1420,1266,23,41,10,54,0,4,22,485,462.2,572,557,323.2,561.9,514,487.1,408.1,485,432.1,421.09999999999997,419.9,455,462.2,480.7,543.2,485,395.9,522.1
27,003,1630,4237,3373,93,228,20,395,0,3,125,2839,2331,50,128,16,267,0,0,47,937.5,834.3,1155.4,1076.4,626.5,919.8,1017.1,1000.7,742.4,792.3,781.8,711.1,762.7,771,834.3,799,1086.3,937.5,728,1037.9
27,003,1640,1700,1467,35,53,9,69,6,2,59,1318,1179,22,32,8,45,6,1,25,426,399.3,499,455.8,282.8,447.2,439.3,414.4,322.4,399.4,336.5,356.6,323.5,387,399.3,397.6,469.3,426,316.3,435
27,003,1650,1698,1526,36,63,11,28,0,0,34,1347,1248,20,37,8,23,0,0,11,464.9,385.2,503.9,501.4,297.6,464.6,435,464.8,351.6,410,364.6,358.3,345.3,397.6,385.2,407.6,469.3,464.9,340.2,483
27,003,1660,2286,1853,112,96,16,155,0,2,52,1801,1543,62,58,15,100,0,0,23,527.8,648.7,793.1,602.4,380.8,683.7,694.1,562.5,435,614.1999999999999,448.2,568.2,421.2,614.9,648.7,620.3,743.5,527.8,421.2,582.5
27,003,1670,2305,1845,93,108,28,184,0,5,42,1752,1470,50,67,19,123,0,2,21,515.3,579.3,777.4,589.3,347.8,696.5,684,532.6,397.3,635.9,422.7,586.8,402.9,634.3,579.3,638.3,731,515.3,392.6,560.9
27,003,1680,1993,1717,59,34,11,109,3,2,58,1430,1271,37,18,8,68,2,0,26,575.2,454.8,676.4,656.3,391.1,541.1,593.1,643.9,464.4,450.7,489.3,393.3,472.3,424.2,454.8,452.3,635,575.2,454.2,650.5
27,003,1810,2455,2119,72,47,7,154,0,1,55,1766,1589,33,19,5,96,0,1,23,910.3,709,1232.7,1193.8,720.5,1035.9,1107.9,1182.3,873.5,854.9,924.3,749.1,875,801.7,709,860.3,1170.1,910.3,848.3,1188.3
27,003,1820,2969,2108,170,90,1,522,0,5,73,2155,1603,111,46,1,362,0,1,31,696.7,722.4,960.5,768.3,507.2,802.9,844.9,752.5,600.4,698.4,629,640.8,605.5,660,722.4,700.5,902.9,696.7,585.5,760.6
27,003,1840,3125,2581,107,136,14,223,0,1,63,2380,2062,65,73,13,145,0,1,21,730.6,798.6,987.7,814.5,465.8,828.3,864.8,754.1999999999999,557.2,733.3,581,659.3,553.5,702.1,798.6,731.1,925.3,730.6,539.2,784
27,003,1850,2929,2275,173,97,25,284,0,5,70,2087,1713,88,52,20,186,0,1,27,656.5,695.1,894.2,737.3000000000001,426.3,747.9,784.3,673.4,503.6,662,526.5,587.3,498.4,642.2,695.1,659.7,839.3,656.5,488.9,705.8
27,003,1860,1652,1384,59,93,22,47,1,1,45,1324,1147,45,56,17,34,1,1,23,398,423.1,546.7,442.3,270.7,461.5,473.6,406.8,313.2,408.8,329.6,362.3,310.5,405.6,423.1,409.7,510.2,398,306,424.5
27,003,1870,2004,1687,88,55,3,134,0,5,32,1549,1356,47,31,3,87,0,4,21,442.3,501.6,688.2,522.1,289.9,536.2,592.6,479.4,335.1,481.4,347.8,429.2,331.5,467.1,501.6,478.3,640.2,442.3,326,501
27,003,1872,2296,1913,107,53,8,146,0,19,50,1622,1397,48,31,6,108,0,7,25,775.4,688.6,941.6,864.8,567.4,785.3,838.4,844.6,663.5,680.2,696.1,608.7,680.1,639.7,688.6,678.4,890.1999999999999,775.4,651.9,854.7
27,003,1875,2558,2003,70,52,3,351,0,2,77,1825,1472,47,24,2,244,0,2,34,757.9,684.4,899.6,873.2,576.6,790.6,797.2,881.5,694.9,662.2,737.8,597.7,698.8,632.1,684.4,670.6,848.2,757.9,676.6,877.4
27,003,1880,4796,3772,122,122,14,628,1,14,123,3445,2825,72,70,9,433,1,7,28,1931.6,1633.2,2352.8,2202.5,1494.7,1921.7,2135.2,2172.3,1734.7,1667.7,1813.2,1465.2,1753.3,1585.2,1633.2,1659.9,2243.7,1931.6,1699.2,2187.6
27,003,2010,2530,2233,73,67,15,92,1,0,49,1909,1726,47,40,12,59,1,0,24,755.1,602.2,800.9,786.2,503.2,712.7,700.3,728.3,580.5,619.8,608.4,554.7,580.3,605.6,602.2,623.4,750.4,755.1,568.1,758
27,003,2020,4842,4166,221,91,11,247,0,2,104,3399,3029,121,48,8,156,0,1,36,1734.7,1534.2,2406.2999999999997,2210.8,1313.9,1914.2,2176.3,2163.2,1524.6,1677.4,1639.7,1465.5,1565.1,1556,1534.2,1653,2291.4,1734.7,1510.7,2187.1
27,003,2040,3915,3202,207,130,19,270,0,4,83,2942,2492,123,80,15,195,0,2,35,997.5,935.4,1216.4,1089.7,656.4,1027.1,1091,978.6,745.9,925.1,768.4,858.1,752.9,903.2,935.4,928.5,1153.7,997.5,730.7,1033.8
27,003,2050,2423,2007,86,76,10,181,0,1,62,1755,1518,53,39,9,119,0,1,16,601.9,544.1,717.7,698.6,410.9,639.8,631.6,629.9,474.6,569.1,502.9,503.4,481.8,544.6,544.1,564.2,674.8,601.9,467.5,664.1
27,003,2060,1448,1274,42,51,14,23,0,0,44,1101,1003,29,26,11,17,0,0,15,341.7,345.7,454,427.7,222.6,393.2,397,374.1,252.5,360.40000000000003,276.9,312.4,263,339.6,345.7,351.5,425.3,341.7,253.7,400.8
27,003,2070,1153,939,48,26,2,114,0,0,24,850,712,27,16,2,79,0,0,14,331.7,267,355,348.9,222.7,315.4,310.9,323.4,255.4,275.6,268.7,245.9,256.3,268.1,267,276.3,333.1,331.7,250.6,336.1
27,003,2410,3792,3535,11,61,15,104,0,0,66,2624,2483,7,31,10,67,0,0,26,1241.1,828.9,1069.7,1353.1,875,1105.1,978.8,1281.9,1048.7,904.8,1097.2,742.8,1020.2,822.1,828.9,893.9,1024.1,1241.1,1010.4,1317.7
27,003,2610,1914,1747,24,47,9,39,0,1,47,1487,1387,14,19,8,30,0,1,28,565.1,444.1,592.1,600.9,355.9,529.1,516.2,538,416.9,448.1,430.9,400,416.3,419.2,444.1,449,554.5,565.1,405,569.5
27,003,2620,3004,2716,63,50,13,120,0,0,42,2378,2196,39,32,8,85,0,0,18,708.9,984,1123.1,782.3,540.1,1072.1,1026.2,762.9,642.9,958.1,692.2,831,633.2,907.1,984,942.2,1075,708.9,627.1,772.8
27,003,2810,3001,1857,492,348,40,148,1,3,112,2251,1584,275,199,27,115,1,2,48,353.8,1028,1489.9,371,246.3,1168.8,1279.1,345.9,292.7,1105.9,315.9,1025.2,306.8,1067,1028,1092.4,1385.1,353.8,290.5,358.5
27,003,2820,2589,1577,452,304,36,113,1,7,99,1934,1332,245,188,29,85,1,3,51,311.9,834.9,1047.9,328,219.2,857.4,913.1,308.9,261.8,807.1,277.8,759.8,256.9,810.9,834.9,808.6,980.8,311.9,254.2,318.2
27,003,2830,2411,1552,351,300,35,75,0,10,88,1872,1356,206,186,27,54,0,5,38,309.2,801,986,316,211.1,849.1,902.9,303.9,255.9,816,277,762,249.9,787.1,801,803.6,944.7,309.2,248.3,310
27,003,2840,2796,1443,552,391,31,240,2,12,125,2090,1244,349,230,27,173,1,10,56,323,800.7,1175.8,354,216.6,793.9,971.1,338.8,272.5,736.8,268.6,717.7,250.4,743.9,800.7,748,1073.7,323,252.1,346.6
