state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_war,uss_18_rep_die,uss_20_dem_mar,uss_20_rep_oco,gov_18_rep_bak,gov_18_dem_gon,atg_18_dem_hea,atg_18_rep_mcm,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
25,001,2212,2999,2851,8,47,9,49,0,4,31,2260,2164,8,30,7,31,0,4,16,837.6,875,1116.2,905.8,718.2,816.2,1073.1,949.9,1211.3,334.9,860.7,713.6,837.6,637.9,1094.6,875,913.6,927.9
25,001,2213,3117,3001,13,37,6,28,0,4,28,2274,2203,12,19,4,15,0,3,18,824.6,862.2,1084.1,899.1,683.4,795.5,1058.7,922.4,1163.1,333,831.6,695.3,824.6,616.2,1071.5,862.2,884.6,910.7
25,001,2214,2730,2578,7,49,6,33,1,4,52,1976,1890,7,31,5,19,1,4,19,706.4,752.5,922.9,791.7,575.1,694.8,907.6,805.8,995.4,285.7,699.2,611,706.4,519.9,915.3,752.5,767.3,798.3
25,001,2215,2838,2673,15,53,18,46,0,4,29,2030,1927,10,34,8,31,0,4,16,662.1,816.7,904.1,875.9,527.9,766.4,876.6,907.3,1018.3000000000001,266.4,639.4,683.7,662.1,478,890.4,816.7,822.5,891.9
25,001,2216,2003,1883,38,41,3,10,0,4,24,1740,1655,32,28,3,6,0,2,14,1095.5,360.5,1386.8,340.4,1053,337.1,1379.5,364.1,773.9,649.4,1141.2,289.8,1095.5,948.3000000000001,1383.5,360.5,466.4,351.1
25,001,2217,2750,2635,22,41,7,13,0,7,25,2381,2294,21,28,7,11,0,7,13,1555.1,513.7,1972.1,493.3,1480.6,472.4,1967.8,528.4,1039.4,933.6,1593.4,409.6,1555.1,1336.7,1969.8,513.7,641.2,511.1
25,001,2218,3260,3041,37,60,13,33,0,27,49,2709,2561,25,44,8,27,0,19,25,1157.5,821.5,1431,850.6,1023.9,831,1397.4,886.4,1392.6,482.3,1189.5,712.7,1157.5,898.5,1415.4,821.5,979.3,867.6
25,001,2219,3494,3272,94,59,8,21,0,11,29,3045,2906,56,40,6,9,0,11,17,1149.1,908.7,1448.5,900,975.6,885.5,1420.6,934,1470.7,394.6,1170.8,727.2,1149.1,847.4,1434.6,908.7,1028.4,916.7
25,001,2220,3272,2819,107,143,11,49,1,53,89,2708,2396,76,97,10,37,1,39,52,903,661.8,1143.3,670,728.6,571.5,1144.8,687.6999999999999,979.9,340.8,834.9,495.4,903,633.8,1144.6,661.8,683.8,678.3
25,001,2221,3514,3190,49,87,3,71,0,45,69,2888,2678,39,56,2,41,0,31,41,1001.5,861.6,1219.1,866.4,824,773.4,1248.8,853.9,1253.3,372.2,980.3,679.8,1001.5,724.7,1233.7,861.6,902.4,860.5
25,001,2222,3568,3206,70,117,11,19,1,68,76,2944,2695,53,85,10,10,1,52,38,939.5,845.7,1174.3,896.4,758.4,739.7,1197.8,874.2,1154.9,389.6,910.7,649.2,939.5,685.8,1185.3,845.7,847.4,885.5
25,001,2223,3051,2667,76,114,3,41,0,62,88,2583,2308,59,75,2,34,0,50,55,849.4,704.2,1071.9,708.7,720,622.9,1059.4,717.5,1021.1,350,832.2,557.9,849.4,634.1,1065,704.2,735.5,713.1
25,001,2224,3634,3503,15,41,10,24,1,15,25,3155,3059,11,34,8,18,1,10,14,1304,1046.9,1661.3,1096.7,1165.6,1125.8,1598.9,1169.9,1865.3,455.2,1389.8,961.4,1304,1003.3,1629.5,1046.9,1317.8,1132.5
25,001,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,003,2225,1679,1596,12,24,5,12,0,0,30,1329,1281,8,16,4,8,0,0,12,439,254.9,527,252.7,367,156.8,538.7,236.7,294.1,243,377.2,148,439,329.1,532.8,254.9,199.5,244.7
25,003,2226,1672,1615,11,12,3,4,0,4,23,1343,1312,6,7,3,3,0,1,11,476.1,269.6,574.3,291,426.1,188,594.8,268.6,364,268.4,442.7,184.9,476.1,379,584.3,269.6,245.5,279.6
25,003,2227,1731,1668,9,11,0,17,1,1,24,1380,1343,5,3,0,12,1,1,15,474.8,268,600.8,324,425.9,203,612.8,313,395.8,240.70000000000002,435.1,198,474.8,367,606.8,268,265.5,318.4
25,003,2228,1656,1589,16,30,0,3,1,0,17,1315,1278,9,19,0,2,1,0,6,446,233,512,269.2,381.9,169.5,521.4,255.1,324.8,240.7,407.1,159.4,446,343.1,516.7,233,217.7,262.2
25,003,2229,1747,1698,3,21,0,4,0,0,21,1414,1387,3,13,0,3,0,0,8,577,258.9,680.1,290.9,496.1,215,680.1,283.7,452.9,283.7,527.6,202.79999999999998,577,435.6,680.1,258.9,290.1,287.1
25,003,2230,494,481,3,2,0,3,0,0,5,422,414,2,1,0,3,0,0,2,225.9,51.9,271,49.9,217,37.2,264.9,56,97.8,158.1,215.79999999999998,41.1,225.9,197,267.9,51.9,58.8,52.699999999999996
25,003,2231,1779,1699,11,33,4,8,0,4,20,1466,1412,10,17,4,7,0,2,14,571.8,370.3,755.3,413.9,507.8,262.1,738.6,396.6,425.7,355.2,525.2,259.6,571.8,461.5,745.7,370.3,317.2,406.4
25,003,2232,3235,3139,14,35,5,12,0,1,29,2625,2563,11,23,5,11,0,1,11,978.2,740.8,1124.1,775.7,878.6,565.9,1113.2,783.5,908.8,560.1,897.2,563.6,978.2,779.1,1118.8,740.8,679.7,780
25,003,2233,1702,1668,3,16,0,2,0,0,13,1324,1309,2,8,0,1,0,0,4,510.2,327,582.8,390.2,445.1,240.4,593.7,371,446,250,460.6,224.70000000000002,510.2,384.8,588.2,327,303.8,380.7
25,003,2234,3381,3226,14,61,2,32,0,2,44,2627,2526,11,41,2,24,0,1,22,1091.6,491.1,1305.1,559.9,958.2,444.1,1296.3,551.1,876,557.8,996,415.1,1091.6,837.1,1301.3,491.1,578.2,555.4
25,003,2235,3375,3243,34,48,2,21,1,2,24,2620,2543,23,27,2,13,0,0,12,1099.2,449,1377.3,479.2,987,411.2,1343.5,488.1,882,534.7,1019.2,383,1099.2,846.5,1360.1000000000001,449,558.4,483.8
25,003,2236,1225,1171,7,29,1,7,1,0,9,1041,998,5,24,1,6,1,0,6,621.4,146.9,783.5,173.9,640.7,124.9,775.9,166.7,289.7,487,636.2,124.9,621.4,588.5,779.6,146.9,180.1,170
25,003,2237,752,726,5,5,2,6,0,0,8,587,565,4,4,2,6,0,0,6,193.3,172.1,211.8,204.3,158.9,148,219.3,188.7,195.29999999999998,117.5,170.2,149.7,193.3,149,215.1,172.1,164.4,195.8
25,003,2238,1881,1578,45,162,1,49,0,7,39,1477,1285,25,111,1,35,0,5,15,811.4,164.4,971.1999999999999,182.4,745.6,141.8,957.3,186.7,377,533.7,746,154.1,811.4,675,964.2,164.4,224.5,184.5
25,003,2239,1715,1571,20,68,0,18,1,1,36,1368,1273,16,43,0,17,1,0,18,736.7,187.1,861.1999999999999,202.8,681.4,157,865.2,204.3,330.1,525.3,685.6,158.7,736.7,630.8,863,187.1,215,203.4
25,003,2240,1816,1494,82,139,11,33,0,10,47,1389,1162,63,106,11,24,0,5,18,551.4,88,675.8,91.9,516.3,69.8,672.9,92.4,209,386.3,517.6,71.6,551.4,473.4,674.1,88,116.7,92
25,003,2241,1692,1557,30,55,0,24,0,6,20,1464,1369,24,42,0,18,0,1,10,780.6,141.2,859.8,176.9,661.3,144.7,852.4,185.5,328.1,487.4,676,130.9,780.6,608.2,856.1,141.2,201.3,181.4
25,003,2242,717,686,5,13,0,6,0,0,7,565,549,3,7,0,2,0,0,4,188.79999999999998,159.3,257,206.9,193.9,150.8,282.2,186,217.29999999999998,125.7,202,146.8,188.79999999999998,173.6,269.4,159.3,171.2,196.3
25,003,2243,2032,1976,8,18,1,7,0,0,22,1653,1617,6,13,1,5,0,0,11,605.8,403.1,770.9,401.5,566.8,296.7,770.9,386.8,557.5,330.6,587.7,295.2,605.8,495.9,770.9,403.1,382.9,393.5
25,003,2244,3091,2963,39,41,1,20,1,1,25,2454,2369,29,26,0,15,1,1,13,998,596.1999999999999,1236.7,604.2,879,477,1209.2,606.9,815.2,558.1,909.6,467.5,998,782.1,1222.7,596.1999999999999,586.4,605.8
25,003,2245,895,847,6,31,0,8,0,0,3,715,684,3,19,0,6,0,0,3,290.2,125.6,356.59999999999997,145,258.5,103.7,350.8,143.9,220.6,148.2,267.5,95.9,290.2,224.5,353.5,125.6,140.4,144.3
25,003,2246,976,886,5,50,2,26,0,1,6,793,728,5,35,2,16,0,1,6,322.3,139.3,395.5,161.2,286.7,115.3,389.1,159.6,245,164.3,296.6,106.5,322.3,249.3,392.2,139.3,155.5,160.2
25,003,2247,975,894,13,32,5,23,0,1,7,771,718,8,22,4,16,0,0,3,313.1,135.9,384.5,156.1,279,112.4,378.5,155.2,238.2,159.4,288.3,103.2,313.1,242.3,381.3,135.9,151.6,155.4
25,003,2248,1092,1037,9,28,0,11,0,1,6,871,835,7,16,0,9,0,1,3,354,153.5,434.3,177,315,126.3,427.3,175.1,269,180.4,325.9,116.89999999999999,354,273.4,430.7,153.5,170.9,175.7
25,003,2249,1003,872,9,84,2,17,0,7,12,824,729,7,60,2,12,0,6,8,334.8,145,410.5,167.29999999999998,298.1,119.8,404.4,166.3,254.6,171,308.2,110.60000000000001,334.8,259.2,407.2,145,161.8,166.70000000000002
25,003,2250,1002,917,15,36,1,15,0,13,5,872,806,11,28,0,11,0,13,3,354.1,153.6,434.9,177.1,315.2,126.6,428.1,175.4,269.2,180.7,326.5,117,354.1,274,431.40000000000003,153.6,170.9,176.2
25,003,2251,5025,4671,55,138,4,69,2,17,69,4074,3857,24,90,4,52,2,5,40,2233.3,571.6,2700.6,601.8,2068.4,538.8,2621.1,650.5,1447.4,1219.8,2095.2,516.2,2233.3,1794.6000000000001,2661,571.6,833.6,626.2
25,003,2252,961,938,14,6,0,1,0,0,2,798,784,8,5,0,0,0,0,1,417.1,87.9,480.4,101.8,367.3,77.4,463.3,111.7,183,277.7,376.1,79.8,417.1,340.3,471.6,87.9,113.2,106.3
