state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_bro,uss_20_dem_str,uss_20_rep_wei,atg_18_dem_rac,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
11,001,02-085,4372,3337,592,183,16,119,1,4,120,3870,2999,534,143,16,101,1,2,74,2395.9,186,2619.2,254.1,1571.9,1957.8,390.7,2017.7,2395.9,1795,2288.4,186,NA,322.5,2112.8,276.7
11,001,02-086,3031,1602,1152,114,4,73,3,8,75,2614,1400,1011,91,4,64,1,6,37,1845.1,96.1,1976.2,109.3,1226.9,1542.7,170.1,1473.2,1845.1,1350.1,1759.5,96.1,NA,139.7,1613,125.2
11,001,02-087,6986,1272,4987,451,28,77,0,19,152,6248,1142,4468,401,23,73,0,13,128,2907.6,114.3,3144.2000000000003,229.6,1864.3999999999999,2463.7,316.5,2201.7,2907.6,2032.9,2804.1,114.3,NA,273.2,2516.3,220.3
11,001,02-088,3245,2525,423,119,8,95,2,7,66,2822,2217,365,97,7,81,2,5,48,1890.9,113,1962,154,1094.8,1463.1,249.8,1428.8,1890.9,1261.7,1712.3,113,NA,201.9,1567.7,172.4
11,001,02-089,4812,4055,226,228,19,176,2,10,96,4276,3657,204,182,18,150,2,8,55,2386.8,258.9,2547.9,305.9,1386.1,1866.1,447,1856.8,2386.8,1620.8,2207.1,258.9,NA,376.7,2008.8,337.8
11,001,02-090,3002,2265,432,165,7,67,4,10,52,2772,2126,380,147,7,63,4,6,39,1363.1,65.9,1466,110.89999999999999,871.6,1101,189.3,1092.1,1363.1,981.8,1283.6,65.9,NA,150.1,1178.5,122
11,001,02-091,5617,2386,2655,274,24,140,2,12,124,4590,2106,2024,211,21,126,2,7,93,3158.8,134.8,3813.6,239.8,2053.7,3009.8,339.7,2518.8,3158.8,2286.8,3411.5,134.8,NA,289.6,2910.9,238.3
11,001,02-092,2445,16,2357,36,3,5,3,0,25,1598,16,1532,27,3,2,2,0,16,997.7,12.7,1037.8,33.9,607.2,888,35.8,642.1,997.7,624.4,962.8,12.7,NA,34.5,834.3,27.5
11,001,02-093,2347,22,2208,75,12,3,0,0,27,1797,22,1695,51,9,3,0,0,17,1029.1,23.2,1204.2,52,678.7,1004.9,50.8,728.7,1029.1,703.8,1104.2,23.2,NA,51.3,928.8000000000001,41.9
11,001,02-094,2870,35,2707,81,5,4,0,1,37,2084,33,1961,61,4,3,0,1,21,1254.1,24.9,1435.3,44.3,782.8,1205.3,48,825,1254.1,803.9,1320.2,24.9,NA,45.9,1100.6,39
11,001,02-095,2452,15,2326,51,4,13,0,4,39,1827,14,1743,31,3,9,0,1,26,1121,16,1171.2,42.9,676.4,1012,27.2,706,1121,691.3,1091.8,16,NA,34.9,937.4,28.5
11,001,02-096,3333,23,3187,75,6,1,0,12,29,2310,19,2205,49,5,1,0,11,20,1520.3,17.1,1700.4,42,976,1425.8,47.9,999.9,1520.3,988,1563,17.1,NA,44.8,1324.3,35.7
11,001,02-097,2295,15,2179,48,1,3,0,5,44,1524,14,1442,31,1,3,0,4,29,887.8,16,968.1,26.4,505.2,837.6,35.5,519.7,887.8,512,903,16,NA,30.9,743.5,26.4
11,001,02-098,2467,10,2366,47,3,4,0,1,36,1940,9,1864,31,3,4,0,1,28,1266.1,23.2,1526.9,41,830.1,1272.7,44.9,867.1,1266.1,848.6,1400,23.2,NA,42.6,1152.8,36.3
11,001,02-099,2029,15,1880,82,15,5,0,5,27,1556,15,1436,59,12,4,0,5,25,970.9,16.9,1195.3,42.9,620.9,1005.2,34.1,643.2,970.9,632,1100.3,16.9,NA,38.7,887.1,31.4
11,001,02-100,3280,20,3156,40,6,3,0,1,54,2287,15,2199,25,4,3,0,1,40,1514,13.1,1867,52.9,968,1574.1,43,992.9,1514,980.6,1720.6,13.1,NA,47.9,1383.3,36.2
11,001,02-101,1962,22,1859,55,1,1,0,0,24,1592,21,1509,39,1,1,0,0,21,1145,16,1253,50.199999999999996,813.9,1064.9,52,862.9,1145,838.5,1159,16,NA,51.4,1027.9,39.4
11,001,02-102,3373,17,3220,62,9,7,1,3,54,2646,17,2536,39,5,5,1,2,41,1560.2,21.8,1903.8,42.3,1004.1,1576.9,59.1,1032.2,1560.2,1018.3,1740.5,21.8,NA,50.7,1415.6,41
11,001,02-103,5426,28,5120,186,5,11,1,0,75,3877,25,3659,137,3,7,1,0,45,2281.9,40.9,2494,72.1,1480,2101.1,61.199999999999996,1514.9,2281.9,1497.3,2297.7,40.9,NA,66.4,1974.6000000000001,58
11,001,02-104,4477,32,4152,205,11,13,1,1,62,3241,29,3019,126,10,9,1,1,46,1982.2,39.7,2394.2,70.7,1272.1,2001.9,91.9,1317,1982.2,1294.7,2197.7,39.7,NA,81,1793.3,67.2
11,001,02-105,3570,30,3395,62,5,2,1,5,70,2514,27,2401,38,5,0,1,2,40,1599.8,17.8,1872,51.9,981.6,1566,61.6,1021.7,1599.8,1001.6,1719,17.8,NA,56.8,1408.3,43.9
11,001,02-106,4024,49,3847,72,14,1,0,7,34,3019,45,2887,46,11,1,0,5,24,1856,35.1,2090,59,1207.4,1718.1,65,1273.8,1856,1240.6,1904.2,35.1,NA,62.2,1628.9,53.2
11,001,02-107,2997,15,2891,41,7,0,1,5,37,1992,11,1919,30,6,0,1,4,21,1136.1,10.1,1164.1,35,569.8,978,41.1,573,1136.1,571.5,1071.1,10.1,NA,38,884.3000000000001,28.7
11,001,02-108,1363,44,1259,23,14,3,0,0,20,1151,39,1071,15,9,3,0,0,14,815.1,17.8,903.2,24.9,604,751,21.9,647.9,815.1,625.8,827.3,17.8,NA,23.3,744,21.8
11,001,02-109,1148,52,1050,20,4,0,0,1,21,960,49,871,19,4,0,0,1,16,730.1,21,814.9,13.9,560,697.1,25,619.9,730.1,590,756,21,NA,19.3,684.5,19.9
11,001,02-110,4793,123,4490,79,24,17,1,2,57,3869,111,3619,60,21,13,1,2,42,2614,53.2,2952.1,84.10000000000001,1824.6,2461.7,91,1960.1,2614,1892.9,2706.7,53.2,NA,87.2,2362.4,75.9
