state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_dem_bid,pre_20_rep_tru,uss_16_rep_ayo,uss_16_dem_has,uss_20_dem_sha,uss_20_rep_mes,gov_16_rep_sun,gov_16_dem_van,gov_18_rep_sun,gov_18_dem_kel,gov_20_dem_fel,gov_20_rep_sun,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
33,019,CLAR03,4267,4074,28,44,5,46,2,3,65,3428,3300,23,25,5,36,0,3,36,925.7,838.6,903.8,976.6,847.5,913.8,1005,850.6,885.5,872.3,740.6,556.1999999999999,533.1,1308.8,874.1,556.1999999999999,815.2,886.1,740.6,1044.9,803.4,933.3
33,019,CORN01,1640,1580,6,15,8,6,0,1,24,1336,1296,4,10,6,4,0,1,15,400.6,570.5,678.1,407.3,429.4,570.5,692,381.4,429.4,550.2,379.3,481.1,469.6,661,564.6,481.1,613.3,420.1,379.3,482.7,573,441.3
33,019,CROY01,764,726,4,5,5,4,0,2,18,642,616,2,4,4,3,0,0,13,271.1,126.7,171.9,319.4,260.7,137,187.2,287.3,242.2,149.8,220.1,108.7,95,399.8,137.5,108.7,151.9,257.8,220.1,335.5,139,285.6
33,019,GOSH01,810,793,3,1,1,0,0,0,12,665,653,2,1,1,0,0,0,8,260.3,153.2,185.8,284.1,246.8,177,208,253.9,242.1,163.8,208.7,114.9,118,348.8,164.5,114.9,170.2,249.4,208.7,295.7,160.3,263.7
33,019,GRAN01,2985,2863,13,53,1,29,0,4,22,2346,2275,9,29,1,18,0,2,12,699.7,1265.3,1668.3,746.9,834.4,1213.7,1685.8999999999999,690.8,855.4,1162.9,730.5,1087.4,1158.7,1210.5,1213.5,1087.4,1504.4,797.1,730.5,882.1,1320.7,825.1
33,019,LANG01,688,671,1,11,1,2,0,0,2,537,528,0,4,1,2,0,0,2,197,183.9,206.1,199.29999999999998,194.1,185.9,214.8,180.6,202.2,178.9,169.3,136.1,138.8,262.9,183,136.1,186.6,197.6,169.3,214.5,178,200.7
33,019,LEMP01,1154,1123,2,14,3,0,0,0,12,935,913,2,6,3,0,0,0,11,427.9,226.5,274.4,439.8,405.7,249.4,300.8,387,387.9,230.70000000000002,311.6,184.4,145.2,552.1,235,184.4,239.5,406.9,311.6,459.5,230.20000000000002,416.1
33,019,NEWP01,6507,6283,16,71,15,25,0,2,95,5023,4883,14,39,13,18,0,1,55,1664.9,1084.5,1301.2,1773.7,1554.4,1203.3,1475.5,1521.2,1599.7,1121.8,1295.6,741.2,715.6,2331.3,1135.6,741.2,1163.2,1606.3,1295.6,1875.3,1090.8,1677.7
33,019,PLFD01,2364,2290,11,27,2,12,0,0,22,1825,1773,10,19,1,7,0,0,15,458.7,956.1,1134.7,522.3,511,925.4,1145.2,481.6,528.4,888.2,477.7,777.1,816.5,823.7,924,777.1,1031.9,499.7,477.7,609,949.1999999999999,543.9
33,019,SPRI01,1311,1268,2,22,4,2,0,0,13,997,967,2,13,3,2,0,0,10,421.7,344,437.1,435.9,431,351,459.2,401.9,418.6,340.3,392.3,262.9,298.8,568.6,344.7,262.9,398.6,423.5,392.3,468.9,355.7,438.4
33,019,SUNA01,3365,3261,6,26,11,19,1,6,35,2705,2637,5,15,8,10,0,6,24,1044.1,927.9,1309.8,1084.6,1135,905.3,1323.2,1040.5,1121.4,892,1092.3,712.1,763.8,1618.1,907.5,712.1,1133.7,1099.2,1092.3,1247,976.1,1162
33,019,UNIT01,1671,1618,5,14,3,5,0,0,26,1421,1386,5,5,3,5,0,0,17,473.1,281.4,334.6,530.4,403.6,331.1,283.7,565.4,400.7,333.5,388.7,189.4,189.1,673.5,315.6,189.4,269.2,426.2,388.7,589.7,278.2,491
33,019,WASH01,1123,1079,4,15,7,6,0,1,11,892,866,4,10,6,2,0,1,3,399.1,247.5,314.7,466.5,399.8,267.6,349.1,431.1,397,258,338.6,193.6,207.5,576.8,257.9,193.6,290.59999999999997,399,338.6,491.2,262.1,430.6
