state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_car,uss_18_rep_arl,uss_20_dem_coo,uss_20_rep_wit,gov_16_dem_car,gov_16_rep_bon,gov_20_dem_car,gov_20_rep_mur,atg_18_dem_jen,atg_18_rep_pep,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
10,003,4-3,1377,36,1103,202,2,5,0,5,24,822,30,650,116,1,5,0,5,15,400.5,18,367.8,25.2,241.29999999999998,14.6,308.5,18.7,331.3,15.5,319.7,18.9,219.1,31.6,365.9,230.1,331.8,16.9,22.900000000000002,21,312.7,20.5
10,003,4-4,1789,1340,320,65,3,34,0,0,27,1722,1303,310,55,3,32,0,0,19,741.1,202.3,863.4,183.6,672.4,137.2,842.9,166.4,704.7,195.3,835,180.1,668.6999999999999,149.7,723,670.6,847.1,198.9,143.29999999999998,176.6,761,173.8
10,003,4-5,1296,474,565,149,3,62,0,0,43,960,396,399,96,3,46,0,0,20,493,78.7,523.6,73.9,387.1,43.800000000000004,493,68,457,70.3,500.1,71,352.8,65.8,474.8,370.2,505.6,74.6,54.7,71.1,458,67.5
10,003,4-6,1545,1337,120,46,3,14,0,5,20,1241,1092,95,26,3,11,0,3,11,615.6,284.5,756.6,281.5,604.5,222.1,734.1,262.8,624.4,289.7,731.2,278.6,607.3000000000001,239.5,620.3,605.3,740.9,287,230.4,274.2,667.8,265.8
10,003,4-7,992,712,194,33,2,32,0,1,18,773,582,134,24,2,21,0,0,10,382,170.7,512.6,173.4,353.6,115.5,500.2,157.3,381.6,149.3,503.1,156.3,352,123.3,381.9,352.9,505.3,160.1,119.4,162.3,426.1,149.4
10,003,4-8,4120,1689,1633,489,3,188,0,15,103,2718,1184,1067,306,3,117,0,4,37,1121.6,380,1295.9,424.59999999999997,962.3000000000001,247.79999999999998,1260.4,388.7,1102.8,347.09999999999997,1254.5,399.3,923.2,302.9,1112.7,942.9,1270.4,363.1,275,404.3,1131.3,355.4
10,003,4-9,1778,1421,212,64,1,17,0,0,63,1398,1148,170,38,1,13,0,0,28,468.2,418.4,539.4,479,437.8,264.5,549.9,427.8,537.3,332.3,552,434.90000000000003,431.9,279.3,503.2,435,547.4,375.8,271.8,447.1,502.1,376.2
10,003,5-1,1635,965,562,55,2,17,0,1,33,1399,819,499,45,2,14,0,1,19,823.2,140.1,879.7,125.8,716.6,92.3,844.6,109.4,774,142.6,851.5,126.7,676.6,146.3,798.6,696.1,858.5,141.3,119,120.60000000000001,795.1,126.2
10,003,5-10,870,789,35,11,0,20,1,0,14,691,632,32,5,0,16,1,0,5,264.7,120.7,296.1,105.3,237.3,84.3,287.5,95.9,265.7,107.5,292.8,94,241,88.10000000000001,265.1,239.1,292.1,113.9,86.2,98.5,269.2,99.3
10,003,5-11,1135,850,179,34,0,50,0,1,21,863,663,129,26,0,38,0,0,7,435.6,231.3,506.9,222.1,414.9,168.4,509,197,461.9,212.9,505.7,208.4,414.8,174,448.7,414.9,507,222,171,209,464.09999999999997,201.8
10,003,5-12,1603,1442,77,43,0,20,0,0,21,1332,1213,66,30,0,15,0,0,8,473.8,387,581.8,387,425,268.5,583.8,345.5,515.8,336.4,582.1,355,444.1,256.8,495.2,434.7,582.7,361.6,262.5,362.8,515,334.1
