state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_gra,uss_16_dem_jud,uss_20_rep_ern,uss_20_dem_gre,gov_18_rep_rey,gov_18_dem_hub,atg_18_dem_mil,sos_18_rep_pat,sos_18_dem_dej,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
19,011,011001,317,311,3,1,0,0,0,1,1,221,218,0,1,0,0,0,1,1,137.1,40.8,139,44.2,148.1,32.2,133.2,43.6,109.4,42.3,87.8,115,32.2,35.4,54,44,141.6,111.7,135.4
19,011,011002,526,506,1,11,2,0,0,0,6,395,384,1,7,2,0,0,0,1,245.8,72.1,248.3,78.7,264.6,57.5,237.8,78.2,196,75.10000000000001,157.2,205.8,57.5,62.9,96.4,78.5,254.1,200.2,242.5
19,011,011003,366,351,1,3,0,3,0,0,8,295,288,1,2,0,3,0,0,1,147.5,61,168.79999999999998,70.2,165.9,53.5,164.2,70.9,128.4,59.5,113,134.1,50.2,57,74.4,70.7,155.8,131.1,166.2
19,011,011004,2302,2244,5,17,0,4,0,1,31,1618,1588,3,11,0,4,0,1,11,679.1,461.1,857.4,500.2,791.3000000000001,379.9,822.9,496.2,570.1,450.9,669.8,590.9,409,421.3,508.7,499,734.2,580.6,839.3000000000001
19,011,011005,928,908,3,13,0,1,0,0,3,706,691,2,11,0,0,0,0,2,302.6,170.8,339.2,189,335.8,144.7,314.7,199.9,247.9,162.6,261.9,264.7,142.1,157.2,188.6,195,318.90000000000003,256,326.8
19,011,011006,6072,5916,18,53,11,19,0,2,53,4582,4493,16,32,10,12,0,1,18,1609.2,1088.5,1830.2,1191.1,1928.2,847.3,1755.5,1187.2,1379.6,1019.5,1635,1496.1,851.6,968.9,1169.7,1190.8,1768,1438.7,1794
19,011,011007,653,629,4,7,0,3,0,0,10,502,492,1,3,0,3,0,0,3,244.1,85.5,247.70000000000002,99.2,256.4,73.3,241.4,100.4,184.20000000000002,83.9,165.3,195.3,71.9,78.2,106.3,100.1,250.7,191,244.79999999999998
19,011,011008,234,218,0,8,1,2,0,0,5,173,165,0,3,1,2,0,0,2,84.2,29.4,85.7,34.6,88.1,25.1,83.3,34.6,63.300000000000004,28.7,57.1,67.6,24.8,26.5,36.5,34.6,86.5,66.3,84.8
19,011,011009,203,187,0,4,1,2,0,0,9,163,155,0,3,1,2,0,0,2,79.3,27.599999999999998,80.9,32.3,82.6,23.9,78.39999999999999,32.6,59.7,27.2,53.9,64,23.5,25.1,34.6,32.5,81.4,62.7,80
19,011,011010,204,204,0,0,0,0,0,0,0,163,163,0,0,0,0,0,0,0,74.1,38.2,83.7,42.2,82.9,32.4,81.5,41.5,65.2,38.2,64.8,70.2,32.6,35.1,45.5,41.9,77.8,67.4,81.8
19,011,011011,285,280,4,0,1,0,0,0,0,204,203,0,0,1,0,0,0,0,102,41.9,116.7,48.7,115.2,36.8,113.6,48.9,88.5,40.800000000000004,77.9,92.8,34.9,39.4,51.3,48.9,107.60000000000001,90.9,114.7
