state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_lan,uss_16_dem_wor,uss_20_rep_inh,uss_20_dem_bro,gov_18_rep_sti,gov_18_dem_edm,atg_18_rep_hun,atg_18_dem_myl,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
40,143,60,3675,1718,464,970,173,146,1,2,201,2530,1408,254,556,112,95,0,1,104,500.7,455.8,495.9,490.5,524.2,394.9,472.9,500.7,319.8,359,368.6,330.9,425.3,344.2,495.6,512.2,343.8,484.3
40,143,61,1546,1387,11,34,46,16,1,0,51,1289,1169,11,26,34,10,1,0,38,432.5,545.9,412.6,468.6,546.9,423.7,412.6,462.5,353.5,571.7,460.7,459,485,515.4,465.9,489.6,407.6,412.6
40,143,62,903,806,11,17,33,8,0,3,25,725,659,7,14,23,6,0,1,15,243.3,307,232.2,263.5,307.7,238.2,232.2,260.3,198.7,321.4,259.3,258.2,272.7,289.6,261.7,275.7,229.1,232.2
40,143,63,1454,1121,95,70,74,25,2,0,67,1285,1011,77,57,63,24,2,0,51,243.9,342,207,324.1,281.9,278.1,193.2,327.8,169,347.1,225.29999999999998,289.9,310.1,318.4,325.9,262.90000000000003,197,200.2
40,143,64,2024,1579,86,110,128,19,0,1,101,1762,1412,67,84,105,19,0,1,74,410.4,524.8,390,612,460.9,428.09999999999997,373,603.1,274.2,539.8,334.9,491,476.3,515.3,607.3,435.40000000000003,304.4,381.6
40,143,65,736,697,0,12,9,9,0,0,9,541,513,0,8,7,6,0,0,7,242.4,202.1,227,193.8,299.2,138.4,237.8,187.7,188.6,220.3,241.8,162.3,170,191.2,190.8,270.9,215.3,232.4
40,143,66,1594,1400,6,44,63,12,2,4,63,1256,1118,5,30,44,10,1,2,46,457,493,403.9,393.9,599.8,328.1,424,372,376.6,534.5,499.1,398.1,410.7,466.09999999999997,382.5,528.5,438.2,413.7
40,143,67,1584,1416,26,33,57,6,0,5,41,1264,1136,20,24,46,4,0,2,32,439,504.7,396.2,403.09999999999997,567.6,358.8,410.2,406.8,348.1,497.7,419.7,419.7,431.3,458.6,404.3,503.7,383.9,402.8
40,143,68,1284,1081,30,36,72,12,0,0,53,1067,915,21,28,59,10,0,0,34,245.29999999999998,248.4,262.6,288.1,288.1,192.1,257,287.4,186.6,268.8,232.3,230.3,220.8,249.6,287.9,266.6,209.4,259.59999999999997
40,143,69,2340,1640,182,192,166,16,0,8,136,1902,1397,141,124,136,16,0,7,81,436.8,442.59999999999997,468.3,513.9,513.9,342.3,458.4,512.3,332.2,479.8,413.9,410.8,392.4,445,513.1,475.3,373.1,463.3
40,143,70,177,63,26,49,19,0,3,0,17,133,58,22,30,14,0,2,0,7,31.8,25,27.9,31.299999999999997,32.7,21.5,27.9,29,20,24.2,22.6,22.8,23.200000000000003,23.5,30.2,32.2,21.3,27.9
40,143,71,2927,2602,23,73,87,12,1,1,128,2349,2130,18,54,59,10,1,0,77,802.3,792,789.5,690.9,1038.8,575.6,783.8,695.2,678.3,909.5,863.8,712.8,684,811.4,693.5,920.8,771.3,787.5
40,143,72,1210,1073,21,8,52,12,0,3,41,917,823,15,5,40,11,0,1,22,373.8,311.9,370.1,356.8,442,246.3,368.9,350.1,301.9,400.7,419.2,278.2,279.2,339.7,353.4,407.8,360.6,369.4
40,143,73,1524,1386,9,53,42,7,0,0,27,1221,1127,8,32,33,6,0,0,15,553.2,401.3,486.1,433.2,680.1999999999999,283.1,495.5,414.8,418.6,477,523.6,365.4,342.4,421.2,423.9,616.8,471.8,490.7
40,143,74,1811,1547,42,66,68,18,0,7,63,1412,1229,33,40,46,14,0,3,47,611.8,435.8,543.9,483,724,328.4,547.9,477.1,489.2,502.5,592.3,399.1,382.4,450.7,480,667.8,540.8,545.9
40,143,75,1317,1043,55,47,87,12,0,6,67,1064,884,39,27,66,9,0,3,36,272.9,339,252.1,474.9,297.8,296.2,248.3,473.7,173.1,410,224.2,367.7,317.4,388.6,474.4,285.4,198.7,250.5
