state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_pau,uss_16_dem_gra,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
21,207,NA,17565,16676,79,585,34,40,0,1,150,13642,13081,60,355,29,27,0,1,89,6901.3,1104.6,5936,2080.1,1589.9,NA,NA,6418.2,NA,NA
21,209,NA,47173,41441,2433,1994,105,412,14,75,699,34505,30872,1776,1188,78,283,7,21,280,15051.8,7716.9,13343.4,10836.7,9275.1,NA,NA,14198,NA,NA
21,211,NA,42074,34080,3038,3812,92,251,31,67,703,31631,26441,2289,2346,72,166,22,23,272,13198.1,6276.3,12479.5,8012.1,7145.2,NA,NA,12837.9,NA,NA
21,213,NA,17327,14941,1615,325,36,111,4,7,288,13059,11419,1219,178,29,91,2,3,118,5077,2144.2,4817.7,2618.7,2381.4,NA,NA,4946.4,NA,NA
21,215,NA,17061,16278,256,239,30,70,9,12,167,12675,12176,196,138,24,52,7,4,78,7197.3,1921.3,6448.5,2989.6,2455.3,NA,NA,6823,NA,NA
21,217,NA,24512,22329,1210,433,29,128,10,21,352,19047,17532,978,271,25,96,4,9,132,8316.9,2552.6,7272.8,3860.4,3207.4,NA,NA,7795,NA,NA
21,219,NA,12460,10797,989,494,18,10,2,11,139,9067,7985,717,273,13,10,2,3,64,3611.4,1042.2,3514,1168.9,1103.2,NA,NA,3562.1,NA,NA
21,221,NA,14339,12675,1171,175,37,44,4,9,224,11111,9948,876,118,30,33,4,1,101,4927.8,1587.1,4750,1910.7,1747.8,NA,NA,4839.8,NA,NA
21,223,NA,8809,8408,21,223,20,37,4,13,83,6599,6354,17,133,20,26,1,6,42,2771.5,879.8,2326.3,1434.4,1157.3,NA,NA,2548.8,NA,NA
21,225,NA,15007,12654,1803,243,27,50,7,24,199,11560,9761,1474,174,21,40,6,7,77,4681.1,1321.6,3827.6,2284.8,1803.1,NA,NA,4254.7,NA,NA
21,227,NA,113792,92807,10204,5174,273,3151,113,162,1908,87880,73662,7717,3146,205,2184,84,57,825,28674.6,16943.2,29191.1,19167.2,18050.6,NA,NA,28931,NA,NA
21,229,NA,11717,10401,736,393,10,31,1,13,132,9003,8137,560,227,7,22,1,3,46,3992.1,1418.4,3347,2185.9,1802.4,NA,NA,3667.7,NA,NA
21,231,NA,20813,19591,308,601,33,67,3,3,207,16117,15351,236,345,23,47,2,2,111,6327.7,1418.4,5125.8,2514.1,1965,NA,NA,5727,NA,NA
21,233,NA,13621,12233,553,580,23,35,32,13,152,10432,9516,461,315,17,25,19,6,73,4397.9,1239.3,3711.6,1997.4,1617.6,NA,NA,4053.6,NA,NA
21,235,NA,35637,34521,205,310,93,123,11,10,364,27128,26360,177,190,72,90,8,3,228,11304.4,2066.7,9740.8,3791.4,2927.3,NA,NA,10520.1,NA,NA
21,237,NA,7355,7241,10,41,21,3,0,0,39,5587,5516,5,23,15,3,0,0,25,1798.9,752,1301.2,1263.9,1010,NA,NA,1549.8,NA,NA
21,239,NA,24939,21556,1216,1680,30,124,5,22,306,18936,16746,952,1015,27,71,5,9,111,7641.4,4924.9,6790.6,6707.7,5816.8,NA,NA,7216,NA,NA
