state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_blu,uss_16_rep_car,uss_18_dem_mur,uss_18_rep_cor,gov_18_dem_lam,gov_18_rep_ste,atg_18_dem_ton,atg_18_rep_hat,sos_18_dem_mer,sos_18_rep_cha,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
09,009,09-105,4875,2818,745,774,18,359,5,39,117,3866,2419,522,510,10,304,2,28,71,1563,118.2,1738,183.5,1538.9,129.5,1419.1,111.6,1371.2,165.2,1344.2,151.1,1356.4,141.2,1551.1,1372.6,1738,123.5,141.6,183.5
09,009,09-106,3476,1415,1057,859,16,75,0,7,47,2836,1370,738,600,15,72,0,3,38,736,188.5,962.7,313,739.5,119.8,821,173.1,793.9,229.7,741.3,202.6,778.7,191,737.8,783.7,962.7,154.1,199.1,313
09,009,09-107,1365,315,523,391,4,90,1,2,39,970,289,329,252,4,73,1,1,21,355.1,73,322.90000000000003,112,348.7,42.5,275.4,45.800000000000004,266.8,66.89999999999999,269.7,55.199999999999996,267.3,57.900000000000006,351.9,269.8,322.90000000000003,57.7,56.4,112
09,009,09-108,4119,997,1339,1404,13,259,0,32,75,3009,870,985,885,11,197,0,20,41,929.5,161.5,907.7,244.9,915.9,111.2,634.6,120.9,614.2,155.9,563.3,133.3,584.9,126.4,922.5,599.2,907.7,136.1,133.9,244.9
09,009,09-109,4933,1570,1115,1994,7,146,5,26,70,3724,1414,785,1337,7,117,3,15,46,1308.2,300.4,1375.9,388.2,1348.4,181.8,1041.8,212.6,994.4,281.7,952.2,251.4,996.7,233.4,1328.4,996.2,1375.9,241.5,244.9,388.2
09,009,09-110,6344,982,1375,3820,9,48,2,16,92,4544,868,992,2583,6,35,1,11,48,1393,176.6,1103.9,274.8,1328.5,126.6,839.9,96.3,839,141.3,790.8,111.7,834.5,104.1,1360.6,826.4,1103.9,151.6,113.7,274.8
09,009,09-114,3163,559,738,1778,8,14,0,19,47,2170,475,476,1164,5,12,0,16,22,664.5,89.2,711.4,131,657.9,68.1,567.8,67.2,548.3,91.8,530.2,79.3,541.8,72.1,661.4,547,711.4,78.9,77.39999999999999,131
09,009,09-115,4943,385,785,3680,16,11,0,8,58,3341,312,534,2448,7,8,0,7,25,896.2,102.1,625.8,233.6,867.4,76.2,535.6,60.7,523.6,85.2,511.3,67.8,525.9,61.1,881.9,523.8,625.8,89.1,68.8,233.6
09,009,09-116,6627,2781,1035,2574,15,102,4,33,83,4957,2398,714,1679,12,80,4,25,45,1106.7,420.4,1237.9,485.4,1190.6,242.3,1028,283.9,943.4,388.8,949,322.2,982.6,302.5,1148.1,975.3,1237.9,331.8,324,485.4
09,009,09-117,3836,3068,138,488,4,77,0,8,53,3099,2570,89,346,3,61,0,4,26,1090.1,825.9,1292,860.1,1405.3,462.5,1065.8,572.4,917.7,761.7,916.3,642.3,1004.5,592.7,1247.3,975.8,1292,644.5,642.8,860.1
09,009,09-118,2177,540,915,254,9,387,0,13,59,1677,485,652,182,7,309,0,11,31,575.4,27.7,605.7,52.2,547.1999999999999,34.6,447.8,32,449.6,42.6,412.3,37,424.9,41.6,561.1,433.5,605.7,31.1,38.2,52.2
09,009,09-119,1715,1157,79,93,5,344,0,5,32,1367,958,57,66,5,262,0,4,15,612.6,39.1,569.5,55.8,599.7,66.6,568.2,42.1,523.4,80.39999999999999,525.4,62.9,539.1,59.8,606.4,539.1,569.5,52.9,61.2,55.8
09,009,09-120,4185,105,3558,373,21,20,1,13,94,2862,95,2480,197,14,14,1,8,53,1217,33.7,1273.4,82.4,1165.5,31.5,931.4,26.7,930,44,861.5,36.4,890.4,32.1,1191.5,903.1,1273.4,32.5,34.8,82.4
09,009,09-122,3472,319,2644,302,11,58,0,10,128,2514,303,1878,180,11,51,0,6,85,1125.9,27.5,1156.5,66.9,1077.1,29.5,880.1,29.1,880.5,43.2,813.2,38.3,842.4,33.3,1101.8,854,1156.5,28.1,36,66.9
09,009,09-123,4128,1489,1473,463,14,508,1,7,173,3689,1473,1168,372,14,500,1,6,155,881.9,27.4,741.3,48.6,842.4,37.7,826,46.5,825,57.2,761.7,53.1,775.8,45.5,862.3,797.1,741.3,32.5,50.5,48.6
09,009,09-124,5427,594,3223,1388,10,57,1,22,132,3869,551,2288,876,8,50,1,12,83,1346.9,61.4,1225.6,122.4,1298.7,50.3,941.5,43.5,931.6,64.3,889.4,57.6,905.5,53.2,1322.8,916.7,1225.6,55.6,54.7,122.4
09,009,09-126,4125,998,2254,630,11,75,0,11,146,3122,891,1638,435,11,57,0,9,81,1323.1,98.3,1358.2,110.2,1307.5,74.5,1012.2,60.4,1008.4,87.1,952,83.2,981.7,70.7,1315.4,988.5,1358.2,86.3,75.3,110.2
09,009,09-127,3774,2670,579,251,7,146,0,5,116,3000,2221,431,177,4,120,0,2,45,1660.1,210.7,1930.2,229,1659.4,199.6,1638.1,170.1,1575.3,221.8,1561.1000000000001,231.1,1589.7,198.4,1659.8,1591,1930.2,205.2,205,229
09,009,09-128,3737,1446,1647,408,19,98,0,8,111,2823,1221,1191,240,18,87,0,7,59,1460.8,189.7,1627.7,186.4,1488,154.2,1308.2,141.1,1243.3,205.7,1235.2,186.5,1270.1,161.3,1474.4,1264.2,1627.7,171.5,173.8,186.4
09,009,09-129,4870,1684,2166,674,5,140,0,19,182,3840,1554,1579,463,3,125,0,16,100,1552.8,194,1813.1,218.4,1530.2,164.3,1357.9,138.7,1326.6,200.7,1268.1,192.9,1320.4,161.6,1541.6,1317.8,1813.1,179.2,173.7,218.4
09,009,09-130,3573,768,2077,583,14,32,0,10,89,2762,677,1526,461,14,27,0,3,54,1065.1000000000001,89.5,1063.2,156.5,1045,81.9,823.1,76.5,810,87.9,795.4,78.9,811,77.3,1054.8999999999999,810,1063.2,85.7,80.2,156.5
09,009,09-131,5261,2302,2027,701,21,48,2,17,143,4444,2182,1566,509,15,48,2,13,109,1215.8,91,1228.5,147.7,1170.5,68.5,965,57.8,968,86.2,928.1,78.2,950.9,72.5,1192.9,952.8,1228.5,79.3,73.6,147.7
09,009,09-132,771,83,511,141,15,7,0,1,13,535,82,342,84,11,6,0,1,9,298.7,16.4,314.7,36.2,276.4,12.6,217.1,10.6,218.9,15.799999999999999,203.1,16.4,215,13.3,287.7,213.5,314.7,14.5,13.9,36.2
09,009,09-133,1919,164,1362,312,7,16,1,13,44,1326,146,928,194,6,15,1,7,29,709.4,48.6,669.1,90,680,30.5,527,41.4,523.9,63.6,478.3,43.8,487.7,44.6,694.5,504.5,669.1,39.3,48.3,90
09,009,09-134,7746,7209,99,237,7,107,4,9,74,6087,5743,77,145,4,75,2,3,38,1700.4,2302.7,2075.9,2453.3,2353.8,1558.1,1673.5,1744.7,1282,2147.3,1352,2001.5,1489.6,1841.4,2027.3,1448.8,2075.9,1930.7,1933.6,2453.3
09,009,09-135,6661,6221,88,184,1,118,1,3,45,5138,4859,70,102,1,80,1,3,22,1232.2,2169.7,1641.3,2332.9,1828.5,1516.8,1219.4,1722.5,896.2,2045.3,984.6,1940.7,1094.3,1794,1530.6,1048.3,1641.3,1841.9,1875.6,2332.9
09,009,09-136,4726,4106,149,182,12,219,0,0,58,3806,3372,120,118,6,152,0,0,38,1089.2,1465.7,1369.9,1610.5,1540.9,972,1097.5,1137,809.4,1430.3,882.1,1308.4,955.7,1226.5,1314.8,936.1,1369.9,1218.8,1275.9,1610.5
09,009,09-137,5621,4926,138,225,0,283,0,5,44,4318,3855,105,136,0,202,0,3,17,1123.9,1739.5,1486.6,1987.1,1695.8,1126.3,1180.6,1389.7,872.4,1739.5,940.5,1615,1026.9,1496.2,1410.4,1004.8,1486.6,1433.2,1559.8,1987.1
09,009,09-138,5183,4427,168,214,1,294,0,7,72,4046,3519,132,141,1,216,0,5,32,1715.1,1343.6,2088.8,1427.4,2076.8,1026,1745.5,1150.1,1427.2,1433.5,1500.6,1365.5,1596.9,1244,1895.8,1567.4,2088.8,1184.9,1298.6,1427.4
09,009,09-139,2560,2241,83,79,3,120,1,3,30,2025,1790,65,53,3,88,1,3,22,637.9,811.7,803.6,863,841.6,616.4,664,648.2,502,801.1,542.8,756.1999999999999,588,696.5,739.6,574.1,803.6,713.8,725.2,863
09,009,09-140,6003,5356,155,229,7,205,6,5,40,4894,4422,129,154,6,157,4,4,18,1272.1,1906.2,1640,1990.7,1848.9,1308.4,1272.7,1532,928.2,1875.3,995,1785.3,1116.8,1647.1,1561.3,1078.6,1640,1607.9,1710.3,1990.7
09,009,09-141,7183,6293,94,203,10,502,0,16,65,5468,4888,60,133,9,342,0,10,26,2061.2,2257.2,2580.2,2345,2624,1737.6,2030.9,1942.3,1634.3,2330.1,1753.4,2188.2,1843.2,2080.8,2342.7,1815.3,2580.2,1996.7,2135.4,2345
09,009,09-142,6773,5827,104,195,3,543,0,10,91,5242,4609,74,131,3,381,0,6,38,1772,1963.7,2235.9,1972.3,2287.7,1487.9,1742.7,1667.5,1428.8,1980.8,1489.1,1894,1587.9,1775.8,2029.6,1561.8,2235.9,1725.4,1829.3,1972.3
