state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_fis,uss_18_dem_ray,uss_20_rep_sas,uss_20_dem_jan,gov_18_rep_ric,gov_18_dem_kri,atg_18_rep_pet,sos_18_rep_evn,sos_18_dem_dan,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
31,055,219P,1412,967,21,380,13,10,0,3,18,1022,774,14,212,9,8,0,2,3,258.2,217.6,256.2,273.1,186.2,188.9,272.9,198.2,192.5,194.5,275.8,181.2,196.3,217.6,193.2,235.5,258.2,209.3,264.6,211.6,232
31,055,21P,1761,1628,10,61,0,41,4,3,14,1124,1054,5,31,0,26,1,3,4,518.7,368.7,598.2,500.3,502.6,346.4,721.9,229.7,522,355.4,649.5,516.1,315.9,368.7,339.5,365.1,518.7,547.5,659.9,352.8,575.8
31,055,220P,2768,1353,87,1223,19,36,0,0,50,1961,1123,69,703,14,29,0,0,23,280.1,470.6,267.3,544.1,204.1,382.5,284.6,432.40000000000003,219.6,392.2,384.2,188.1,412.8,470.6,395.7,488.4,280.1,248.8,276.1,439.8,261.6
31,055,222P,1551,1059,14,424,7,33,1,0,13,1194,895,12,251,6,25,1,0,4,246.2,251,276.5,330.1,183.4,226.1,300.2,243.6,189.9,237.5,304.4,185.5,232.1,251,232,286.5,246.2,215.6,288.3,253.5,241
31,055,223P,1795,979,80,666,24,19,0,1,26,1323,841,57,379,17,12,0,1,16,180.8,266.3,193.79999999999998,332.9,146.1,221.5,225.4,214.1,152.1,237,248.5,145.6,236.6,266.3,231.9,273.7,180.8,173.1,209.3,251.9,184.4
31,055,224P,4611,1171,468,2787,25,25,1,35,99,2910,974,243,1606,19,19,1,15,33,244.6,623.9,275.2,657.3,182.5,448.3,293.7,519,191.8,468.6,391.1,174.7,473.1,623.9,463.7,587.8,244.6,235.3,284,531.7,250.7
31,055,226P,2058,987,31,992,11,6,0,3,28,1432,809,20,580,8,4,0,1,10,143.1,315.1,155.8,334,102.8,241.5,163.4,260.3,110.6,252.6,214.6,102.2,253.79999999999998,315.1,249.8,296.6,143.1,133.1,159.7,276.7,141.7
31,055,227P,1292,921,11,308,5,31,1,0,15,994,772,8,183,4,20,1,0,6,274.1,263.2,276.9,333.8,221.5,245.6,308.2,219.4,225.4,260.3,335.7,218.29999999999998,250,263.2,251.9,276.7,274.1,250.5,292.5,262,266
31,055,228P,1409,1041,36,274,18,10,0,0,30,1024,806,25,153,14,10,0,0,16,200.5,217.6,217.6,263,168.6,183.2,236.6,180.5,169.1,196,250.5,169.6,185.70000000000002,217.6,188.29999999999998,221.2,200.5,189.2,227.29999999999998,204.7,201.9
31,055,230P,1185,1008,35,121,4,3,0,0,14,1009,894,23,77,4,2,0,0,9,180.5,236.3,250.20000000000002,392.3,205.6,289.8,272.5,256.8,204.1,313.7,327.6,197,296.9,236.3,300,324.7,180.5,233.6,261.3,297.8,233.9
