state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_bar,uss_18_dem_tra,uss_20_rep_lum,uss_20_dem_dav,gov_18_rep_gor,gov_18_dem_thr,sos_18_rep_buc,sos_18_dem_byr,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
56,007,0201,1699,1299,10,331,4,30,0,3,22,1133,901,8,186,4,22,0,1,11,385.3,120.9,436.2,134.5,288.9,125.1,436.4,136,279.6,113.2,264.4,115.2,120.9,117.7,135.3,385.3,277.3,436.3,124.6,348
56,007,0202,1526,1191,8,301,11,5,0,0,10,1129,933,3,178,9,5,0,0,1,438.2,135.1,501.8,173.3,349.2,161.5,506.4,169.9,341.2,154.7,329,149.3,135.1,155.3,171.5,438.2,341,504.09999999999997,156.7,411.2
56,007,0301,1399,1117,8,219,8,29,1,3,14,1077,889,7,143,3,26,1,2,6,298.9,134.4,330.3,156.9,245,128.1,338.1,154.1,231.8,133.4,226.4,122.8,134.4,128.5,155.4,298.9,235,333.9,138.5,278.6
56,007,0302,1218,988,7,192,13,5,5,1,7,896,750,6,118,9,5,2,1,5,316.4,121.5,386.3,127.6,295.1,135.9,398.7,127.6,281.7,138,287.7,121.5,121.5,132.2,127.6,316.4,287.9,392.6,127.9,328
56,007,0401,44,39,0,5,0,0,0,0,0,38,34,0,4,0,0,0,0,0,11.8,3.2,20.1,0,11.2,3.2,20.1,0.1,9,3.2,9,2.1,3.2,3,0,11.8,9.5,20.1,2,13.3
56,007,0601,71,61,0,4,2,0,0,0,4,58,48,0,4,2,0,0,0,4,24.4,0.5,23.9,1.3,15.2,5,24.4,1.2000000000000002,13.100000000000001,2.7,15.2,2.6,0.5,3,1.2000000000000002,24.4,14.9,24.2,2.4,19
56,007,0701,321,299,0,19,0,0,1,0,2,255,236,0,16,0,0,1,0,2,128.6,10.7,122,13.9,109.9,24.9,126.4,11.4,104.4,24.9,109.1,22,10.7,24.5,12.5,128.6,108.6,124.2,18.4,116.3
56,007,0801,883,825,6,35,5,0,0,0,12,658,624,2,24,3,0,0,0,5,250.9,51.9,272.2,48.2,212,44.1,274.6,53.9,195.4,45.1,210.6,39.7,51.9,43.3,51.800000000000004,250.9,207,273.5,46.3,235.2
56,007,0901,286,275,2,8,1,0,0,0,0,224,219,0,4,1,0,0,0,0,124.1,12,141.5,13.7,109.9,20.3,144.5,16.1,114.3,19.4,120.9,10.8,12,16.9,14.700000000000001,124.1,115.1,142.5,15.5,126
56,007,1001,76,74,1,0,1,0,0,0,0,62,60,1,0,1,0,0,0,0,45.800000000000004,4,51.9,5.2,43.2,2.6,55.3,2.6,42.3,4,42.3,2.6,4,2.7,4.1000000000000005,45.800000000000004,42.4,54.300000000000004,3.4,46.7
56,007,1101,1687,1550,0,86,9,10,0,5,27,1390,1294,0,56,7,10,0,5,18,596.1,213.7,690.7,248.20000000000002,521.4,216.8,697.6,239,525.6,203.5,507.6,203.5,213.7,204.5,241.5,596.1,519.2,694.3,223,588.8
56,007,1102,612,571,0,34,0,1,0,0,6,475,450,0,20,0,0,0,0,5,314.4,52.9,352,77.5,267,62.6,361.5,78.3,267.7,45.5,264.1,47.8,52.9,49.6,77.7,314.4,267,356.8,57.4,306.1
56,007,1201,558,540,0,9,3,1,0,0,5,455,439,0,7,3,1,0,0,5,225.6,51.3,269.9,61.3,213.4,58,276,66.6,212.5,48.4,209.6,56.3,51.3,55.7,64.4,225.6,211.5,273.1,56.9,232.5
56,007,1202,299,291,0,6,1,1,0,0,0,263,257,0,4,1,1,0,0,0,168.70000000000002,41.1,184.4,47.9,131.2,50.8,189.1,44.699999999999996,140.4,37.8,133.9,40.4,41.1,42.7,45.2,168.70000000000002,134.1,186.5,43.3,158.1
56,007,1401,293,238,0,45,1,0,0,0,9,236,193,0,36,1,0,0,0,6,93.3,10,120.8,13.2,91.2,6.1,128.9,10,80.1,10.9,86.3,9,10,8.8,11,93.3,86,124.7,10,99.5
56,007,1501,712,633,0,74,2,1,0,0,2,531,476,0,50,2,1,0,0,2,314.2,16.1,346.8,16.1,230,20.8,343.7,19,230.4,20.2,235,17.2,16.1,20.1,17.1,314.2,231,345.4,17.7,283.1
56,007,1601,508,457,2,36,3,3,0,0,7,386,351,2,24,2,3,0,0,4,163.6,30.3,175,25.4,146.3,31,172.4,34.2,128.5,36.1,126.4,33.5,30.3,33.5,29.6,163.6,133.5,174.1,31.2,151.9
56,009,0101,161,150,2,7,0,0,0,0,2,133,125,2,4,0,0,0,0,2,68,4.3,78.8,5.5,51.6,3,75.9,7.2,48.3,4.3,50.3,3.7,4.3,3.6,6.2,68,49.9,77,4.6000000000000005,61.7
56,009,0202,695,645,1,39,1,5,0,0,4,559,525,1,27,1,2,0,0,3,387.8,47.9,423.7,53.6,285.1,54.8,416.5,57.800000000000004,285.4,46.2,292.6,36.5,47.9,46.2,55.7,387.8,287.5,420.5,49.7,348.2
56,009,0301,297,280,0,17,0,0,0,0,0,248,238,0,10,0,0,0,0,0,153.4,7.6000000000000005,149.1,16.5,100.2,23.8,148.5,16.1,106.4,16.5,112.8,13.6,7.6000000000000005,17.2,16.3,153.4,106.8,148.79999999999998,16,128.20000000000002
56,009,0404,841,781,0,35,9,2,0,0,14,620,577,0,22,9,2,0,0,10,413.3,25.2,459.6,42.9,317.2,36.9,445.3,42.9,299.4,40,311.8,34,25.2,36.9,42.9,413.3,309.7,451.9,36.9,373.9
56,009,0606,590,540,1,43,0,1,0,0,5,458,429,1,23,0,1,0,0,4,270.6,16.4,303.7,20,199,26.1,292.2,31.400000000000002,201.4,20.5,198.1,20.900000000000002,16.4,21.900000000000002,25.1,270.6,199.6,298.6,22,244.6
56,009,0707,348,317,0,24,2,1,0,0,4,268,243,0,19,2,1,0,0,3,191.1,17.8,187.6,23.400000000000002,145.7,26.8,187.6,22.2,143.70000000000002,18.6,149.9,22.2,17.8,22.5,22.7,191.1,145.9,187.6,22.2,166.8
