state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_cor,uss_16_rep_hec,uss_18_dem_ros,uss_18_rep_hel,gov_18_dem_sis,gov_18_rep_lax,atg_18_dem_for,atg_18_rep_dun,sos_18_dem_ara,sos_18_rep_ceg,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
32,003,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
32,003,1137,1986,1098,139,357,8,287,17,4,76,1543,893,104,243,5,241,12,3,42,432,399,583.1,563.1,430,375.90000000000003,401.1,335.90000000000003,389,335.90000000000003,376.9,345,357.1,365.1,431,380.90000000000003,583.1,387.8,345.4,563.1
32,003,1138,4557,2794,311,732,5,510,39,25,141,3759,2404,250,525,5,424,36,19,96,834.7,734.4,1076.9,935.3,803,690.9,764.3,612.3000000000001,755.3,612.4,720.5,633,706.4,656.9,819,736.4,1076.9,712.7,628.6,935.3
32,003,1142,2483,1668,104,379,7,208,16,10,91,1995,1385,83,281,5,172,13,7,49,472.4,394.5,597.5,522.9,456.9,379.9,421,324.7,428.2,317.6,397.9,335.2,394.6,347.5,465,410.3,597.5,387.2,331.1,522.9
32,003,1149,2357,1782,50,372,21,60,6,2,64,1770,1391,44,236,17,48,6,0,28,424.8,664.2,509,832.5,427.1,616.8,391.1,535.8,371.3,543.8,368,543,370.3,554.1,426.2,375,509,640.9,543.8,832.5
32,003,1163,2439,1409,257,441,11,203,38,5,75,1896,1166,180,301,10,162,30,4,43,548.9,390.3,695.3,494.6,519.1,385.9,491.2,334.1,488,333,469.90000000000003,345.3,461.8,372.1,534.1,477.7,695.3,388.4,346.2,494.6
32,003,1165,1175,855,56,180,8,43,7,1,25,970,738,44,122,6,39,7,1,13,305.1,212.9,403.8,272.1,301.3,198,272.1,163.1,263.8,167.9,253.9,175.1,253,186.2,303,260.7,403.8,205.4,173.1,272.1
32,003,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,003,1300,1953,801,185,424,15,431,25,9,63,1488,657,128,290,12,347,12,5,37,439.3,273.9,674.7,437.3,409.59999999999997,251.6,379.9,202.9,379,203.70000000000002,360.6,204.9,363.6,213.5,424.7,370.6,674.7,262.8,206.2,437.3
32,003,1301,1693,868,114,425,6,229,6,4,41,1321,735,86,287,4,180,6,4,19,348.7,254.3,411.3,375.8,339.3,233.2,304.09999999999997,192.9,301.1,197,289.4,203.20000000000002,282.4,214.5,344,294.2,411.3,243.79999999999998,202.1,375.8
32,003,1302,3418,1644,400,606,11,578,28,12,139,2739,1411,298,433,11,467,24,6,89,690.9,446.9,1180.1,842.1,664,405,780.9,428.1,775,421.1,725,445,726,482,677.4,751.7,1180.1,425.8,444,842.1
32,003,1303,2527,1047,244,445,8,678,19,2,84,1907,865,161,285,8,528,13,1,46,528.3,395.9,743.2,624,499.9,372.1,489.90000000000003,368.8,494.1,364.9,463,377.2,449.2,399.2,514.5,474.09999999999997,743.2,383.8,377.6,624
32,003,1304,4458,1986,350,797,20,1094,47,13,151,3546,1659,268,572,18,872,44,9,104,1038.3,670.7,1724,1176.8,989,637,1075.3,585.1,1055.9,574,1015.1,609.8,994.8,646,1013.4,1034.8,1724,653.7,603.6999999999999,1176.8
32,003,1305,2556,1362,129,365,3,571,4,8,114,2072,1168,94,250,3,478,4,8,67,925.8,865.3,1642.4,1584.8999999999999,863.1,851.2,1037.9,868.3,1038.1,845.2,955.8000000000001,890.1,983.1,908,894.7,1003.5,1642.4,858.2,877.7,1584.8999999999999
32,003,1307,3101,1406,146,393,3,1018,8,4,123,2375,1122,114,271,3,804,8,4,49,729,589.1,1054,915.1999999999999,662.9,601,672.6,521.8,672.1,524.5,629.1,528.9,598.9,580.4,695.9,643.1,1054,595,539,915.1999999999999
32,003,1308,2513,845,255,421,8,855,34,0,95,1888,685,190,287,8,638,24,0,56,504.2,304.1,659.5,446.6,464,292.8,425.7,225.9,421.8,229.7,409.7,231.5,402.4,245.3,484.2,415,659.5,298.40000000000003,233.10000000000002,446.6
32,003,1310,5446,2207,465,813,23,1634,75,4,225,4169,1815,334,531,13,1283,58,4,131,1047.8,773.3,1398.1,1043.5,972.6,750.6999999999999,897.5,604.9,890.4,591.3,856.6,598,845.9,632.2,1010.4,872.5,1398.1,762.1,606.5,1043.5
32,003,1311,3777,1616,411,618,32,880,33,2,185,2795,1320,260,402,20,678,27,1,87,852.5,684.1,1140.1,981.5,784.8,670.5,758.5,533,743.9,537.8,731.6,526.8,710.4,580.6,818.8,736.2,1140.1,677.1,544.4,981.5
32,003,1312,3022,1508,278,490,12,554,27,4,149,2265,1229,182,296,7,445,16,4,86,942.1,819.9,1497.3,1395.4,883.7,785.1,908.6,716.3,867,738.8,854,743.4,847.4,768.6,912.8000000000001,869.6,1497.3,802,740.7,1395.4
32,003,1313,1476,1054,34,176,1,134,28,0,49,1185,885,26,124,1,107,15,0,27,242.70000000000002,438.6,336.9,543.1,243.4,419.1,239.7,380.1,235.3,383.4,237,383.1,227,399.1,243.1,234.9,336.9,428.7,386.5,543.1
32,003,1314,750,589,16,77,6,35,5,0,22,584,461,14,53,6,30,5,0,15,138,269.8,202.1,388.1,149,250.8,141.8,231.9,123.1,242.9,130.1,238.1,124,248.1,143.5,129.9,202.1,260.1,240.2,388.1
32,003,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
