GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ndv,nrv,adv_16,arv_16,adv_18,arv_18,adv_20,arv_20
32003001602,NV,Clark County,001602,2205,506,815,365,3,362,22,21,111,1822,379,754,272,2,319,18,17,61,443.8,234.9,428.5,196.5,375.9,170.3,527,338
32003001603,NV,Clark County,001603,1910,340,721,311,14,415,3,9,97,1594,263,639,241,14,357,0,9,71,437.1,221.8,409,190,360.3,175.3,542,300
32003001604,NV,Clark County,001604,2269,442,841,336,13,447,27,14,149,1809,313,722,249,10,373,20,13,109,430.4,329.3,398,318.5,343.1,257.3,550,412
32003001605,NV,Clark County,001605,2517,603,791,342,14,632,19,10,106,2117,491,694,270,14,560,8,8,72,485.2,273.3,463,252,390.6,187,602,381
32003001606,NV,Clark County,001606,907,139,508,36,1,134,6,5,78,714,100,410,31,1,115,6,4,47,191.9,242.7,168.5,238.5,167.1,208.7,240,281
32003001607,NV,Clark County,001607,553,103,190,32,0,185,8,0,35,416,63,151,26,0,151,7,0,18,97.7,75,45.5,34.5,73.7,50.6,174,140
32003001608,NV,Clark County,001608,2664,284,1630,105,6,429,10,14,186,2046,193,1314,80,6,333,8,11,101,533.8,708.6,427,647.5,448.3,624.3,726,854
32003001609,NV,Clark County,001609,3986,674,1290,385,7,1319,64,9,238,3017,474,1045,285,4,1019,51,9,130,720.2,507.5,655.5,446,604.1,383.6,901,693
32003001611,NV,Clark County,001611,3372,702,1138,621,9,704,33,9,156,2640,481,981,442,9,583,25,6,113,614.4,310.5,576.5,272.5,491.6,228,775,431
32003001612,NV,Clark County,001612,3705,459,1196,307,10,1457,50,16,210,3076,322,1071,242,10,1254,32,11,134,689.2,633.1,617,572,558.6,494.3,892,833
32003001613,NV,Clark County,001613,1794,534,629,115,10,409,14,5,78,1467,418,541,73,9,355,10,2,59,393.2,259.2,384.5,234.5,319,203.1,476,340
32003001614,NV,Clark County,001614,1855,425,751,169,12,379,11,6,102,1563,343,663,121,8,342,11,4,71,389.6,321.1,385,297,324.9,252.3,459,414
32003001615,NV,Clark County,001615,2173,815,796,141,5,274,19,15,108,1721,594,694,107,5,220,14,10,77,446.4,312.5,449,303,369.3,214.4,521,420
32003001616,NV,Clark County,001616,1906,472,676,208,5,373,23,16,133,1528,359,587,149,5,330,15,3,80,327.8,260.1,325,232,277.4,192.3,381,356
32003001617,NV,Clark County,001617,3050,658,929,404,24,805,28,20,182,2408,478,810,285,20,690,20,9,96,511.9,315,443.5,274.5,387.3,213.6,705,457
32003001618,NV,Clark County,001618,3103,531,892,351,15,1032,47,21,214,2392,352,759,266,14,845,27,10,119,566.4,380.3,494,374.5,449.3,281.3,756,485
32003001619,NV,Clark County,001619,3877,661,1094,479,11,1306,59,17,250,3045,493,915,344,10,1061,38,14,170,730.7,586.1,716.5,538,584.6,445.3,891,775
32003001621,NV,Clark County,001621,2377,1127,770,139,4,183,23,11,120,1824,789,655,103,4,160,23,5,85,440.6,268.4,433.5,253.5,386.4,200.7,502,351
32003001623,NV,Clark County,001623,1209,478,452,59,3,134,12,5,66,925,337,394,47,3,99,5,5,35,216.8,145.4,200,136,189.3,99.1,261,201
32003001624,NV,Clark County,001624,1156,402,447,71,1,166,4,2,63,941,292,401,52,1,150,4,0,41,247.8,207.3,238,196,205.4,181,300,245
32003001625,NV,Clark County,001625,2128,461,891,296,6,363,12,12,87,1775,337,793,241,6,314,12,9,63,364.3,289.4,358.5,271,285.3,227.3,449,370
32003001631,NV,Clark County,001631,2806,1270,983,120,5,256,38,15,119,2242,915,879,91,5,225,30,11,86,561.4,346.5,578,329.5,448.3,250.1,658,460
32003001632,NV,Clark County,001632,1893,901,589,116,10,146,34,3,94,1447,612,520,104,10,119,24,3,55,324.2,200.1,337.5,180.5,247,161.7,388,258
32003001633,NV,Clark County,001633,3852,958,1217,1028,3,414,53,24,155,3150,706,1160,770,2,359,42,13,98,653.7,314.8,660.5,305.5,474.6,233.9,826,405
32003001634,NV,Clark County,001634,3439,1249,879,651,13,460,21,11,155,2711,837,794,535,12,390,16,11,116,477.6,175.5,455.6,170.1,367.9,121.4,609.2,235.1
32003001635,NV,Clark County,001635,2690,614,609,818,4,480,19,16,130,2165,447,571,614,0,424,16,10,83,352.4,137.6,337,123.5,237.1,93.3,483,196
32003001641,NV,Clark County,001641,2863,1231,827,433,17,249,14,9,83,2193,797,757,304,17,230,14,2,72,384.6,265.8,379,240,294.7,208.3,480,349
32003001642,NV,Clark County,001642,1911,481,511,476,9,293,28,9,104,1604,389,463,383,9,261,15,5,79,285.4,129,297.9,125.5,210.5,82.6,347.9,179
32003001643,NV,Clark County,001643,868,80,530,20,3,144,5,16,70,806,58,515,19,3,144,5,12,50,401.7,373,376.7,326,315.3,283.4,513,509.6
32003001644,NV,Clark County,001644,40,13,2,1,1,5,2,0,16,23,4,0,0,1,5,2,0,11,6.6,5.3,5.7,4.9,5.9,4,8.3,7.1
32003001645,NV,Clark County,001645,1563,274,740,374,18,58,13,4,82,1358,203,693,309,18,49,13,4,69,89.2,52.5,77.5,47.5,57,26.1,133,84
32003001651,NV,Clark County,001651,928,150,559,29,1,95,5,2,87,756,132,463,21,1,89,2,2,46,144.3,323.1,134.5,299.5,127.3,269.9,171,400
32003001652,NV,Clark County,001652,4381,801,1261,1053,5,992,32,23,214,3511,569,1135,732,3,862,24,19,167,818.6,429.7,778.5,367.5,586.4,311.7,1091,610
32003001653,NV,Clark County,001653,3962,805,1123,1155,15,579,43,37,205,3227,608,1040,847,15,507,28,28,154,665.4,301.8,704,260,480.1,234.4,812,411
32003001655,NV,Clark County,001655,4067,851,1122,1285,17,542,32,37,181,3405,689,1061,963,17,487,26,28,134,673.7,273.1,673,277.5,507,181.7,841,360
32003001661,NV,Clark County,001661,3292,731,1142,654,14,520,25,30,176,2816,591,1057,521,11,461,23,25,127,625,339.9,553,297,503,260.6,819,462
32003001662,NV,Clark County,001662,2593,890,865,288,7,354,30,12,147,2050,617,757,217,7,317,30,8,97,487,320.7,476.5,280,378.6,250,606,432
32003001664,NV,Clark County,001664,1612,211,781,130,10,371,17,13,79,1386,157,711,112,9,329,15,6,47,341.9,387.1,309.5,354,289.1,322.4,427,485
32003001665,NV,Clark County,001665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001668,NV,Clark County,001668,4740,815,2268,237,14,933,72,43,358,3751,576,1900,202,14,758,54,30,217,811.8,1014.1,589.9,752.1,680,790.1,1165.4,1500
32003001669,NV,Clark County,001669,1075,204,487,70,5,221,7,0,81,833,139,388,46,5,197,6,0,52,232.2,253.2,226.3,244.2,191.8,187.1,278.5,328.2
32003001670,NV,Clark County,001670,2787,625,1173,140,16,461,117,16,239,2245,463,1022,121,13,387,67,10,162,512,420.3,486,376,393,309,657,576
32003001671,NV,Clark County,001671,34,3,25,0,1,0,0,0,5,31,1,24,0,1,0,0,0,5,9.8,25.6,8.2,23.4,8.8,26,12.3,27.3
32003001672,NV,Clark County,001672,2345,444,1279,132,4,287,25,14,160,1931,322,1124,108,4,232,20,14,107,500,379.2,449,354.5,430.9,274,620,509
32003001673,NV,Clark County,001673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,9.1,12.2,7.1,12.5,6.4,21.5,13.8
