GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_ben,uss_16_rep_gle,gov_18_dem_pol,gov_18_rep_sta,atg_18_dem_wei,atg_18_rep_bra,sos_18_dem_gri,sos_18_rep_wil,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_hic,uss_20_rep_gar,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
08005005428,CO,Arapahoe County,005428,1481,221,878,195,6,100,6,9,66,1305,166,818,159,6,91,3,9,53,499,274,524,265,476,211,432,254,458,239,609,292,595,305,269.5,511.5,234.7,455.3,298.5,602,262.9,513.3
08005005429,CO,Arapahoe County,005429,1931,672,761,285,16,88,6,11,92,1564,464,697,230,16,77,6,10,64,483,197,490,197,388,171,377,178,386,172,527,204,509,215,197,486.5,173.7,383.7,209.5,518,190.6,451.4
08005005430,CO,Arapahoe County,005430,1743,265,968,316,9,92,2,6,85,1486,188,886,262,5,81,2,6,56,233,106,236.1,109.6,224.9,88.6,208.4,100.6,222.7,89.4,294.3,123.9,286.2,131.5,107.8,234.6,92.9,218.7,127.7,290.2,107.1,243.7
08005005431,CO,Arapahoe County,005431,1025,311,422,144,0,67,3,6,72,768,214,363,96,0,52,3,2,38,293,152,306,145,279,132,277,137,291,126,360,162,358,176,148.5,299.5,131.7,282.3,169,359,147.1,309.1
08005005432,CO,Arapahoe County,005432,2586,873,774,662,8,126,12,9,122,1944,590,675,465,7,105,8,7,87,609,187,617,203,511,200,522,192,520,201,743,224,721,226,195,613,197.7,517.7,225,732,204.7,606.1
08005005433,CO,Arapahoe County,005433,1993,605,796,397,5,125,3,9,53,1564,402,694,304,5,109,0,8,42,445,238,445,250,399,205,376,220,387,215,516,223,496,244,244,445,213.3,387.3,233.5,506,227.9,437.7
08005005434,CO,Arapahoe County,005434,1958,482,721,498,4,144,14,8,87,1548,312,659,369,1,117,7,7,76,546,253,552,256,504,202,480,225,515,192,674,257,649,266,254.5,549,206.3,499.7,261.5,661.5,235.9,560
08005005435,CO,Arapahoe County,005435,2858,1066,772,631,7,191,39,3,149,2143,724,680,454,7,150,30,3,95,589,289,606,294,525,263,524,259,551,245,746,316,723,318,291.5,597.5,255.7,533.3,317,734.5,283.4,609.1
08005005436,CO,Arapahoe County,005436,2891,819,843,864,10,132,14,15,194,2123,555,722,600,4,104,10,12,116,717,173,703,180,610,136,607,149,608,145,885,196,876,197,176.5,710,143.3,608.3,196.5,880.5,168,715.1
08005005437,CO,Arapahoe County,005437,2387,719,907,430,7,193,3,13,115,1814,495,754,330,5,163,1,10,56,593,344,616,355,597,289,591,297,613,285,785,371,762,381,349.5,604.5,290.3,600.3,376,773.5,331.7,651
08005005438,CO,Arapahoe County,005438,2413,457,1365,323,13,132,7,12,104,2065,320,1269,267,12,106,7,11,73,651,418,694.9,414.4,658.1,389.4,627.6,428.4,674.3,388.6,1136.7,476.1,1083.8,511.5,416.2,672.9,402.1,653.3,493.8,1110.3,432.4,789.5
08005005439,CO,Arapahoe County,005439,1342,256,764,159,3,91,1,12,56,1118,189,669,129,2,78,1,9,41,379,310,412,319,370,288,348,304,365,289,460,332,453,342,314.5,395.5,293.7,361,337,456.5,312,398.1
08005005440,CO,Arapahoe County,005440,905,47,785,33,4,7,1,1,27,898,45,785,32,4,7,1,1,23,360,331,401,322,371,338,336,380,356,356,432,353,420,361,326.5,380.5,358,354.3,357,426,348.7,382.3
08005005441,CO,Arapahoe County,005441,888,23,786,40,1,28,1,3,6,885,23,784,40,1,28,0,3,6,343,402,372,389,365,366,333,407,361,380,445,340,430,360,395.5,357.5,384.3,353,350,437.5,377.7,378.4
08005005442,CO,Arapahoe County,005442,794,34,663,61,4,19,0,0,13,791,33,663,61,4,19,0,0,11,334.2,305.2,357.6,305.9,329,308.2,309.5,341.8,316.9,332.5,405.2,282.1,390.7,299.5,305.6,345.9,327.5,318.5,290.8,397.9,310.7,349
