GEOID20,state,county,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_rin,uss_18_rep_bra,gov_18_dem_mil,gov_18_rep_moo,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
230010104001005,ME,Androscoggin County,343,4,324,9,0,0,0,0,6,289,3,274,8,0,0,0,0,4,8,9,1,7,7,8,17,16,13,18,9,8,7.5,4,17,15,11.6,9.2
230010104001006,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010104001007,ME,Androscoggin County,32,0,32,0,0,0,0,0,0,31,0,31,0,0,0,0,0,0,5,6,1,5,5,5,11,10,9,12,6,5,5,3,11,10,7.6,6.2
230010104001008,ME,Androscoggin County,20,0,19,0,0,0,0,0,1,9,0,8,0,0,0,0,0,1,3,4,1,3,3,3,7,6,5,7,4,3,3,2,6.5,6,4.6,3.8
230010104001009,ME,Androscoggin County,6,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,7,8,1,6,6,7,14,14,11,15,8,7,6.5,3.5,14.5,12.5,10,7.8
230010104001010,ME,Androscoggin County,24,0,24,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,5,6,1,5,5,5,11,10,9,12,6,5,5,3,11,10,7.6,6.2
230010104001011,ME,Androscoggin County,12,0,11,0,0,0,0,0,1,10,0,10,0,0,0,0,0,0,38,42,6,32,35,35,77,72,61,83,42,38,33.5,20.5,77.5,69,52.8,43.4
230010104001012,ME,Androscoggin County,25,0,20,2,0,0,0,0,3,20,0,15,2,0,0,0,0,3,7,8,1,6,7,7,15,14,12,16,8,7,6.5,4,15,13.5,10.2,8.4
230010104001013,ME,Androscoggin County,13,0,11,0,0,2,0,0,0,11,0,11,0,0,0,0,0,0,4,5,1,4,4,4,9,8,7,9,5,4,4,2.5,8.5,8,6,5
230010104001014,ME,Androscoggin County,17,0,17,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,2,1,1,1,0.5,1.5,1,1.2,0.8
230010104001015,ME,Androscoggin County,25,0,23,0,0,0,0,0,2,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010104001016,ME,Androscoggin County,9,1,5,0,0,0,0,0,3,4,1,0,0,0,0,0,0,3,3,3,0,3,3,3,6,6,5,7,3,3,3,1.5,6.5,5.5,4.4,3.4
230010104001017,ME,Androscoggin County,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,2,2,3,1,1,1,0.5,2.5,2,1.6,1.2
230010104001018,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0.4,0.4
230010104001019,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,2,2,3,3,2,3,3,2,2,1,3,2.5,2.6,1.8
230010104001020,ME,Androscoggin County,20,0,19,0,0,0,0,0,1,18,0,17,0,0,0,0,0,1,4,4,1,3,3,3,7,7,6,8,4,4,3,2,7.5,6.5,5,4.2
230010104001021,ME,Androscoggin County,15,1,14,0,0,0,0,0,0,14,1,13,0,0,0,0,0,0,4,4,1,3,3,3,7,7,6,8,4,4,3,2,7.5,6.5,5,4.2
230010104001022,ME,Androscoggin County,26,0,21,0,0,0,0,0,5,24,0,19,0,0,0,0,0,5,2,2,0,2,2,2,4,4,3,4,2,2,2,1,4,3.5,2.8,2.2
230010104001023,ME,Androscoggin County,27,0,27,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.5,0.5,1,1,0.8,0.8
230010104002000,ME,Androscoggin County,24,0,24,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010104002001,ME,Androscoggin County,32,0,32,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,7,8,1,5,6,7,4,4,3,4,8,7,6,3.5,4,3.5,5.6,4.2
230010104002002,ME,Androscoggin County,81,0,81,0,0,0,0,0,0,65,0,65,0,0,0,0,0,0,36,43,5,30,32,36,21,19,16,22,43,36,33,18.5,20.5,18.5,30,22
230010104002003,ME,Androscoggin County,93,0,93,0,0,0,0,0,0,79,0,79,0,0,0,0,0,0,10,12,1,8,9,10,6,5,5,6,12,10,9,5,5.5,5.5,8.2,6.2
230010104002004,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1,8,8,9,5,5,4,6,11,9,8.5,4.5,5.5,4.5,7.8,5.4
230010104002005,ME,Androscoggin County,93,7,78,5,0,0,0,0,3,76,7,62,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010104002006,ME,Androscoggin County,25,0,19,0,0,3,0,0,3,22,0,18,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010104002007,ME,Androscoggin County,336,6,320,6,1,0,0,0,3,318,6,305,6,0,0,0,0,1,8,10,1,7,7,8,5,4,4,5,10,8,7.5,4,4.5,4.5,6.8,5
230010104002008,ME,Androscoggin County,16,4,9,0,1,0,0,0,2,13,2,9,0,0,0,0,0,2,10,12,1,8,9,10,6,5,5,6,12,10,9,5,5.5,5.5,8.2,6.2
230010104002009,ME,Androscoggin County,35,1,31,2,0,0,0,0,1,26,1,22,2,0,0,0,0,1,86,102,13,71,76,86,49,46,39,53,102,86,78.5,44.5,49.5,44,71.6,52.6
230010104002010,ME,Androscoggin County,15,0,14,0,0,0,0,0,1,15,0,14,0,0,0,0,0,1,29,23,5,16,26,17,25,18,21,21,23,29,16.5,15.5,19.5,23,19,21.2
230010104002011,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,1,8,9,10,6,5,4,6,12,10,9,5,5.5,5,8.2,6
230010104002012,ME,Androscoggin County,17,0,14,0,0,0,0,0,3,15,0,14,0,0,0,0,0,1,18,21,3,15,16,18,10,9,8,11,21,18,16.5,9.5,10,9,14.8,11
230010104002013,ME,Androscoggin County,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,32,25,5,18,29,19,28,20,23,23,25,32,18.5,17,21.5,25.5,21,23.4
230010104002014,ME,Androscoggin County,14,0,12,0,0,0,0,0,2,13,0,11,0,0,0,0,0,2,35,41,5,29,31,35,20,19,16,21,41,35,32,18,20,18,29,21.4
230010104002015,ME,Androscoggin County,33,0,28,1,0,0,0,0,4,30,0,26,0,0,0,0,0,4,3,3,0,2,2,3,1,1,1,2,3,3,2.5,1,1.5,1,2.2,1.4
230010104003000,ME,Androscoggin County,34,0,33,1,0,0,0,0,0,25,0,24,1,0,0,0,0,0,10,8,2,5,9,6,9,6,7,7,8,10,5.5,5.5,6.5,8,6.4,7.4
230010104003001,ME,Androscoggin County,47,0,43,2,0,2,0,0,0,42,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010104003002,ME,Androscoggin County,18,0,14,2,0,1,0,0,1,12,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010104003003,ME,Androscoggin County,421,12,369,2,0,21,0,0,17,315,8,286,0,0,11,0,0,10,7,8,1,6,6,7,4,4,3,4,8,7,6.5,3.5,4,3.5,5.8,4.2
230010104003004,ME,Androscoggin County,10,0,5,2,1,0,0,0,2,5,0,2,0,1,0,0,0,2,8,7,1,5,7,5,7,5,6,6,7,8,5,4,5.5,6.5,5.6,5.8
230010104003005,ME,Androscoggin County,14,2,10,0,1,0,1,0,0,11,2,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010104003006,ME,Androscoggin County,18,1,14,0,1,0,0,0,2,16,0,13,0,1,0,0,0,2,38,30,6,21,34,23,33,24,27,28,30,38,22,20,26,30,25.2,27.6
230010104003007,ME,Androscoggin County,40,0,37,1,0,1,0,0,1,36,0,34,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010104003008,ME,Androscoggin County,50,1,43,1,0,4,0,0,1,42,1,37,1,0,2,0,0,1,3,3,0,2,2,3,1,1,1,2,3,3,2.5,1,1.5,1,2.2,1.4
230010105001000,ME,Androscoggin County,16,1,12,0,0,0,0,1,2,16,1,12,0,0,0,0,1,2,5,5,1,4,4,4,6,5,5,6,5,5,4,2.5,5.5,5.5,4.8,4.2
230010105001001,ME,Androscoggin County,61,1,47,4,0,2,0,1,6,45,0,38,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105001002,ME,Androscoggin County,22,1,21,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105001003,ME,Androscoggin County,18,3,13,1,0,0,0,0,1,7,0,7,0,0,0,0,0,0,30,33,5,23,25,25,36,33,29,37,33,30,24,15,35,32.5,30.2,25
230010105001004,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105001005,ME,Androscoggin County,21,1,18,0,0,0,0,0,2,16,1,13,0,0,0,0,0,2,35,37,6,26,28,28,42,38,33,43,37,35,27,17,40.5,37.5,34.4,28.8
230010105001006,ME,Androscoggin County,10,0,10,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,8,9,1,6,7,7,10,9,8,10,9,8,6.5,4,9.5,9,8.2,6.8
230010105001007,ME,Androscoggin County,19,1,18,0,0,0,0,0,0,19,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105001008,ME,Androscoggin County,35,0,32,1,0,0,0,0,2,27,0,26,1,0,0,0,0,0,5,5,1,4,4,4,6,5,5,6,5,5,4,2.5,5.5,5.5,4.8,4.2
230010105001009,ME,Androscoggin County,16,0,15,0,0,0,0,0,1,13,0,13,0,0,0,0,0,0,19,21,3,15,16,16,23,21,19,24,21,19,15.5,9.5,22.5,21,19.4,16
