GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_fis,uss_18_dem_ray,gov_18_rep_ric,gov_18_dem_kri,atg_18_rep_pet,sos_18_rep_evn,sos_18_dem_dan,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_sas,uss_20_dem_jan,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
31153000039,NE,Sarpy County,000039,3282,263,2772,51,4,52,3,4,133,2464,157,2150,46,0,40,3,4,64,1000.7,552.8,905.5,535.6,909.7,580.9,1152.6,914.8,535.6,1073.7,849.3,1206.9,439,1000.7,552.8,970.6,550.7,1140.3,644.2,1023.4,582.2
31153000040,NE,Sarpy County,000040,2925,211,2397,55,27,22,2,21,190,2203,125,1878,37,20,20,1,17,105,812,449.7,666,426.9,683,462.9,864.2,656.5,454.4,862.7,676.7,939.6,379.8,812,449.7,717.4,448.1,901.2,528.2,783.4,475.1
31153000041,NE,Sarpy County,000041,3785,268,3136,70,3,125,4,4,175,2841,146,2438,56,3,95,4,3,96,1027.1,618.1,997.8,567.9,1007.5,614.6,1224.2,996.7,561.9,1234.7,943.9,1396.3,478.8,1027.1,618.1,1056.5,581.5,1315.5,711.4,1126.3,630.9
31153000042,NE,Sarpy County,000042,3731,302,2832,273,1,54,4,17,248,2717,173,2185,198,1,47,3,6,104,857.7,526.7,702,474.6,707.9,525.8,909,722.2,487.3,884.5,754.4,994,416.4,857.7,526.7,760.3,495.9,939.3,585.4,825.4,530.9
31153000046,NE,Sarpy County,000046,2094,63,1930,8,9,9,2,14,59,1616,31,1523,6,1,7,2,11,35,857.6,316.7,789.5,277.5,801.5,299.5,896.9,781,281.8,1017.4,402.1,1038.3,214.1,857.6,316.7,817.2,286.3,1027.8,308.1,883.2,298.6
31153000047,NE,Sarpy County,000047,1501,42,1395,3,17,9,0,1,34,1084,22,1016,3,7,8,0,0,28,487.2,214.2,415.9,185.6,411.4,221.4,509.9,408.1,201,589.6,257.9,578.9,172.6,487.2,214.2,436.4,202.6,584.2,215.3,485.9,208.8
31153000048,NE,Sarpy County,000048,4391,234,3797,46,7,60,7,24,216,3059,122,2713,40,6,46,3,18,111,1182.5,562.7,1180.1,582.4,1204.1,614.1,1446.9,1175.5,588.5,1484.7,982.1,1695.5,497.8,1182.5,562.7,1251.7,595,1590.1,740,1338.5,637.9
31153000049,NE,Sarpy County,000049,4347,311,3421,230,14,95,3,6,267,2762,176,2266,127,11,72,0,5,105,911.6,588.6,807.9,505.6,815.7,549.4,1030.3,799.6,534.4,1149.6,925.2,1322.6,508.3,911.6,588.6,863.4,529.8,1236.1,716.8,976.7,601.9
31153000051,NE,Sarpy County,000051,7215,291,6264,79,3,239,2,12,325,4711,155,4177,48,1,164,1,7,158,1423.3,784.1,1333.8,775,1348.6,820,1692.4,1339.2,766.1,2311.6,1483.7,2566.3,777.4,1423.3,784.1,1428.5,787,2439,1130.6,1716.5,901.1
31153000052,NE,Sarpy County,000052,5644,327,4890,71,5,142,0,8,201,3749,179,3316,41,5,104,0,1,103,1353.2,809.3,1154.8,762.2,1204.1,777.9,1480.5,1180.9,737.1,1639,1234,1828,705,1353.2,809.3,1255.1,759.1,1733.5,969.5,1405.8,837.6
31153000053,NE,Sarpy County,000053,4499,323,3718,95,11,147,0,16,189,3166,188,2702,59,10,97,0,6,104,1020.8,784.2,827.6,715.7,859.3,737,1121,849.7,706.9,1198.9,1047.7,1345.3,630.5,1020.8,784.2,914.4,719.9,1272.1,839.1,1031.8,770.3
31153000054,NE,Sarpy County,000054,3965,257,3320,98,2,100,27,14,147,2906,169,2500,71,2,73,13,7,71,951.2,684.8,798.4,610.3,832.7,624,1105,802.3,620.1,1054.1,947.3,1170.7,502.6,951.2,684.8,884.6,618.1,1112.4,724.9,959.2,664.8
31153000055,NE,Sarpy County,000055,5151,255,4260,115,15,220,0,21,265,3513,127,2987,91,11,146,0,12,139,1250,765,1001,693,1029,722,1327,1016,682,1404,1127,1596,609,1250,765,1093.2,699,1500,868,1231.9,766.3
31153000056,NE,Sarpy County,000056,2756,197,2327,68,6,32,0,4,122,2097,129,1828,37,3,28,0,4,68,818,530,662,459,668,501,850,683,449,877,680,960,381,818,530,715.8,469.7,918.5,530.5,788.3,500
31153000057,NE,Sarpy County,000057,3258,302,2614,67,16,64,3,14,178,2507,201,2084,41,16,48,3,14,100,715,487,547,497,565,520,783,557,506,823,832,926,529,715,487,613,507.7,874.5,680.5,702.3,561.8
31153000058,NE,Sarpy County,000058,2439,62,2301,4,5,13,1,4,49,1537,36,1454,4,5,7,1,3,27,598.1,217.8,542.9,213.1,544.5,225.6,623,533.6,192.9,864.4,373.9,934.6,178.7,598.1,217.8,561,210.5,899.5,276.3,663,233.7
31153000059,NE,Sarpy County,000059,2404,51,2270,6,8,11,0,2,56,1727,26,1649,6,6,4,0,2,34,891.2,365.1,781.5,319.4,775.3,372.4,907.5,761.8,337.6,918.4,481.5,987.7,258.6,891.2,365.1,806.5,343.2,953.1,370,860.5,355.8
31153000060,NE,Sarpy County,000060,2679,107,2377,20,4,13,3,6,149,1901,63,1720,13,4,10,3,6,82,585.6,304.2,502.6,298.4,510,320.1,661.8,514.6,296.2,768.3,476.2,815.1,259.9,585.6,304.2,547.2,304.9,791.7,368.1,622.6,325.8
31153000061,NE,Sarpy County,000061,7384,269,6733,38,10,65,1,7,261,4965,147,4586,32,8,48,1,4,139,1946.5,807.5,1870.5,872.2,1876.7,948,2226,1863.3,845.7,2684.7,1494.4,2991.3,712,1946.5,807.5,1959.1,888.6,2838,1103.2,2208.4,946.6
31153000062,NE,Sarpy County,000062,5094,383,4176,102,5,200,6,14,208,3571,214,3009,77,3,144,5,7,112,782.6,519.4,773.7,585.3,798.6,632.2,1062.3,798.6,597.2,1363.5,1223.1,1553.3,667.9,782.6,519.4,858.3,604.9,1458.4,945.5,1018.9,704.2
3115500003P,NE,Saunders County,00003P,1387,24,1317,3,3,1,0,6,33,1048,9,1012,0,3,0,0,2,22,510.4,163.4,419.2,156.4,418.1,177.5,477.3,417.2,149.4,623.6,199.6,608.6,125.4,510.4,163.4,433,161.1,616.1,162.5,496.4,162
