GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_blu,uss_16_dem_kan,gov_16_rep_gre,gov_16_dem_kos,atg_16_rep_haw,atg_16_dem_hen,sos_16_rep_ash,sos_16_dem_smi,uss_18_rep_haw,uss_18_dem_mcc,pre_20_rep_tru,pre_20_dem_bid,gov_20_rep_par,gov_20_dem_gal,atg_20_rep_sch,atg_20_dem_fin,sos_20_rep_ash,sos_20_dem_fal,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
29051000002,MO,Cole County,000002,4347,315,3378,394,13,31,0,11,205,3233,178,2630,274,6,25,0,5,115,1221.1,564.9,1091.8,741,1084.6,771.3,1187.9,679,1207.9,590,995.4,606.9,1260.9,657.9,1312.8,638.8,1327,569.9,1358.8,542.1,1158.7,669.3,995.4,606.9,1314.9,602.2,1204.8,636.2
29051000003,MO,Cole County,000003,2218,28,2107,10,0,4,3,3,63,1712,12,1641,8,0,3,3,1,44,990.8,202.5,856.1,338.2,795.2,411.1,898,324.2,912.9,257.4,855.1,246.4,1224.2,231.5,1246.2,217.5,1252.1,189.6,1257.1,198.6,890.6,306.7,855.1,246.4,1244.9,209.3,1028.8,261.7
29051000004,MO,Cole County,000004,2991,104,2551,140,16,15,2,16,147,2308,67,2020,106,14,11,1,8,81,1185.9,450.9,1074.8,586.6,1044.2,642.4,1160.6,549.3,1211.7,442.5,986,461.2,1318,433.9,1346.6,414.3,1361.5,344.8,1369.2,354.8,1135.4,534.4,986,461.2,1348.8,386.9,1205.9,468.1
29051000005,MO,Cole County,000005,993,11,946,3,2,0,0,3,28,798,7,762,0,2,0,0,2,25,491.4,111.4,426.6,187.4,405.9,217.6,446.5,178.8,460.3,141.6,393.8,142.5,576.9,133.9,575.2,125.2,565.7,119.2,572.6,127,446.1,167.4,393.8,142.5,572.6,126.3,491.5,148.5
29051000006,MO,Cole County,000006,284,9,255,2,3,3,1,0,11,224,5,207,0,3,3,1,0,5,77.6,17.6,67.4,29.6,64.1,34.4,70.5,28.2,72.7,22.4,62.2,22.5,91.1,21.1,90.8,19.8,89.3,18.8,90.4,20,70.5,26.4,62.2,22.5,90.4,19.9,77.6,23.4
29051000007,MO,Cole County,000007,1431,14,1359,4,0,2,0,2,50,1091,10,1037,2,0,2,0,1,39,692.1,138.9,600.6,223.3,579.9,257.3,652.3,184.9,659.9,158.8,555.6,172.9,754.9,180.7,755.2,160.3,761.1,146.8,775.2,142.9,637,192.6,555.6,172.9,761.6,157.7,678.7,176.7
29051000008,MO,Cole County,000008,763,32,676,14,11,3,2,2,23,602,19,552,9,3,3,2,0,14,148.4,52.3,127.6,70.8,125.1,76.6,139.3,65.6,137.1,58.9,126.6,55.2,153.9,58,156.3,56.1,153.9,50.9,160.1,47.6,135.5,64.8,126.6,55.2,156,53.1,142.8,59.2
29051000009,MO,Cole County,000009,2884,106,1676,851,8,12,0,18,213,2163,66,1383,574,7,12,0,11,110,442,519,378,592,400,588,434,578,443,523,341,499,479,644,513,583,500,552,527,528,419.4,560,341,499,504.8,576.8,445.7,560.6
29051000010,MO,Cole County,000010,2467,70,1828,401,10,15,2,11,130,1891,46,1503,232,8,13,1,8,80,781,424.4,675.1,532.3,630.1,608.2,740,497.3,771,422.4,636.1,450.4,741,520.3,760,481.4,792.9,422.4,796.9,413.4,719.4,496.9,636.1,450.4,772.7,459.4,732.4,477.3
29051000011,MO,Cole County,000011,5275,166,3702,1275,8,12,1,2,109,4947,139,3477,1244,7,10,1,0,69,934.4,354,825.5,488,795.1,537.2,871.5,469.9,910.3,385,793.5,424.8,883,421.7,930.3,380.4,948.5,338.5,932,345.2,867.4,446.8,793.5,424.8,923.4,371.4,882.4,414.5
