GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_wic,uss_18_dem_bar,uss_r18_rep_hyd,uss_r18_dem_esp,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_hyd,uss_20_dem_esp,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
28007000204,MS,Attala County,000204,2571,64,543,1892,4,13,0,7,48,1842,43,421,1340,4,8,0,6,20,270,764.2,210.2,562,176.4,654.6,285,842,263,871.8,270,764.2,210.2,562,274,856.9,240.9,738.9
28007000301,MS,Attala County,000301,423,3,410,3,3,0,0,0,4,327,2,317,3,3,0,0,0,2,197.5,11.3,137.4,7.7,138.1,10,205.2,10,197.3,15.1,197.5,11.3,137.4,7.7,201.2,12.6,175.1,10.8
28007000302,MS,Attala County,000302,487,4,408,52,0,5,0,0,18,379,1,330,35,0,5,0,0,8,195.6,28.3,145.1,20.2,141.7,23.2,213.6,23,211.2,26.7,195.6,28.3,145.1,20.2,212.4,24.8,181.4,24.3
28007000303,MS,Attala County,000303,308,5,204,84,0,14,0,0,1,260,4,174,72,0,9,0,0,1,128.3,71,92.3,58.3,90.4,67.1,126.4,71.9,121.5,78.7,128.3,71,92.3,58.3,123.9,75.3,111.8,69.4
28007000304,MS,Attala County,000304,495,16,396,76,0,2,0,0,5,400,8,320,68,0,0,0,0,4,218.6,27.2,154.9,23.8,158.4,24.1,235.9,31.2,224,37.6,218.6,27.2,154.9,23.8,229.9,34.4,198.3,28.8
28007000305,MS,Attala County,000305,1319,46,699,531,0,9,0,1,33,1009,29,570,383,0,6,0,1,20,319.3,208.2,238.9,131.1,218.1,168.4,359.1,218.1,329.3,240.5,319.3,208.2,238.9,131.1,344.2,229.3,293,193.3
28007000306,MS,Attala County,000306,569,6,270,283,0,0,1,0,9,430,5,233,184,0,0,1,0,7,65.7,42.8,49.1,27,44.9,34.6,73.8,44.9,67.7,49.5,65.7,42.8,49.1,27,70.8,47.2,60.2,39.7
28007000401,MS,Attala County,000401,539,4,225,297,1,0,0,0,12,397,1,171,213,0,0,0,0,12,143.4,185.5,120.2,121.5,102.3,158.2,161.6,194.3,151.2,204.3,143.4,185.5,120.2,121.5,156.4,199.3,135.7,172.8
28007000402,MS,Attala County,000402,550,1,292,248,0,2,0,2,5,464,1,255,199,0,2,0,2,5,150.7,160.1,120.6,102.8,125.7,137.8,158.6,168.9,156.8,176.4,150.7,160.1,120.6,102.8,157.7,172.6,142.5,149.2
28007000403,MS,Attala County,000403,1309,8,421,865,1,2,0,0,12,1004,3,353,639,1,1,0,0,7,201.7,459.9,185.5,312.8,163.4,403.8,225.7,459.8,210.5,480.1,201.7,459.9,185.5,312.8,218.1,470,197.4,423.3
28007000404,MS,Attala County,000404,1136,17,288,801,2,1,0,4,23,752,9,218,505,2,1,0,4,13,94,205,85,129,75,171,106,240,93,254,94,205,85,129,99.5,247,90.6,199.8
28007000501,MS,Attala County,000501,247,2,210,29,0,0,0,0,6,190,1,163,20,0,0,0,0,6,101.2,6.7,86.3,4.8,85.4,5.7,123.5,6.7,119.7,8.6,101.2,6.7,86.3,4.8,121.6,7.6,103.2,6.5
