GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_rin,uss_18_rep_bra,gov_18_dem_mil,gov_18_rep_moo,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
23005048820,ME,Cumberland County,048820,5676,101,5282,26,18,26,0,18,205,4500,52,4240,18,14,23,0,18,135,1362,1660,214,1313,1259,1466,1738,1761,1388,2025,1660,1362,1389.5,736.5,1893,1563,1645,1192.2
23005053860,ME,Cumberland County,053860,4072,81,3782,22,7,25,2,9,144,3097,40,2936,15,1,19,2,5,79,1505.3,923.6,256.9,705.7,1370.4,937.6,1881.1,1019.5,1506.3,1305.4,923.6,1505.3,821.6,813.6,1162.5,1693.7,978.3,1304
23005060685,ME,Cumberland County,060685,1566,14,1471,8,2,4,0,7,60,1262,5,1205,5,2,4,0,7,34,561,422,100,359,516,416,692,490,540,588,422,561,387.5,308,539,616,455,481.8
23005061945,ME,Cumberland County,061945,4536,79,4199,17,5,26,0,13,197,3687,54,3459,9,4,18,0,12,131,1274,1384,195,1008,1124,1274,1606,1475,1257,1713,1384,1274,1141,659.5,1594,1431.5,1370.8,1091.2
23005066145,ME,Cumberland County,066145,22135,431,19548,348,47,956,5,62,738,17875,291,16133,223,41,691,5,43,448,6982.3,4938.7,1103.8,3632.6,6174.6,4932.2,9624.3,5238.8,7694.3,6833.5,4938.7,6982.3,4282.4,3639.2,6036.2,8659.3,5115.2,6315.9
23005066775,ME,Cumberland County,066775,1911,29,1773,6,3,9,0,8,83,1589,22,1500,4,3,7,0,8,45,425,601,89,424,358,530,535,721,438,769,601,425,477,223.5,745,486.5,609,369
23005073670,ME,Cumberland County,073670,10244,166,9535,48,15,64,5,20,391,8461,121,7951,41,15,61,2,18,252,2141.7,2853.7,411.2,1922.7,1811.6,2508.3,2822.8,3058.3,2211.8,3518.7,2853.7,2141.7,2215.5,1111.4,3288.5,2517.3,2772.3,1879.8
23005084301,ME,Cumberland County,084301,2803,43,2517,46,19,35,0,14,129,2286,21,2097,37,13,21,0,9,88,1331.8,603.8,180.6,394.8,1259.9,500.2,1624.6,618.3,1369,776.1,603.8,1331.8,447.5,720.3,697.2,1496.8,578.6,1153.2
23005084302,ME,Cumberland County,084302,2861,90,2550,36,5,36,0,8,136,2336,71,2111,33,5,29,0,6,81,739.6,335.3,100.3,219.2,699.7,277.8,902.2,343.4,760.2,431,335.3,739.6,248.5,400,387.2,831.2,321.3,640.4
23005084303,ME,Cumberland County,084303,2886,81,2661,14,8,19,0,13,90,2446,61,2288,13,6,18,0,4,56,965.6,437.7,130.9,286.2,913.5,362.6,1177.8,448.3,992.5,562.7,437.7,965.6,324.4,522.2,505.5,1085.2,419.5,836.1
23005084304,ME,Cumberland County,084304,3066,103,2717,17,8,55,2,21,143,2446,63,2211,11,6,42,1,11,101,989.2,448.4,134.1,293.2,935.8,371.5,1206.6,459.2,1016.8,576.4,448.4,989.2,332.3,535,517.8,1111.7,429.8,856.5
23005084305,ME,Cumberland County,084305,3426,133,2941,69,7,74,2,18,182,2798,90,2492,39,5,60,2,7,103,1979.4,897.3,268.4,586.7,1872.5,743.4,2414.5,919,2034.6,1153.5,897.3,1979.4,665,1070.5,1036.2,2224.6,860,1713.9
23005084306,ME,Cumberland County,084306,2903,126,2341,95,10,128,0,16,187,2577,104,2095,88,8,113,0,12,157,1232.5,558.8,167.1,365.3,1166,462.9,1503.5,572.2,1266.9,718.3,558.8,1232.5,414.1,666.6,645.2,1385.2,535.5,1067.2
23005084307,ME,Cumberland County,084307,3811,207,3139,89,2,148,3,15,208,3273,160,2718,78,2,142,3,12,158,822,372.6,111.5,243.6,777.6,308.7,1002.7,381.6,844.9,479,372.6,822,276.2,444.6,430.3,923.8,357.1,711.8
