GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_new,uss_18_dem_klo,gov_18_rep_joh,gov_18_dem_wal,atg_18_rep_war,atg_18_dem_ell,sos_18_rep_how,sos_18_dem_sim,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_smi,uss_20_rep_lew,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
27003001220,MN,Anoka County,001220,3418,304,2136,563,29,196,0,8,182,2562,198,1791,322,20,131,0,4,96,622.6,666.5,368.1,682,408.8,614.3,443.9,571.8,412.7,611.1,900.9,657.8,768,596.5,622.6,666.5,408.4,619.8,627.2,834.4,501.5,687.8
27003001305,MN,Anoka County,001305,2873,139,2098,269,18,228,0,16,105,2227,90,1727,166,13,161,0,9,61,765,706,497,773,576,685,607,615,567,667,896,799,780,757,765,706,561.8,685,778,838,652.6,731.7
27003001310,MN,Anoka County,001310,3255,89,2366,404,15,187,5,8,181,2507,48,1984,234,11,119,5,5,101,730,667,508,739,585,659,609,596,587,623,906,790,804,727,730,667,572.2,654.2,758.5,855,648,713.4
27003001315,MN,Anoka County,001315,2834,80,2183,227,19,191,1,15,118,2275,38,1867,161,15,131,1,6,56,617.2,684.4,472.4,791.2,556.3,690.9,594.9,615,560.1,685.3,900.2,727.7,804.6,666.6,617.2,684.4,545.9,695.6,697.1,852.4,599.3,738.8
27003001320,MN,Anoka County,001320,3663,153,2769,217,23,258,0,11,232,2800,92,2246,123,18,170,0,11,140,889.9,777.5,608.7,837.4,693,735.8,719.4,675.9,697.6,717.6,970.8,919.8,843.8,848.1,889.9,777.5,679.6,741.7,884,907.3,768.1,794.1
27003001405,MN,Anoka County,001405,2828,137,2178,181,18,130,0,15,169,2203,74,1830,109,13,78,0,15,84,752.6,649.2,460.6,731,542.7,621.9,574.3,556.8,538.6,623.2,811,804.5,702.4,697.5,752.6,649.2,529.1,633.2,751,756.7,624.4,670.8
27003001410,MN,Anoka County,001410,3207,148,2442,268,29,158,0,10,152,2506,105,1995,168,18,114,0,8,98,856,733,531,845,625,734,628,665,621,721,905,859,785,779,856,733,601.2,741.2,819,845,699.9,769.7
27003001415,MN,Anoka County,001415,2227,110,1407,341,27,162,0,17,163,1615,56,1151,200,21,96,0,9,82,453,459,280,492,318,450,324,423,318,448,619,458,527,408,453,459,310,453.2,433,573,365.6,488.3
27003001420,MN,Anoka County,001420,1913,116,1081,517,3,108,0,11,77,1384,74,905,285,2,75,0,7,36,305.4,341.9,182.3,388.2,204.9,364.6,218.7,344.9,207.9,362.6,498.6,321.2,394.1,293.6,305.4,341.9,203.5,365.1,307.4,446.3,247.7,385
27003001425,MN,Anoka County,001425,2213,117,1677,153,7,136,0,16,107,1812,74,1471,98,7,93,0,6,63,562.7,647.5,418.2,701.7,487.7,622.7,500.7,567.1,482,606.8,774.2,576.9,693.9,549.9,562.7,647.5,472.1,624.5,563.4,734,511.1,659.1
27003001505,MN,Anoka County,001505,4326,100,3838,19,20,107,6,12,224,3296,63,2985,7,15,67,6,12,141,1455.2,549.8,959.9,686.5,1067.8,569.6,1083.7,485.4,1041.1,531.9,733,1711.7,665.7,1520.5,1455.2,549.8,1038.1,568.3,1616.1,699.3,1262.8,603.1
27003001510,MN,Anoka County,001510,3872,108,3443,21,13,88,0,18,181,3077,63,2807,15,10,56,0,13,113,1398.5,602,941.4,748.5,1055.7,615,1098.8,525.8,1057.7,574,777.6,1641.3,738.4,1483.9,1398.5,602,1038.4,615.8,1562.6,758,1239.6,654.5
27003001515,MN,Anoka County,001515,3588,82,3206,27,18,111,0,6,138,2793,42,2566,13,17,73,0,6,76,1274.4,577.8,949.8,708.2,1054.3,580.8,1069.8,510.7,1043.1,553.3,737.3,1511.2,665.3,1381.8,1274.4,577.8,1029.2,588.3,1446.5,701.3,1183.5,619.1
27003001605,MN,Anoka County,001605,2336,295,1459,295,9,146,1,2,129,1758,186,1228,173,3,98,1,1,68,427,637,292,652,352,589,373,539,353,578,820,451,723,419,427,637,342.5,589.5,435,771.5,381,648.3
27003001610,MN,Anoka County,001610,2056,172,1465,184,12,151,4,10,58,1613,95,1245,115,9,95,4,10,40,440.1,596.2,331.1,656.2,382.1,592.2,420.1,522.2,385.1,557.2,758.3,464.1,649.3,467.1,440.1,596.2,379.6,582,465.6,703.8,412.8,618.8
