GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_gra,uss_16_dem_jud,gov_18_rep_rey,gov_18_dem_hub,atg_18_dem_mil,sos_18_rep_pat,sos_18_dem_dej,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ern,uss_20_dem_gre,avg_16_rep,avg_16_dem,avg_18_rep,avg_18_dem,avg_20_rep,avg_20_dem
18003000700,IN,Allen County,000700,1349,216,758,219,12,47,0,7,90,1105,143,659,178,12,37,0,3,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000710,IN,Allen County,000710,2346,243,1558,156,5,214,0,12,158,1686,126,1214,117,2,147,0,3,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000720,IN,Allen County,000720,1102,56,745,167,4,39,3,12,76,869,35,641,98,4,33,1,9,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000730,IN,Allen County,000730,2271,364,1489,150,11,118,1,10,128,1796,263,1224,110,6,103,1,7,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000740,IN,Allen County,000740,2898,307,1698,340,11,372,0,22,148,2060,182,1327,215,7,245,0,6,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000750,IN,Allen County,000750,1521,173,1099,106,2,59,3,8,71,1218,104,923,87,2,43,3,7,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000760,IN,Allen County,000760,1576,204,1100,147,11,37,0,9,68,1272,126,948,115,8,26,0,2,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000770,IN,Allen County,000770,1118,114,744,86,5,72,0,11,86,845,64,599,67,5,54,0,7,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000780,IN,Allen County,000780,1757,133,1256,205,5,72,1,5,80,1515,92,1106,179,4,65,1,5,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000790,IN,Allen County,000790,1156,79,935,61,2,34,2,10,33,945,48,774,58,2,31,0,6,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000800,IN,Allen County,000800,1276,67,1037,57,6,45,3,7,54,987,43,834,42,6,40,2,4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000810,IN,Allen County,000810,1570,84,1021,183,2,233,1,4,42,1176,53,799,134,2,171,1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000820,IN,Allen County,000820,1515,135,1166,91,5,22,0,7,89,1215,87,980,70,5,15,0,5,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000830,IN,Allen County,000830,1371,92,1172,30,4,19,0,3,51,1113,58,971,17,4,18,0,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000840,IN,Allen County,000840,979,33,795,64,0,50,0,1,36,805,22,687,40,0,39,0,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000850,IN,Allen County,000850,2301,121,1779,178,2,107,0,12,102,1813,59,1470,125,2,89,0,5,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000860,IN,Allen County,000860,1400,53,1130,84,2,65,0,6,60,1191,34,987,67,2,59,0,3,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000870,IN,Allen County,000870,1114,72,744,146,1,69,0,16,66,889,51,638,94,1,54,0,9,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
