GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_men,uss_18_rep_hug,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_boo,uss_20_rep_meh,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
34001060003,NJ,Atlantic County,060003,1565,269,911,212,1,24,0,13,135,1193,172,740,167,0,19,0,11,84,326.7,313.6,243.2,261.9,2556.2,2139.2,2508.6,2048,313.6,326.7,261.9,243.2,2093.6,2532.4,1190.7,1408.7
34001060004,NJ,Atlantic County,060004,2646,640,785,974,0,135,0,35,77,2045,432,693,735,0,114,0,19,52,655.5,146.3,450.2,103.1,110.6,92.6,108.5,88.6,146.3,655.5,103.1,450.2,90.6,109.6,107.7,331.2
34001060005,NJ,Atlantic County,060005,1789,256,1033,386,4,15,0,16,79,1315,159,839,248,4,13,0,10,42,363,326,289,254,436.1,365,428,349.4,326,363,254,289,357.2,432.1,323.6,379
34001060006,NJ,Atlantic County,060006,1758,163,1261,179,0,29,0,5,121,1381,102,1034,146,0,17,0,4,78,362,483.3,289.9,392.9,1344.4,1125.1,1319.4,1077.1,483.3,362,392.9,289.9,1101.1,1331.9,769.6,828.9
34001060007,NJ,Atlantic County,060007,2803,397,1596,572,2,79,1,8,148,2309,281,1378,493,0,59,0,4,94,534.5,481.4,413.7,390.7,563,471.2,552.5,451.2,481.4,534.5,390.7,413.7,461.2,557.7,448.6,515.9
34001060008,NJ,Atlantic County,060008,1923,227,1398,158,12,22,1,12,93,1527,141,1181,112,11,16,1,7,58,442.5,507.4,330.3,439.3,684.6,573,671.9,548.5,507.4,442.5,439.3,330.3,560.7,678.3,517,532.3
34001060009,NJ,Atlantic County,060009,2778,358,1447,334,7,480,0,18,134,2214,238,1225,259,3,392,0,11,86,571.3,522.1,461,438.4,342.4,286.6,336,274.3,522.1,571.3,438.4,461,280.4,339.2,380.3,427.7
34001060010,NJ,Atlantic County,060010,1933,270,1206,167,2,165,0,11,112,1595,171,1092,125,2,137,0,8,60,350.4,442,322.1,427.8,52.2,43.7,51.3,41.9,442,350.4,427.8,322.1,42.8,51.8,238.9,194
34001060011,NJ,Atlantic County,060011,2727,507,927,1035,5,158,0,3,92,2103,365,815,737,5,125,0,3,53,692.3,253.9,519.1,218,224.3,187.8,220.2,179.7,253.9,692.3,218,519.1,183.7,222.3,209.9,414
34001060012,NJ,Atlantic County,060012,1329,168,971,99,5,24,0,8,54,1138,127,868,80,0,24,0,7,32,280.6,343,215.6,322.2,407.5,341,399.9,326.4,343,280.6,322.2,215.6,333.7,403.7,333.2,325.9
34001060013,NJ,Atlantic County,060013,2720,483,1251,473,0,411,1,9,92,1984,321,959,334,0,303,0,7,60,434,351,362.4,300,141.8,118.7,139.2,113.6,351,434,300,362.4,116.2,140.5,220.8,269.4
34001065001,NJ,Atlantic County,065001,2168,342,1747,22,0,8,0,7,42,1724,242,1429,18,0,8,0,2,25,356,673,273,594,815.1,1257,787.8,1184.5,673,356,594,273,1220.7,801.5,927.1,558
34001065002,NJ,Atlantic County,065002,1811,481,1254,34,3,9,0,5,25,1409,311,1038,26,3,6,0,4,21,254,481,202,431,355.6,548.4,343.7,516.8,481,254,431,202,532.6,349.7,494.3,288.8
34001065003,NJ,Atlantic County,065003,2335,389,1811,58,1,19,2,5,50,1908,248,1553,56,1,16,2,5,27,324,610,222,533,247.1,381,238.8,359,610,324,533,222,370,242.9,470.8,258
34001065004,NJ,Atlantic County,065004,1949,508,1136,190,3,46,2,2,62,1407,329,887,121,3,37,0,1,29,301,389,225,312,617.6,952.3,596.9,897.4,389,301,312,225,924.9,607.2,637.7,435.1
34001065005,NJ,Atlantic County,065005,2142,395,1645,27,0,26,0,2,47,1703,280,1350,17,0,21,0,2,33,431,649,313,550,346.4,534.3,334.9,503.4,649,431,550,313,518.9,340.6,559.2,356.3
34001065006,NJ,Atlantic County,065006,2052,772,1187,35,3,16,0,0,39,1576,539,967,28,3,13,0,0,26,316,428,212,327,286.2,441.4,276.6,416,428,316,327,212,428.7,281.4,403.1,272.7
34001065007,NJ,Atlantic County,065007,2254,630,1484,31,0,33,1,12,63,1745,425,1218,28,0,30,0,6,38,384,629,308,526,288.9,445.5,279.2,419.8,629,384,526,308,432.7,284.1,505.1,315
34001070101,NJ,Atlantic County,070101,2048,87,1712,33,3,128,1,2,82,1653,63,1413,23,1,107,0,1,45,567.8,556.9,375.9,554,602.3,670.6,582.3,658.6,556.9,567.8,554,375.9,664.6,592.3,610,532.1
34001070102,NJ,Atlantic County,070102,1323,89,1130,13,0,43,0,1,47,989,34,891,12,0,25,0,0,27,301.6,455.6,237,402.9,452.6,501.7,437.6,492.6,455.6,301.6,402.9,237,497.1,445.1,463.2,357.2
34001070201,NJ,Atlantic County,070201,1408,81,1183,17,2,73,0,6,46,1104,48,953,17,2,61,0,4,19,323.6,412.8,265.8,402,404.6,428.8,382.9,437.4,412.8,323.6,402,265.8,433.1,393.8,420.3,344.2
34001070202,NJ,Atlantic County,070202,1085,58,928,11,0,38,0,0,50,821,51,715,8,0,25,0,0,22,228,341,203,324,233.5,247.4,221,252.4,341,228,324,203,249.9,227.2,291.2,221.4
34001070203,NJ,Atlantic County,070203,1107,47,937,13,1,59,0,0,50,827,33,719,7,0,46,0,0,22,256.1,307.8,216.1,302.9,482.9,512.2,457.2,522.2,307.8,256.1,302.9,216.1,517.2,470,411.3,353.1
34001075001,NJ,Atlantic County,075001,893,13,862,5,0,3,0,0,10,797,10,774,5,0,1,0,0,7,182,306,128,303,263,371,244,373,306,182,303,128,372,253.5,338.2,204.2
34001080001,NJ,Atlantic County,080001,1526,36,1433,4,0,22,0,0,31,1310,29,1231,4,0,22,0,0,24,519.5,450.6,398.7,456.9,364.4,380.1,358.4,372.6,450.6,519.5,456.9,398.7,376.4,361.4,415,410.3
